"ple0040","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Yes","2007","16-34 y.","West Germany","66","0.02340277952698","0.0183871339504575","0.0284184251035025","1"
"Yes","2007","16-34 y.","East Germany","29","","","","1"
"Yes","2007","35-65 y.","West Germany","1053","0.132198017030064","0.125117715711725","0.139278318348403","1"
"Yes","2007","35-65 y.","East Germany","326","0.135544743425572","0.122516857990025","0.14857262886112","1"
"Yes","2007","66 and older","West Germany","899","0.289103952546548","0.273484209005264","0.304723696087833","1"
"Yes","2007","66 and older","East Germany","212","0.205799444070107","0.182248296724322","0.229350591415891","1"
"No","2008","16-34 y.","West Germany","3159","0.978429437717519","0.973411611185165","0.983447264249874","2"
"No","2008","16-34 y.","East Germany","1118","0.970727515055123","0.960933620463658","0.980521409646588","2"
"No","2008","35-65 y.","West Germany","7171","0.866000050266025","0.858610219902475","0.873389880629576","2"
"No","2008","35-65 y.","East Germany","2203","0.867607753436886","0.854341022778805","0.880874484094967","2"
"No","2008","66 and older","West Germany","2336","0.71711001980041","0.701480183570682","0.732739856030137","2"
"No","2008","66 and older","East Germany","912","0.793119340119308","0.769438661060052","0.816800019178564","2"
"Yes","2008","16-34 y.","West Germany","61","0.0215705622824807","0.0165527357501262","0.0265883888148351","1"
"Yes","2008","16-34 y.","East Germany","20","","","","1"
"Yes","2008","35-65 y.","West Germany","992","0.133999949733975","0.126610119370424","0.141389780097525","1"
"Yes","2008","35-65 y.","East Germany","304","0.132392246563114","0.119125515905033","0.145658977221195","1"
"Yes","2008","66 and older","West Germany","854","0.28288998019959","0.267260143969863","0.298519816429318","1"
"Yes","2008","66 and older","East Germany","212","0.206880659880692","0.183199980821436","0.230561338939948","1"
"No","2009","16-34 y.","West Germany","2906","0.978747861268392","0.973547828473713","0.983947894063071","2"
"No","2009","16-34 y.","East Germany","1009","0.970891572109024","0.960659738862493","0.981123405355556","2"
"No","2009","35-65 y.","West Germany","6523","0.860559876291789","0.852709658271177","0.868410094312401","2"
"No","2009","35-65 y.","East Germany","2096","0.865712786476147","0.852037539548214","0.879388033404079","2"
"No","2009","66 and older","West Germany","2252","0.723012262079305","0.707156377309644","0.738868146848966","2"
"No","2009","66 and older","East Germany","908","0.80811002716181","0.785058130013033","0.831161924310587","2"
"Yes","2009","16-34 y.","West Germany","49","0.0212521387316079","0.0160521059369286","0.0264521715262871","1"
"Yes","2009","16-34 y.","East Germany","28","","","","1"
"Yes","2009","35-65 y.","West Germany","957","0.139440123708211","0.131589905687599","0.147290341728823","1"
"Yes","2009","35-65 y.","East Germany","292","0.134287213523853","0.120611966595921","0.147962460451785","1"
"Yes","2009","66 and older","West Germany","808","0.276987737920695","0.261131853151034","0.292843622690356","1"
"Yes","2009","66 and older","East Germany","213","0.19188997283819","0.168838075689413","0.214941869986966","1"
"No","2010","16-34 y.","West Germany","4943","0.977140091859736","0.973011860673388","0.981268323046084","2"
"No","2010","16-34 y.","East Germany","1510","0.96168197339216","0.95211000724184","0.97125393954248","2"
"No","2010","35-65 y.","West Germany","9473","0.865098710482695","0.858569144191612","0.871628276773778","2"
"No","2010","35-65 y.","East Germany","2543","0.854258757043839","0.841342990131065","0.867174523956613","2"
"No","2010","66 and older","West Germany","2208","0.729396826180167","0.71345116069364","0.745342491666694","2"
"No","2010","66 and older","East Germany","848","0.795434949777789","0.771139879262138","0.819730020293441","2"
"Yes","2010","16-34 y.","West Germany","92","0.0228599081402642","0.0187316769539159","0.0269881393266125","1"
"Yes","2010","16-34 y.","East Germany","35","0.03831802660784","0.0287460604575197","0.0478899927581602","1"
"Yes","2010","35-65 y.","West Germany","1042","0.134901289517305","0.128371723226222","0.141430855808388","1"
"Yes","2010","35-65 y.","East Germany","324","0.145741242956161","0.132825476043388","0.158657009868935","1"
"Yes","2010","66 and older","West Germany","774","0.270603173819833","0.254657508333306","0.28654883930636","1"
"Yes","2010","66 and older","East Germany","211","0.204565050222211","0.180269979706559","0.228860120737862","1"
"No","2011","16-34 y.","West Germany","5145","0.976250131844165","0.972125350776572","0.980374912911759","2"
