"plh0184","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Rarely","2012","66 and older","Rural Area","620","0.339521969930216","0.317878825610356","0.361165114250075"
"Rarely","2012","66 and older","Urban Area","1150","0.333184739634828","0.317287274661852","0.349082204607804"
"Sometimes","2012","16-34 y.","Rural Area","557","0.417935590875079","0.391328259030286","0.444542922719872"
"Sometimes","2012","16-34 y.","Urban Area","1182","0.40808268335193","0.389959124983667","0.426206241720193"
"Sometimes","2012","35-65 y.","Rural Area","1785","0.42150967721917","0.406442381805446","0.436576972632893"
"Sometimes","2012","35-65 y.","Urban Area","2989","0.435394138916003","0.423819743474004","0.446968534358001"
"Sometimes","2012","66 and older","Rural Area","648","0.370013829233282","0.347947417746826","0.392080240719738"
"Sometimes","2012","66 and older","Urban Area","1226","0.357489498053851","0.34132529415529","0.373653701952412"
"Very often","2012","16-34 y.","Rural Area","65","0.0419127112332396","0.0311024412075235","0.0527229812589558"
"Very often","2012","16-34 y.","Urban Area","102","0.0357547952209916","0.0289078042313284","0.0426017862106547"
"Very often","2012","35-65 y.","Rural Area","157","0.0393639151342971","0.0334303997773049","0.0452974304912893"
"Very often","2012","35-65 y.","Urban Area","328","0.0478471487424134","0.0428644376883253","0.0528298597965016"
"Very often","2012","66 and older","Rural Area","34","0.0240541211792226","0.0170514321501641","0.031056810208281"
"Very often","2012","66 and older","Urban Area","55","0.0177710898128123","0.0133150819559488","0.0222270976696759"
"Very rare","2012","16-34 y.","Rural Area","98","0.0706094553794161","0.0567899760325963","0.0844289347262359"
"Very rare","2012","16-34 y.","Urban Area","229","0.0688066996623521","0.0594725631126323","0.0781408362120719"
"Very rare","2012","35-65 y.","Rural Area","394","0.0882059944645333","0.0795527116911675","0.096859277237899"
"Very rare","2012","35-65 y.","Urban Area","646","0.09249179556837","0.0857284555583203","0.0992551355784198"
"Very rare","2012","66 and older","Rural Area","392","0.188930402859958","0.17103929587014","0.206821509849776"
"Very rare","2012","66 and older","Urban Area","685","0.211517384283981","0.197743651426555","0.225291117141407"
"Often","2013","16-34 y.","Rural Area","425","0.223212810187944","0.204726392709007","0.241699227666881"
"Often","2013","16-34 y.","Urban Area","888","0.228654559426283","0.215270072741051","0.242039046111514"
"Often","2013","35-65 y.","Rural Area","1018","0.172879624139726","0.162908635659301","0.182850612620151"
"Often","2013","35-65 y.","Urban Area","1960","0.193672794498571","0.185713710877101","0.201631878120041"
"Often","2013","66 and older","Rural Area","161","0.104106918260599","0.0897531415210201","0.118460695000177"
"Often","2013","66 and older","Urban Area","266","0.0851171114198166","0.075536414502321","0.0946978083373122"
"Rarely","2013","16-34 y.","Rural Area","479","0.25733492898911","0.23792660470136","0.276743253276859"
"Rarely","2013","16-34 y.","Urban Area","902","0.239066635925388","0.225473485364264","0.252659786486513"
"Rarely","2013","35-65 y.","Rural Area","1399","0.266161210662462","0.254507756735054","0.27781466458987"
"Rarely","2013","35-65 y.","Urban Area","2242","0.251299106542251","0.242562902889417","0.260035310195086"
"Rarely","2013","66 and older","Rural Area","602","0.332451566727137","0.31031022766916","0.354592905785114"
"Rarely","2013","66 and older","Urban Area","1172","0.357456481375903","0.341002584448399","0.373910378303407"
"Sometimes","2013","16-34 y.","Rural Area","799","0.393766531628906","0.372075434151625","0.415457629106188"
"Sometimes","2013","16-34 y.","Urban Area","1495","0.418825941935692","0.403102152262548","0.434549731608836"
"Sometimes","2013","35-65 y.","Rural Area","2380","0.436291148888135","0.423214466423999","0.449367831352272"
"Sometimes","2013","35-65 y.","Urban Area","4037","0.423868244751655","0.413915349144691","0.433821140358619"
"Sometimes","2013","66 and older","Rural Area","594","0.361928146076544","0.339341888684448","0.38451440346864"
"Sometimes","2013","66 and older","Urban Area","1140","0.34845085337048","0.33209209765449","0.36480960908647"
"Very often","2013","16-34 y.","Rural Area","110","0.0448633221967382","0.0356732135007376","0.0540534308927388"
"Very often","2013","16-34 y.","Urban Area","239","0.0459198609952814","0.0392490284520405","0.0525906935385224"
"Very often","2013","35-65 y.","Rural Area","259","0.0423112595551215","0.0370033670678177","0.0476191520424252"
"Very often","2013","35-65 y.","Urban Area","502","0.0480212091959816","0.0437149190928062","0.052327499299157"
"Very often","2013","66 and older","Rural Area","26","","",""
"Very often","2013","66 and older","Urban Area","50","0.0174146731115128","0.0129236146193688","0.0219057316036568"
"Very rare","2013","16-34 y.","Rural Area","136","0.0808224069973016","0.0687217827302255","0.0929230312643777"
