"m11124","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Disabled","2007","Saxony-Anhalt","83","0.106802854071894","0.08630280309042","0.127302905053368"
"Disabled","2007","Thuringia","93","0.106751968238736","0.0867436068262929","0.126760329651179"
"Not disabled","2008","Schleswig-Holstein","481","0.860796856376546","0.832075440251694","0.889518272501398"
"Not disabled","2008","Hamburg","250","0.858000384035614","0.81726133727231","0.898739430798918"
"Not disabled","2008","Lower Saxony","1556","0.877155685134462","0.861784869529431","0.892526500739492"
"Not disabled","2008","Bremen","121","0.856398932274536","0.7978895597068","0.914908304842271"
"Not disabled","2008","North Rhine-Westphalia","3434","0.855665752879864","0.844693857842937","0.866637647916792"
"Not disabled","2008","Hesse","1135","0.859011398676216","0.840230465921478","0.877792331430954"
"Not disabled","2008","Rhineland-Palatinate,Saarland","973","0.881225297780651","0.86211533308378","0.900335262477523"
"Not disabled","2008","Baden-Württemberg","2098","0.872846823508136","0.859440077751625","0.886253569264647"
"Not disabled","2008","Bavaria","2443","0.878819843496281","0.86664952522716","0.890990161765403"
"Not disabled","2008","Berlin","627","0.84494533941634","0.818525073866683","0.871365604965996"
"Not disabled","2008","Brandenburg","726","0.873314899448374","0.850645315936516","0.895984482960232"
"Not disabled","2008","Mecklenburg-Western Pomerania","437","0.859254330481201","0.828494373029537","0.890014287932864"
"Not disabled","2008","Saxony","1303","0.907007443809798","0.891981157518774","0.922033730100821"
"Not disabled","2008","Saxony-Anhalt","742","0.898345180957816","0.877610917208384","0.919079444707249"
"Not disabled","2008","Thuringia","788","0.899940363261482","0.880091430552606","0.919789295970358"
"Disabled","2008","Schleswig-Holstein","77","0.139203143623454","0.110481727498602","0.167924559748306"
"Disabled","2008","Hamburg","32","0.141999615964386","0.101260569201082","0.18273866272769"
"Disabled","2008","Lower Saxony","196","0.122844314865538","0.107473499260508","0.138215130470569"
"Disabled","2008","Bremen","17","","",""
"Disabled","2008","North Rhine-Westphalia","507","0.144334247120136","0.133362352083208","0.155306142157063"
"Disabled","2008","Hesse","184","0.140988601323784","0.122207668569046","0.159769534078523"
"Disabled","2008","Rhineland-Palatinate,Saarland","128","0.118774702219349","0.099664737522477","0.13788466691622"
"Disabled","2008","Baden-Württemberg","274","0.127153176491864","0.113746430735353","0.140559922248375"
"Disabled","2008","Bavaria","319","0.121180156503719","0.109009838234597","0.13335047477284"
"Disabled","2008","Berlin","94","0.15505466058366","0.128634395034004","0.181474926133316"
"Disabled","2008","Brandenburg","101","0.126685100551626","0.104015517039768","0.149354684063484"
"Disabled","2008","Mecklenburg-Western Pomerania","54","0.140745669518799","0.109985712067136","0.171505626970463"
"Disabled","2008","Saxony","132","0.0929925561902024","0.0779662698991786","0.108018842481226"
"Disabled","2008","Saxony-Anhalt","74","0.101654819042184","0.0809205552927512","0.122389082791616"
"Disabled","2008","Thuringia","90","0.100059636738518","0.080210704029642","0.119908569447394"
"Not disabled","2009","Schleswig-Holstein","440","0.85926045140278","0.829138465630942","0.889382437174617"
"Not disabled","2009","Hamburg","238","0.856194710517297","0.814417720520162","0.897971700514433"
"Not disabled","2009","Lower Saxony","1443","0.860789964419178","0.844056685344438","0.877523243493918"
"Not disabled","2009","Bremen","105","0.846061176915987","0.781490932177888","0.910631421654086"
"Not disabled","2009","North Rhine-Westphalia","3145","0.855460111366837","0.844033683469418","0.866886539264256"
"Not disabled","2009","Hesse","1057","0.85460604582668","0.834858481531546","0.874353610121815"
"Not disabled","2009","Rhineland-Palatinate,Saarland","905","0.886205781966511","0.866755517975683","0.90565604595734"
"Not disabled","2009","Baden-Württemberg","1883","0.876218211510284","0.862179407407523","0.890257015613046"
"Not disabled","2009","Bavaria","2319","0.884614124120738","0.872382958675885","0.89684528956559"
"Not disabled","2009","Berlin","602","0.855659448698667","0.829360966252177","0.881957931145157"
"Not disabled","2009","Brandenburg","697","0.895289964191852","0.873993188731382","0.916586739652322"
"Not disabled","2009","Mecklenburg-Western Pomerania","426","0.885280618944344","0.856621676382547","0.913939561506141"
"Not disabled","2009","Saxony","1244","0.905155749475866","0.889651948058423","0.92065955089331"
"Not disabled","2009","Saxony-Anhalt","695","0.892620128969919","0.870724256340024","0.914516001599813"
"Not disabled","2009","Thuringia","722","0.881666421771268","0.859612256020508","0.903720587522027"
"Disabled","2009","Schleswig-Holstein","72","0.140739548597221","0.110617562825383","0.170861534369058"
"Disabled","2009","Hamburg","33","0.143805289482703","0.102028299485567","0.185582279479838"
"Disabled","2009","Lower Saxony","201","0.139210035580822","0.122476756506082","0.155943314655562"
"Disabled","2009","Bremen","15","","",""
"Disabled","2009","North Rhine-Westphalia","493","0.144539888633163","0.133113460735744","0.155966316530582"
"Disabled","2009","Hesse","167","0.14539395417332","0.125646389878185","0.165141518468454"
