"pli0091_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1988","Not Working","higher vocational","","","","","1"
"Daily","1988","Not Working","higher education","","","","","1"
"Min 1x per month","1988","Not Working","higher vocational","17","","","","3"
"Min 1x per month","1988","Part Time","in school","2","","","","3"
"Min 1x per month","1988","Part Time","general elemantary","74","0.124947250729446","0.097682323918562","0.152212177540331","3"
"Min 1x per month","1988","Part Time","middle vocational","152","0.171726851327443","0.146007266008779","0.197446436646107","3"
"Min 1x per month","1988","Part Time","vocational + Abi","15","","","","3"
"Min 1x per month","1988","Part Time","higher vocational","16","","","","3"
"Min 1x per month","1988","Part Time","higher education","37","0.261983519123471","0.190164931365792","0.333802106881149","3"
"Min 1x per month","1988","Not Working","in school","57","0.394617252446616","0.317170104369166","0.472064400524066","3"
"Min 1x per month","1988","Not Working","inadequately","17","","","","3"
"Min 1x per month","1988","Not Working","general elemantary","112","0.0635871344148123","0.0497751266984835","0.0773991421311411","3"
"Min 1x per month","1988","Not Working","middle vocational","132","0.0726693685250795","0.0594972182904099","0.085841518759749","3"
"Min 1x per month","1988","Not Working","vocational + Abi","13","","","","3"
"Min 1x per month","1988","Not Working","higher education","17","","","","3"
"Min 1x per month","1988","Part Time","inadequately","7","","","","3"
"Min 1x per month","1988","Full Time","in school","","","","","3"
"Min 1x per month","1988","Full Time","inadequately","24","","","","3"
"Min 1x per month","1988","Full Time","general elemantary","165","0.185271670266693","0.160591932878198","0.209951407655189","3"
"Min 1x per month","1988","Full Time","middle vocational","476","0.203319259807905","0.187177073745909","0.2194614458699","3"
"Min 1x per month","1988","Full Time","vocational + Abi","32","0.279320222957652","0.205525335185788","0.353115110729516","3"
"Min 1x per month","1988","Full Time","higher vocational","43","0.160142972844625","0.11807870940695","0.2022072362823","3"
"Min 1x per month","1988","Full Time","higher education","87","0.215106876033016","0.176042037390662","0.25417171467537","3"
"Min 1x per week","1988","Not Working","higher education","5","","","","2"
"Min 1x per week","1988","Not Working","higher vocational","3","","","","2"
"Min 1x per week","1988","Full Time","in school","","","","","2"
"Min 1x per week","1988","Part Time","middle vocational","75","0.0920354279602597","0.0723216420001079","0.111749213920411","2"
"Min 1x per week","1988","Part Time","higher education","12","","","","2"
"Min 1x per week","1988","Not Working","general elemantary","81","0.0392473489491731","0.0282560389077894","0.0502386589905568","2"
"Min 1x per week","1988","Full Time","vocational + Abi","16","","","","2"
"Min 1x per week","1988","Full Time","inadequately","14","","","","2"
"Min 1x per week","1988","Full Time","general elemantary","126","0.143817604618394","0.121527157026539","0.166108052210249","2"
"Min 1x per week","1988","Full Time","middle vocational","221","0.0948071827828014","0.0830576093421719","0.106556756223431","2"
"Min 1x per week","1988","Part Time","in school","3","","","","2"
"Min 1x per week","1988","Not Working","vocational + Abi","4","","","","2"
"Min 1x per week","1988","Part Time","inadequately","4","","","","2"
"Min 1x per week","1988","Part Time","vocational + Abi","4","","","","2"
"Min 1x per week","1988","Not Working","middle vocational","88","0.0486267701831772","0.0377129484652636","0.0595405919010907","2"
"Min 1x per week","1988","Full Time","higher vocational","20","","","","2"
"Min 1x per week","1988","Part Time","general elemantary","73","0.108616669389555","0.0829597587260999","0.13427358005301","2"
"Min 1x per week","1988","Part Time","higher vocational","2","","","","2"
"Min 1x per week","1988","Not Working","in school","56","0.374392333337547","0.29770619297219","0.451078473702903","2"
"Min 1x per week","1988","Not Working","inadequately","7","","","","2"
"Min 1x per week","1988","Full Time","higher education","33","0.0770120000832767","0.0516647497136393","0.102359250452914","2"
"Never","1988","Not Working","higher vocational","89","0.663520614592028","0.587652132006853","0.739389097177203","5"
"Never","1988","Not Working","in school","9","","","","5"
"Never","1988","Not Working","general elemantary","796","0.752104016788444","0.727663397932019","0.776544635644869","5"
"Never","1988","Part Time","higher education","32","0.211074904280619","0.144424462704743","0.277725345856496","5"
"Never","1988","Not Working","middle vocational","887","0.64567076439309","0.621400599093702","0.669940929692479","5"
"Never","1988","Not Working","inadequately","242","0.722965591117898","0.672323324602451","0.773607857633346","5"
"Never","1988","Not Working","higher education","73","0.636183327669108","0.553482690573146","0.71888396476507","5"
"Never","1988","Part Time","in school","","","","","5"
"Never","1988","Part Time","inadequately","70","0.588861411511289","0.49242328626697","0.685299536755608","5"
"Never","1988","Part Time","general elemantary","251","0.467340592809813","0.426200485480997","0.50848070013863","5"
"Never","1988","Part Time","middle vocational","264","0.308158228949965","0.276669992210423","0.339646465689507","5"
"Never","1988","Part Time","vocational + Abi","15","","","","5"
"Never","1988","Part Time","higher vocational","22","","","","5"
"Never","1988","Not Working","vocational + Abi","38","0.506652642157586","0.390360471781679","0.622944812533494","5"
"Never","1988","Full Time","in school","","","","","5"
"Never","1988","Full Time","inadequately","202","0.506465458895853","0.450078546815295","0.562852370976411","5"
"Never","1988","Full Time","general elemantary","399","0.373275588521071","0.342551237596377","0.403999939445766","5"
