"pli0091_h","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1987","(1c) basic vocational qualification","Female","","","",""
"Min 1x per week","1987","(2b) intermediate general qualification","Male","","","",""
"Min 1x per week","1987","(2b) intermediate general qualification","Female","","","",""
"Min 1x per week","1987","(2a) intermediate vocational","Male","","","",""
"Min 1x per week","1987","(2a) intermediate vocational","Female","","","",""
"Min 1x per week","1987","(2c_gen) general maturity certificate","Male","","","",""
"Min 1x per week","1987","(2c_gen) general maturity certificate","Female","","","",""
"Min 1x per week","1987","(2c_voc) vocational maturity certificate","Male","","","",""
"Min 1x per week","1987","(2c_voc) vocational maturity certificate","Female","","","",""
"Min 1x per week","1987","(3a) lower tertiary education","Male","","","",""
"Min 1x per week","1987","(3a) lower tertiary education","Female","","","",""
"Min 1x per week","1987","(3b) higher tertiary education","Male","","","",""
"Min 1x per week","1987","(3b) higher tertiary education","Female","","","",""
"Min 1x per month","1987","(0) in school","Male","","","",""
"Min 1x per month","1987","(0) in school","Female","","","",""
"Min 1x per month","1987","(1a) inadequately completed","Male","","","",""
"Min 1x per month","1987","(1a) inadequately completed","Female","","","",""
"Min 1x per month","1987","(1b) general elementary school","Male","","","",""
"Min 1x per month","1987","(1b) general elementary school","Female","","","",""
"Min 1x per month","1987","(1c) basic vocational qualification","Male","","","",""
"Min 1x per month","1987","(1c) basic vocational qualification","Female","","","",""
"Min 1x per month","1987","(2b) intermediate general qualification","Male","","","",""
"Min 1x per month","1987","(2b) intermediate general qualification","Female","","","",""
"Min 1x per month","1987","(2a) intermediate vocational","Male","","","",""
"Min 1x per month","1987","(2a) intermediate vocational","Female","","","",""
"Min 1x per month","1987","(2c_gen) general maturity certificate","Male","","","",""
"Min 1x per month","1987","(2c_gen) general maturity certificate","Female","","","",""
"Min 1x per month","1987","(2c_voc) vocational maturity certificate","Male","","","",""
"Min 1x per month","1987","(2c_voc) vocational maturity certificate","Female","","","",""
"Min 1x per month","1987","(3a) lower tertiary education","Male","","","",""
"Min 1x per month","1987","(3a) lower tertiary education","Female","","","",""
"Min 1x per month","1987","(3b) higher tertiary education","Male","","","",""
"Min 1x per month","1987","(3b) higher tertiary education","Female","","","",""
"Rarely","1987","(0) in school","Male","","","",""
"Rarely","1987","(0) in school","Female","","","",""
"Rarely","1987","(1a) inadequately completed","Male","","","",""
"Rarely","1987","(1a) inadequately completed","Female","","","",""
"Rarely","1987","(1b) general elementary school","Male","","","",""
"Rarely","1987","(1b) general elementary school","Female","","","",""
"Rarely","1987","(1c) basic vocational qualification","Male","","","",""
"Rarely","1987","(1c) basic vocational qualification","Female","","","",""
"Rarely","1987","(2b) intermediate general qualification","Male","","","",""
"Rarely","1987","(2b) intermediate general qualification","Female","","","",""
"Rarely","1987","(2a) intermediate vocational","Male","","","",""
"Rarely","1987","(2a) intermediate vocational","Female","","","",""
"Rarely","1987","(2c_gen) general maturity certificate","Male","","","",""
"Rarely","1987","(2c_gen) general maturity certificate","Female","","","",""
"Rarely","1987","(2c_voc) vocational maturity certificate","Male","","","",""
"Rarely","1987","(2c_voc) vocational maturity certificate","Female","","","",""
"Rarely","1987","(3a) lower tertiary education","Male","","","",""
"Rarely","1987","(3a) lower tertiary education","Female","","","",""
"Rarely","1987","(3b) higher tertiary education","Male","","","",""
"Rarely","1987","(3b) higher tertiary education","Female","","","",""
"Never","1987","(0) in school","Male","","","",""
"Never","1987","(0) in school","Female","","","",""
"Never","1987","(1a) inadequately completed","Male","","","",""
"Never","1987","(1a) inadequately completed","Female","","","",""
"Never","1987","(1b) general elementary school","Male","","","",""
"Never","1987","(1b) general elementary school","Female","","","",""
"Never","1987","(1c) basic vocational qualification","Male","","","",""
"Never","1987","(1c) basic vocational qualification","Female","","","",""
"Never","1987","(2b) intermediate general qualification","Male","","","",""
"Never","1987","(2b) intermediate general qualification","Female","","","",""
"Never","1987","(2a) intermediate vocational","Male","","","",""
"Never","1987","(2a) intermediate vocational","Female","","","",""
"Never","1987","(2c_gen) general maturity certificate","Male","","","",""
"Never","1987","(2c_gen) general maturity certificate","Female","","","",""
"Never","1987","(2c_voc) vocational maturity certificate","Male","","","",""
"Never","1987","(2c_voc) vocational maturity certificate","Female","","","",""
"Never","1987","(3a) lower tertiary education","Male","","","",""
"Never","1987","(3a) lower tertiary education","Female","","","",""
"Never","1987","(3b) higher tertiary education","Male","","","",""
"Never","1987","(3b) higher tertiary education","Female","","","",""
"Daily","1988","(0) in school","Male","","","",""
"Daily","1988","(0) in school","Female","","","",""
"Daily","1988","(1a) inadequately completed","Male","","","",""
"Daily","1988","(1a) inadequately completed","Female","","","",""
"Daily","1988","(1b) general elementary school","Male","","","",""
"Daily","1988","(1b) general elementary school","Female","","","",""
"Daily","1988","(1c) basic vocational qualification","Male","","","",""
"Daily","1988","(1c) basic vocational qualification","Female","","","",""
"Daily","1988","(2b) intermediate general qualification","Male","","","",""
"Daily","1988","(2b) intermediate general qualification","Female","","","",""
"Daily","1988","(2a) intermediate vocational","Male","","","",""
"Daily","1988","(2a) intermediate vocational","Female","","","",""
"Daily","1988","(2c_gen) general maturity certificate","Male","","","",""
"Daily","1988","(2c_gen) general maturity certificate","Female","","","",""
"Daily","1988","(2c_voc) vocational maturity certificate","Male","","","",""
"Daily","1988","(2c_voc) vocational maturity certificate","Female","","","",""
"Daily","1988","(3a) lower tertiary education","Male","","","",""
"Daily","1988","(3a) lower tertiary education","Female","","","",""
"Daily","1988","(3b) higher tertiary education","Male","","","",""
"Daily","1988","(3b) higher tertiary education","Female","","","",""
"Min 1x per week","1988","(0) in school","Male","32","0.326883102524061","0.228878101609874","0.424888103438248"
"Min 1x per week","1988","(0) in school","Female","27","","",""
"Min 1x per week","1988","(1a) inadequately completed","Male","22","","",""
"Min 1x per week","1988","(1a) inadequately completed","Female","2","","",""
"Min 1x per week","1988","(1b) general elementary school","Male","102","0.0916221843260766","0.0720428173661023","0.111201551286051"
"Min 1x per week","1988","(1b) general elementary school","Female","62","0.0352328268748862","0.0258556983616844","0.044609955388088"
"Min 1x per week","1988","(1c) basic vocational qualification","Male","150","0.0687303041360266","0.0576286291344544","0.0798319791375989"
"Min 1x per week","1988","(1c) basic vocational qualification","Female","51","0.0347880565988309","0.0251722124718776","0.0444039007257843"
"Min 1x per week","1988","(2b) intermediate general qualification","Male","58","0.333653260465026","0.259182539955927","0.408123980974125"
"Min 1x per week","1988","(2b) intermediate general qualification","Female","60","0.189573747438435","0.142906810775045","0.236240684101825"
"Min 1x per week","1988","(2a) intermediate vocational","Male","62","0.111569941478311","0.0849662331544345","0.138173649802188"
"Min 1x per week","1988","(2a) intermediate vocational","Female","44","0.0549097492930156","0.0384070904195275","0.0714124081665037"
"Min 1x per week","1988","(2c_gen) general maturity certificate","Male","60","0.305000425283558","0.243742721144264","0.366258129422853"
"Min 1x per week","1988","(2c_gen) general maturity certificate","Female","28","","",""
"Min 1x per week","1988","(2c_voc) vocational maturity certificate","Male","19","","",""
"Min 1x per week","1988","(2c_voc) vocational maturity certificate","Female","14","","",""
"Min 1x per week","1988","(3a) lower tertiary education","Male","12","","",""
"Min 1x per week","1988","(3a) lower tertiary education","Female","3","","",""
"Min 1x per week","1988","(3b) higher tertiary education","Male","23","","",""
"Min 1x per week","1988","(3b) higher tertiary education","Female","12","","",""
"Min 1x per month","1988","(0) in school","Male","32","0.420419622935424","0.317284858572337","0.523554387298511"
"Min 1x per month","1988","(0) in school","Female","27","","",""
"Min 1x per month","1988","(1a) inadequately completed","Male","28","","",""
"Min 1x per month","1988","(1a) inadequately completed","Female","21","","",""
"Min 1x per month","1988","(1b) general elementary school","Male","148","0.170252002585802","0.14474353985235","0.195760465319254"
"Min 1x per month","1988","(1b) general elementary school","Female","89","0.0463614754758774","0.0356671011238587","0.0570558498278962"
"Min 1x per month","1988","(1c) basic vocational qualification","Male","293","0.130216567526266","0.115448783641609","0.144984351410922"
"Min 1x per month","1988","(1c) basic vocational qualification","Female","140","0.0935355224503863","0.0782554761488967","0.108815568751876"
"Min 1x per month","1988","(2b) intermediate general qualification","Male","50","0.31300029277445","0.239761971942174","0.386238613606726"
"Min 1x per month","1988","(2b) intermediate general qualification","Female","70","0.232583311125926","0.18228327003773","0.282883352214122"
"Min 1x per month","1988","(2a) intermediate vocational","Male","98","0.173121117174865","0.141150359655402","0.205091874694327"
"Min 1x per month","1988","(2a) intermediate vocational","Female","142","0.181787971600843","0.153849152079474","0.209726791122212"
"Min 1x per month","1988","(2c_gen) general maturity certificate","Male","79","0.38638212696264","0.321596936631871","0.451167317293408"
