"year","bula_h","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1994","North Rhine-Westphalia","33713.31","30472","2466","160","9510","48456","67373","132929","32648.42","34778.2","0","268474","31965","34337"
"1994","Rhineland-Palatinate,Saarland","28412.04","27815","636","181","5707","41864","62956","81555","26661.92","30162.16","0","104858","28683","33482"
"1994","Saxony","20584.77","17875","1133","154","4095","31978","44450","72820","19529.24","21640.3","0","141723","21489","24468"
"1994","Saxony-Anhalt","22076.47","18575.46","707","105","2543","35127","47444","81291","20537.12","23615.82","0","113456","23638","28853"
"1994","Schleswig-Holstein","30831.5","29650.38","288","741","8663","46787","62635","121208","27958.05","33704.95","0","121208","27987","34076"
"1994","Thuringia","19237.9","15870.95","665","69","2052","29211","44421","67184","17834.63","20641.17","0","126121","20731","24701"
"1995","Baden-Württemberg","34652.59","31654.23","1811","858","11065","51892","70443","139644","33440.96","35864.22","0","162724","33522","35561"
"1995","Bavaria","33512.75","31217.39","1699","490","8683","50197","67140","108120","32142.06","34883.44","0","392067","35349","38638"
"1995","Berlin","28075.55","26074.64","572","128","5696","43976","59527","104858","26030.26","30120.84","0","179290","27160","32109"
"1995","Brandenburg","24364.93","21352.62","591","234","9173","35400","49523","79183","22541.28","26188.58","0","204517","22887","27054"
"1995","Bremen","19479.82","8324.63","96","0","180","34684","54528","90377","14610.56","24349.08","0","90377","8426","31823"
"1995","Hamburg","25904.43","24954.9","133","21","3700","44751","51707","72751","22201.98","29606.88","0","72751","23889","37800"
"1995","Hesse","32691.07","28066.39","956","136","2659","47981","71013","119182","30688.03","34694.11","0","404250","31278","34853"
"1995","Lower Saxony","31625.83","28445","1049","124","5589","44844","63786","135697","29817.66","33434","0","305415","30678","33316"
"1995","Mecklenburg-Western Pomerania","24667.1","19040.01","417","86","5142","38212","54956","90802","22469.33","26864.87","0","117703","24818","31146"
"1995","North Rhine-Westphalia","33348.36","29159","2598","197","8718","47068","70498","133826","32262.51","34434.21","0","259207","30418","32283"
"1995","Rhineland-Palatinate,Saarland","27321.16","26645.74","714","170","3946","42084","56442","88337","25697.63","28944.69","0","95788","29348","34216"
"1995","Saxony","21981.12","18509","1103","143","1981","33455","47776","97306","20783.35","23178.89","0","192953","22627","26445"
"1995","Saxony-Anhalt","22005.61","19966","693","95","895","36336","45507","84116","20441.53","23569.69","0","91431","23984","27684"
"1995","Schleswig-Holstein","31314.6","30238.27","285","217","12220","45335","64578","82461","28537.95","34091.25","0","85216","27226","35586"
"1995","Thuringia","20160.99","17823.3","653","99","919","31945","46358","71077","18695.79","21626.19","0","85506","22539","26601"
"1996","Baden-Württemberg","34447.25","30754.99","1720","902","10747","51177","68372","103010","33131.93","35762.57","0","433780","33606","36665"
"1996","Bavaria","34759.19","31375","1667","477","7506","51971","72474","117802","33401.03","36117.35","0","181621","34921","38819"
"1996","Berlin","29663.95","24497","547","153","6136","46390","60590","93997","26254.68","33073.22","0","554455","26123","32666"
"1996","Brandenburg","24673.14","22019.33","600","201","6324","35324","53606","85650","22886.06","26460.22","0","212690","23877","28134"
"1996","Bremen","22177.62","14046.57","95","1","146","39482","47940","84297","17045.92","27309.32","0","84297","12163","36061"
"1996","Hamburg","25685.32","20684.82","128","26","1232","46136","63892","75704","21575.28","29795.36","0","81941","21683","35331"
"1996","Hesse","35113.22","30568.48","915","110","4680","50700","74255","156401","33086.89","37139.55","0","309577","31624","34415"
"1996","Lower Saxony","33835.99","29215","1050","159","5200","48214","68656","157482","31648.45","36023.53","0","447532","30559","34778"
"1996","Mecklenburg-Western Pomerania","24292.63","19066.42","400","84","684","38151","58608","94355","21673.81","26911.45","0","131836","22430","29355"
