"year","education","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","secondary school degree","in school","","","","","","","","","","","","","",""
"1990","secondary school degree","inadequately","","","","","","","","","","","","","",""
"1990","secondary school degree","middle vocational","34233.97","30796.69","1107","900","17437","45795","62752","131983","32429.46","36038.48","0","375273","31675","34429"
"1990","secondary school degree","vocational + Abi","","","","","","","","","","","","","",""
"1991","college entrance qualification","general elemantary","","","","","","","","","","","","","",""
"1991","college entrance qualification","higher education","41727.47","38942.76","608","4756","23629","55502","73224","143103","39357.12","44097.82","0","255286","39707","43514"
"1991","college entrance qualification","higher vocational","33625.99","27881.23","119","3712","16970","46182","55768","120264","27130.7","40121.28","0","344950","27737","36334"
"1991","college entrance qualification","in school","","","","","","","","","","","","","",""
"1991","college entrance qualification","inadequately","","","","","","","","","","","","","",""
"1991","college entrance qualification","middle vocational","34073.31","30717.63","286","4908","17044","46042","67162","103267","31189.67","36956.95","61","188273","29134","35254"
"1991","college entrance qualification","vocational + Abi","31883.86","27275.21","229","2789","13713","44149","61389","137130","28559.94","35207.78","0","159228","29054","36654"
"1991","lower secondary degree","general elemantary","18791.75","15399.12","1538","46","511","31279","46325","78948","17774.09","19809.41","0","111871","21065","23746"
"1991","lower secondary degree","higher education","","","","","","","","","","","","","",""
"1991","lower secondary degree","higher vocational","33137.29","32723.67","226","216","10025","50000","63313","97194","30007.87","36266.71","0","133557","32381","39032"
"1991","lower secondary degree","in school","","","","","","","","","","","","","",""
"1991","lower secondary degree","inadequately","","","","","","","","","","","","","",""
"1991","lower secondary degree","middle vocational","27099.42","25547","2690","188","7268","39262","53711","96133","26271.49","27927.35","0","222699","27882","29697"
"1991","lower secondary degree","vocational + Abi","","","","","","","","","","","","","",""
"1991","no degree/no degree yet","general elemantary","","","","","","","","","","","","","",""
"1991","no degree/no degree yet","higher education","","","","","","","","","","","","","",""
"1991","no degree/no degree yet","higher vocational","","","","","","","","","","","","","",""
"1991","no degree/no degree yet","in school","47322.55","39728.87","150","16400","28847","56224","75982","188273","42299.64","52345.46","0","229956","36557","46144"
"1991","no degree/no degree yet","inadequately","26716.48","25066.6","598","26","15834","37089","50905","72157","25286.13","28146.83","0","108659","27646","31685"
"1991","no degree/no degree yet","middle vocational","22613.62","22164.5","74","168","8656","33605","44598","63430","18752.02","26475.22","0","77428","24428","33605"
"1991","no degree/no degree yet","vocational + Abi","","","","","","","","","","","","","",""
"1991","Other degree","general elemantary","29731.72","25511","517","12327","17685","40568","51108","80558","28136.22","31327.22","0","140368","30097","34509"
"1991","Other degree","higher education","30521.42","27102.91","30","868","20084","46171","59990","61540","24031.11","37011.73","868","61540","23093","38151"
"1991","Other degree","higher vocational","","","","","","","","","","","","","",""
"1991","Other degree","in school","","","","","","","","","","","","","",""
"1991","Other degree","inadequately","","","","","","","","","","","","","",""
"1991","Other degree","middle vocational","30246.77","29302.85","350","7680","20874","40586","52873","70712","28549.02","31944.52","0","94500","29502","33828"
"1991","Other degree","vocational + Abi","25639.06","22549.92","73","3096","16106","36789","47794","77541","21716.82","29561.3","0","94500","22945","33915"
"1991","secondary school degree","general elemantary","29842.71","27726.75","366","1125","12351","43767","57728","93992","27533.69","32151.73","0","167226","29461","35150"
