"transab_cat","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Low transfer dependency","2014","16-34 y.","Single parent ","156","0.159996353568479","0.137194555520286","0.182798151616672","2"
"Low transfer dependency","2014","16-34 y.","Couple + C. LE 16 ","336","0.168973795573236","0.151851727534385","0.186095863612088","2"
"Low transfer dependency","2014","16-34 y.","Couple + C. GT 16 ","62","0.0408309495457896","0.0293330296582525","0.0523288694333267","2"
"Low transfer dependency","2014","16-34 y.","Couple + C. LE and GT 16","118","0.0889578757963231","0.0709682559495419","0.106947495643104","2"
"Low transfer dependency","2014","35-65 y.","1-pers.-HH","73","0.0465469053823701","0.0359142315189521","0.057179579245788","2"
"Low transfer dependency","2014","35-65 y.","(Married) couple without C. ","148","0.0359223641185355","0.0299453853320753","0.0418993429049957","2"
"Low transfer dependency","2014","35-65 y.","Single parent ","219","0.142141556548537","0.124440636386585","0.159842476710489","2"
"Low transfer dependency","2014","35-65 y.","Couple + C. LE 16 ","442","0.0798547711186714","0.0722719606869819","0.0874375815503609","2"
"Low transfer dependency","2014","35-65 y.","Couple + C. GT 16 ","92","0.0428114300300224","0.0335669625833156","0.0520558974767292","2"
"Low transfer dependency","2014","35-65 y.","Couple + C. LE and GT 16","154","0.0651700835723626","0.0526373618433871","0.0777028053013381","2"
"Low transfer dependency","2014","66 and older","1-pers.-HH","34","0.0201547734667668","0.0127697440898368","0.0275398028436968","2"
"Low transfer dependency","2014","66 and older","(Married) couple without C. ","52","0.0167131117156017","0.0123037499816448","0.0211224734495587","2"
"Low transfer dependency","2014","66 and older","Couple + C. GT 16 ","7","","","","2"
"Low transfer dependency","2014","66 and older","Couple + C. LE and GT 16","","","","","2"
"No transfer dependency","2014","16-34 y.","Couple + C. GT 16 ","161","0.199939731668966","0.176702313992068","0.223177149345864","0"
"No transfer dependency","2014","16-34 y.","Couple + C. LE and GT 16","","","","","0"
"No transfer dependency","2014","35-65 y.","1-pers.-HH","1060","0.731275178751039","0.708901276934976","0.753649080567103","0"
"No transfer dependency","2014","35-65 y.","(Married) couple without C. ","2842","0.78366700511863","0.770442774413757","0.796891235823503","0"
"No transfer dependency","2014","35-65 y.","Single parent ","93","0.132520170303007","0.115333245369751","0.149707095236263","0"
"No transfer dependency","2014","35-65 y.","Couple + C. LE 16 ","28","","","","0"
"No transfer dependency","2014","35-65 y.","Couple + C. GT 16 ","373","0.244635259846606","0.225004316991353","0.264266202701859","0"
"No transfer dependency","2014","35-65 y.","Couple + C. LE and GT 16","","","","","0"
"No transfer dependency","2014","66 and older","Single parent ","49","0.65667061266266","0.54622506920935","0.76711615611597","0"
"No transfer dependency","2014","66 and older","Couple + C. LE and GT 16","","","","","0"
"No transfer dependency","2014","66 and older","(Married) couple without C. ","2946","0.904804035080371","0.894709333584722","0.914898736576019","0"
"No transfer dependency","2014","16-34 y.","Couple + C. LE 16 ","27","","","","0"
"No transfer dependency","2014","66 and older","Couple + C. LE 16 ","","","","","0"
"No transfer dependency","2014","66 and older","Couple + C. GT 16 ","110","0.710132543714599","0.641321318130704","0.778943769298494","0"
"No transfer dependency","2014","16-34 y.","Single parent ","41","0.0750888708108231","0.0586976516883141","0.0914800899333321","0"
"No transfer dependency","2014","16-34 y.","(Married) couple without C. ","665","0.732349325558288","0.704502109135615","0.76019654198096","0"
"No transfer dependency","2014","16-34 y.","1-pers.-HH","419","0.565076277135135","0.528585336410089","0.601567217860181","0"
"No transfer dependency","2014","66 and older","1-pers.-HH","1220","0.883435258101546","0.866571456148496","0.900299060054596","0"
"Very high transfer dependency","2014","16-34 y.","Couple + C. LE 16 ","84","0.0336124201977954","0.0253773986208421","0.0418474417747488","4"
"Very high transfer dependency","2014","16-34 y.","Couple + C. GT 16 ","13","","","","4"
"Very high transfer dependency","2014","16-34 y.","Couple + C. LE and GT 16","37","0.0384893142202262","0.0263328381602272","0.0506457902802252","4"
"Very high transfer dependency","2014","35-65 y.","1-pers.-HH","55","0.0331596035177602","0.0241224953872315","0.0421967116482888","4"
"Very high transfer dependency","2014","66 and older","Couple + C. LE 16 ","","","","","4"
"Very high transfer dependency","2014","35-65 y.","(Married) couple without C. ","45","0.00614634579725795","0.00363611895384668","0.00865657264066922","4"
"Very high transfer dependency","2014","66 and older","Couple + C. GT 16 ","2","","","","4"
"Very high transfer dependency","2014","66 and older","Couple + C. LE and GT 16","1","","","","4"
"Very high transfer dependency","2014","66 and older","Single parent ","","","","","4"
"Very high transfer dependency","2014","16-34 y.","Single parent ","135","0.102081443597582","0.083250792281316","0.120912094913848","4"
"Very high transfer dependency","2014","16-34 y.","(Married) couple without C. ","17","","","","4"
"Very high transfer dependency","2014","16-34 y.","1-pers.-HH","34","0.0476468191211165","0.0319670036233153","0.0633266346189176","4"
"Very high transfer dependency","2014","66 and older","(Married) couple without C. ","8","","","","4"
"Very high transfer dependency","2014","66 and older","1-pers.-HH","10","","","","4"
"Very high transfer dependency","2014","35-65 y.","Couple + C. LE and GT 16","46","0.0301114595898866","0.0214342162929861","0.0387887028867871","4"
"Very high transfer dependency","2014","35-65 y.","Couple + C. GT 16 ","16","","","","4"
"Very high transfer dependency","2014","35-65 y.","Couple + C. LE 16 ","102","0.0190546640383818","0.0152301643819758","0.0228791636947879","4"
"Very high transfer dependency","2014","35-65 y.","Single parent ","143","0.074465942746519","0.0611582568105521","0.087773628682486","4"
"Very low transfer dependency","2014","16-34 y.","Couple + C. GT 16 ","862","0.732334790660907","0.70661142707969","0.758058154242124","1"
"Very low transfer dependency","2014","16-34 y.","Couple + C. LE and GT 16","721","0.789665523190154","0.763911956972658","0.81541908940765","1"
"Very low transfer dependency","2014","35-65 y.","1-pers.-HH","150","0.0757380568122601","0.0623843439060343","0.0890917697184858","1"
"Very low transfer dependency","2014","66 and older","Couple + C. LE and GT 16","2","","","","1"
"Very low transfer dependency","2014","16-34 y.","Single parent ","470","0.499190187302856","0.468091439567087","0.530288935038625","1"
"Very low transfer dependency","2014","16-34 y.","Couple + C. LE 16 ","1199","0.671385635261343","0.649923720091917","0.692847550430769","1"
"Very low transfer dependency","2014","66 and older","Couple + C. GT 16 ","47","0.248743686694898","0.183180514803949","0.314306858585847","1"
"Very low transfer dependency","2014","66 and older","Couple + C. LE 16 ","13","","","","1"
"Very low transfer dependency","2014","35-65 y.","(Married) couple without C. ","586","0.150271388995013","0.138794570166405","0.161748207823621","1"
"Very low transfer dependency","2014","66 and older","Single parent ","13","","","","1"
"Very low transfer dependency","2014","16-34 y.","(Married) couple without C. ","198","0.165428409162059","0.142057515396713","0.188799302927405","1"
"Very low transfer dependency","2014","66 and older","(Married) couple without C. ","222","0.072935696257149","0.0639916931211703","0.0818796993931276","1"
"Very low transfer dependency","2014","16-34 y.","1-pers.-HH","93","0.141126049725206","0.115499314519845","0.166752784930567","1"
"Very low transfer dependency","2014","66 and older","1-pers.-HH","105","0.0741830883301624","0.06041100836669","0.0879551682936349","1"
"Very low transfer dependency","2014","35-65 y.","Couple + C. LE and GT 16","1192","0.850859098526124","0.832771447832958","0.868946749219291","1"
"Very low transfer dependency","2014","35-65 y.","Couple + C. GT 16 ","1302","0.686401831515654","0.665214354046319","0.707589308984989","1"
"Very low transfer dependency","2014","35-65 y.","Couple + C. LE 16 ","4137","0.86153264958736","0.851870780777666","0.871194518397053","1"
"Very low transfer dependency","2014","35-65 y.","Single parent ","821","0.532894829747763","0.507604436334479","0.558185223161047","1"
"Complete transfer dependency","2015","16-34 y.","1-pers.-HH","58","0.0702642891705508","0.0525085546932187","0.0880200236478829","5"
"Complete transfer dependency","2015","16-34 y.","(Married) couple without C. ","13","","","","5"
"Complete transfer dependency","2015","16-34 y.","Single parent ","65","0.0802800674773076","0.0630733907151327","0.0974867442394826","5"
"Complete transfer dependency","2015","16-34 y.","Couple + C. LE 16 ","76","0.0249595958379064","0.0177786893771803","0.0321405022986326","5"
"Complete transfer dependency","2015","16-34 y.","Couple + C. GT 16 ","7","","","","5"
"Complete transfer dependency","2015","16-34 y.","Couple + C. LE and GT 16","16","","","","5"
"Complete transfer dependency","2015","35-65 y.","1-pers.-HH","122","0.0816079619584227","0.0678587293180782","0.0953571945987672","5"
"Complete transfer dependency","2015","35-65 y.","(Married) couple without C. ","50","0.00614579195590927","0.00360093022009381","0.00869065369172474","5"
"Complete transfer dependency","2015","35-65 y.","Single parent ","71","0.0447135337288696","0.0340314750977634","0.0553955923599758","5"
"Complete transfer dependency","2015","35-65 y.","Couple + C. LE 16 ","87","0.0106108978894948","0.00772906773856485","0.0134927280404248","5"
"Complete transfer dependency","2015","35-65 y.","Couple + C. GT 16 ","13","","","","5"
"Complete transfer dependency","2015","35-65 y.","Couple + C. LE and GT 16","29","","","","5"
"Complete transfer dependency","2015","66 and older","1-pers.-HH","2","","","","5"
"Complete transfer dependency","2015","66 and older","(Married) couple without C. ","8","","","","5"
"Complete transfer dependency","2015","66 and older","Single parent ","","","","","5"
"Complete transfer dependency","2015","66 and older","Couple + C. LE 16 ","","","","","5"
"Complete transfer dependency","2015","66 and older","Couple + C. GT 16 ","","","","","5"
"Complete transfer dependency","2015","66 and older","Couple + C. LE and GT 16","","","","","5"
"High transfer dependency","2015","16-34 y.","Single parent ","121","0.112912957424197","0.0928719132348159","0.132954001613578","3"
"High transfer dependency","2015","16-34 y.","Couple + C. LE 16 ","185","0.08563187794761","0.0727515339629881","0.0985122219322318","3"
"High transfer dependency","2015","16-34 y.","Couple + C. GT 16 ","33","0.0178455680108395","0.0100112741899432","0.0256798618317359","3"
"High transfer dependency","2015","16-34 y.","Couple + C. LE and GT 16","41","0.0492382065223557","0.0356362327857274","0.062840180258984","3"
"High transfer dependency","2015","35-65 y.","1-pers.-HH","59","0.0327531700317613","0.0238140768017918","0.0416922632617309","3"
"High transfer dependency","2015","35-65 y.","(Married) couple without C. ","59","0.0108819680478561","0.00750371865935653","0.0142602174363556","3"
"High transfer dependency","2015","35-65 y.","Single parent ","141","0.0887960118606924","0.0740941213466196","0.103497902374765","3"
"High transfer dependency","2015","35-65 y.","Couple + C. LE 16 ","142","0.0208543648738022","0.0168352457180537","0.0248734840295506","3"
"High transfer dependency","2015","35-65 y.","Couple + C. GT 16 ","41","0.017348473672825","0.0112606758850169","0.023436271460633","3"
"High transfer dependency","2015","35-65 y.","Couple + C. LE and GT 16","56","0.034763177879905","0.0254054403028732","0.0441209154569368","3"
"High transfer dependency","2015","66 and older","Couple + C. GT 16 ","3","","","","3"
"High transfer dependency","2015","66 and older","Couple + C. LE and GT 16","","","","","3"
"High transfer dependency","2015","66 and older","Single parent ","4","","","","3"
"High transfer dependency","2015","16-34 y.","(Married) couple without C. ","43","0.0306807198701018","0.0204804157772906","0.040881023962913","3"
"High transfer dependency","2015","66 and older","(Married) couple without C. ","12","","","","3"
"High transfer dependency","2015","66 and older","Couple + C. LE 16 ","","","","","3"
"High transfer dependency","2015","16-34 y.","1-pers.-HH","52","0.0663265990383628","0.0490390703062917","0.083614127770434","3"
"High transfer dependency","2015","66 and older","1-pers.-HH","15","","","","3"
"Low transfer dependency","2015","16-34 y.","1-pers.-HH","65","0.0809393396740446","0.0619922079654782","0.099886471382611","2"
"Low transfer dependency","2015","16-34 y.","(Married) couple without C. ","55","0.0491927432145976","0.03640058902352","0.0619848974056753","2"
"Low transfer dependency","2015","16-34 y.","Single parent ","137","0.126707110068754","0.105642870209501","0.147771349928008","2"
"Low transfer dependency","2015","66 and older","Single parent ","3","","","","2"
"Low transfer dependency","2015","66 and older","Couple + C. LE 16 ","1","","","","2"
"Low transfer dependency","2015","66 and older","(Married) couple without C. ","53","0.0179519162459384","0.0133443187618592","0.0225595137300176","2"
"Low transfer dependency","2015","66 and older","1-pers.-HH","34","0.0207263301622868","0.0132097240529917","0.028242936271582","2"
"Low transfer dependency","2015","35-65 y.","Couple + C. LE and GT 16","140","0.0654069249916958","0.0527765184007866","0.078037331582605","2"
"Low transfer dependency","2015","35-65 y.","Couple + C. GT 16 ","80","0.030936044427574","0.022862979826022","0.039009109029126","2"
"Low transfer dependency","2015","35-65 y.","1-pers.-HH","80","0.0478218288374017","0.037104900165886","0.0585387575089174","2"
"Low transfer dependency","2015","16-34 y.","Couple + C. LE 16 ","272","0.153181485661891","0.136602899149032","0.169760072174751","2"
"Low transfer dependency","2015","16-34 y.","Couple + C. GT 16 ","54","0.0273396857084875","0.017689800785153","0.0369895706318221","2"
"Low transfer dependency","2015","16-34 y.","Couple + C. LE and GT 16","108","0.0808795164316544","0.0637391361131053","0.0980198967502036","2"
"Low transfer dependency","2015","35-65 y.","(Married) couple without C. ","119","0.0398233576678036","0.0334560119656578","0.0461907033699494","2"
"Low transfer dependency","2015","35-65 y.","Single parent ","190","0.120347615212044","0.103530831653376","0.137164398770713","2"
"Low transfer dependency","2015","35-65 y.","Couple + C. LE 16 ","403","0.0853525243925647","0.0774939493038435","0.0932110994812859","2"
"Low transfer dependency","2015","66 and older","Couple + C. GT 16 ","12","","","","2"
"Low transfer dependency","2015","66 and older","Couple + C. LE and GT 16","","","","","2"
"No transfer dependency","2015","16-34 y.","1-pers.-HH","500","0.607899346011581","0.573983224810885","0.641815467212277","0"
"No transfer dependency","2015","16-34 y.","(Married) couple without C. ","816","0.759447370184177","0.734165987836779","0.784728752531576","0"
"No transfer dependency","2015","16-34 y.","Single parent ","50","0.110866066796367","0.0909846079208226","0.130747525671911","0"
"No transfer dependency","2015","16-34 y.","Couple + C. LE 16 ","66","0.0374215233776806","0.0286852142305931","0.046157832524768","0"
"No transfer dependency","2015","16-34 y.","Couple + C. GT 16 ","171","0.257314299973908","0.231445322100077","0.283183277847739","0"
"No transfer dependency","2015","16-34 y.","Couple + C. LE and GT 16","","","","","0"
"No transfer dependency","2015","35-65 y.","1-pers.-HH","1073","0.730779696421332","0.708503282422375","0.753056110420288","0"
"No transfer dependency","2015","35-65 y.","(Married) couple without C. ","2852","0.801879993649763","0.788901246257834","0.814858741041692","0"
"No transfer dependency","2015","35-65 y.","Single parent ","106","0.136318630022359","0.11858396334593","0.154053296698789","0"
"No transfer dependency","2015","35-65 y.","Couple + C. LE 16 ","44","0.00981827386250506","0.00704505735640961","0.0125914903686005","0"
"No transfer dependency","2015","35-65 y.","Couple + C. GT 16 ","403","0.297977704141675","0.276652305723022","0.319303102560329","0"
"No transfer dependency","2015","35-65 y.","Couple + C. LE and GT 16","1","","","","0"
"No transfer dependency","2015","66 and older","1-pers.-HH","1206","0.876833628864059","0.859495061117971","0.894172196610146","0"
"No transfer dependency","2015","66 and older","Couple + C. GT 16 ","119","0.676644137857497","0.611159325634718","0.742128950080276","0"
"No transfer dependency","2015","66 and older","Couple + C. LE and GT 16","","","","","0"
"No transfer dependency","2015","66 and older","Couple + C. LE 16 ","","","","","0"
"No transfer dependency","2015","66 and older","Single parent ","53","0.735362278433469","0.635524707074486","0.835199849792452","0"
"No transfer dependency","2015","66 and older","(Married) couple without C. ","2902","0.913388414418137","0.903627994704604","0.923148834131671","0"
"Very high transfer dependency","2015","16-34 y.","Couple + C. GT 16 ","10","","","","4"
"Very high transfer dependency","2015","16-34 y.","Couple + C. LE and GT 16","57","0.0425717302953334","0.0298797691786322","0.0552636914120347","4"
"Very high transfer dependency","2015","16-34 y.","Couple + C. LE 16 ","82","0.0306825735166202","0.0227442628509982","0.0386208841822422","4"
"Very high transfer dependency","2015","35-65 y.","1-pers.-HH","52","0.0349417479957382","0.0257192787156191","0.0441642172758573","4"
"Very high transfer dependency","2015","66 and older","Couple + C. GT 16 ","","","","","4"
"Very high transfer dependency","2015","66 and older","Couple + C. LE and GT 16","1","","","","4"
"Very high transfer dependency","2015","16-34 y.","Single parent ","129","0.0858803890191711","0.0681379283545121","0.10362284968383","4"
"Very high transfer dependency","2015","66 and older","Couple + C. LE 16 ","","","","","4"
"Very high transfer dependency","2015","16-34 y.","(Married) couple without C. ","5","","","","4"
"Very high transfer dependency","2015","66 and older","Single parent ","","","","","4"
"Very high transfer dependency","2015","35-65 y.","(Married) couple without C. ","43","0.00996677374246678","0.00673220706048722","0.0132013404244463","4"
"Very high transfer dependency","2015","16-34 y.","1-pers.-HH","34","0.0548968787295319","0.0390732901655323","0.0707204672935316","4"
"Very high transfer dependency","2015","66 and older","(Married) couple without C. ","10","","","","4"
"Very high transfer dependency","2015","66 and older","1-pers.-HH","10","","","","4"
"Very high transfer dependency","2015","35-65 y.","Couple + C. LE and GT 16","60","0.0275992874444669","0.0192304379986194","0.0359681368903143","4"
"Very high transfer dependency","2015","35-65 y.","Couple + C. GT 16 ","19","","","","4"
"Very high transfer dependency","2015","35-65 y.","Couple + C. LE 16 ","81","0.0174076977272914","0.0137292372078058","0.0210861582467769","4"
"Very high transfer dependency","2015","35-65 y.","Single parent ","125","0.0770882459999757","0.0633021017412302","0.0908743902587212","4"
"Very low transfer dependency","2015","16-34 y.","1-pers.-HH","87","0.119673547375929","0.0971253142949604","0.142221780456897","1"
"Very low transfer dependency","2015","16-34 y.","(Married) couple without C. ","166","0.154251030468063","0.132887073397106","0.17561498753902","1"
"Very low transfer dependency","2015","16-34 y.","Single parent ","456","0.483353409214204","0.451709180593001","0.514997637835406","1"
"Very low transfer dependency","2015","16-34 y.","Couple + C. LE 16 ","1132","0.668122943658291","0.646447599763322","0.68979828755326","1"
"Very low transfer dependency","2015","16-34 y.","Couple + C. GT 16 ","822","0.684647735307006","0.657151303315674","0.712144167298337","1"
"Very low transfer dependency","2015","16-34 y.","Couple + C. LE and GT 16","750","0.812891807039593","0.788374219534078","0.837409394545108","1"
"Very low transfer dependency","2015","35-65 y.","1-pers.-HH","137","0.0720955947553443","0.0591057451745257","0.0850854443361629","1"
"Very low transfer dependency","2015","35-65 y.","(Married) couple without C. ","500","0.131302114936201","0.120304863192022","0.14229936668038","1"
"Very low transfer dependency","2015","66 and older","Couple + C. LE 16 ","10","","","","1"
"Very low transfer dependency","2015","66 and older","Couple + C. GT 16 ","62","0.260275222298182","0.198846490214448","0.321703954381916","1"
"Very low transfer dependency","2015","66 and older","Couple + C. LE and GT 16","2","","","","1"
"Very low transfer dependency","2015","66 and older","Single parent ","15","","","","1"
"Very low transfer dependency","2015","66 and older","(Married) couple without C. ","205","0.064192999801997","0.0556876979777985","0.0726983016261956","1"
"Very low transfer dependency","2015","66 and older","1-pers.-HH","113","0.0811572037272519","0.0667495688898761","0.0955648385646277","1"
"Very low transfer dependency","2015","35-65 y.","Single parent ","805","0.532735963176059","0.506948665470311","0.558523260881806","1"
"Very low transfer dependency","2015","35-65 y.","Couple + C. LE 16 ","4099","0.855956241254342","0.8460802259052","0.865832256603483","1"
"Very low transfer dependency","2015","35-65 y.","Couple + C. GT 16 ","1211","0.640898970348111","0.618530672944194","0.663267267752027","1"
"Very low transfer dependency","2015","35-65 y.","Couple + C. LE and GT 16","1186","0.857342752084266","0.839477121602813","0.875208382565719","1"
"Complete transfer dependency","2016","16-34 y.","1-pers.-HH","44","0.0726849536291636","0.0529081997657958","0.0924617074925314","5"
"Complete transfer dependency","2016","16-34 y.","(Married) couple without C. ","5","","","","5"
"Complete transfer dependency","2016","16-34 y.","Single parent ","46","0.059321559566197","0.0436516011321352","0.0749915180002588","5"
"Complete transfer dependency","2016","16-34 y.","Couple + C. LE 16 ","40","0.0183674520874068","0.0113236959045168","0.0254112082702967","5"
"Complete transfer dependency","2016","16-34 y.","Couple + C. GT 16 ","9","","","","5"
"Complete transfer dependency","2016","16-34 y.","Couple + C. LE and GT 16","14","","","","5"
"Complete transfer dependency","2016","35-65 y.","1-pers.-HH","101","0.0669991397682174","0.0540856839683329","0.079912595568102","5"
"Complete transfer dependency","2016","35-65 y.","(Married) couple without C. ","25","","","","5"
"Complete transfer dependency","2016","35-65 y.","Single parent ","52","0.0417790150072786","0.0309192298758419","0.0526388001387152","5"
"Complete transfer dependency","2016","35-65 y.","Couple + C. LE 16 ","68","0.0101647622969116","0.00717535490616381","0.0131541696876594","5"
"Complete transfer dependency","2016","35-65 y.","Couple + C. GT 16 ","15","","","","5"
"Complete transfer dependency","2016","35-65 y.","Couple + C. LE and GT 16","26","","","","5"
"Complete transfer dependency","2016","66 and older","1-pers.-HH","","","","","5"
"Complete transfer dependency","2016","66 and older","(Married) couple without C. ","7","","","","5"
"Complete transfer dependency","2016","66 and older","Single parent ","","","","","5"
"Complete transfer dependency","2016","66 and older","Couple + C. LE 16 ","","","","","5"
"Complete transfer dependency","2016","66 and older","Couple + C. GT 16 ","","","","","5"
"Complete transfer dependency","2016","66 and older","Couple + C. LE and GT 16","","","","","5"
"High transfer dependency","2016","16-34 y.","Single parent ","117","0.110826054361613","0.0900024804209663","0.13164962830226","3"
"High transfer dependency","2016","16-34 y.","Couple + C. LE 16 ","81","0.0396946853261909","0.0294528867631115","0.0499364838892704","3"
"High transfer dependency","2016","16-34 y.","Couple + C. GT 16 ","25","","","","3"
"High transfer dependency","2016","16-34 y.","Couple + C. LE and GT 16","37","0.0435398272936679","0.0301253422116105","0.0569543123757253","3"
"High transfer dependency","2016","35-65 y.","1-pers.-HH","46","0.0333115643717807","0.0240431035008344","0.0425800252427271","3"
"High transfer dependency","2016","35-65 y.","(Married) couple without C. ","52","0.0114210472863599","0.00783514405817043","0.0150069505145493","3"
"High transfer dependency","2016","35-65 y.","Single parent ","145","0.0926666015206485","0.0769284268175224","0.108404776223775","3"
"High transfer dependency","2016","35-65 y.","Couple + C. LE 16 ","98","0.0204693293248689","0.0162492961871405","0.0246893624625972","3"
"High transfer dependency","2016","35-65 y.","Couple + C. GT 16 ","45","0.0234084994737463","0.0160684743456755","0.030748524601817","3"
"High transfer dependency","2016","35-65 y.","Couple + C. LE and GT 16","44","0.0219933085169253","0.0142749302873687","0.0297116867464819","3"
"High transfer dependency","2016","66 and older","Single parent ","3","","","","3"
"High transfer dependency","2016","66 and older","Couple + C. LE 16 ","","","","","3"
"High transfer dependency","2016","66 and older","Couple + C. GT 16 ","2","","","","3"
"High transfer dependency","2016","66 and older","Couple + C. LE and GT 16","","","","","3"
"High transfer dependency","2016","16-34 y.","(Married) couple without C. ","21","","","","3"
"High transfer dependency","2016","16-34 y.","1-pers.-HH","42","0.0828926269187626","0.0618893460413104","0.103895907796215","3"
"High transfer dependency","2016","66 and older","1-pers.-HH","18","","","","3"
"High transfer dependency","2016","66 and older","(Married) couple without C. ","20","","","","3"
"Low transfer dependency","2016","16-34 y.","1-pers.-HH","55","0.098785332762624","0.0760563784597049","0.121514287065543","2"
"Low transfer dependency","2016","16-34 y.","(Married) couple without C. ","60","0.0641645894184566","0.0484070761702568","0.0799221026666563","2"
"Low transfer dependency","2016","16-34 y.","Single parent ","131","0.119395538526337","0.0978862790225062","0.140904798030169","2"
"Low transfer dependency","2016","66 and older","Single parent ","3","","","","2"
"Low transfer dependency","2016","66 and older","Couple + C. LE 16 ","","","","","2"
"Low transfer dependency","2016","66 and older","(Married) couple without C. ","41","0.0138121895287014","0.00967899665183187","0.017945382405571","2"
"Low transfer dependency","2016","66 and older","1-pers.-HH","33","0.0223517547135155","0.0144339474384129","0.0302695619886181","2"
"Low transfer dependency","2016","35-65 y.","Couple + C. LE and GT 16","152","0.0865493655805368","0.0717520019683595","0.101346729192714","2"
"Low transfer dependency","2016","16-34 y.","Couple + C. LE 16 ","276","0.245291475729999","0.222721232592135","0.267861718867863","2"
"Low transfer dependency","2016","35-65 y.","Couple + C. GT 16 ","58","0.0339071924829648","0.0251208196239101","0.0426935653420195","2"
"Low transfer dependency","2016","35-65 y.","(Married) couple without C. ","114","0.0319969131834728","0.0260576532461336","0.037936173120812","2"
"Low transfer dependency","2016","16-34 y.","Couple + C. GT 16 ","38","0.0370627801631392","0.0254749211243237","0.0486506392019547","2"
"Low transfer dependency","2016","16-34 y.","Couple + C. LE and GT 16","129","0.126943031346595","0.105059221392917","0.148826841300273","2"
"Low transfer dependency","2016","35-65 y.","1-pers.-HH","74","0.0418565429785163","0.0315131317340404","0.0521999542229921","2"
"Low transfer dependency","2016","35-65 y.","Single parent ","174","0.107531575490496","0.0907174714785684","0.124345679502423","2"
"Low transfer dependency","2016","35-65 y.","Couple + C. LE 16 ","387","0.0812138564556472","0.0730728645990511","0.0893548483122433","2"
"Low transfer dependency","2016","66 and older","Couple + C. LE and GT 16","","","","","2"
"Low transfer dependency","2016","66 and older","Couple + C. GT 16 ","11","","","","2"
"No transfer dependency","2016","16-34 y.","1-pers.-HH","406","0.606897908647989","0.569690485454188","0.644105331841789","0"
"No transfer dependency","2016","16-34 y.","(Married) couple without C. ","660","0.738085438989314","0.709812342549326","0.766358535429302","0"
"No transfer dependency","2016","16-34 y.","Single parent ","42","0.0801426045477945","0.0621318068744323","0.0981534022211567","0"
"No transfer dependency","2016","16-34 y.","Couple + C. LE 16 ","43","0.0316650610963381","0.0224794437832487","0.0408506784094275","0"
"No transfer dependency","2016","16-34 y.","Couple + C. GT 16 ","146","0.211694860311512","0.186637370868664","0.23675234975436","0"
"No transfer dependency","2016","16-34 y.","Couple + C. LE and GT 16","","","","","0"
"No transfer dependency","2016","35-65 y.","1-pers.-HH","1011","0.745397981902756","0.722897497281744","0.767898466523767","0"
"No transfer dependency","2016","35-65 y.","(Married) couple without C. ","2647","0.805232835871999","0.791868156967819","0.818597514776179","0"
"No transfer dependency","2016","35-65 y.","Single parent ","106","0.126567762888821","0.108521575786223","0.144613949991418","0"
"No transfer dependency","2016","35-65 y.","Couple + C. LE 16 ","21","","","","0"
"No transfer dependency","2016","35-65 y.","Couple + C. GT 16 ","326","0.236410421283341","0.215784298742855","0.257036543823827","0"
"No transfer dependency","2016","35-65 y.","Couple + C. LE and GT 16","","","","","0"
"No transfer dependency","2016","66 and older","1-pers.-HH","1174","0.88080346367072","0.863448283475047","0.898158643866392","0"
"No transfer dependency","2016","66 and older","Couple + C. LE 16 ","","","","","0"
"No transfer dependency","2016","66 and older","Couple + C. GT 16 ","125","0.665604565367858","0.599556763088179","0.731652367647537","0"
"No transfer dependency","2016","66 and older","Couple + C. LE and GT 16","","","","","0"
"No transfer dependency","2016","66 and older","Single parent ","52","0.722262977754807","0.618083186920243","0.826442768589372","0"
"No transfer dependency","2016","66 and older","(Married) couple without C. ","2784","0.91623835273403","0.906427620312729","0.926049085155331","0"
"Very high transfer dependency","2016","16-34 y.","Single parent ","98","0.0951134823989811","0.0756527549948765","0.114574209803086","4"
"Very high transfer dependency","2016","16-34 y.","Couple + C. LE 16 ","78","0.0301738718369288","0.0212002483677327","0.0391474953061249","4"
"Very high transfer dependency","2016","16-34 y.","Couple + C. GT 16 ","7","","","","4"
"Very high transfer dependency","2016","16-34 y.","Couple + C. LE and GT 16","53","0.0395823379339054","0.0267655853498151","0.0523990905179957","4"
"Very high transfer dependency","2016","35-65 y.","1-pers.-HH","57","0.0378641027329211","0.0280058740326081","0.0477223314332341","4"
"Very high transfer dependency","2016","66 and older","Couple + C. LE 16 ","","","","","4"
"Very high transfer dependency","2016","66 and older","Couple + C. GT 16 ","","","","","4"
"Very high transfer dependency","2016","66 and older","Couple + C. LE and GT 16","1","","","","4"
"Very high transfer dependency","2016","16-34 y.","(Married) couple without C. ","7","","","","4"
"Very high transfer dependency","2016","66 and older","Single parent ","","","","","4"
"Very high transfer dependency","2016","16-34 y.","1-pers.-HH","34","0.0467448773216114","0.0306647055976022","0.0628250490456206","4"
"Very high transfer dependency","2016","66 and older","(Married) couple without C. ","13","","","","4"
"Very high transfer dependency","2016","66 and older","1-pers.-HH","11","","","","4"
"Very high transfer dependency","2016","35-65 y.","(Married) couple without C. ","42","0.00953376806747494","0.00625438576607537","0.0128131503688745","4"
"Very high transfer dependency","2016","35-65 y.","Single parent ","89","0.0637583071786508","0.0504974477046885","0.077019166652613","4"
