"plb0195_h","year","migback","n","percent","lower_confidence","upper_confidence"
"Acclaimed","2007","indirect migration background","130","0.479678886770986","0.422080516461465","0.537277257080506"
"Partly, partly","2007","no migration background","1183","0.21334621410451","0.203101682131697","0.223590746077324"
"Partly, partly","2007","direct migration background","120","0.219940115800267","0.184542711544553","0.25533752005598"
"Partly, partly","2007","indirect migration background","69","0.202441397047271","0.156114828320158","0.248767965774384"
"Paid","2007","no migration background","522","0.0934229540157365","0.0861453739772985","0.100700534054175"
"Paid","2007","direct migration background","86","0.176245876328039","0.14368369413013","0.208808058525949"
"Paid","2007","indirect migration background","29","","",""
"Not paid","2007","no migration background","1354","0.194502410362901","0.184604296400241","0.204400524325562"
"Not paid","2007","direct migration background","80","0.159940973301092","0.128616052068909","0.191265894533275"
"Not paid","2007","indirect migration background","61","0.231055886264532","0.182459376790115","0.279652395738949"
"Acclaimed","2008","no migration background","2970","0.492835211059422","0.480266430190024","0.50540399192882"
"Acclaimed","2008","direct migration background","223","0.431960369214729","0.389220369955888","0.474700368473571"
"Acclaimed","2008","indirect migration background","135","0.517306877942913","0.458139477154388","0.576474278731439"
"Partly, partly","2008","no migration background","1189","0.215785748138778","0.205443939741383","0.226127556536173"
"Partly, partly","2008","direct migration background","117","0.199681210593768","0.165188815884051","0.234173605303485"
"Partly, partly","2008","indirect migration background","63","0.230513427157408","0.180645485071488","0.280381369243327"
"Paid","2008","no migration background","570","0.0966138219809585","0.0891866394837894","0.104041004478128"
"Paid","2008","direct migration background","98","0.201559844955065","0.166946271848529","0.236173418061601"
"Paid","2008","indirect migration background","25","","",""
"Not paid","2008","no migration background","1349","0.194765218820841","0.184809222958334","0.204721214683349"
"Not paid","2008","direct migration background","78","0.166798575236438","0.134632771294609","0.198964379178266"
"Not paid","2008","indirect migration background","51","0.145990622058419","0.104181927332737","0.187799316784101"
"Acclaimed","2009","no migration background","2687","0.498190939185268","0.484884697350693","0.511497181019843"
"Acclaimed","2009","direct migration background","177","0.389667636989369","0.342172302789529","0.437162971189209"
"Acclaimed","2009","indirect migration background","117","0.453907110899247","0.393390002166546","0.514424219631949"
"Partly, partly","2009","no migration background","1086","0.221063848062014","0.210020569079615","0.232107127044412"
"Partly, partly","2009","direct migration background","86","0.217987363275359","0.17777652526722","0.258198201283497"
"Partly, partly","2009","indirect migration background","55","0.228583821237031","0.177541721382574","0.279625921091488"
"Paid","2009","no migration background","487","0.0933793457856726","0.0856360389588193","0.101122652612526"
"Paid","2009","direct migration background","71","0.221463056982405","0.181023085806847","0.261903028157963"
"Paid","2009","indirect migration background","33","0.0897935047396182","0.055043581977026","0.12454342750221"
"Not paid","2009","no migration background","1164","0.187365866967046","0.176981476278551","0.19775025765554"
"Not paid","2009","direct migration background","71","0.170881942752867","0.134223260238595","0.20754062526714"
"Not paid","2009","indirect migration background","55","0.227715563124103","0.17674183301174","0.278689293236466"
"Acclaimed","2010","no migration background","3758","0.524969243110384","0.513511377800971","0.536427108419798"
"Acclaimed","2010","direct migration background","320","0.447918891582279","0.412494590996684","0.483343192167874"
"Acclaimed","2010","indirect migration background","191","0.53291896821174","0.483403317337301","0.582434619086179"
"Partly, partly","2010","no migration background","1356","0.189948367889357","0.180948211587247","0.198948524191468"
"Partly, partly","2010","direct migration background","155","0.173592952672026","0.14661163207137","0.200574273272682"
"Partly, partly","2010","indirect migration background","68","0.200173959289555","0.160462362793942","0.239885555785168"
"Paid","2010","no migration background","742","0.0968637600452793","0.0900774575470258","0.103650062543533"
"Paid","2010","direct migration background","165","0.191877027535901","0.16382589704012","0.219928158031682"
"Paid","2010","indirect migration background","58","0.114520617709222","0.0829162682585965","0.146124967159847"
"Not paid","2010","no migration background","1441","0.188218628954979","0.17924998546025","0.197187272449708"
"Not paid","2010","direct migration background","117","0.186611128209795","0.158857610709418","0.214364645710172"
"Not paid","2010","indirect migration background","73","0.152386454789483","0.116717702776928","0.188055206802038"
