"pli0095_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Never","1991","(Married) couple without C. ","East Germany","","","",""
"Never","1991","Single parent ","West Germany","","","",""
"Never","1991","Single parent ","East Germany","","","",""
"Never","1991","Couple + C. LE 16 ","West Germany","","","",""
"Never","1991","Couple + C. LE 16 ","East Germany","","","",""
"Never","1991","Couple + C. GT 16 ","West Germany","","","",""
"Never","1991","Couple + C. GT 16 ","East Germany","","","",""
"Never","1991","Couple + C. LE and GT 16","West Germany","","","",""
"Never","1991","Couple + C. LE and GT 16","East Germany","","","",""
"Min 1x per week","1992","1-pers.-HH","West Germany","121","0.115389746551766","0.0958307868220129","0.134948706281519"
"Min 1x per week","1992","1-pers.-HH","East Germany","38","0.110126134001559","0.0748196847887976","0.14543258321432"
"Min 1x per week","1992","(Married) couple without C. ","West Germany","246","0.0958522643336811","0.0838963103562208","0.107808218311141"
"Min 1x per week","1992","(Married) couple without C. ","East Germany","91","0.094749169398211","0.0757729490036524","0.11372538979277"
"Min 1x per week","1992","Single parent ","West Germany","49","0.096373289116306","0.0694057047658753","0.123340873466737"
"Min 1x per week","1992","Single parent ","East Germany","19","","",""
"Min 1x per week","1992","Couple + C. LE 16 ","West Germany","190","0.0704351911560198","0.0594122470797131","0.0814581352323266"
"Min 1x per week","1992","Couple + C. LE 16 ","East Germany","104","0.0902681832504657","0.0741015904764832","0.106434776024448"
"Min 1x per week","1992","Couple + C. GT 16 ","West Germany","191","0.0789257652104933","0.0669587042616168","0.0908928261593698"
"Min 1x per week","1992","Couple + C. GT 16 ","East Germany","53","0.0653191353049985","0.0477983607678893","0.0828399098421077"
"Min 1x per week","1992","Couple + C. LE and GT 16","West Germany","88","0.0952146924690658","0.0752467278186871","0.115182657119444"
"Min 1x per week","1992","Couple + C. LE and GT 16","East Germany","12","","",""
"Min 1x per month","1992","1-pers.-HH","West Germany","243","0.211477072666586","0.186477938568556","0.236476206764616"
"Min 1x per month","1992","1-pers.-HH","East Germany","71","0.24339115922504","0.194992567505289","0.291789750944791"
"Min 1x per month","1992","(Married) couple without C. ","West Germany","579","0.232592301066483","0.215434007646509","0.249750594486456"
"Min 1x per month","1992","(Married) couple without C. ","East Germany","223","0.227027863709081","0.199884788832137","0.254170938586024"
"Min 1x per month","1992","Single parent ","West Germany","132","0.279624444720029","0.238610057605291","0.320638831834768"
"Min 1x per month","1992","Single parent ","East Germany","41","0.211330146147805","0.151355673644656","0.271304618650954"
"Min 1x per month","1992","Couple + C. LE 16 ","West Germany","650","0.313628892924423","0.29364176244744","0.333616023401405"
"Min 1x per month","1992","Couple + C. LE 16 ","East Germany","368","0.316680507937106","0.290437293623428","0.342923722250785"
"Min 1x per month","1992","Couple + C. GT 16 ","West Germany","569","0.274351432339719","0.254547676080856","0.294155188598582"
"Min 1x per month","1992","Couple + C. GT 16 ","East Germany","208","0.275863021823227","0.244170374413212","0.307555669233242"
