"year","e11102","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2007","Employed","direct migration background","19128.82","16253.17","1249","9471.11","12595.24","21328","30330","64301.33","18262.6","19995.04","1735","276086.66","16518.666015625","17660"
"2007","Employed","indirect migration background","18445.94","16951.34","555","8894","11931","22200","30044.67","51460","17494.08","19397.8","2717.33","117089.34","17163","18490"
"2007","Employed","no migration background","22976.91","20226.43","10808","11452.67","15237.33","26861.43","36178","73143.34","22648.82","23305","644","613426","21210.556640625","21619.5"
"2007","Not Employed","direct migration background","13352.21","12041.56","900","6528.67","8688","15752","21406.67","45085.5","12765.82","13938.6","81","91042","12109.5","12816"
"2007","Not Employed","indirect migration background","15848.16","13388.25","290","8318.4","10156.36","17058.93","22770","65881","13882.48","17813.84","4","170489.2","13040.416015625","15747"
"2007","Not Employed","no migration background","17329.31","15184.05","7163","8296","11413","20608","28086.5","51750","16990.02","17668.6","0","362992","16046","16411"
"2008","Employed","direct migration background","18665.39","16661.66","1111","9404.84","12576.67","21475.6","28210.71","64182.67","17986.53","19344.25","2082.31","121046.67","17077.333984375","17997"
"2008","Employed","indirect migration background","19106.3","17590.96","566","9610.67","12918","21918","32592.38","58002","18151.89","20060.71","590","103940.66","17424.07421875","18744"
"2008","Employed","no migration background","23842.14","20880","10252","11813","15568.33","27472.67","37256","73862","23446.41","24237.87","1176","886350.69","21607.5","22061"
"2008","Not Employed","direct migration background","14880.5","11750.77","809","7232","8697","16056","21475.6","41960","12610.15","17150.85","40","886350.69","11993","12961.3330078125"
"2008","Not Employed","indirect migration background","14942.58","13586.67","264","7752","9705.88","17621.91","24326.5","44482","13480.51","16404.65","675.33","93027.6","13148.3330078125","14949.599609375"
"2008","Not Employed","no migration background","17683.78","15414.67","6684","8472","11370","21200","28474","54273.34","17329.38","18038.18","0","346442","16256","16644"
"2009","Employed","direct migration background","19444.21","16974.76","983","10491.43","13000.3","21756","30550","59202","18744.81","20143.61","360","124830.5","17169.56640625","18535.599609375"
"2009","Employed","indirect migration background","19438.09","17077.2","521","10154","13754","21814","32126","53008","18261.69","20614.49","2413","138615.5","17691.66796875","19753.19921875"
"2009","Employed","no migration background","24238.49","21334.28","9742","11931.6","16068","28202.78","37556","75975","23856.96","24620.02","657","624596","21935.19921875","22460"
"2009","Not Employed","direct migration background","13756.59","11767.61","693","6660.77","8640","15641.33","21446","45171.5","12973.41","14539.77","0","139299.33","12268","13259"
"2009","Not Employed","indirect migration background","15749.09","13129.59","236","6806.52","10260","17060","25126.09","60025.5","13854.5","17643.68","2133","138615.5","12715","14442"
"2009","Not Employed","no migration background","17645.34","15559.31","6188","8447","11553","21200.67","28305.5","54769.33","17330.98","17959.7","0","251952.67","16275.5556640625","16705"
"2010","Employed","direct migration background","20068","17936.71","1705","9846.67","12857.2","22834.45","32219","79768","19528.42","20607.58","1646.19","145863","14900.8701171875","15862.6669921875"
"2010","Employed","indirect migration background","20916.28","18727.34","805","10083.12","13974","25191.33","34716.11","55848.67","20018.01","21814.55","3028","209221","16870","18422.30859375"
"2010","Employed","no migration background","24409.97","21775.67","13104","11983","16135.33","29170","37526.52","70753.81","24137.77","24682.17","540","664511","20495.19921875","20978"
"2010","Not Employed","direct migration background","13932.79","11864.67","1216","6960","8651","16237.14","22820","49473.33","13411.43","14454.15","0","88868.58","11043.75","11760"
"2010","Not Employed","indirect migration background","15634.54","13899.07","423","7560","9258","18222","25576.4","58147","14623","16646.08","897.22","68950.4","12113.5","13329"
"2010","Not Employed","no migration background","17897.8","15752.16","7179","8582","11821","21372.8","28955","57065","17617.81","18177.79","0","280380.66","15532","15998"
"2011","Employed","direct migration background","20545.32","17696.78","1943","10346.33","13710.67","23716","33690.67","69059.34","20020.14","21070.5","657.33","164936","15613.333984375","16419.615234375"
"2011","Employed","indirect migration background","22193.68","19611.33","911","11148.4","14598.33","26507.2","36450.67","74178","21370.7","23016.66","2549","148526.67","17836.111328125","19319.048828125"
"2011","Employed","no migration background","24845.33","22142.67","15467","12014.48","16470","29295","39122","76652.5","24593.18","25097.48","480","483833.34","20803.078125","21193"
"2011","Not Employed","direct migration background","14522.29","12550.53","1337","7021.67","9120","16870.67","23810","47178","13999.14","15045.44","96","164936","12168.572265625","12810.8818359375"
"2011","Not Employed","indirect migration background","16274.6","14449.62","499","5822.22","9828.57","19704.86","27953.21","52952.18","14877.15","17672.05","0","183608.67","12905","14238"
"2011","Not Employed","no migration background","18462.84","16108.5","8858","8969","11923.89","22094","29467.59","58836","18200.38","18725.3","0","317092","16030.6669921875","16444.58203125"
"2012","Employed","direct migration background","20755.32","17733.8","1893","10920","13853.33","24095.24","33983.33","68464.78","20243.47","21267.17","3784","128053.89","15874.814453125","16676.66796875"
"2012","Employed","indirect migration background","23848.67","20188.94","940","11806.67","15126","27907.5","37887.86","67994","22394","25303.34","3168","602786","17800.83203125","19559"
"2012","Employed","no migration background","25434.82","22291.4","15084","12133.33","16558","29902.67","40163.33","82451","25106.39","25763.25","240","999041.31","20945","21347.333984375"
"2012","Not Employed","direct migration background","14836.23","13411.33","1178","7485.33","9689","17503.33","22982.22","48682","14308.63","15363.83","67","106526.66","12426.19140625","13140"
"2012","Not Employed","indirect migration background","16588.36","14939.03","434","7620","10631.43","19365.5","27679","48642.67","15342.74","17833.98","0","161070","13031.599609375","14403.513671875"
