"year","education","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2004","secondary school degree","Westdeutschland, alte Bundeslaender","6.54","7","3154","4","5","8","9","6.47","6.61","7","7"
"2005","college entrance qualification","Ostdeutschland, neue Bundeslaender","6.64","7","741","5","5","8","9","6.51","6.77","7","7"
"2005","college entrance qualification","Westdeutschland, alte Bundeslaender","6.45","7","2838","4","5","8","9","6.38","6.52","7","7"
"2005","lower secondary degree","Ostdeutschland, neue Bundeslaender","6.34","7","1106","4","5","8","9","6.22","6.46","7","7"
"2005","lower secondary degree","Westdeutschland, alte Bundeslaender","6.58","7","4506","4","5","8","9","6.52","6.64","7","7"
"2005","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","6.56","7","100","3","5","9","10","6.12","7","7","7"
"2005","no degree/no degree yet","Westdeutschland, alte Bundeslaender","6.51","7","447","3","5","8","10","6.29","6.73","6","7"
"2005","Other degree","Ostdeutschland, neue Bundeslaender","7.49","8","36","5","7","8","10","6.93","8.05","7","8"
"2005","Other degree","Westdeutschland, alte Bundeslaender","6.6","7","846","4","5","8","9","6.45","6.75","7","7"
"2005","secondary school degree","Ostdeutschland, neue Bundeslaender","6.5","7","1727","4","5","8","9","6.41","6.59","7","7"
"2005","secondary school degree","Westdeutschland, alte Bundeslaender","6.52","7","3053","4","5","8","9","6.45","6.59","7","7"
"2006","college entrance qualification","Ostdeutschland, neue Bundeslaender","6.58","7","808","4","5","8","9","6.45","6.71","7","7"
"2006","college entrance qualification","Westdeutschland, alte Bundeslaender","6.42","7","3142","4","5","8","9","6.35","6.49","7","7"
"2006","lower secondary degree","Ostdeutschland, neue Bundeslaender","6.33","7","1167","4","5","8","9","6.22","6.44","7","7"
"2006","lower secondary degree","Westdeutschland, alte Bundeslaender","6.63","7","4882","4","5","8","9","6.57","6.69","7","7"
"2006","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","6.32","7","64","3","5","8","10","5.74","6.9","6","8"
"2006","no degree/no degree yet","Westdeutschland, alte Bundeslaender","6.29","6","344","4","5","8","9","6.07","6.51","6","7"
"2006","Other degree","Ostdeutschland, neue Bundeslaender","6.6","7","59","4","6","8","9","6.05","7.15","6","8"
"2006","Other degree","Westdeutschland, alte Bundeslaender","6.59","7","886","3","5","8","10","6.45","6.73","7","7"
"2006","secondary school degree","Ostdeutschland, neue Bundeslaender","6.6","7","1824","4","5","8","9","6.51","6.69","7","7"
"2006","secondary school degree","Westdeutschland, alte Bundeslaender","6.54","7","3328","4","5","8","9","6.47","6.61","7","7"
"2007","college entrance qualification","Ostdeutschland, neue Bundeslaender","6.5","7","800","4","5","8","9","6.37","6.63","7","7"
"2007","college entrance qualification","Westdeutschland, alte Bundeslaender","6.54","7","3079","4","5","8","9","6.47","6.61","7","7"
