"hgowner","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Resident or shared accommodation","1994","35-65 y.","West Germany","","","","","5"
"Resident or shared accommodation","1994","35-65 y.","East Germany","","","","","5"
"Resident or shared accommodation","1994","66 and older","West Germany","","","","","5"
"Resident or shared accommodation","1994","66 and older","East Germany","","","","","5"
"Subtenant","1994","16-34 y.","West Germany","128","0.040321553990621","0.0338415098955112","0.0468015980857308","3"
"Subtenant","1994","16-34 y.","East Germany","59","0.0490198132930749","0.0371685523837083","0.0608710742024416","3"
"Subtenant","1994","35-65 y.","West Germany","83","0.0220310297671398","0.017740460910702","0.0263215986235776","3"
"Subtenant","1994","35-65 y.","East Germany","42","0.018049591723145","0.0123664137485858","0.0237327696977042","3"
"Subtenant","1994","66 and older","West Germany","18","","","","3"
"Subtenant","1994","66 and older","East Germany","6","","","","3"
"Tenant","1994","16-34 y.","West Germany","","","","","4"
"Tenant","1994","35-65 y.","West Germany","","","","","4"
"Tenant","1994","16-34 y.","East Germany","","","","","4"
"Tenant","1994","35-65 y.","East Germany","","","","","4"
"Tenant","1994","66 and older","West Germany","","","","","4"
"Tenant","1994","66 and older","East Germany","","","","","4"
"Main tenant","1995","16-34 y.","East Germany","780","0.670502395452818","0.644234708434712","0.696770082470923","2"
"Main tenant","1995","16-34 y.","West Germany","2487","0.594031216005355","0.578275859753957","0.609786572256753","2"
"Main tenant","1995","35-65 y.","West Germany","2507","0.447573845677343","0.433495255972701","0.461652435381985","2"
"Main tenant","1995","35-65 y.","East Germany","1230","0.617194088748676","0.596214162496624","0.638174015000728","2"
"Main tenant","1995","66 and older","West Germany","523","0.46969113628734","0.440732647508774","0.498649625065906","2"
"Main tenant","1995","66 and older","East Germany","273","0.672332676871551","0.627065673926235","0.717599679816867","2"
"Owner","1995","16-34 y.","West Germany","1099","0.348409265178483","0.333122712000924","0.363695818356043","1"
"Owner","1995","16-34 y.","East Germany","382","0.271899790601526","0.24703438488245","0.296765196320601","1"
"Owner","1995","35-65 y.","West Germany","2199","0.533041809474242","0.518916130818244","0.54716748813024","1"
"Owner","1995","35-65 y.","East Germany","786","0.361534757106687","0.340797685929079","0.382271828284295","1"
"Owner","1995","66 and older","East Germany","129","0.297804721743894","0.253701754753718","0.34190768873407","1"
"Owner","1995","66 and older","West Germany","593","0.497171947536845","0.468160571641742","0.526183323431947","1"
"Resident or shared accommodation","1995","16-34 y.","West Germany","","","","","5"
"Resident or shared accommodation","1995","16-34 y.","East Germany","","","","","5"
"Resident or shared accommodation","1995","35-65 y.","West Germany","","","","","5"
"Resident or shared accommodation","1995","35-65 y.","East Germany","","","","","5"
"Resident or shared accommodation","1995","66 and older","West Germany","","","","","5"
"Resident or shared accommodation","1995","66 and older","East Germany","","","","","5"
"Subtenant","1995","16-34 y.","East Germany","68","0.0575978139456568","0.0445776432460775","0.0706179846452362","3"
"Subtenant","1995","16-34 y.","West Germany","146","0.0575595188161616","0.0500870722703419","0.0650319653619812","3"
"Subtenant","1995","35-65 y.","West Germany","86","0.0193843448484153","0.0154807506745496","0.0232879390222809","3"
"Subtenant","1995","35-65 y.","East Germany","46","0.0212711541446366","0.015043414014479","0.0274988942747942","3"
"Subtenant","1995","66 and older","West Germany","25","","","","3"
"Subtenant","1995","66 and older","East Germany","11","","","","3"
"Tenant","1995","16-34 y.","West Germany","","","","","4"
"Tenant","1995","16-34 y.","East Germany","","","","","4"
"Tenant","1995","35-65 y.","West Germany","","","","","4"
"Tenant","1995","35-65 y.","East Germany","","","","","4"
"Tenant","1995","66 and older","East Germany","","","","","4"
"Tenant","1995","66 and older","West Germany","","","","","4"
"Main tenant","1996","16-34 y.","West Germany","2362","0.602840541244658","0.586832247585448","0.618848834903868","2"
