"hgowner","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"Main tenant","1995","Not Employed","indirect migration background","124","0.533684019460518","0.459130849132884","0.608237189788153","2"
"Main tenant","1995","Employed","no migration background","3406","0.499780664431323","0.487609558487601","0.511951770375045","2"
"Main tenant","1995","Employed","direct migration background","1330","0.692450074995891","0.670564588558691","0.714335561433091","2"
"Main tenant","1995","Employed","indirect migration background","271","0.677508291775268","0.627896206072348","0.727120377478188","2"
"Owner","1995","Not Employed","no migration background","1669","0.483802851840098","0.467386936470354","0.500218767209842","1"
"Owner","1995","Not Employed","direct migration background","198","0.264001621910072","0.238023230634336","0.289980013185808","1"
"Owner","1995","Not Employed","indirect migration background","42","0.389479463225029","0.316604845828522","0.462354080621537","1"
"Owner","1995","Employed","no migration background","2893","0.469740325212383","0.457591527441632","0.481889122983135","1"
"Owner","1995","Employed","indirect migration background","61","0.26532186041432","0.218461461943053","0.312182258885587","1"
"Owner","1995","Employed","direct migration background","325","0.263997544989393","0.243092854905097","0.284902235073689","1"
"Resident or shared accommodation","1995","Not Employed","no migration background","","","","","5"
"Resident or shared accommodation","1995","Not Employed","direct migration background","","","","","5"
"Resident or shared accommodation","1995","Not Employed","indirect migration background","","","","","5"
"Resident or shared accommodation","1995","Employed","no migration background","","","","","5"
"Resident or shared accommodation","1995","Employed","direct migration background","","","","","5"
"Resident or shared accommodation","1995","Employed","indirect migration background","","","","","5"
"Subtenant","1995","Not Employed","direct migration background","42","0.0498092205471536","0.036987957625458","0.0626304834688492","3"
