"hgowner","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Owner","1994","16-34 y.","Rural Area","655","0.43579860227078","0.411200214988396","0.460396989553163","1"
"Owner","1994","35-65 y.","Urban Area","1717","0.468595598180302","0.453785200374795","0.48340599598581","1"
"Owner","1994","35-65 y.","Rural Area","1217","0.575332213111775","0.554876366465582","0.595788059757967","1"
"Owner","1994","66 and older","Urban Area","436","0.409974016334157","0.379596861780642","0.440351170887672","1"
"Owner","1994","66 and older","Rural Area","278","0.507476046461399","0.46421362131949","0.550738471603308","1"
"Resident or shared accommodation","1994","16-34 y.","Urban Area","","","","","5"
"Resident or shared accommodation","1994","16-34 y.","Rural Area","","","","","5"
"Resident or shared accommodation","1994","35-65 y.","Urban Area","","","","","5"
"Resident or shared accommodation","1994","35-65 y.","Rural Area","","","","","5"
"Resident or shared accommodation","1994","66 and older","Urban Area","","","","","5"
"Resident or shared accommodation","1994","66 and older","Rural Area","","","","","5"
"Subtenant","1994","16-34 y.","Urban Area","96","0.0344398035387665","0.028174251713094","0.0407053553644391","3"
"Subtenant","1994","16-34 y.","Rural Area","91","0.0595208822834651","0.0477839148902022","0.0712578496767281","3"
"Subtenant","1994","35-65 y.","Urban Area","81","0.0230866520616008","0.0186294374212954","0.0275438667019062","3"
"Subtenant","1994","66 and older","Urban Area","12","","","","3"
"Subtenant","1994","35-65 y.","Rural Area","44","0.0167942562480075","0.0114764067091204","0.0221121057868946","3"
"Subtenant","1994","66 and older","Rural Area","12","","","","3"
"Tenant","1994","16-34 y.","Urban Area","","","","","4"
"Tenant","1994","35-65 y.","Urban Area","","","","","4"
"Tenant","1994","16-34 y.","Rural Area","","","","","4"
"Tenant","1994","66 and older","Urban Area","","","","","4"
"Tenant","1994","35-65 y.","Rural Area","","","","","4"
"Tenant","1994","66 and older","Rural Area","","","","","4"
"Main tenant","1995","16-34 y.","Urban Area","2388","0.658091976656616","0.641997830840387","0.674186122472845","2"
"Main tenant","1995","16-34 y.","Rural Area","879","0.499576961322394","0.475266608760961","0.523887313883828","2"
"Main tenant","1995","35-65 y.","Urban Area","2664","0.508875051695715","0.494278372100589","0.523471731290841","2"
"Main tenant","1995","35-65 y.","Rural Area","1073","0.415456635509732","0.395523745878467","0.435389525140997","2"
"Main tenant","1995","66 and older","Rural Area","212","0.400242117989658","0.357510259838436","0.44297397614088","2"
"Main tenant","1995","66 and older","Urban Area","584","0.552872884522023","0.522785218742753","0.582960550301293","2"
"Owner","1995","16-34 y.","Urban Area","833","0.289384545677964","0.273998572218823","0.304770519137106","1"
"Owner","1995","16-34 y.","Rural Area","648","0.431704912757449","0.407622396914186","0.455787428600713","1"
"Owner","1995","35-65 y.","Urban Area","1766","0.473261281963982","0.45868319265672","0.487839371271244","1"
"Owner","1995","35-65 y.","Rural Area","1219","0.560421024761547","0.540345139227746","0.580496910295349","1"
"Owner","1995","66 and older","Urban Area","449","0.423384325421176","0.39348434137136","0.453284309470991","1"
"Owner","1995","66 and older","Rural Area","273","0.546537828845859","0.503118505895261","0.589957151796456","1"
"Resident or shared accommodation","1995","16-34 y.","Urban Area","","","","","5"
"Resident or shared accommodation","1995","16-34 y.","Rural Area","","","","","5"
"Resident or shared accommodation","1995","35-65 y.","Urban Area","","","","","5"
"Resident or shared accommodation","1995","35-65 y.","Rural Area","","","","","5"
"Resident or shared accommodation","1995","66 and older","Urban Area","","","","","5"
"Resident or shared accommodation","1995","66 and older","Rural Area","","","","","5"
"Subtenant","1995","16-34 y.","Rural Area","98","0.0687181259201563","0.0564183376104002","0.0810179142299123","3"
"Subtenant","1995","16-34 y.","Urban Area","116","0.0525234776654196","0.0449546092829534","0.0600923460478858","3"
"Subtenant","1995","35-65 y.","Urban Area","76","0.0178636663403027","0.0139962254435399","0.0217311072370655","3"
"Subtenant","1995","35-65 y.","Rural Area","56","0.0241223397287205","0.0179164158014523","0.0303282636559888","3"
"Subtenant","1995","66 and older","Urban Area","16","","","","3"
"Subtenant","1995","66 and older","Rural Area","20","","","","3"
"Tenant","1995","16-34 y.","Urban Area","","","","","4"
"Tenant","1995","35-65 y.","Urban Area","","","","","4"
"Tenant","1995","16-34 y.","Rural Area","","","","","4"
"Tenant","1995","35-65 y.","Rural Area","","","","","4"
"Tenant","1995","66 and older","Urban Area","","","","","4"
"Tenant","1995","66 and older","Rural Area","","","","","4"
"Main tenant","1996","16-34 y.","Urban Area","2281","0.666008803719913","0.649700821739541","0.682316785700286","2"
