"hgowner","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Main tenant","1988","Not Employed","higher education","66","0.478884894812489","0.393011463812595","0.564758325812382","2"
"Main tenant","1988","Employed","in school","5","","","","2"
"Main tenant","1988","Employed","inadequately","361","0.842852171913107","0.807275529293675","0.878428814532539","2"
"Main tenant","1988","Employed","general elemantary","982","0.513690372237755","0.488605013503751","0.538775730971759","2"
"Main tenant","1988","Employed","middle vocational","1761","0.496084537192095","0.47889504297348","0.513274031410711","2"
"Main tenant","1988","Employed","vocational + Abi","129","0.574861141495348","0.506347039365879","0.643375243624817","2"
"Main tenant","1988","Employed","higher vocational","175","0.442163664935008","0.392873449923145","0.491453879946872","2"
"Main tenant","1988","Employed","higher education","280","0.477781069857904","0.436846441551705","0.518715698164102","2"
"Owner","1988","Not Employed","in school","85","0.603677686659902","0.526674434805333","0.68068093851447","1"
"Owner","1988","Not Employed","inadequately","32","0.202826364573424","0.157324820924985","0.248327908221862","1"
"Owner","1988","Not Employed","general elemantary","529","0.456773352311507","0.428741060634213","0.484805643988802","1"
"Owner","1988","Not Employed","middle vocational","727","0.454467181381372","0.429327882030031","0.479606480732713","1"
"Owner","1988","Not Employed","vocational + Abi","27","","","","1"
"Owner","1988","Not Employed","higher vocational","84","0.5255477263994","0.445902094135908","0.605193358662893","1"
"Owner","1988","Not Employed","higher education","63","0.500593599234799","0.414643553295898","0.5865436451737","1"
"Owner","1988","Employed","in school","3","","","","1"
"Owner","1988","Employed","inadequately","29","","","","1"
"Owner","1988","Employed","general elemantary","511","0.457572023687169","0.43256776742373","0.482576279950609","1"
"Owner","1988","Employed","middle vocational","1422","0.478577544922591","0.461403308611579","0.495751781233604","1"
"Owner","1988","Employed","vocational + Abi","65","0.392371433986319","0.324700701806322","0.460042166166317","1"
"Owner","1988","Employed","higher vocational","209","0.539595982067756","0.490128512687723","0.58906345144779","1"
"Owner","1988","Employed","higher education","281","0.501572027673973","0.460597124646322","0.542546930701624","1"
"Resident or shared accommodation","1988","Not Employed","inadequately","","","","","5"
"Resident or shared accommodation","1988","Not Employed","general elemantary","","","","","5"
"Resident or shared accommodation","1988","Not Employed","middle vocational","","","","","5"
"Resident or shared accommodation","1988","Not Employed","higher education","","","","","5"
"Resident or shared accommodation","1988","Employed","in school","","","","","5"
"Resident or shared accommodation","1988","Employed","inadequately","","","","","5"
"Resident or shared accommodation","1988","Employed","general elemantary","","","","","5"
"Resident or shared accommodation","1988","Employed","middle vocational","","","","","5"
"Resident or shared accommodation","1988","Employed","vocational + Abi","","","","","5"
"Resident or shared accommodation","1988","Employed","higher vocational","","","","","5"
"Resident or shared accommodation","1988","Not Employed","in school","","","","","5"
"Resident or shared accommodation","1988","Not Employed","vocational + Abi","","","","","5"
"Resident or shared accommodation","1988","Not Employed","higher vocational","","","","","5"
"Resident or shared accommodation","1988","Employed","higher education","","","","","5"
"Subtenant","1988","Not Employed","middle vocational","23","","","","3"
"Subtenant","1988","Not Employed","vocational + Abi","1","","","","3"
"Subtenant","1988","Not Employed","in school","1","","","","3"
"Subtenant","1988","Not Employed","inadequately","4","","","","3"
"Subtenant","1988","Not Employed","general elemantary","29","","","","3"
"Subtenant","1988","Not Employed","higher vocational","1","","","","3"
"Subtenant","1988","Not Employed","higher education","1","","","","3"
"Subtenant","1988","Employed","in school","","","","","3"
"Subtenant","1988","Employed","inadequately","12","","","","3"
"Subtenant","1988","Employed","general elemantary","32","0.0287376040750755","0.0203525332542135","0.0371226748959376","3"
"Subtenant","1988","Employed","middle vocational","65","0.0249533247234167","0.0195906269439491","0.0303160225028843","3"
"Subtenant","1988","Employed","vocational + Abi","6","","","","3"
"Subtenant","1988","Employed","higher vocational","6","","","","3"
"Subtenant","1988","Employed","higher education","11","","","","3"
"Tenant","1988","Not Employed","middle vocational","","","","","4"
"Tenant","1988","Not Employed","vocational + Abi","","","","","4"
"Tenant","1988","Not Employed","higher vocational","","","","","4"
"Tenant","1988","Not Employed","higher education","","","","","4"
"Tenant","1988","Employed","in school","","","","","4"
"Tenant","1988","Employed","inadequately","","","","","4"
"Tenant","1988","Employed","general elemantary","","","","","4"
"Tenant","1988","Not Employed","in school","","","","","4"
"Tenant","1988","Not Employed","inadequately","","","","","4"
"Tenant","1988","Not Employed","general elemantary","1","","","","4"
"Tenant","1988","Employed","middle vocational","2","","","","4"
"Tenant","1988","Employed","vocational + Abi","","","","","4"
"Tenant","1988","Employed","higher vocational","","","","","4"
"Tenant","1988","Employed","higher education","","","","","4"
"Main tenant","1989","Not Employed","in school","70","0.355449173139364","0.280338244589746","0.430560101688983","2"
"Main tenant","1989","Not Employed","inadequately","259","0.825530052298673","0.781699332129095","0.869360772468251","2"
"Main tenant","1989","Not Employed","general elemantary","609","0.493837851531172","0.464891568655214","0.52278413440713","2"
"Main tenant","1989","Not Employed","middle vocational","719","0.513999220241558","0.488300292872153","0.539698147610962","2"
"Main tenant","1989","Not Employed","vocational + Abi","44","0.537723333375599","0.427078480085026","0.648368186666171","2"
"Main tenant","1989","Not Employed","higher vocational","62","0.468256636268425","0.38618427497977","0.55032899755708","2"
"Main tenant","1989","Not Employed","higher education","64","0.508185198159932","0.420544689847595","0.595825706472269","2"
"Main tenant","1989","Employed","in school","6","","","","2"
"Main tenant","1989","Employed","inadequately","324","0.798993751137173","0.758269501411922","0.839718000862425","2"
"Main tenant","1989","Employed","general elemantary","954","0.54937801948868","0.523688384933619","0.575067654043742","2"
"Main tenant","1989","Employed","middle vocational","1708","0.488859346564712","0.471493660521337","0.506225032608087","2"
"Main tenant","1989","Employed","vocational + Abi","144","0.606546595946594","0.540787035902364","0.672306155990824","2"
"Main tenant","1989","Employed","higher vocational","159","0.414919590465477","0.364918045474047","0.464921135456906","2"
"Main tenant","1989","Employed","higher education","282","0.477425275324799","0.436563329032197","0.518287221617401","2"
"Owner","1989","Not Employed","in school","84","0.631244055039337","0.555533931009791","0.706954179068884","1"
"Owner","1989","Not Employed","inadequately","27","","","","1"
"Owner","1989","Not Employed","general elemantary","509","0.47123444580571","0.44233391133891","0.50013498027251","1"
"Owner","1989","Not Employed","middle vocational","711","0.467783836256868","0.442128251395291","0.493439421118445","1"
"Owner","1989","Not Employed","vocational + Abi","32","0.456411309950101","0.345872650181091","0.566949969719112","1"
"Owner","1989","Not Employed","higher vocational","80","0.531743363731575","0.44967100244292","0.61381572502023","1"
"Owner","1989","Not Employed","higher education","60","0.482633109953614","0.395033745247245","0.570232474659982","1"
