"hgowner","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"1","2003","Not Working","indirect migration background","91","0.334482214969584","0.275997222965754","0.392967206973415"
"2","2003","Full Time","no migration background","3201","0.493594522208765","0.482420249035227","0.504768795382304"
"2","2003","Full Time","direct migration background","596","0.66960870742859","0.639379172935854","0.699838241921325"
"2","2003","Full Time","indirect migration background","197","0.675151857254802","0.623269840495698","0.727033874013907"
"2","2003","Part Time","no migration background","1754","0.468495118074776","0.453529678797364","0.483460557352187"
"2","2003","Part Time","direct migration background","412","0.644388033842829","0.607502347630422","0.681273720055236"
"2","2003","Part Time","indirect migration background","128","0.514754174277737","0.449738809279796","0.579769539275677"
"2","2003","Not Working","no migration background","2795","0.444494844855209","0.432771015503552","0.456218674206865"
"2","2003","Not Working","direct migration background","717","0.694632814086495","0.667011057373111","0.72225457079988"
"2","2003","Not Working","indirect migration background","155","0.628863877305329","0.568978191921664","0.688749562688994"
"3","2003","Full Time","no migration background","136","0.0215064412136377","0.0182641786460368","0.0247487037812386"
"3","2003","Full Time","direct migration background","17","","",""
"3","2003","Full Time","indirect migration background","14","","",""
"3","2003","Part Time","no migration background","72","0.0200490688275561","0.0158453605137758","0.0242527771413363"
"3","2003","Part Time","direct migration background","19","","",""
"3","2003","Part Time","indirect migration background","7","","",""
"3","2003","Not Working","no migration background","103","0.0182622152979769","0.0151030921215076","0.0214213384744462"
"3","2003","Not Working","direct migration background","29","","",""
"3","2003","Not Working","indirect migration background","3","","",""
"4","2003","Full Time","no migration background","","","",""
"4","2003","Full Time","direct migration background","","","",""
"4","2003","Full Time","indirect migration background","","","",""
"4","2003","Part Time","no migration background","","","",""
"4","2003","Part Time","direct migration background","","","",""
"4","2003","Part Time","indirect migration background","","","",""
"4","2003","Not Working","no migration background","1","","",""
"4","2003","Not Working","direct migration background","","","",""
"4","2003","Not Working","indirect migration background","","","",""
"5","2003","Full Time","no migration background","1","","",""
"5","2003","Full Time","direct migration background","","","",""
"5","2003","Full Time","indirect migration background","","","",""
"5","2003","Part Time","no migration background","","","",""
"5","2003","Part Time","direct migration background","","","",""
"5","2003","Part Time","indirect migration background","","","",""
"5","2003","Not Working","no migration background","30","0.00690409917235209","0.00495047426993582","0.00885772407476836"
"5","2003","Not Working","direct migration background","1","","",""
"5","2003","Not Working","indirect migration background","1","","",""
"1","2004","Full Time","no migration background","4120","0.484646729406581","0.473174456006455","0.496119002806708"
"1","2004","Full Time","direct migration background","331","0.336898465847032","0.305581217411742","0.368215714282323"
"1","2004","Full Time","indirect migration background","107","0.290183658270884","0.239984927154295","0.340382389387473"
"1","2004","Part Time","no migration background","2409","0.496021213322574","0.480894838424992","0.511147588220155"
"1","2004","Part Time","direct migration background","197","0.27007449847846","0.234547908522397","0.305601088434523"
"1","2004","Part Time","indirect migration background","86","0.341825613033218","0.281181737271463","0.402469488794972"
"1","2004","Not Working","no migration background","3963","0.523149714400456","0.511350224685174","0.534949204115738"
"1","2004","Not Working","direct migration background","329","0.26367634076427","0.23736092726772","0.289991754260821"
"1","2004","Not Working","indirect migration background","105","0.425446735224018","0.36558005286965","0.485313417578387"
"2","2004","Full Time","no migration background","3036","0.490567353459032","0.479091710307444","0.50204299661062"
"2","2004","Full Time","direct migration background","533","0.637277238924492","0.60542091398563","0.669133563863354"
"2","2004","Full Time","indirect migration background","198","0.667736211443226","0.615637469329735","0.719834953556717"
"2","2004","Part Time","no migration background","1703","0.483599795801287","0.468481081387116","0.498718510215459"
"2","2004","Part Time","direct migration background","390","0.709512111051168","0.673186210672206","0.745838011430131"
"2","2004","Part Time","indirect migration background","140","0.598462528158057","0.535787334945158","0.661137721370956"
"2","2004","Not Working","no migration background","2801","0.451496823958047","0.439740375900794","0.463253272015301"
"2","2004","Not Working","direct migration background","730","0.706997299336637","0.679815079002413","0.73417951967086"
"2","2004","Not Working","indirect migration background","152","0.544970382067562","0.48467226810158","0.605268496033545"
"3","2004","Full Time","no migration background","133","0.0247716297985285","0.0212037124872702","0.0283395471097867"
"3","2004","Full Time","direct migration background","11","","",""
"3","2004","Full Time","indirect migration background","9","","",""
"3","2004","Part Time","no migration background","84","0.020320388272332","0.0160517766512414","0.0245889998934226"
"3","2004","Part Time","direct migration background","12","","",""
"3","2004","Part Time","indirect migration background","9","","",""
"3","2004","Not Working","no migration background","83","0.0159016222518553","0.0129463385383717","0.0188569059653389"
"3","2004","Not Working","direct migration background","18","","",""
"3","2004","Not Working","indirect migration background","4","","",""
"4","2004","Full Time","no migration background","1","","",""
"4","2004","Full Time","direct migration background","","","",""
"4","2004","Full Time","indirect migration background","","","",""
"4","2004","Part Time","no migration background","","","",""
"4","2004","Part Time","direct migration background","","","",""
"4","2004","Part Time","indirect migration background","","","",""
"4","2004","Not Working","no migration background","2","","",""
"4","2004","Not Working","direct migration background","","","",""
"4","2004","Not Working","indirect migration background","","","",""
"5","2004","Full Time","no migration background","","","",""
"5","2004","Full Time","direct migration background","","","",""
"5","2004","Full Time","indirect migration background","","","",""
"5","2004","Part Time","no migration background","1","","",""
"5","2004","Part Time","direct migration background","1","","",""
"5","2004","Part Time","indirect migration background","","","",""
"5","2004","Not Working","no migration background","34","0.00876070871248406","0.00655921179961295","0.0109622056253552"
"5","2004","Not Working","direct migration background","","","",""
"5","2004","Not Working","indirect migration background","1","","",""
"1","2005","Full Time","no migration background","3893","0.476568962911127","0.464794561458172","0.488343364364083"
"1","2005","Full Time","direct migration background","322","0.316665051946721","0.284610425914114","0.348719677979327"
"1","2005","Full Time","indirect migration background","123","0.313713177627937","0.26372661133252","0.363699743923355"
"1","2005","Part Time","no migration background","2340","0.488129315802802","0.472736625071398","0.503522006534207"
"1","2005","Part Time","direct migration background","191","0.280186906602574","0.242991623649393","0.317382189555755"
"1","2005","Part Time","indirect migration background","73","0.281840737781268","0.222255551677283","0.341425923885253"
"1","2005","Not Working","no migration background","3780","0.515229954336826","0.503199209334397","0.527260699339254"
"1","2005","Not Working","direct migration background","305","0.247137728311129","0.220601306497064","0.273674150125194"
"1","2005","Not Working","indirect migration background","102","0.297944970877038","0.244846835798648","0.351043105955428"
"2","2005","Full Time","no migration background","2881","0.49952920967191","0.487741863500465","0.511316555843356"
"2","2005","Full Time","direct migration background","468","0.635729149527667","0.602568570700954","0.668889728354381"
"2","2005","Full Time","indirect migration background","194","0.630478523386695","0.578480230589402","0.682476816183989"
"2","2005","Part Time","no migration background","1644","0.488202056446589","0.472809312683079","0.503594800210099"
"2","2005","Part Time","direct migration background","358","0.700133993735864","0.662184299806937","0.738083687664791"
"2","2005","Part Time","indirect migration background","139","0.638605855235271","0.574980087222452","0.70223162324809"
"2","2005","Not Working","no migration background","2698","0.454200994301899","0.442215264255336","0.466186724348462"
"2","2005","Not Working","direct migration background","696","0.728045545462718","0.700671282629536","0.755419808295899"
"2","2005","Not Working","indirect migration background","174","0.647656995822926","0.592196848614416","0.703117143031436"
"3","2005","Full Time","no migration background","137","0.0238636661214082","0.0202655924815201","0.0274617397612963"
"3","2005","Full Time","direct migration background","19","","",""
"3","2005","Full Time","indirect migration background","14","","",""
"3","2005","Part Time","no migration background","66","0.023608351816432","0.0189330265379087","0.0282836770949553"
"3","2005","Part Time","direct migration background","11","","",""
"3","2005","Part Time","indirect migration background","7","","",""
"3","2005","Not Working","no migration background","116","0.0210367354332216","0.0175821459091132","0.02449132495733"
"3","2005","Not Working","direct migration background","12","","",""
"3","2005","Not Working","indirect migration background","9","","",""
"4","2005","Full Time","no migration background","1","","",""
"4","2005","Full Time","direct migration background","","","",""
"4","2005","Full Time","indirect migration background","","","",""
"4","2005","Part Time","no migration background","1","","",""
"4","2005","Part Time","direct migration background","","","",""
"4","2005","Part Time","indirect migration background","","","",""
"4","2005","Not Working","no migration background","","","",""
"4","2005","Not Working","direct migration background","","","",""
"4","2005","Not Working","indirect migration background","","","",""
"5","2005","Full Time","no migration background","","","",""
"5","2005","Full Time","direct migration background","","","",""
"5","2005","Full Time","indirect migration background","","","",""
"5","2005","Part Time","no migration background","","","",""
"5","2005","Part Time","direct migration background","","","",""
"5","2005","Part Time","indirect migration background","","","",""
"5","2005","Not Working","no migration background","35","0.00953231592805345","0.00719324468033369","0.0118713871757732"
"5","2005","Not Working","direct migration background","2","","",""
"5","2005","Not Working","indirect migration background","","","",""
"1","2006","Full Time","no migration background","4153","0.474786969939464","0.463341926479696","0.486232013399232"
"1","2006","Full Time","direct migration background","322","0.333673437904091","0.300999048648162","0.366347827160021"
"1","2006","Full Time","indirect migration background","122","0.287136547859563","0.238616382793597","0.335656712925528"
"1","2006","Part Time","no migration background","2453","0.493044271049425","0.477990447020015","0.508098095078836"
"1","2006","Part Time","direct migration background","222","0.311096395138114","0.272856154934647","0.349336635341582"
"1","2006","Part Time","indirect migration background","84","0.347419776630936","0.286281336651474","0.408558216610398"
"1","2006","Not Working","no migration background","4381","0.510362594019872","0.499099364443795","0.521625823595949"
"1","2006","Not Working","direct migration background","300","0.229470672663447","0.203865577500042","0.255075767826852"
"1","2006","Not Working","indirect migration background","119","0.316405171314185","0.263423774212015","0.369386568416355"
"2","2006","Full Time","no migration background","3028","0.502866859233962","0.49140742518005","0.514326293287873"
"2","2006","Full Time","direct migration background","453","0.626336880549989","0.592813546278187","0.659860214821791"
"2","2006","Full Time","indirect migration background","204","0.673865487647898","0.623589588722921","0.724141386572876"
"2","2006","Part Time","no migration background","1713","0.482162391003581","0.467116693727234","0.497208088279928"
"2","2006","Part Time","direct migration background","329","0.662311676616697","0.62324710003444","0.701376253198953"
"2","2006","Part Time","indirect migration background","145","0.636367845707316","0.574601005651878","0.698134685762753"
"2","2006","Not Working","no migration background","3036","0.463301652095009","0.452066388198694","0.474536915991325"
"2","2006","Not Working","direct migration background","725","0.753426758447858","0.727180844183169","0.779672672712548"
"2","2006","Not Working","indirect migration background","173","0.643905981914412","0.589355850089893","0.698456113738931"
"3","2006","Full Time","no migration background","129","0.0217848632795055","0.0184391022908605","0.0251306242681506"
"3","2006","Full Time","direct migration background","25","","",""
"3","2006","Full Time","indirect migration background","8","","",""
"3","2006","Part Time","no migration background","71","0.0247933379469934","0.020111302592037","0.0294753733019498"
"3","2006","Part Time","direct migration background","12","","",""
"3","2006","Part Time","indirect migration background","4","","",""
"3","2006","Not Working","no migration background","108","0.0180132044909194","0.0150165647298942","0.0210098442519446"
"3","2006","Not Working","direct migration background","8","","",""
"3","2006","Not Working","indirect migration background","4","","",""
"4","2006","Full Time","no migration background","2","","",""
"4","2006","Full Time","direct migration background","","","",""
"4","2006","Full Time","indirect migration background","","","",""
"4","2006","Part Time","no migration background","","","",""
"4","2006","Part Time","direct migration background","","","",""
"4","2006","Part Time","indirect migration background","","","",""
"4","2006","Not Working","no migration background","","","",""
"4","2006","Not Working","direct migration background","","","",""
"4","2006","Not Working","indirect migration background","","","",""
"5","2006","Full Time","no migration background","1","","",""
"5","2006","Full Time","direct migration background","","","",""
"5","2006","Full Time","indirect migration background","","","",""
"5","2006","Part Time","no migration background","","","",""
"5","2006","Part Time","direct migration background","","","",""
"5","2006","Part Time","indirect migration background","","","",""
"5","2006","Not Working","no migration background","42","0.00832254939419927","0.00627563521808788","0.0103694635703107"
"5","2006","Not Working","direct migration background","3","","",""
"5","2006","Not Working","indirect migration background","","","",""
"1","2007","Full Time","no migration background","3928","0.486296868846154","0.474459012696331","0.498134724995976"
"1","2007","Full Time","direct migration background","295","0.340951813526086","0.305960631009884","0.375942996042289"
"1","2007","Full Time","indirect migration background","123","0.318111024236656","0.267860879655599","0.368361168817713"
"1","2007","Part Time","no migration background","2279","0.49671386171002","0.481141261919337","0.512286461500703"
"1","2007","Part Time","direct migration background","194","0.277156746472374","0.239544139627382","0.314769353317366"
"1","2007","Part Time","indirect migration background","70","0.272876513587957","0.214673697620683","0.33107932955523"
"1","2007","Not Working","no migration background","4122","0.51884694051347","0.507276180892028","0.530417700134912"
"1","2007","Not Working","direct migration background","275","0.230739808161292","0.203214972837342","0.258264643485241"
"1","2007","Not Working","indirect migration background","121","0.339014367451711","0.284532227951687","0.393496506951735"
"2","2007","Full Time","no migration background","2802","0.487174776048031","0.475336368102664","0.499013183993397"
"2","2007","Full Time","direct migration background","398","0.635168838072237","0.599634838953121","0.670702837191353"
"2","2007","Full Time","indirect migration background","195","0.631903419313049","0.579868202867329","0.68393863575877"
"2","2007","Part Time","no migration background","1617","0.479443134821081","0.463883366027623","0.495002903614539"
"2","2007","Part Time","direct migration background","337","0.693808643351835","0.655077086195578","0.732540200508093"
"2","2007","Part Time","indirect migration background","146","0.661947809153435","0.600137547227598","0.723758071079272"
"2","2007","Not Working","no migration background","2891","0.452786792403277","0.441259540706896","0.464314044099657"
"2","2007","Not Working","direct migration background","608","0.743356645244302","0.714820818324926","0.771892472163677"
"2","2007","Not Working","indirect migration background","163","0.650357304962928","0.595474369370179","0.705240240555677"
"3","2007","Full Time","no migration background","116","0.0257164267316771","0.0219674372911713","0.0294654161721828"
"3","2007","Full Time","direct migration background","11","","",""
"3","2007","Full Time","indirect migration background","12","","",""
"3","2007","Part Time","no migration background","63","0.0237876624332971","0.0190414351935326","0.0285338896730616"
"3","2007","Part Time","direct migration background","12","","",""
"3","2007","Part Time","indirect migration background","9","","",""
"3","2007","Not Working","no migration background","107","0.0191701815576971","0.0159946929523767","0.0223456701630176"
"3","2007","Not Working","direct migration background","13","","",""
"3","2007","Not Working","indirect migration background","6","","",""
"4","2007","Full Time","no migration background","1","","",""
"4","2007","Full Time","direct migration background","","","",""
"4","2007","Full Time","indirect migration background","","","",""
"4","2007","Part Time","no migration background","1","","",""
"4","2007","Part Time","direct migration background","","","",""
"4","2007","Part Time","indirect migration background","","","",""
"4","2007","Not Working","no migration background","","","",""
"4","2007","Not Working","direct migration background","","","",""
"4","2007","Not Working","indirect migration background","","","",""
"5","2007","Full Time","no migration background","1","","",""
"5","2007","Full Time","direct migration background","1","","",""
"5","2007","Full Time","indirect migration background","","","",""
"5","2007","Part Time","no migration background","","","",""
"5","2007","Part Time","direct migration background","1","","",""
"5","2007","Part Time","indirect migration background","","","",""
"5","2007","Not Working","no migration background","43","0.00919608552555637","0.00698555776583252","0.0114066132852802"
"5","2007","Not Working","direct migration background","4","","",""
"5","2007","Not Working","indirect migration background","","","",""
"1","2008","Full Time","no migration background","3756","0.497203312996647","0.485077204219886","0.509329421773408"
"1","2008","Full Time","direct migration background","280","0.343849466740107","0.306817611293502","0.380881322186712"
"1","2008","Full Time","indirect migration background","132","0.370865865317779","0.319597324449413","0.422134406186144"
"1","2008","Part Time","no migration background","2170","0.505241562176204","0.489177166392747","0.521305957959661"
"1","2008","Part Time","direct migration background","169","0.333371343830675","0.291154432485732","0.375588255175619"
"1","2008","Part Time","indirect migration background","81","0.303591262914835","0.243510758262362","0.363671767567308"
"1","2008","Not Working","no migration background","3886","0.525532061988651","0.513560993538609","0.537503130438694"
"1","2008","Not Working","direct migration background","257","0.226650066654412","0.197800467587604","0.25549966572122"
"1","2008","Not Working","indirect migration background","112","0.309207389241287","0.253457385456281","0.364957393026294"
"2","2008","Full Time","no migration background","2648","0.475444522396206","0.463332856379845","0.487556188412568"
"2","2008","Full Time","direct migration background","347","0.642634284146774","0.605272471323032","0.679996096970515"
"2","2008","Full Time","indirect migration background","202","0.613968957526984","0.562296963283885","0.665640951770083"
"2","2008","Part Time","no migration background","1507","0.480623493321238","0.464570282677922","0.496676703964554"
"2","2008","Part Time","direct migration background","301","0.652329960345093","0.609682062372577","0.69497785831761"
"2","2008","Part Time","indirect migration background","134","0.660166011399009","0.598276533521496","0.722055489276522"
"2","2008","Not Working","no migration background","2641","0.436913097571087","0.425022186936325","0.448804008205849"
"2","2008","Not Working","direct migration background","531","0.744637668265478","0.714589033243804","0.774686303287152"
"2","2008","Not Working","indirect migration background","149","0.647694508556605","0.590072161829758","0.705316855283452"
"3","2008","Full Time","no migration background","125","0.0265322078650552","0.0226345318350335","0.0304298838950769"
"3","2008","Full Time","direct migration background","5","","",""
"3","2008","Full Time","indirect migration background","7","","",""
"3","2008","Part Time","no migration background","43","0.0140800993231027","0.0102944364867379","0.0178657621594676"
"3","2008","Part Time","direct migration background","9","","",""
"3","2008","Part Time","indirect migration background","10","","",""
"3","2008","Not Working","no migration background","115","0.0271704409000438","0.023272846951299","0.0310680348487887"
"3","2008","Not Working","direct migration background","17","","",""
"3","2008","Not Working","indirect migration background","3","","",""
"4","2008","Full Time","no migration background","1","","",""
"4","2008","Full Time","direct migration background","","","",""
"4","2008","Full Time","indirect migration background","","","",""
"4","2008","Part Time","no migration background","1","","",""
"4","2008","Part Time","direct migration background","","","",""
"4","2008","Part Time","indirect migration background","","","",""
"4","2008","Not Working","no migration background","","","",""
"4","2008","Not Working","direct migration background","","","",""
"4","2008","Not Working","indirect migration background","","","",""
"5","2008","Full Time","no migration background","1","","",""
"5","2008","Full Time","direct migration background","","","",""
"5","2008","Full Time","indirect migration background","","","",""
"5","2008","Part Time","no migration background","","","",""
"5","2008","Part Time","direct migration background","","","",""
"5","2008","Part Time","indirect migration background","","","",""
"5","2008","Not Working","no migration background","42","0.0103843995402173","0.00795413342562219","0.0128146656548125"
"5","2008","Not Working","direct migration background","4","","",""
"5","2008","Not Working","indirect migration background","","","",""
"1","2009","Full Time","no migration background","3556","0.494030662808655","0.481558579467275","0.506502746150035"
"1","2009","Full Time","direct migration background","247","0.373258160099477","0.332119529592199","0.414396790606756"
"1","2009","Full Time","indirect migration background","116","0.360191243248766","0.30675217107914","0.413630315418392"
"1","2009","Part Time","no migration background","2024","0.497646689315295","0.481243057569131","0.514050321061459"
"1","2009","Part Time","direct migration background","173","0.356445150024632","0.312291357525977","0.400598942523288"
"1","2009","Part Time","indirect migration background","81","0.309056758470889","0.246705220179685","0.371408296762093"
"1","2009","Not Working","no migration background","3620","0.537619889286418","0.525197355849775","0.550042422723061"
"1","2009","Not Working","direct migration background","220","0.231893874882988","0.20047166488991","0.263316084876065"
"1","2009","Not Working","indirect migration background","104","0.35505545095167","0.294003243670002","0.416107658233338"
"2","2009","Full Time","no migration background","2498","0.479704661461305","0.467241968679295","0.492167354243316"
"2","2009","Full Time","direct migration background","275","0.605075441924469","0.563497531024269","0.646653352824669"
"2","2009","Full Time","indirect migration background","189","0.630956320777796","0.577240059513417","0.684672582042175"
"2","2009","Part Time","no migration background","1475","0.479103231518444","0.46271375060996","0.495492712426928"
"2","2009","Part Time","direct migration background","269","0.617705618513066","0.572906588881496","0.662504648144635"
"2","2009","Part Time","indirect migration background","123","0.614469248235516","0.548796309209673","0.680142187261359"
"2","2009","Not Working","no migration background","2425","0.432192584142104","0.419849828699976","0.444535339584232"
"2","2009","Not Working","direct migration background","450","0.727054921495721","0.693888186789768","0.760221656201675"
"2","2009","Not Working","indirect migration background","129","0.627755680955119","0.566081774941293","0.689429586968944"
"3","2009","Full Time","no migration background","117","0.0254084249140977","0.0214828781916967","0.0293339716364986"
"3","2009","Full Time","direct migration background","9","","",""
"3","2009","Full Time","indirect migration background","5","","",""
"3","2009","Part Time","no migration background","69","0.0231962470356269","0.0182578348062472","0.0281346592650066"
"3","2009","Part Time","direct migration background","10","","",""
"3","2009","Part Time","indirect migration background","7","","",""
"3","2009","Not Working","no migration background","107","0.0208446500281543","0.0172850922800513","0.0244042077762572"
"3","2009","Not Working","direct migration background","20","","",""
"3","2009","Not Working","indirect migration background","3","","",""
"4","2009","Full Time","no migration background","1","","",""
"4","2009","Full Time","direct migration background","","","",""
"4","2009","Full Time","indirect migration background","","","",""
"4","2009","Part Time","no migration background","1","","",""
"4","2009","Part Time","direct migration background","","","",""
"4","2009","Part Time","indirect migration background","","","",""
"4","2009","Not Working","no migration background","","","",""
"4","2009","Not Working","direct migration background","","","",""
"4","2009","Not Working","indirect migration background","","","",""
"5","2009","Full Time","no migration background","1","","",""
"5","2009","Full Time","direct migration background","","","",""
"5","2009","Full Time","indirect migration background","","","",""
"5","2009","Part Time","no migration background","","","",""
"5","2009","Part Time","direct migration background","","","",""
"5","2009","Part Time","indirect migration background","","","",""
"5","2009","Not Working","no migration background","36","0.00934287654332313","0.00694583849904457","0.0117399145876017"
"5","2009","Not Working","direct migration background","3","","",""
"5","2009","Not Working","indirect migration background","","","",""
"1","2010","Full Time","no migration background","4364","0.503767215982274","0.492717365422425","0.514817066542123"
"1","2010","Full Time","direct migration background","400","0.425079901107471","0.39334192958811","0.456817872626832"
"1","2010","Full Time","indirect migration background","188","0.379618920006299","0.335174366365218","0.424063473647381"
"1","2010","Part Time","no migration background","2709","0.503818225838309","0.490279392793503","0.517357058883116"
"1","2010","Part Time","direct migration background","249","0.346487331840316","0.312942236561504","0.380032427119128"
"1","2010","Part Time","indirect migration background","114","0.344676534004906","0.294671114849859","0.394681953159952"
"1","2010","Not Working","no migration background","3897","0.541862660674807","0.530337192613372","0.553388128736241"
"1","2010","Not Working","direct migration background","324","0.241634885056065","0.217574626275669","0.26569514383646"
"1","2010","Not Working","indirect migration background","156","0.362879645311292","0.317058076777992","0.408701213844592"
"2","2010","Full Time","no migration background","3363","0.474603967854115","0.463568066642322","0.485639869065908"
"2","2010","Full Time","direct migration background","526","0.565195895065721","0.533369573087221","0.59702221704422"
"2","2010","Full Time","indirect migration background","265","0.591745716625957","0.546731645947502","0.636759787304412"
"2","2010","Part Time","no migration background","2447","0.470242342833835","0.456727114745844","0.483757570921827"
"2","2010","Part Time","direct migration background","513","0.626014085922226","0.59190437653203","0.660123795312423"
"2","2010","Part Time","indirect migration background","226","0.601786926347119","0.55028037350622","0.653293479188018"
"2","2010","Not Working","no migration background","3134","0.42754189272482","0.416097907003118","0.438985878446522"
"2","2010","Not Working","direct migration background","872","0.729091372067765","0.704111874353696","0.754070869781835"
"2","2010","Not Working","indirect migration background","262","0.625892447450146","0.579779168887593","0.672005726012698"
"3","2010","Full Time","no migration background","133","0.0207367907219675","0.0175874531155862","0.0238861283283488"
"3","2010","Full Time","direct migration background","6","","",""
"3","2010","Full Time","indirect migration background","5","","",""
"3","2010","Part Time","no migration background","81","0.0249954640229588","0.0207682152023772","0.0292227128435404"
"3","2010","Part Time","direct migration background","11","","",""
"3","2010","Part Time","indirect migration background","6","","",""
"3","2010","Not Working","no migration background","110","0.0205162603523151","0.0172370911193941","0.0237954295852361"
"3","2010","Not Working","direct migration background","18","","",""
"3","2010","Not Working","indirect migration background","5","","",""
"4","2010","Full Time","no migration background","3","","",""
"4","2010","Full Time","direct migration background","","","",""
"4","2010","Full Time","indirect migration background","","","",""
"4","2010","Part Time","no migration background","1","","",""
"4","2010","Part Time","direct migration background","","","",""
"4","2010","Part Time","indirect migration background","","","",""
"4","2010","Not Working","no migration background","3","","",""
"4","2010","Not Working","direct migration background","","","",""
"4","2010","Not Working","indirect migration background","","","",""
"5","2010","Full Time","no migration background","2","","",""
"5","2010","Full Time","direct migration background","","","",""
"5","2010","Full Time","indirect migration background","","","",""
"5","2010","Part Time","no migration background","1","","",""
"5","2010","Part Time","direct migration background","","","",""
"5","2010","Part Time","indirect migration background","1","","",""
"5","2010","Not Working","no migration background","35","0.00982987317218556","0.00754771899297441","0.0121120273513967"
"5","2010","Not Working","direct migration background","2","","",""
"5","2010","Not Working","indirect migration background","","","",""
"1","2011","Full Time","no migration background","5130","0.513934092852725","0.503671844279223","0.524196341426227"
"1","2011","Full Time","direct migration background","451","0.430708063864554","0.400799681590335","0.460616446138774"
"1","2011","Full Time","indirect migration background","195","0.387422596106049","0.343795802597085","0.431049389615013"
"1","2011","Part Time","no migration background","3337","0.515957229348201","0.503670422428306","0.528244036268096"
"1","2011","Part Time","direct migration background","317","0.344151098922718","0.312938526315817","0.375363671529619"
"1","2011","Part Time","indirect migration background","155","0.349714149915005","0.304744969537245","0.394683330292766"
"1","2011","Not Working","no migration background","4810","0.539393563431453","0.529013544772735","0.549773582090171"
"1","2011","Not Working","direct migration background","410","0.289029544756142","0.264731054870455","0.313328034641828"
"1","2011","Not Working","indirect migration background","183","0.334943928542226","0.293533187291948","0.376354669792505"
"2","2011","Full Time","no migration background","3851","0.464504943123127","0.454264608728776","0.474745277517477"
"2","2011","Full Time","direct migration background","591","0.560033768145799","0.530052452616305","0.590015083675293"
"2","2011","Full Time","indirect migration background","275","0.587828876164816","0.543748572906165","0.631909179423467"
"2","2011","Part Time","no migration background","2930","0.464661337725941","0.452399010891003","0.476923664560879"
"2","2011","Part Time","direct migration background","563","0.637477354628908","0.605894379465179","0.669060329792636"
"2","2011","Part Time","indirect migration background","274","0.629390582260961","0.583847275178498","0.674933889343424"
"2","2011","Not Working","no migration background","3895","0.432874987075813","0.422556859342367","0.443193114809259"
"2","2011","Not Working","direct migration background","910","0.692253611263839","0.667512939638216","0.716994282889461"
"2","2011","Not Working","indirect migration background","311","0.635908159056412","0.59368988349507","0.678126434617755"
"3","2011","Full Time","no migration background","127","0.0209274770505267","0.0179884261745303","0.0238665279265231"
"3","2011","Full Time","direct migration background","11","","",""
"3","2011","Full Time","indirect migration background","9","","",""
"3","2011","Part Time","no migration background","86","0.0186849100314419","0.0153557087150627","0.0220141113478211"
"3","2011","Part Time","direct migration background","10","","",""
"3","2011","Part Time","indirect migration background","3","","",""
"3","2011","Not Working","no migration background","102","0.0181930879014673","0.015409874514764","0.0209763012881706"
"3","2011","Not Working","direct migration background","16","","",""
"3","2011","Not Working","indirect migration background","4","","",""
"4","2011","Full Time","no migration background","3","","",""
"4","2011","Full Time","direct migration background","","","",""
"4","2011","Full Time","indirect migration background","","","",""
"4","2011","Part Time","no migration background","1","","",""
"4","2011","Part Time","direct migration background","","","",""
"4","2011","Part Time","indirect migration background","","","",""
"4","2011","Not Working","no migration background","3","","",""
"4","2011","Not Working","direct migration background","","","",""
"4","2011","Not Working","indirect migration background","","","",""
"5","2011","Full Time","no migration background","1","","",""
"5","2011","Full Time","direct migration background","","","",""
"5","2011","Full Time","indirect migration background","","","",""
"5","2011","Part Time","no migration background","1","","",""
"5","2011","Part Time","direct migration background","","","",""
"5","2011","Part Time","indirect migration background","","","",""
"5","2011","Not Working","no migration background","48","0.00932583674206687","0.00732418012936266","0.0113274933547711"
"5","2011","Not Working","direct migration background","1","","",""
"5","2011","Not Working","indirect migration background","1","","",""
"1","2012","Full Time","no migration background","4934","0.505541734451563","0.495139378597982","0.515944090305143"
"1","2012","Full Time","direct migration background","462","0.412526459172574","0.383029566880904","0.442023351464245"
"1","2012","Full Time","indirect migration background","201","0.392313050606926","0.349472588107325","0.435153513106527"
"1","2012","Part Time","no migration background","3278","0.519639745669385","0.507213583854417","0.532065907484354"
"1","2012","Part Time","direct migration background","318","0.356124455316983","0.323409220822653","0.388839689811313"
"1","2012","Part Time","indirect migration background","170","0.354298607252541","0.309658073320292","0.39893914118479"
"1","2012","Not Working","no migration background","4753","0.543703453955974","0.533265312827759","0.55414159508419"
"1","2012","Not Working","direct migration background","356","0.297511325743924","0.271404933386799","0.32361771810105"
"1","2012","Not Working","indirect migration background","162","0.361004777647222","0.315818298148888","0.406191257145556"
"2","2012","Full Time","no migration background","3814","0.475315688546611","0.464925378844782","0.485705998248441"
"2","2012","Full Time","direct migration background","603","0.582537404539028","0.552989485875176","0.61208532320288"
"2","2012","Full Time","indirect migration background","291","0.582195391777144","0.538922211610821","0.625468571943466"
"2","2012","Part Time","no migration background","2843","0.45621768280692","0.443829691594546","0.468605674019294"
"2","2012","Part Time","direct migration background","499","0.636622023086843","0.603761966729668","0.669482079444017"
"2","2012","Part Time","indirect migration background","265","0.599151724552","0.553412666883741","0.64489078222026"
"2","2012","Not Working","no migration background","3847","0.431112366625535","0.420734047644213","0.441490685606857"
"2","2012","Not Working","direct migration background","813","0.688405494343889","0.661957514495965","0.714853474191813"
"2","2012","Not Working","indirect migration background","267","0.609012713366479","0.563103724917746","0.654921701815212"
