"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2000","66 and older","higher vocational","","","","","","","","","","","","","",""
"2000","66 and older","in school","","","","","","","","","","","","","",""
"2000","66 and older","inadequately","","","","","","","","","","","","","",""
"2000","66 and older","middle vocational","","","","","","","","","","","","","",""
"2000","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"2001","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"2001","16-34 y.","higher education","","","","","","","","","","","","","",""
"2001","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"2001","16-34 y.","in school","","","","","","","","","","","","","",""
"2001","16-34 y.","inadequately","","","","","","","","","","","","","",""
"2001","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"2001","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"2001","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"2001","35-65 y.","higher education","","","","","","","","","","","","","",""
"2001","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"2001","35-65 y.","in school","","","","","","","","","","","","","",""
"2001","35-65 y.","inadequately","","","","","","","","","","","","","",""
"2001","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"2001","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"2001","66 and older","general elemantary","","","","","","","","","","","","","",""
"2001","66 and older","higher education","","","","","","","","","","","","","",""
"2001","66 and older","higher vocational","","","","","","","","","","","","","",""
"2001","66 and older","in school","","","","","","","","","","","","","",""
"2001","66 and older","inadequately","","","","","","","","","","","","","",""
"2001","66 and older","middle vocational","","","","","","","","","","","","","",""
"2001","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"2002","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"2002","16-34 y.","higher education","","","","","","","","","","","","","",""
"2002","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"2002","16-34 y.","in school","","","","","","","","","","","","","",""
"2002","16-34 y.","inadequately","","","","","","","","","","","","","",""
"2002","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"2002","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"2002","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"2002","35-65 y.","higher education","","","","","","","","","","","","","",""
"2002","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"2002","35-65 y.","in school","","","","","","","","","","","","","",""
"2002","35-65 y.","inadequately","","","","","","","","","","","","","",""
"2002","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"2002","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"2002","66 and older","general elemantary","","","","","","","","","","","","","",""
"2002","66 and older","higher education","","","","","","","","","","","","","",""
"2002","66 and older","higher vocational","","","","","","","","","","","","","",""
"2002","66 and older","in school","","","","","","","","","","","","","",""
"2002","66 and older","inadequately","","","","","","","","","","","","","",""
"2002","66 and older","middle vocational","","","","","","","","","","","","","",""
"2002","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"2003","16-34 y.","general elemantary","","","","","","","","","","","","","",""
"2003","16-34 y.","higher education","","","","","","","","","","","","","",""
"2003","16-34 y.","higher vocational","","","","","","","","","","","","","",""
"2003","16-34 y.","in school","","","","","","","","","","","","","",""
"2003","16-34 y.","inadequately","","","","","","","","","","","","","",""
"2003","16-34 y.","middle vocational","","","","","","","","","","","","","",""
"2003","16-34 y.","vocational + Abi","","","","","","","","","","","","","",""
"2003","35-65 y.","general elemantary","","","","","","","","","","","","","",""
"2003","35-65 y.","higher education","","","","","","","","","","","","","",""
"2003","35-65 y.","higher vocational","","","","","","","","","","","","","",""
"2003","35-65 y.","in school","","","","","","","","","","","","","",""
"2003","35-65 y.","inadequately","","","","","","","","","","","","","",""
"2003","35-65 y.","middle vocational","","","","","","","","","","","","","",""
"2003","35-65 y.","vocational + Abi","","","","","","","","","","","","","",""
"2003","66 and older","general elemantary","","","","","","","","","","","","","",""
"2003","66 and older","higher education","","","","","","","","","","","","","",""
"2003","66 and older","higher vocational","","","","","","","","","","","","","",""
"2003","66 and older","in school","","","","","","","","","","","","","",""
"2003","66 and older","inadequately","","","","","","","","","","","","","",""
