"plh0032","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Big worries","1988","(2c_voc) vocational maturity certificate","Male","59","0.271724709713384","0.212673037764076","0.330776381662693"
"Big worries","1988","(3a) lower tertiary education","Female","","","",""
"Big worries","1988","(3a) lower tertiary education","Male","36","0.206204807904522","0.14484365921406","0.267565956594984"
"Big worries","1988","(3b) higher tertiary education","Female","32","0.194594312936955","0.13381906956369","0.25536955631022"
"Big worries","1988","(3b) higher tertiary education","Male","64","0.208122768105227","0.162412317587421","0.253833218623034"
"No worries","1988","(0) in school","Female","","","",""
"No worries","1988","(0) in school","Male","","","",""
"No worries","1988","(1a) inadequately completed","Female","131","0.264360287193046","0.222918912524819","0.305801661861272"
"No worries","1988","(1a) inadequately completed","Male","69","0.22168324760396","0.175142644756618","0.268223850451302"
"No worries","1988","(1b) general elementary school","Female","260","0.16650853751284","0.147535389586642","0.185481685439039"
"No worries","1988","(1b) general elementary school","Male","171","0.1660420061973","0.140787077906843","0.191296934487756"
"No worries","1988","(1c) basic vocational qualification","Female","170","0.117560645450421","0.100713048966772","0.13440824193407"
"No worries","1988","(1c) basic vocational qualification","Male","235","0.114424431965166","0.100462958529165","0.128385905401168"
"No worries","1988","(2a) intermediate vocational","Female","79","0.103914401816855","0.0817783949607454","0.126050408672965"
"No worries","1988","(2a) intermediate vocational","Male","63","0.114561319376315","0.0877482398523519","0.141374398900279"
"No worries","1988","(2b) intermediate general qualification","Female","51","0.191177758387647","0.144010820164658","0.238344696610635"
"No worries","1988","(2b) intermediate general qualification","Male","30","0.179928800923339","0.11926021766655","0.240597384180128"
"No worries","1988","(2c_gen) general maturity certificate","Female","","","",""
"No worries","1988","(2c_gen) general maturity certificate","Male","34","0.146882467458426","0.0998920549359717","0.193872879980881"
"No worries","1988","(2c_voc) vocational maturity certificate","Female","","","",""
"No worries","1988","(2c_voc) vocational maturity certificate","Male","","","",""
"No worries","1988","(3a) lower tertiary education","Female","","","",""
"No worries","1988","(3a) lower tertiary education","Male","","","",""
"No worries","1988","(3b) higher tertiary education","Female","","","",""
"No worries","1988","(3b) higher tertiary education","Male","47","0.156421897172974","0.115520494660727","0.19732329968522"
"Some worries","1988","(0) in school","Female","41","0.540754455651217","0.426437884406492","0.655071026895942"
"Some worries","1988","(0) in school","Male","51","0.57181479321046","0.469013965724403","0.674615620696517"
"Some worries","1988","(1a) inadequately completed","Female","235","0.532869451391368","0.485984549773991","0.579754353008744"
"Some worries","1988","(1a) inadequately completed","Male","181","0.555072176735896","0.4993911942749","0.610753159196892"
"Some worries","1988","(1b) general elementary school","Female","832","0.535319958799776","0.50991875556522","0.560721162034332"
"Some worries","1988","(1b) general elementary school","Male","448","0.519814406379512","0.485907061417549","0.553721751341476"
"Some worries","1988","(1c) basic vocational qualification","Female","805","0.561992092653059","0.53604010564819","0.587944079657929"
"Some worries","1988","(1c) basic vocational qualification","Male","1145","0.562927643377797","0.541172496670004","0.58468279008559"
"Some worries","1988","(2a) intermediate vocational","Female","476","0.656644112912684","0.622199291491556","0.691088934333812"
"Some worries","1988","(2a) intermediate vocational","Male","351","0.654977306120805","0.614956539369355","0.694998072872255"
"Some worries","1988","(2b) intermediate general qualification","Female","154","0.569468124629757","0.510075868136826","0.628860381122687"
"Some worries","1988","(2b) intermediate general qualification","Male","96","0.634584412916051","0.558529729108396","0.710639096723706"
"Some worries","1988","(2c_gen) general maturity certificate","Female","75","0.573534914907883","0.487521161048815","0.659548668766952"
"Some worries","1988","(2c_gen) general maturity certificate","Male","131","0.611210598908526","0.546500436316486","0.675920761500566"
