"hlf0094","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"Too Expensive","1996","Employed","Rural Area","15","","",""
"Very Inexpensive","1997","Not Employed","Urban Area","222","0.21343655970656","0.189988853211971","0.236884266201148"
"Very Inexpensive","1997","Not Employed","Rural Area","85","0.148921813740186","0.123594385635836","0.174249241844537"
"Very Inexpensive","1997","Employed","Urban Area","277","0.149984024585796","0.133873926431236","0.166094122740357"
"Very Inexpensive","1997","Employed","Rural Area","169","0.152023983015206","0.13337561056274","0.170672355467672"
"Inexpensive","1997","Not Employed","Urban Area","410","0.338916053869156","0.311828270914587","0.366003836823725"
"Inexpensive","1997","Not Employed","Rural Area","263","0.36757175680641","0.333270984519208","0.401872529093613"
"Inexpensive","1997","Employed","Urban Area","549","0.306224964068327","0.285428391234186","0.327021536902469"
"Inexpensive","1997","Employed","Rural Area","413","0.301577544831167","0.277740539477408","0.325414550184926"
"Reasonable","1997","Not Employed","Urban Area","468","0.390664194575623","0.36274330579547","0.418585083355775"
"Reasonable","1997","Not Employed","Rural Area","361","0.43174603316464","0.396507922174905","0.466984144154375"
"Reasonable","1997","Employed","Urban Area","863","0.438021578010863","0.415635927772338","0.460407228249387"
"Reasonable","1997","Employed","Rural Area","672","0.440422296890024","0.414637842512215","0.466206751267834"
"Slightly Expensive","1997","Not Employed","Urban Area","58","0.0453048152131865","0.033403262274768","0.0572063681516051"
"Slightly Expensive","1997","Not Employed","Rural Area","44","0.0450402977964994","0.0302859385917202","0.0597946570012785"
"Slightly Expensive","1997","Employed","Urban Area","149","0.0783464421075511","0.0662221711832387","0.0904707130318634"
"Slightly Expensive","1997","Employed","Rural Area","149","0.089527698843085","0.0746989272336416","0.104356470452529"
"Too Expensive","1997","Not Employed","Urban Area","15","","",""
"Too Expensive","1997","Not Employed","Rural Area","6","","",""
"Too Expensive","1997","Employed","Urban Area","49","0.0274229912274627","0.020054449406812","0.0347915330481134"
"Too Expensive","1997","Employed","Rural Area","21","","",""
"Very Inexpensive","1998","Not Employed","Urban Area","262","0.196656220384778","0.175798562061465","0.217513878708092"
"Very Inexpensive","1998","Not Employed","Rural Area","143","0.197088835495203","0.171313620046114","0.222864050944292"
"Very Inexpensive","1998","Employed","Urban Area","315","0.165285159049729","0.149330272293088","0.18124004580637"
"Very Inexpensive","1998","Employed","Rural Area","199","0.146033312375237","0.12890551835249","0.163161106397983"
"Inexpensive","1998","Not Employed","Urban Area","469","0.353282963961556","0.32819996353091","0.378365964392202"
"Inexpensive","1998","Not Employed","Rural Area","330","0.369298197465112","0.338027456357084","0.400568938573141"
"Inexpensive","1998","Employed","Urban Area","588","0.27535310351581","0.256165712121546","0.294540494910074"
"Inexpensive","1998","Employed","Rural Area","499","0.304714606678778","0.282390032288841","0.327039181068715"
"Reasonable","1998","Not Employed","Urban Area","563","0.385614021428901","0.360071836578053","0.411156206279748"
"Reasonable","1998","Not Employed","Rural Area","366","0.358852548063","0.327773012416804","0.389932083709197"
"Reasonable","1998","Employed","Urban Area","953","0.452518005713645","0.431137863928589","0.473898147498701"
"Reasonable","1998","Employed","Rural Area","744","0.445543653272425","0.421437172764526","0.469650133780325"
"Slightly Expensive","1998","Not Employed","Urban Area","84","0.0496307533975515","0.0382339617604077","0.0610275450346953"
"Slightly Expensive","1998","Not Employed","Rural Area","67","0.0592614436366114","0.0439626167838423","0.0745602704893804"
"Slightly Expensive","1998","Employed","Urban Area","185","0.0832486045957474","0.0713821221914599","0.0951150870000349"
"Slightly Expensive","1998","Employed","Rural Area","178","0.0976239793609617","0.083228470377063","0.11201948834486"
"Too Expensive","1998","Not Employed","Urban Area","17","","",""
"Too Expensive","1998","Not Employed","Rural Area","9","","",""
"Too Expensive","1998","Employed","Urban Area","41","0.0235951271250679","0.0170753333600099","0.0301149208901259"
"Too Expensive","1998","Employed","Rural Area","13","","",""
"Very Inexpensive","1999","Not Employed","Urban Area","240","0.204801392468543","0.182632798595909","0.226969986341176"
"Very Inexpensive","1999","Not Employed","Rural Area","125","0.183438896660918","0.157572321840099","0.209305471481737"
"Very Inexpensive","1999","Employed","Urban Area","339","0.150738219951168","0.135687729229758","0.165788710672577"
"Very Inexpensive","1999","Employed","Rural Area","229","0.156870811120893","0.139231844756781","0.174509777485005"
"Inexpensive","1999","Not Employed","Urban Area","437","0.352302221143376","0.326061378092503","0.378543064194248"
"Inexpensive","1999","Not Employed","Rural Area","337","0.441252770537562","0.408067124290561","0.474438416784562"
"Inexpensive","1999","Employed","Urban Area","623","0.302649343174247","0.283324603406502","0.321974082941991"
"Inexpensive","1999","Employed","Rural Area","541","0.339370917961985","0.316405669188563","0.362336166735406"
"Reasonable","1999","Not Employed","Urban Area","501","0.381152683218687","0.354473339880182","0.407832026557192"
"Reasonable","1999","Not Employed","Rural Area","349","0.32885305002696","0.297454570855753","0.360251529198166"
"Reasonable","1999","Employed","Urban Area","930","0.419911497016237","0.399150691926397","0.440672302106077"
"Reasonable","1999","Employed","Rural Area","697","0.422357122657666","0.398400553567355","0.446313691747977"
