"hlf0071_h","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Just right","1984","Baden-Württemberg","vocational + Abi","41","0.775362795838716","0.661929711502834","0.888795880174598"
"Just right","1984","Baden-Württemberg","higher vocational","85","0.729366163638924","0.648861875695196","0.809870451582653"
"Just right","1984","Baden-Württemberg","higher education","91","0.742341818281458","0.665978155621475","0.818705480941441"
"Just right","1984","Bavaria","in school","17","","",""
"Just right","1984","Bavaria","inadequately","78","0.742024897350527","0.659124934123919","0.824924860577136"
"Just right","1984","Bavaria","general elemantary","431","0.756031105320902","0.721376644473668","0.790685566168136"
"Just right","1984","Bavaria","middle vocational","772","0.763499881421923","0.737674211871708","0.789325550972138"
"Just right","1984","Bavaria","vocational + Abi","45","0.844017867972944","0.748126394349437","0.939909341596451"
"Just right","1984","Bavaria","higher vocational","98","0.74696564353505","0.672231945181575","0.821699341888525"
"Just right","1984","Bavaria","higher education","105","0.677801133787157","0.604702137422078","0.750900130152236"
"Just right","1984","Berlin","in school","6","","",""
"Just right","1984","Berlin","inadequately","19","","",""
"Just right","1984","Berlin","general elemantary","64","0.748514520494899","0.663478160254034","0.833550880735763"
"Just right","1984","Berlin","middle vocational","119","0.689636497748114","0.623327459553638","0.755945535942589"
"Just right","1984","Berlin","vocational + Abi","8","","",""
"Just right","1984","Berlin","higher vocational","20","","",""
"Just right","1984","Berlin","higher education","21","","",""
"Just right","1984","Brandenburg","in school","","","",""
"Just right","1984","Brandenburg","inadequately","","","",""
"Just right","1984","Brandenburg","general elemantary","","","",""
"Just right","1984","Brandenburg","middle vocational","","","",""
"Just right","1984","Brandenburg","vocational + Abi","","","",""
"Just right","1984","Brandenburg","higher vocational","","","",""
"Just right","1984","Brandenburg","higher education","","","",""
"Just right","1984","Mecklenburg-Western Pomerania","in school","","","",""
"Just right","1984","Mecklenburg-Western Pomerania","inadequately","","","",""
"Just right","1984","Mecklenburg-Western Pomerania","general elemantary","","","",""
"Just right","1984","Mecklenburg-Western Pomerania","middle vocational","","","",""
"Just right","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"Just right","1984","Mecklenburg-Western Pomerania","higher vocational","","","",""
"Just right","1984","Mecklenburg-Western Pomerania","higher education","","","",""
"Just right","1984","Saxony","in school","","","",""
"Just right","1984","Saxony","inadequately","","","",""
"Just right","1984","Saxony","general elemantary","","","",""
"Just right","1984","Saxony","middle vocational","","","",""
"Just right","1984","Saxony","vocational + Abi","","","",""
"Just right","1984","Saxony","higher vocational","","","",""
"Just right","1984","Saxony","higher education","","","",""
"Just right","1984","Saxony-Anhalt","in school","","","",""
"Just right","1984","Saxony-Anhalt","inadequately","","","",""
"Just right","1984","Saxony-Anhalt","general elemantary","","","",""
"Just right","1984","Saxony-Anhalt","middle vocational","","","",""
"Just right","1984","Saxony-Anhalt","vocational + Abi","","","",""
"Just right","1984","Saxony-Anhalt","higher vocational","","","",""
"Just right","1984","Saxony-Anhalt","higher education","","","",""
"Just right","1984","Thuringia","in school","","","",""
"Just right","1984","Thuringia","inadequately","","","",""
"Just right","1984","Thuringia","general elemantary","","","",""
"Just right","1984","Thuringia","middle vocational","","","",""
"Just right","1984","Thuringia","vocational + Abi","","","",""
"Just right","1984","Thuringia","higher vocational","","","",""
"Just right","1984","Thuringia","higher education","","","",""
"A little too big","1984","Schleswig-Holstein","in school","","","",""
"A little too big","1984","Schleswig-Holstein","inadequately","2","","",""
"A little too big","1984","Schleswig-Holstein","general elemantary","10","","",""
"A little too big","1984","Schleswig-Holstein","middle vocational","23","","",""
"A little too big","1984","Schleswig-Holstein","vocational + Abi","1","","",""
"A little too big","1984","Schleswig-Holstein","higher vocational","4","","",""
"A little too big","1984","Schleswig-Holstein","higher education","2","","",""
"A little too big","1984","Hamburg","in school","","","",""
"A little too big","1984","Hamburg","inadequately","1","","",""
"A little too big","1984","Hamburg","general elemantary","1","","",""
"A little too big","1984","Hamburg","middle vocational","9","","",""
"A little too big","1984","Hamburg","vocational + Abi","1","","",""
"A little too big","1984","Hamburg","higher vocational","","","",""
"A little too big","1984","Hamburg","higher education","","","",""
"A little too big","1984","Lower Saxony","in school","1","","",""
"A little too big","1984","Lower Saxony","inadequately","2","","",""
"A little too big","1984","Lower Saxony","general elemantary","22","","",""
"A little too big","1984","Lower Saxony","middle vocational","41","0.0707287948212957","0.0500595923451494","0.0913979972974421"
"A little too big","1984","Lower Saxony","vocational + Abi","1","","",""
"A little too big","1984","Lower Saxony","higher vocational","11","","",""
"A little too big","1984","Lower Saxony","higher education","5","","",""
"A little too big","1984","Bremen","in school","","","",""
"A little too big","1984","Bremen","inadequately","","","",""
"A little too big","1984","Bremen","general elemantary","2","","",""
"A little too big","1984","Bremen","middle vocational","5","","",""
"A little too big","1984","Bremen","vocational + Abi","1","","",""
"A little too big","1984","Bremen","higher vocational","","","",""
"A little too big","1984","Bremen","higher education","","","",""
"A little too big","1984","North Rhine-Westphalia","in school","3","","",""
"A little too big","1984","North Rhine-Westphalia","inadequately","8","","",""
"A little too big","1984","North Rhine-Westphalia","general elemantary","42","0.0616051210843518","0.0456283251925626","0.077581916976141"
"A little too big","1984","North Rhine-Westphalia","middle vocational","83","0.0640420907453438","0.0517783939157125","0.0763057875749752"
"A little too big","1984","North Rhine-Westphalia","vocational + Abi","12","","",""
"A little too big","1984","North Rhine-Westphalia","higher vocational","11","","",""
"A little too big","1984","North Rhine-Westphalia","higher education","16","","",""
"A little too big","1984","Hesse","in school","","","",""
"A little too big","1984","Hesse","inadequately","4","","",""
"A little too big","1984","Hesse","general elemantary","16","","",""
"A little too big","1984","Hesse","middle vocational","28","","",""
"A little too big","1984","Hesse","vocational + Abi","3","","",""
"A little too big","1984","Hesse","higher vocational","3","","",""
"A little too big","1984","Hesse","higher education","4","","",""
"A little too big","1984","Rhineland-Palatinate,Saarland","in school","1","","",""
"A little too big","1984","Rhineland-Palatinate,Saarland","inadequately","5","","",""
"A little too big","1984","Rhineland-Palatinate,Saarland","general elemantary","33","0.129029447252911","0.0909679285382117","0.167090965967611"
"A little too big","1984","Rhineland-Palatinate,Saarland","middle vocational","29","","",""
"A little too big","1984","Rhineland-Palatinate,Saarland","vocational + Abi","1","","",""
"A little too big","1984","Rhineland-Palatinate,Saarland","higher vocational","7","","",""
"A little too big","1984","Rhineland-Palatinate,Saarland","higher education","2","","",""
"A little too big","1984","Baden-Württemberg","in school","1","","",""
"A little too big","1984","Baden-Württemberg","inadequately","3","","",""
"A little too big","1984","Baden-Württemberg","general elemantary","31","0.0694114447954903","0.0504890600176714","0.0883338295733093"
"A little too big","1984","Baden-Württemberg","middle vocational","36","0.0500323451361858","0.0360955151132908","0.0639691751590808"
"A little too big","1984","Baden-Württemberg","vocational + Abi","1","","",""
"A little too big","1984","Baden-Württemberg","higher vocational","13","","",""
"A little too big","1984","Baden-Württemberg","higher education","4","","",""
"A little too big","1984","Bavaria","in school","1","","",""
"A little too big","1984","Bavaria","inadequately","5","","",""
"A little too big","1984","Bavaria","general elemantary","37","0.074154849761451","0.0530121207772875","0.0952975787456144"
"A little too big","1984","Bavaria","middle vocational","48","0.0481716815297264","0.0351578063955102","0.0611855566639426"
"A little too big","1984","Bavaria","vocational + Abi","1","","",""
"A little too big","1984","Bavaria","higher vocational","6","","",""
"A little too big","1984","Bavaria","higher education","8","","",""
"A little too big","1984","Berlin","in school","","","",""
"A little too big","1984","Berlin","inadequately","","","",""
"A little too big","1984","Berlin","general elemantary","2","","",""
"A little too big","1984","Berlin","middle vocational","8","","",""
"A little too big","1984","Berlin","vocational + Abi","","","",""
"A little too big","1984","Berlin","higher vocational","1","","",""
"A little too big","1984","Berlin","higher education","6","","",""
"A little too big","1984","Brandenburg","in school","","","",""
"A little too big","1984","Brandenburg","inadequately","","","",""
"A little too big","1984","Brandenburg","general elemantary","","","",""
"A little too big","1984","Brandenburg","middle vocational","","","",""
"A little too big","1984","Brandenburg","vocational + Abi","","","",""
"A little too big","1984","Brandenburg","higher vocational","","","",""
"A little too big","1984","Brandenburg","higher education","","","",""
"A little too big","1984","Mecklenburg-Western Pomerania","in school","","","",""
"A little too big","1984","Mecklenburg-Western Pomerania","inadequately","","","",""
"A little too big","1984","Mecklenburg-Western Pomerania","general elemantary","","","",""
"A little too big","1984","Mecklenburg-Western Pomerania","middle vocational","","","",""
"A little too big","1984","Mecklenburg-Western Pomerania","vocational + Abi","","","",""
"A little too big","1984","Mecklenburg-Western Pomerania","higher vocational","","","",""
"A little too big","1984","Mecklenburg-Western Pomerania","higher education","","","",""
"A little too big","1984","Saxony","in school","","","",""
"A little too big","1984","Saxony","inadequately","","","",""
"A little too big","1984","Saxony","general elemantary","","","",""
"A little too big","1984","Saxony","middle vocational","","","",""
"A little too big","1984","Saxony","vocational + Abi","","","",""
"A little too big","1984","Saxony","higher vocational","","","",""
"A little too big","1984","Saxony","higher education","","","",""
"A little too big","1984","Saxony-Anhalt","in school","","","",""
"A little too big","1984","Saxony-Anhalt","inadequately","","","",""
"A little too big","1984","Saxony-Anhalt","general elemantary","","","",""
"A little too big","1984","Saxony-Anhalt","middle vocational","","","",""
"A little too big","1984","Saxony-Anhalt","vocational + Abi","","","",""
"A little too big","1984","Saxony-Anhalt","higher vocational","","","",""
"A little too big","1984","Saxony-Anhalt","higher education","","","",""
"A little too big","1984","Thuringia","in school","","","",""
"A little too big","1984","Thuringia","inadequately","","","",""
"A little too big","1984","Thuringia","general elemantary","","","",""
"A little too big","1984","Thuringia","middle vocational","","","",""
"A little too big","1984","Thuringia","vocational + Abi","","","",""
"A little too big","1984","Thuringia","higher vocational","","","",""
"A little too big","1984","Thuringia","higher education","","","",""
"Much too big","1984","Schleswig-Holstein","in school","","","",""
"Much too big","1984","Schleswig-Holstein","inadequately","","","",""
"Much too big","1984","Schleswig-Holstein","general elemantary","","","",""
"Much too big","1984","Schleswig-Holstein","middle vocational","3","","",""
"Much too big","1984","Schleswig-Holstein","vocational + Abi","","","",""
"Much too big","1984","Schleswig-Holstein","higher vocational","2","","",""
"Much too big","1984","Schleswig-Holstein","higher education","1","","",""
"Much too big","1984","Hamburg","in school","","","",""
"Much too big","1984","Hamburg","inadequately","","","",""
"Much too big","1984","Hamburg","general elemantary","","","",""
