"hlf0071_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"A little too small","1988","Couple + C. LE 16 ","West Germany","37","0.136241080764546","0.0966222039096825","0.175859957619409"
"A little too small","1988","Couple + C. LE 16 ","East Germany","","","",""
"A little too small","1988","Couple + C. GT 16 ","West Germany","16","","",""
"A little too small","1988","Couple + C. GT 16 ","East Germany","","","",""
"A little too small","1988","Couple + C. LE and GT 16","West Germany","11","","",""
"A little too small","1988","Couple + C. LE and GT 16","East Germany","","","",""
"Just right","1988","1-pers.-HH","West Germany","110","0.666547676777256","0.593497615764266","0.739597737790245"
"Just right","1988","1-pers.-HH","East Germany","","","",""
"Just right","1988","(Married) couple without C. ","West Germany","230","0.767491782976309","0.720618344382059","0.814365221570559"
"Just right","1988","(Married) couple without C. ","East Germany","","","",""
"Just right","1988","Single parent ","West Germany","34","0.728711140759768","0.609008469949819","0.848413811569716"
"Just right","1988","Single parent ","East Germany","","","",""
"Just right","1988","Couple + C. LE 16 ","West Germany","231","0.807143964866208","0.761577643786924","0.852710285945493"
"Just right","1988","Couple + C. LE 16 ","East Germany","","","",""
"Just right","1988","Couple + C. GT 16 ","West Germany","56","0.71125288249246","0.611320695063898","0.811185069921023"
"Just right","1988","Couple + C. GT 16 ","East Germany","","","",""
"Just right","1988","Couple + C. LE and GT 16","West Germany","41","0.700788917533364","0.582942456657949","0.818635378408778"
"Just right","1988","Couple + C. LE and GT 16","East Germany","","","",""
"A little too big","1988","1-pers.-HH","West Germany","12","","",""
"A little too big","1988","1-pers.-HH","East Germany","","","",""
"A little too big","1988","(Married) couple without C. ","West Germany","23","","",""
"A little too big","1988","(Married) couple without C. ","East Germany","","","",""
"A little too big","1988","Single parent ","West Germany","","","",""
"A little too big","1988","Single parent ","East Germany","","","",""
"A little too big","1988","Couple + C. LE 16 ","West Germany","12","","",""
"A little too big","1988","Couple + C. LE 16 ","East Germany","","","",""
"A little too big","1988","Couple + C. GT 16 ","West Germany","2","","",""
"A little too big","1988","Couple + C. GT 16 ","East Germany","","","",""
"A little too big","1988","Couple + C. LE and GT 16","West Germany","6","","",""
"A little too big","1988","Couple + C. LE and GT 16","East Germany","","","",""
"Much too big","1988","1-pers.-HH","West Germany","","","",""
"Much too big","1988","1-pers.-HH","East Germany","","","",""
"Much too big","1988","(Married) couple without C. ","West Germany","","","",""
"Much too big","1988","(Married) couple without C. ","East Germany","","","",""
"Much too big","1988","Single parent ","West Germany","","","",""
"Much too big","1988","Single parent ","East Germany","","","",""
"Much too big","1988","Couple + C. LE 16 ","West Germany","","","",""
"Much too big","1988","Couple + C. LE 16 ","East Germany","","","",""
"Much too big","1988","Couple + C. GT 16 ","West Germany","3","","",""
"Much too big","1988","Couple + C. GT 16 ","East Germany","","","",""
"Much too big","1988","Couple + C. LE and GT 16","West Germany","","","",""
"Much too big","1988","Couple + C. LE and GT 16","East Germany","","","",""
"Much too small","1989","1-pers.-HH","West Germany","8","","",""
"Much too small","1989","1-pers.-HH","East Germany","","","",""
"Much too small","1989","(Married) couple without C. ","West Germany","13","","",""
"Much too small","1989","(Married) couple without C. ","East Germany","","","",""
"Much too small","1989","Single parent ","West Germany","3","","",""
"Much too small","1989","Single parent ","East Germany","","","",""
"Much too small","1989","Couple + C. LE 16 ","West Germany","14","","",""
"Much too small","1989","Couple + C. LE 16 ","East Germany","","","",""
"Much too small","1989","Couple + C. GT 16 ","West Germany","","","",""
"Much too small","1989","Couple + C. GT 16 ","East Germany","","","",""
"Much too small","1989","Couple + C. LE and GT 16","West Germany","","","",""
