"plj0014_v3","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2015","Hesse","inadequately","19","","",""
"Yes","2015","Hesse","general elemantary","144","0.754758676502575","0.696007662913944","0.813509690091205"
"Yes","2015","Hesse","middle vocational","650","0.87145264173205","0.84778140469211","0.895123878771991"
"Yes","2015","Hesse","vocational + Abi","124","0.756270409758671","0.692841909845572","0.81969890967177"
"Yes","2015","Hesse","higher vocational","78","1","1","1"
"Yes","2015","Hesse","higher education","422","0.885354265927456","0.858704131095644","0.912004400759268"
"Yes","2015","Rhineland-Palatinate,Saarland","in school","17","","",""
"Yes","2015","Rhineland-Palatinate,Saarland","inadequately","13","","",""
"Yes","2015","Rhineland-Palatinate,Saarland","general elemantary","190","0.773057562231002","0.724598956206753","0.821516168255251"
"Yes","2015","Rhineland-Palatinate,Saarland","middle vocational","653","0.936810388412218","0.919280428493471","0.954340348330965"
"Yes","2015","Rhineland-Palatinate,Saarland","vocational + Abi","93","0.871246636091422","0.811070477623396","0.931422794559449"
"Yes","2015","Rhineland-Palatinate,Saarland","higher vocational","91","0.995578542242171","0.982094282156017","1.00906280232833"
"Yes","2015","Rhineland-Palatinate,Saarland","higher education","246","0.913291059201963","0.88079068280381","0.945791435600115"
"Yes","2015","Baden-Württemberg","in school","42","0.97834939537941","0.935826400988146","1.02087238977067"
"Yes","2015","Baden-Württemberg","inadequately","20","","",""
"Yes","2015","Baden-Württemberg","general elemantary","260","0.73651161339608","0.691865585257602","0.781157641534557"
"Yes","2015","Baden-Württemberg","middle vocational","1173","0.910159229305679","0.894989522450086","0.925328936161273"
"Yes","2015","Baden-Württemberg","vocational + Abi","188","0.788852905445132","0.74044042471734","0.837265386172924"
"Yes","2015","Baden-Württemberg","higher vocational","193","0.935832099197633","0.90236852191297","0.969295676482296"
"Yes","2015","Baden-Württemberg","higher education","689","0.867662886332103","0.844989270349436","0.89033650231477"
"Yes","2015","Bavaria","in school","38","0.932431956408475","0.858266615122352","1.0065972976946"
"Yes","2015","Bavaria","inadequately","31","0.559731281120136","0.441742058735378","0.677720503504895"
"Yes","2015","Bavaria","general elemantary","342","0.801183904199401","0.764711780375242","0.83765602802356"
"Yes","2015","Bavaria","middle vocational","1911","0.927908386686472","0.916898696885895","0.938918076487048"
"Yes","2015","Bavaria","vocational + Abi","216","0.759786315237812","0.713693235453511","0.805879395022113"
"Yes","2015","Bavaria","higher vocational","261","0.950729008958758","0.924912932979676","0.97654508493784"
"Yes","2015","Bavaria","higher education","805","0.849049872346985","0.827250120188367","0.870849624505604"
"Yes","2015","Berlin","in school","11","","",""
"Yes","2015","Berlin","inadequately","10","","",""
"Yes","2015","Berlin","general elemantary","55","0.871769102059668","0.791106319184668","0.952431884934668"
"Yes","2015","Berlin","middle vocational","336","0.963246986094824","0.943864516355139","0.98262945583451"
"Yes","2015","Berlin","vocational + Abi","48","0.661074240730678","0.543251355757096","0.77889712570426"
"Yes","2015","Berlin","higher vocational","59","0.965568004017866","0.919811197529095","1.01132481050664"
"Yes","2015","Berlin","higher education","322","0.889788377455138","0.858984179895429","0.920592575014847"
"Yes","2015","Brandenburg","in school","9","","",""
"Yes","2015","Brandenburg","inadequately","8","","",""
"Yes","2015","Brandenburg","general elemantary","74","0.950606895979846","0.904541769478739","0.996672022480952"
"Yes","2015","Brandenburg","middle vocational","472","0.988231949797227","0.978712620883328","0.997751278711125"
"Yes","2015","Brandenburg","vocational + Abi","62","0.847645356161538","0.767378238118703","0.927912474204372"
"Yes","2015","Brandenburg","higher vocational","67","0.981535130220542","0.949537362361134","1.01353289807995"
"Yes","2015","Brandenburg","higher education","247","0.984017406604912","0.968533774759758","0.999501038450066"
"Yes","2015","Mecklenburg-Western Pomerania","in school","11","","",""
"Yes","2015","Mecklenburg-Western Pomerania","inadequately","11","","",""
"Yes","2015","Mecklenburg-Western Pomerania","general elemantary","31","1","1","1"
"Yes","2015","Mecklenburg-Western Pomerania","middle vocational","288","0.997234805801372","0.991190998282962","1.00327861331978"
"Yes","2015","Mecklenburg-Western Pomerania","vocational + Abi","24","","",""
"Yes","2015","Mecklenburg-Western Pomerania","higher vocational","47","1","1","1"
"Yes","2015","Mecklenburg-Western Pomerania","higher education","132","0.99361617480747","0.980131343704464","1.00710100591048"
"Yes","2015","Saxony","in school","11","","",""
"Yes","2015","Saxony","inadequately","5","","",""
"Yes","2015","Saxony","general elemantary","86","0.956617925378132","0.914990591807431","0.998245258948834"
"Yes","2015","Saxony","middle vocational","780","0.985071790011365","0.976636973323094","0.993506606699636"
"Yes","2015","Saxony","vocational + Abi","74","0.967759004176063","0.929526829751442","1.00599117860068"
"Yes","2015","Saxony","higher vocational","124","1","1","1"
"Yes","2015","Saxony","higher education","399","0.975081756646786","0.960156551593471","0.990006961700101"
"Yes","2015","Saxony-Anhalt","in school","9","","",""
"Yes","2015","Saxony-Anhalt","inadequately","13","","",""
"Yes","2015","Saxony-Anhalt","general elemantary","62","0.968963166130526","0.928338349760544","1.00958798250051"
"Yes","2015","Saxony-Anhalt","middle vocational","459","0.986281087895727","0.975764875435268","0.996797300356186"
"Yes","2015","Saxony-Anhalt","vocational + Abi","35","0.980583632517622","0.935509938505055","1.02565732653019"
"Yes","2015","Saxony-Anhalt","higher vocational","65","1","1","1"
"Yes","2015","Saxony-Anhalt","higher education","209","0.98602963090639","0.970413726304707","1.00164553550807"
"Yes","2015","Thuringia","in school","9","","",""
"Yes","2015","Thuringia","inadequately","5","","",""
"Yes","2015","Thuringia","general elemantary","52","0.902896401106298","0.830353532006085","0.975439270206511"
"Yes","2015","Thuringia","middle vocational","528","0.965083740276146","0.949784076659774","0.980383403892517"
"Yes","2015","Thuringia","vocational + Abi","33","0.866076376598863","0.76053450600164","0.971618247196087"
"Yes","2015","Thuringia","higher vocational","69","1","1","1"
"Yes","2015","Thuringia","higher education","204","0.90641609870648","0.868694097206365","0.944138100206594"
"No","2015","Schleswig-Holstein","in school","1","","",""
"No","2015","Schleswig-Holstein","inadequately","10","","",""
"No","2015","Schleswig-Holstein","general elemantary","19","","",""
"No","2015","Schleswig-Holstein","middle vocational","30","0.037986060076798","0.0200630817138914","0.0559090384397045"
"No","2015","Schleswig-Holstein","vocational + Abi","11","","",""
"No","2015","Schleswig-Holstein","higher vocational","1","","",""
"No","2015","Schleswig-Holstein","higher education","21","","",""
"No","2015","Hamburg","in school","2","","",""
"No","2015","Hamburg","inadequately","4","","",""
"No","2015","Hamburg","general elemantary","16","","",""
"No","2015","Hamburg","middle vocational","18","","",""
"No","2015","Hamburg","vocational + Abi","9","","",""
"No","2015","Hamburg","higher vocational","1","","",""
"No","2015","Hamburg","higher education","24","","",""
"No","2015","Lower Saxony","in school","9","","",""
"No","2015","Lower Saxony","inadequately","39","0.301880253762561","0.198669818601348","0.405090688923773"
"No","2015","Lower Saxony","general elemantary","70","0.118297464712619","0.0844142864297532","0.152180642995485"
"No","2015","Lower Saxony","middle vocational","92","0.0453004430515399","0.0335094950622259","0.0570913910408539"
"No","2015","Lower Saxony","vocational + Abi","49","0.115105791200988","0.0722457530847189","0.157965829317257"
"No","2015","Lower Saxony","higher vocational","2","","",""
"No","2015","Lower Saxony","higher education","91","0.0838314363742087","0.0606281789417857","0.107034693806632"
"No","2015","Bremen","in school","2","","",""
"No","2015","Bremen","inadequately","5","","",""
"No","2015","Bremen","general elemantary","6","","",""
"No","2015","Bremen","middle vocational","10","","",""
"No","2015","Bremen","vocational + Abi","2","","",""
"No","2015","Bremen","higher vocational","","","",""
"No","2015","Bremen","higher education","8","","",""
"No","2015","North Rhine-Westphalia","in school","17","","",""
"No","2015","North Rhine-Westphalia","inadequately","119","0.492615508208246","0.419781965010713","0.565449051405779"
"No","2015","North Rhine-Westphalia","general elemantary","237","0.23935128691607","0.208691327608948","0.270011246223191"
"No","2015","North Rhine-Westphalia","middle vocational","325","0.0850791801120052","0.0739286900764121","0.0962296701475983"
"No","2015","North Rhine-Westphalia","vocational + Abi","117","0.139213701853614","0.111468610270214","0.166958793437014"
"No","2015","North Rhine-Westphalia","higher vocational","12","","",""
"No","2015","North Rhine-Westphalia","higher education","180","0.0823887984435395","0.0665660277507703","0.0982115691363087"
"No","2015","Hesse","in school","5","","",""
"No","2015","Hesse","inadequately","25","","",""
"No","2015","Hesse","general elemantary","62","0.245241323497425","0.186490309908795","0.303992337086056"
"No","2015","Hesse","middle vocational","118","0.12854735826795","0.104876121228009","0.15221859530789"
"No","2015","Hesse","vocational + Abi","52","0.243729590241329","0.18030109032823","0.307158090154428"
"No","2015","Hesse","higher vocational","","","",""
"No","2015","Hesse","higher education","127","0.114645734072544","0.0879955992407324","0.141295868904356"
"No","2015","Rhineland-Palatinate,Saarland","in school","8","","",""
"No","2015","Rhineland-Palatinate,Saarland","inadequately","13","","",""
"No","2015","Rhineland-Palatinate,Saarland","general elemantary","97","0.226942437768998","0.178483831744749","0.275401043793247"
"No","2015","Rhineland-Palatinate,Saarland","middle vocational","87","0.0631896115877822","0.0456596516690354","0.0807195715065291"
"No","2015","Rhineland-Palatinate,Saarland","vocational + Abi","26","","",""
"No","2015","Rhineland-Palatinate,Saarland","higher vocational","2","","",""
"No","2015","Rhineland-Palatinate,Saarland","higher education","42","0.0867089407980373","0.0542085643998845","0.11920931719619"
"No","2015","Baden-Württemberg","in school","3","","",""
"No","2015","Baden-Württemberg","inadequately","22","","",""
"No","2015","Baden-Württemberg","general elemantary","114","0.263488386603921","0.218842358465443","0.308134414742398"
"No","2015","Baden-Württemberg","middle vocational","192","0.0898407706943207","0.074671063838727","0.105010477549914"
"No","2015","Baden-Württemberg","vocational + Abi","85","0.211147094554868","0.162734613827076","0.25955957528266"
"No","2015","Baden-Württemberg","higher vocational","13","","",""
"No","2015","Baden-Württemberg","higher education","169","0.132337113667897","0.10966349768523","0.155010729650564"
"No","2015","Bavaria","in school","6","","",""
"No","2015","Bavaria","inadequately","37","0.440268718879863","0.322279496495105","0.558257941264622"
"No","2015","Bavaria","general elemantary","118","0.198816095800599","0.16234397197644","0.235288219624758"
"No","2015","Bavaria","middle vocational","209","0.0720916133135285","0.0610819235129523","0.0831013031141046"
"No","2015","Bavaria","vocational + Abi","114","0.240213684762188","0.194120604977887","0.286306764546489"
"No","2015","Bavaria","higher vocational","9","","",""
"No","2015","Bavaria","higher education","231","0.150950127653015","0.129150375494396","0.172749879811633"
"No","2015","Berlin","in school","2","","",""
"No","2015","Berlin","inadequately","9","","",""
"No","2015","Berlin","general elemantary","11","","",""
"No","2015","Berlin","middle vocational","26","","",""
"No","2015","Berlin","vocational + Abi","14","","",""
"No","2015","Berlin","higher vocational","2","","",""
"No","2015","Berlin","higher education","75","0.110211622544862","0.0794074249851534","0.141015820104571"
"No","2015","Brandenburg","in school","1","","",""
"No","2015","Brandenburg","inadequately","1","","",""
"No","2015","Brandenburg","general elemantary","11","","",""
"No","2015","Brandenburg","middle vocational","21","","",""
"No","2015","Brandenburg","vocational + Abi","15","","",""
"No","2015","Brandenburg","higher vocational","1","","",""
"No","2015","Brandenburg","higher education","5","","",""
"No","2015","Mecklenburg-Western Pomerania","in school","1","","",""
"No","2015","Mecklenburg-Western Pomerania","inadequately","","","",""
"No","2015","Mecklenburg-Western Pomerania","general elemantary","","","",""
"No","2015","Mecklenburg-Western Pomerania","middle vocational","2","","",""
"No","2015","Mecklenburg-Western Pomerania","vocational + Abi","2","","",""
"No","2015","Mecklenburg-Western Pomerania","higher vocational","","","",""
"No","2015","Mecklenburg-Western Pomerania","higher education","2","","",""
"No","2015","Saxony","in school","","","",""
"No","2015","Saxony","inadequately","1","","",""
"No","2015","Saxony","general elemantary","6","","",""
"No","2015","Saxony","middle vocational","14","","",""
"No","2015","Saxony","vocational + Abi","8","","",""
"No","2015","Saxony","higher vocational","","","",""
"No","2015","Saxony","higher education","20","","",""
"No","2015","Saxony-Anhalt","in school","","","",""
"No","2015","Saxony-Anhalt","inadequately","3","","",""
"No","2015","Saxony-Anhalt","general elemantary","8","","",""
"No","2015","Saxony-Anhalt","middle vocational","11","","",""
"No","2015","Saxony-Anhalt","vocational + Abi","1","","",""
"No","2015","Saxony-Anhalt","higher vocational","","","",""
"No","2015","Saxony-Anhalt","higher education","8","","",""
"No","2015","Thuringia","in school","","","",""
"No","2015","Thuringia","inadequately","","","",""
"No","2015","Thuringia","general elemantary","12","","",""
"No","2015","Thuringia","middle vocational","25","","",""
"No","2015","Thuringia","vocational + Abi","7","","",""
"No","2015","Thuringia","higher vocational","","","",""
"No","2015","Thuringia","higher education","25","","",""
"Yes","2016","Schleswig-Holstein","in school","12","","",""
"Yes","2016","Schleswig-Holstein","inadequately","9","","",""
"Yes","2016","Schleswig-Holstein","general elemantary","84","0.794478904493366","0.717188989505347","0.871768819481386"
"Yes","2016","Schleswig-Holstein","middle vocational","357","0.947400166571536","0.92504347080878","0.969756862334293"
"Yes","2016","Schleswig-Holstein","vocational + Abi","64","0.928561343889988","0.87027196906696","0.986850718713016"
"Yes","2016","Schleswig-Holstein","higher vocational","48","0.975129347288538","0.931525505406766","1.01873318917031"
"Yes","2016","Schleswig-Holstein","higher education","135","0.898554222578528","0.851023832998666","0.94608461215839"
"Yes","2016","Hamburg","in school","8","","",""
"Yes","2016","Hamburg","inadequately","1","","",""
"Yes","2016","Hamburg","general elemantary","24","","",""
"Yes","2016","Hamburg","middle vocational","137","0.930107623781102","0.889574712126525","0.970640535435679"
"Yes","2016","Hamburg","vocational + Abi","34","0.91119750366176","0.826175230700058","0.996219776623462"
"Yes","2016","Hamburg","higher vocational","19","","",""
"Yes","2016","Hamburg","higher education","131","0.939548676445351","0.901785812389773","0.97731154050093"
"Yes","2016","Lower Saxony","in school","27","","",""
"Yes","2016","Lower Saxony","inadequately","31","0.635962980390388","0.515217226740541","0.756708734040235"
"Yes","2016","Lower Saxony","general elemantary","249","0.862841055845339","0.824233203930439","0.901448907760239"
"Yes","2016","Lower Saxony","middle vocational","1031","0.949275617458957","0.936319888870653","0.962231346047261"
"Yes","2016","Lower Saxony","vocational + Abi","164","0.8684929101591","0.822117183280614","0.914868637037586"
"Yes","2016","Lower Saxony","higher vocational","105","0.956034411684254","0.917368396240656","0.994700427127852"
"Yes","2016","Lower Saxony","higher education","443","0.915265996453817","0.890977259626823","0.93955473328081"
"Yes","2016","Bremen","in school","4","","",""
"Yes","2016","Bremen","inadequately","5","","",""
"Yes","2016","Bremen","general elemantary","14","","",""
"Yes","2016","Bremen","middle vocational","60","0.944573745000134","0.890972512770955","0.998174977229314"
"Yes","2016","Bremen","vocational + Abi","14","","",""
"Yes","2016","Bremen","higher vocational","3","","",""
"Yes","2016","Bremen","higher education","34","0.900370103911419","0.807553971622461","0.993186236200377"
"Yes","2016","North Rhine-Westphalia","in school","81","0.832695963501471","0.758418226594296","0.906973700408647"
"Yes","2016","North Rhine-Westphalia","inadequately","54","0.454245895748464","0.373204278126309","0.53528751337062"
"Yes","2016","North Rhine-Westphalia","general elemantary","460","0.759616993407319","0.726328399336159","0.79290558747848"
"Yes","2016","North Rhine-Westphalia","middle vocational","1912","0.906918358325305","0.894730221053552","0.919106495597059"
"Yes","2016","North Rhine-Westphalia","vocational + Abi","455","0.865524184450922","0.837442816592485","0.89360555230936"
"Yes","2016","North Rhine-Westphalia","higher vocational","238","0.974128483420346","0.954410273653283","0.993846693187408"
"Yes","2016","North Rhine-Westphalia","higher education","939","0.913469782863258","0.896725565531116","0.9302140001954"
"Yes","2016","Hesse","in school","18","","",""
"Yes","2016","Hesse","inadequately","15","","",""
"Yes","2016","Hesse","general elemantary","138","0.753326516883116","0.689999220037752","0.81665381372848"
"Yes","2016","Hesse","middle vocational","596","0.893939487348846","0.870536667467942","0.917342307229751"
"Yes","2016","Hesse","vocational + Abi","112","0.736190191283711","0.665190294686742","0.807190087880679"
"Yes","2016","Hesse","higher vocational","73","1","1","1"
"Yes","2016","Hesse","higher education","384","0.855026487491411","0.823464215522175","0.886588759460648"
"Yes","2016","Rhineland-Palatinate,Saarland","in school","19","","",""
"Yes","2016","Rhineland-Palatinate,Saarland","inadequately","13","","",""
"Yes","2016","Rhineland-Palatinate,Saarland","general elemantary","167","0.795461638100512","0.745259841768272","0.845663434432753"
"Yes","2016","Rhineland-Palatinate,Saarland","middle vocational","597","0.918013594340036","0.897378394285257","0.938648794394814"
"Yes","2016","Rhineland-Palatinate,Saarland","vocational + Abi","95","0.833074638194416","0.766630216543913","0.899519059844919"
"Yes","2016","Rhineland-Palatinate,Saarland","higher vocational","86","0.995728566430685","0.982102701908625","1.00935443095274"
"Yes","2016","Rhineland-Palatinate,Saarland","higher education","236","0.904124871507284","0.869200069301749","0.93904967371282"
"Yes","2016","Baden-Württemberg","in school","29","","",""
"Yes","2016","Baden-Württemberg","inadequately","15","","",""
"Yes","2016","Baden-Württemberg","general elemantary","239","0.71060236466533","0.661674987606591","0.759529741724069"
"Yes","2016","Baden-Württemberg","middle vocational","1069","0.901909958471527","0.885123136392419","0.918696780550635"
"Yes","2016","Baden-Württemberg","vocational + Abi","172","0.737797126100745","0.683492725553685","0.792101526647805"
"Yes","2016","Baden-Württemberg","higher vocational","164","0.912882952959598","0.871219920342705","0.954545985576492"
"Yes","2016","Baden-Württemberg","higher education","642","0.862924897272142","0.838616814254549","0.887232980289735"
"Yes","2016","Bavaria","in school","44","0.95496488510901","0.896297489249378","1.01363228096864"
"Yes","2016","Bavaria","inadequately","23","","",""
"Yes","2016","Bavaria","general elemantary","315","0.801054352802035","0.761785243503889","0.840323462100181"
"Yes","2016","Bavaria","middle vocational","1728","0.912400841156231","0.89963835687454","0.925163325437921"
"Yes","2016","Bavaria","vocational + Abi","200","0.747769107636054","0.698625123569759","0.796913091702349"
"Yes","2016","Bavaria","higher vocational","233","0.931456080894144","0.899751732253069","0.963160429535219"
"Yes","2016","Bavaria","higher education","752","0.844109359506673","0.82066903844405","0.867549680569297"
"Yes","2016","Berlin","in school","12","","",""
"Yes","2016","Berlin","inadequately","8","","",""
"Yes","2016","Berlin","general elemantary","52","0.887551417470478","0.806940133463204","0.968162701477752"
"Yes","2016","Berlin","middle vocational","309","0.965440562389139","0.945642608030935","0.985238516747343"
"Yes","2016","Berlin","vocational + Abi","49","0.749408671890309","0.641540176165729","0.857277167614889"
"Yes","2016","Berlin","higher vocational","50","0.958638753729754","0.904517142395599","1.01276036506391"
"Yes","2016","Berlin","higher education","307","0.866157593168899","0.83146453723118","0.900850649106618"
"Yes","2016","Brandenburg","in school","13","","",""
"Yes","2016","Brandenburg","inadequately","9","","",""
"Yes","2016","Brandenburg","general elemantary","65","0.947636400955221","0.896536239460871","0.998736562449571"
"Yes","2016","Brandenburg","middle vocational","445","0.984687829691112","0.973466693440281","0.995908965941943"
"Yes","2016","Brandenburg","vocational + Abi","60","0.924804403270738","0.862126453190868","0.987482353350608"
"Yes","2016","Brandenburg","higher vocational","60","0.957126715951032","0.906291898478759","1.0079615334233"
"Yes","2016","Brandenburg","higher education","241","0.97938693487316","0.961631595479359","0.997142274266962"
"Yes","2016","Mecklenburg-Western Pomerania","in school","4","","",""
"Yes","2016","Mecklenburg-Western Pomerania","inadequately","6","","",""
"Yes","2016","Mecklenburg-Western Pomerania","general elemantary","25","","",""
"Yes","2016","Mecklenburg-Western Pomerania","middle vocational","266","0.986086167020329","0.972114538337151","1.00005779570351"
"Yes","2016","Mecklenburg-Western Pomerania","vocational + Abi","23","","",""
"Yes","2016","Mecklenburg-Western Pomerania","higher vocational","46","1","1","1"
"Yes","2016","Mecklenburg-Western Pomerania","higher education","130","0.986160577030889","0.966306254144346","1.00601489991743"
"Yes","2016","Saxony","in school","11","","",""
"Yes","2016","Saxony","inadequately","5","","",""
"Yes","2016","Saxony","general elemantary","83","0.950830178327231","0.905654201682281","0.996006154972181"
"Yes","2016","Saxony","middle vocational","740","0.978919102612609","0.968617477557236","0.989220727667981"
"Yes","2016","Saxony","vocational + Abi","70","0.949849213063944","0.900780179487461","0.998918246640426"
"Yes","2016","Saxony","higher vocational","116","1","1","1"
"Yes","2016","Saxony","higher education","375","0.968447706278994","0.951143223898078","0.98575218865991"
"Yes","2016","Saxony-Anhalt","in school","4","","",""
"Yes","2016","Saxony-Anhalt","inadequately","12","","",""
"Yes","2016","Saxony-Anhalt","general elemantary","55","0.967503925412797","0.923367814168505","1.01164003665709"
"Yes","2016","Saxony-Anhalt","middle vocational","426","0.988866220017768","0.979028431989685","0.99870400804585"
"Yes","2016","Saxony-Anhalt","vocational + Abi","31","0.987319522392349","0.948551846158344","1.02608719862635"
"Yes","2016","Saxony-Anhalt","higher vocational","61","1","1","1"
"Yes","2016","Saxony-Anhalt","higher education","197","0.978408410719005","0.958463348235439","0.998353473202571"
"Yes","2016","Thuringia","in school","5","","",""
"Yes","2016","Thuringia","inadequately","4","","",""
"Yes","2016","Thuringia","general elemantary","45","0.875820844154223","0.786185681825834","0.965456006482613"
"Yes","2016","Thuringia","middle vocational","493","0.977118133945743","0.96415360036154","0.990082667529947"
"Yes","2016","Thuringia","vocational + Abi","33","0.783863726964467","0.660837423107073","0.906890030821861"
"Yes","2016","Thuringia","higher vocational","68","1","1","1"
"Yes","2016","Thuringia","higher education","194","0.905876892154302","0.866477494395857","0.945276289912747"
"No","2016","Schleswig-Holstein","in school","","","",""
"No","2016","Schleswig-Holstein","inadequately","8","","",""
"No","2016","Schleswig-Holstein","general elemantary","21","","",""
"No","2016","Schleswig-Holstein","middle vocational","26","","",""
"No","2016","Schleswig-Holstein","vocational + Abi","11","","",""
"No","2016","Schleswig-Holstein","higher vocational","1","","",""
"No","2016","Schleswig-Holstein","higher education","20","","",""
"No","2016","Hamburg","in school","","","",""
"No","2016","Hamburg","inadequately","3","","",""
"No","2016","Hamburg","general elemantary","13","","",""
"No","2016","Hamburg","middle vocational","15","","",""
"No","2016","Hamburg","vocational + Abi","9","","",""
"No","2016","Hamburg","higher vocational","1","","",""
"No","2016","Hamburg","higher education","22","","",""
"No","2016","Lower Saxony","in school","4","","",""
"No","2016","Lower Saxony","inadequately","30","0.364037019609612","0.243291265959765","0.484782773259459"
"No","2016","Lower Saxony","general elemantary","56","0.137158944154661","0.098551092239761","0.175766796069561"
"No","2016","Lower Saxony","middle vocational","71","0.050724382541043","0.0377686539527387","0.0636801111293473"
"No","2016","Lower Saxony","vocational + Abi","40","0.1315070898409","0.0851313629624142","0.177882816719386"
"No","2016","Lower Saxony","higher vocational","3","","",""
"No","2016","Lower Saxony","higher education","62","0.0847340035461833","0.0604452667191898","0.109022740373177"
"No","2016","Bremen","in school","","","",""
"No","2016","Bremen","inadequately","5","","",""
"No","2016","Bremen","general elemantary","6","","",""
"No","2016","Bremen","middle vocational","10","","",""
"No","2016","Bremen","vocational + Abi","3","","",""
"No","2016","Bremen","higher vocational","","","",""
"No","2016","Bremen","higher education","6","","",""
"No","2016","North Rhine-Westphalia","in school","16","","",""
"No","2016","North Rhine-Westphalia","inadequately","91","0.545754104251536","0.464712486629381","0.626795721873691"
"No","2016","North Rhine-Westphalia","general elemantary","173","0.240383006592681","0.20709441252152","0.273671600663841"
"No","2016","North Rhine-Westphalia","middle vocational","271","0.0930816416746949","0.0808935044029412","0.105269778946449"
"No","2016","North Rhine-Westphalia","vocational + Abi","112","0.134475815549078","0.10639444769064","0.162557183407515"
"No","2016","North Rhine-Westphalia","higher vocational","11","","",""
"No","2016","North Rhine-Westphalia","higher education","144","0.086530217136742","0.0697859998046002","0.103274434468884"
"No","2016","Hesse","in school","6","","",""
"No","2016","Hesse","inadequately","16","","",""
"No","2016","Hesse","general elemantary","40","0.246673483116884","0.18334618627152","0.310000779962248"
"No","2016","Hesse","middle vocational","69","0.106060512651154","0.0826576927702488","0.129463332532058"
"No","2016","Hesse","vocational + Abi","36","0.263809808716289","0.192809912119321","0.334809705313258"
"No","2016","Hesse","higher vocational","","","",""
"No","2016","Hesse","higher education","94","0.144973512508589","0.113411240539352","0.176535784477825"
"No","2016","Rhineland-Palatinate,Saarland","in school","5","","",""
"No","2016","Rhineland-Palatinate,Saarland","inadequately","10","","",""
"No","2016","Rhineland-Palatinate,Saarland","general elemantary","81","0.204538361899488","0.154336565567247","0.254740158231728"
"No","2016","Rhineland-Palatinate,Saarland","middle vocational","82","0.0819864056599644","0.0613512056051863","0.102621605714742"
"No","2016","Rhineland-Palatinate,Saarland","vocational + Abi","26","","",""
"No","2016","Rhineland-Palatinate,Saarland","higher vocational","2","","",""
"No","2016","Rhineland-Palatinate,Saarland","higher education","37","0.0958751284927156","0.0609503262871801","0.130799930698251"
"No","2016","Baden-Württemberg","in school","8","","",""
"No","2016","Baden-Württemberg","inadequately","11","","",""
"No","2016","Baden-Württemberg","general elemantary","91","0.28939763533467","0.240470258275931","0.338325012393409"
"No","2016","Baden-Württemberg","middle vocational","137","0.0980900415284728","0.0813032194493645","0.114876863607581"
"No","2016","Baden-Württemberg","vocational + Abi","80","0.262202873899255","0.207898473352195","0.316507274446315"
"No","2016","Baden-Württemberg","higher vocational","12","","",""
"No","2016","Baden-Württemberg","higher education","127","0.137075102727858","0.112767019710265","0.161383185745451"
"No","2016","Bavaria","in school","4","","",""
"No","2016","Bavaria","inadequately","23","","",""
"No","2016","Bavaria","general elemantary","82","0.198945647197965","0.159676537899819","0.238214756496111"
"No","2016","Bavaria","middle vocational","157","0.0875991588437695","0.0748366745620788","0.10036164312546"
"No","2016","Bavaria","vocational + Abi","100","0.252230892363946","0.203086908297651","0.301374876430241"
"No","2016","Bavaria","higher vocational","11","","",""
"No","2016","Bavaria","higher education","168","0.155890640493327","0.132450319430703","0.17933096155595"
"No","2016","Berlin","in school","2","","",""
"No","2016","Berlin","inadequately","6","","",""
"No","2016","Berlin","general elemantary","7","","",""
"No","2016","Berlin","middle vocational","18","","",""
"No","2016","Berlin","vocational + Abi","13","","",""
"No","2016","Berlin","higher vocational","2","","",""
"No","2016","Berlin","higher education","63","0.133842406831101","0.0991493508933822","0.16853546276882"
"No","2016","Brandenburg","in school","2","","",""
"No","2016","Brandenburg","inadequately","1","","",""
"No","2016","Brandenburg","general elemantary","8","","",""
"No","2016","Brandenburg","middle vocational","15","","",""
"No","2016","Brandenburg","vocational + Abi","8","","",""
"No","2016","Brandenburg","higher vocational","1","","",""
"No","2016","Brandenburg","higher education","5","","",""
"No","2016","Mecklenburg-Western Pomerania","in school","","","",""
"No","2016","Mecklenburg-Western Pomerania","inadequately","","","",""
"No","2016","Mecklenburg-Western Pomerania","general elemantary","","","",""
"No","2016","Mecklenburg-Western Pomerania","middle vocational","4","","",""
"No","2016","Mecklenburg-Western Pomerania","vocational + Abi","2","","",""
"No","2016","Mecklenburg-Western Pomerania","higher vocational","","","",""
"No","2016","Mecklenburg-Western Pomerania","higher education","3","","",""
"No","2016","Saxony","in school","2","","",""
"No","2016","Saxony","inadequately","1","","",""
"No","2016","Saxony","general elemantary","5","","",""
"No","2016","Saxony","middle vocational","7","","",""
"No","2016","Saxony","vocational + Abi","6","","",""
"No","2016","Saxony","higher vocational","","","",""
"No","2016","Saxony","higher education","17","","",""
"No","2016","Saxony-Anhalt","in school","","","",""
"No","2016","Saxony-Anhalt","inadequately","3","","",""
"No","2016","Saxony-Anhalt","general elemantary","7","","",""
"No","2016","Saxony-Anhalt","middle vocational","11","","",""
"No","2016","Saxony-Anhalt","vocational + Abi","1","","",""
"No","2016","Saxony-Anhalt","higher vocational","","","",""
"No","2016","Saxony-Anhalt","higher education","7","","",""
"No","2016","Thuringia","in school","","","",""
"No","2016","Thuringia","inadequately","","","",""
"No","2016","Thuringia","general elemantary","7","","",""
"No","2016","Thuringia","middle vocational","18","","",""
"No","2016","Thuringia","vocational + Abi","10","","",""
"No","2016","Thuringia","higher vocational","","","",""
"No","2016","Thuringia","higher education","17","","",""
