"plj0014_v3","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Yes","2018","Full Time","Couple + C. LE 16 ","2268","0.847339064017486","0.833724859866149","0.860953268168823","1"
"Yes","2018","Full Time","Couple + C. LE and GT 16","772","0.780220169000558","0.752907116268756","0.80753322173236","1"
"Yes","2018","Full Time","Single parent ","684","0.895927918933359","0.873852544628125","0.918003293238592","1"
"Yes","2018","Not Working","(Married) couple without C. ","3459","0.904616901286568","0.895197729455804","0.914036073117332","1"
"Yes","2018","Not Working","1-pers.-HH","1706","0.914887507812947","0.903690721914817","0.926084293711077","1"
"Yes","2018","Not Working","Couple + C. GT 16 ","626","0.849484614689552","0.824470711262021","0.874498518117084","1"
"Yes","2018","Not Working","Couple + C. LE 16 ","474","0.562052620560677","0.541283061782153","0.5828221793392","1"
"Yes","2018","Not Working","Couple + C. LE and GT 16","409","0.698367975263988","0.670020509570379","0.726715440957597","1"
"Yes","2018","Not Working","Single parent ","574","0.800159034210479","0.774889864542936","0.825428203878022","1"
"Yes","2018","Part Time","(Married) couple without C. ","1531","0.892871946643221","0.878087317677771","0.907656575608672","1"
"Yes","2018","Part Time","1-pers.-HH","820","0.878555526538175","0.858807658400171","0.89830339467618","1"
"Yes","2018","Part Time","Couple + C. GT 16 ","913","0.853548957767065","0.831830216403504","0.875267699130626","1"
"Yes","2018","Part Time","Couple + C. LE 16 ","1800","0.859577550062859","0.845250697861323","0.873904402264395","1"
"Yes","2018","Part Time","Couple + C. LE and GT 16","690","0.738018405731455","0.708104161735005","0.767932649727904","1"
"Yes","2018","Part Time","Single parent ","774","0.908445913703677","0.889058180603072","0.927833646804283","1"
"No","2019","Full Time","Couple + C. GT 16 ","106","0.130486422223111","0.112417664113421","0.1485551803328","2"
"No","2019","Full Time","(Married) couple without C. ","198","0.0845413032551221","0.0748076590360401","0.0942749474742042","2"
"No","2019","Full Time","1-pers.-HH","220","0.0750691230388996","0.0625136458958386","0.0876246001819606","2"
"No","2019","Full Time","Single parent ","43","0.0970006932637096","0.0757343533708093","0.11826703315661","2"
"No","2019","Not Working","Single parent ","318","0.192704395891798","0.166094757524934","0.219314034258663","2"
"No","2019","Part Time","(Married) couple without C. ","135","0.105032298998157","0.09092724044966","0.119137357546654","2"
"No","2019","Full Time","Couple + C. LE and GT 16","129","0.25106221027069","0.222981124212288","0.279143296329091","2"
"No","2019","Full Time","Couple + C. LE 16 ","423","0.15137004636388","0.138070857922866","0.164669234804893","2"
"No","2019","Not Working","Couple + C. GT 16 ","156","0.182320106882389","0.155344596679818","0.20929561708496","2"
"No","2019","Not Working","Couple + C. LE 16 ","1355","0.38008403314881","0.357807792641971","0.402360273655648","2"
"No","2019","Not Working","Couple + C. LE and GT 16","606","0.360491637043179","0.330762319390531","0.390220954695827","2"
"No","2019","Part Time","1-pers.-HH","252","0.152551115752953","0.130875320119674","0.174226911386231","2"
"No","2019","Part Time","Single parent ","70","0.0919301424585157","0.0713071817370231","0.112553103180008","2"
"No","2019","Part Time","Couple + C. LE 16 ","477","0.158390304585323","0.14283387522347","0.173946733947177","2"
"No","2019","Not Working","1-pers.-HH","438","0.0747027072027849","0.0637140584266524","0.0856913559789173","2"
"No","2019","Part Time","Couple + C. LE and GT 16","150","0.216566201608292","0.18876069608501","0.244371707131575","2"
"No","2019","Part Time","Couple + C. GT 16 ","92","0.171625868835241","0.147724444438877","0.195527293231606","2"
"No","2019","Not Working","(Married) couple without C. ","238","0.0935404560659129","0.084179380200102","0.102901531931724","2"
"Yes","2019","Full Time","(Married) couple without C. ","2940","0.915458696744878","0.905725052525796","0.92519234096396","1"
"Yes","2019","Full Time","1-pers.-HH","1472","0.9249308769611","0.912375399818039","0.937486354104161","1"
"Yes","2019","Full Time","Couple + C. GT 16 ","1229","0.869513577776889","0.8514448196672","0.887582335886579","1"
"Yes","2019","Full Time","Couple + C. LE 16 ","2367","0.84862995363612","0.835330765195107","0.861929142077134","1"
"Yes","2019","Full Time","Couple + C. LE and GT 16","787","0.74893778972931","0.720856703670909","0.777018875787712","1"
"Yes","2019","Full Time","Single parent ","701","0.90299930673629","0.88173296684339","0.924265646629191","1"
"Yes","2019","Not Working","(Married) couple without C. ","3479","0.906459543934087","0.897098468068276","0.915820619799898","1"
"Yes","2019","Not Working","1-pers.-HH","1761","0.925297292797215","0.914308644021083","0.936285941573348","1"
"Yes","2019","Not Working","Couple + C. GT 16 ","631","0.817679893117611","0.79070438291504","0.844655403320182","1"
"Yes","2019","Not Working","Couple + C. LE 16 ","469","0.61991596685119","0.597639726344352","0.642192207358029","1"
"Yes","2019","Not Working","Couple + C. LE and GT 16","396","0.639508362956821","0.609779045304173","0.669237680609469","1"
"Yes","2019","Not Working","Single parent ","526","0.807295604108202","0.780685965741337","0.833905242475066","1"
"Yes","2019","Part Time","(Married) couple without C. ","1680","0.894967701001843","0.880862642453346","0.90907275955034","1"
"Yes","2019","Part Time","1-pers.-HH","805","0.847448884247047","0.825773088613769","0.869124679880325","1"
"Yes","2019","Part Time","Couple + C. GT 16 ","864","0.828374131164759","0.804472706768395","0.852275555561123","1"
"Yes","2019","Part Time","Couple + C. LE 16 ","1639","0.841609695414677","0.826053266052823","0.85716612477653","1"
"Yes","2019","Part Time","Couple + C. LE and GT 16","693","0.783433798391708","0.755628292868425","0.81123930391499","1"
"Yes","2019","Part Time","Single parent ","684","0.908069857541484","0.887446896819992","0.928692818262977","1"
