"plj0014_v3","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"No","2014","Schleswig-Holstein","no migration background","","","",""
"No","2014","Schleswig-Holstein","direct migration background","91","0.593315825054728","0.521153637094224","0.665478013015232"
"No","2014","Schleswig-Holstein","indirect migration background","12","","",""
"No","2014","Hamburg","no migration background","1","","",""
"No","2014","Hamburg","direct migration background","52","0.515894530977371","0.42292576677892","0.608863295175822"
"No","2014","Hamburg","indirect migration background","6","","",""
"No","2014","Lower Saxony","no migration background","","","",""
"No","2014","Lower Saxony","direct migration background","225","0.496223205519393","0.451587522355962","0.540858888682824"
"No","2014","Lower Saxony","indirect migration background","24","","",""
"No","2014","Bremen","no migration background","","","",""
"No","2014","Bremen","direct migration background","33","0.45135198825344","0.330376886101352","0.572327090405528"
"No","2014","Bremen","indirect migration background","1","","",""
"No","2014","North Rhine-Westphalia","no migration background","3","","",""
"No","2014","North Rhine-Westphalia","direct migration background","669","0.540196692388039","0.513748078795137","0.56664530598094"
"No","2014","North Rhine-Westphalia","indirect migration background","182","0.294007845763911","0.255110301762482","0.332905389765341"
"No","2014","Hesse","no migration background","","","",""
"No","2014","Hesse","direct migration background","259","0.680412329307482","0.637936810613442","0.722887848001523"
"No","2014","Hesse","indirect migration background","44","0.238021070941148","0.173040233747576","0.303001908134719"
"No","2014","Rhineland-Palatinate,Saarland","no migration background","","","",""
"No","2014","Rhineland-Palatinate,Saarland","direct migration background","178","0.499358145719018","0.448886546893404","0.549829744544632"
"No","2014","Rhineland-Palatinate,Saarland","indirect migration background","30","0.27202015212697","0.192067140250583","0.351973164003357"
"No","2014","Baden-Württemberg","no migration background","4","","",""
"No","2014","Baden-Württemberg","direct migration background","380","0.548615293246276","0.512905605502812","0.58432498098974"
"No","2014","Baden-Württemberg","indirect migration background","102","0.316784377654224","0.265327427843212","0.368241327465236"
"No","2014","Bavaria","no migration background","4","","",""
"No","2014","Bavaria","direct migration background","491","0.609658774657879","0.5777880116219","0.641529537693858"
"No","2014","Bavaria","indirect migration background","69","0.243933465683066","0.194927067573982","0.292939863792151"
"No","2014","Berlin","no migration background","","","",""
"No","2014","Berlin","direct migration background","80","0.570638604326992","0.486830163089586","0.654447045564397"
"No","2014","Berlin","indirect migration background","13","","",""
"No","2014","Brandenburg","no migration background","","","",""
"No","2014","Brandenburg","direct migration background","39","0.406091795378204","0.311249676352148","0.50093391440426"
"No","2014","Brandenburg","indirect migration background","","","",""
"No","2014","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","2014","Mecklenburg-Western Pomerania","direct migration background","10","","",""
"No","2014","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","2014","Saxony","no migration background","","","",""
"No","2014","Saxony","direct migration background","40","0.534249200301634","0.422832196987607","0.645666203615661"
"No","2014","Saxony","indirect migration background","2","","",""
"No","2014","Saxony-Anhalt","no migration background","","","",""
"No","2014","Saxony-Anhalt","direct migration background","37","0.495438566122678","0.375719692863192","0.615157439382163"
"No","2014","Saxony-Anhalt","indirect migration background","3","","",""
"No","2014","Thuringia","no migration background","","","",""
"No","2014","Thuringia","direct migration background","24","","",""
"No","2014","Thuringia","indirect migration background","","","",""
"Yes","2015","Schleswig-Holstein","no migration background","688","1","1","1"
"Yes","2015","Schleswig-Holstein","direct migration background","76","0.43311788252868","0.357966099038093","0.508269666019266"
"Yes","2015","Schleswig-Holstein","indirect migration background","40","0.788018433756911","0.673581216727168","0.902455650786655"
"Yes","2015","Hamburg","no migration background","304","1","1","1"
"Yes","2015","Hamburg","direct migration background","56","0.410934648912168","0.325366063918472","0.496503233905864"
"Yes","2015","Hamburg","indirect migration background","29","","",""
"Yes","2015","Lower Saxony","no migration background","1904","1","1","1"
"Yes","2015","Lower Saxony","direct migration background","261","0.495760135065391","0.455919633861998","0.535600636268783"
"Yes","2015","Lower Saxony","indirect migration background","86","0.818468530449534","0.747398610895175","0.889538450003893"
"Yes","2015","Bremen","no migration background","111","1","1","1"
"Yes","2015","Bremen","direct migration background","29","","",""
"Yes","2015","Bremen","indirect migration background","9","","",""
"Yes","2015","North Rhine-Westphalia","no migration background","3573","0.999359326415723","0.998529878133986","1.00018877469746"
"Yes","2015","North Rhine-Westphalia","direct migration background","656","0.458666939279162","0.433780158341668","0.483553720216656"
"Yes","2015","North Rhine-Westphalia","indirect migration background","338","0.702341463028593","0.661939835077476","0.742743090979711"
"Yes","2015","Hesse","no migration background","1205","1","1","1"
"Yes","2015","Hesse","direct migration background","183","0.308475830001946","0.269520627718064","0.347431032285827"
"Yes","2015","Hesse","indirect migration background","109","0.722479900736361","0.650582189953839","0.794377611518884"
"Yes","2015","Rhineland-Palatinate,Saarland","no migration background","1059","1","1","1"
"Yes","2015","Rhineland-Palatinate,Saarland","direct migration background","189","0.544198774665608","0.497820696106923","0.590576853224293"
"Yes","2015","Rhineland-Palatinate,Saarland","indirect migration background","88","0.745483863431742","0.666216232042943","0.82475149482054"
"Yes","2015","Baden-Württemberg","no migration background","2077","0.998813862898507","0.997335020896449","1.00029270490057"
"Yes","2015","Baden-Württemberg","direct migration background","335","0.457789310311353","0.424276480016757","0.491302140605948"
"Yes","2015","Baden-Württemberg","indirect migration background","210","0.698835210203557","0.64751736760994","0.750153052797174"
"Yes","2015","Bavaria","no migration background","3080","0.998853805365392","0.997659621893128","1.00004798883766"
"Yes","2015","Bavaria","direct migration background","381","0.381697309713373","0.352382844294658","0.411011775132088"
"Yes","2015","Bavaria","indirect migration background","217","0.767221047319678","0.717364102815744","0.817077991823611"
"Yes","2015","Berlin","no migration background","756","1","1","1"
"Yes","2015","Berlin","direct migration background","60","0.378664646374923","0.309694411805248","0.447634880944599"
"Yes","2015","Berlin","indirect migration background","40","0.68996014577051","0.564250910672071","0.815669380868949"
"Yes","2015","Brandenburg","no migration background","884","1","1","1"
"Yes","2015","Brandenburg","direct migration background","59","0.504465961509576","0.414254905401927","0.594677017617224"
"Yes","2015","Brandenburg","indirect migration background","13","","",""
"Yes","2015","Mecklenburg-Western Pomerania","no migration background","532","1","1","1"
"Yes","2015","Mecklenburg-Western Pomerania","direct migration background","10","","",""
"Yes","2015","Mecklenburg-Western Pomerania","indirect migration background","13","","",""
"Yes","2015","Saxony","no migration background","1441","1","1","1"
"Yes","2015","Saxony","direct migration background","34","0.426772556260601","0.31905975741221","0.534485355108992"
"Yes","2015","Saxony","indirect migration background","28","","",""
"Yes","2015","Saxony-Anhalt","no migration background","822","1","1","1"
"Yes","2015","Saxony-Anhalt","direct migration background","26","","",""
"Yes","2015","Saxony-Anhalt","indirect migration background","18","","",""
"Yes","2015","Thuringia","no migration background","879","1","1","1"
"Yes","2015","Thuringia","direct migration background","21","","",""
"Yes","2015","Thuringia","indirect migration background","14","","",""
"No","2015","Schleswig-Holstein","no migration background","","","",""
"No","2015","Schleswig-Holstein","direct migration background","91","0.56688211747132","0.491730333980734","0.642033900961907"
"No","2015","Schleswig-Holstein","indirect migration background","9","","",""
"No","2015","Hamburg","no migration background","","","",""
"No","2015","Hamburg","direct migration background","71","0.589065351087832","0.503496766094136","0.674633936081528"
"No","2015","Hamburg","indirect migration background","5","","",""
"No","2015","Lower Saxony","no migration background","","","",""
"No","2015","Lower Saxony","direct migration background","344","0.504239864934609","0.464399363731217","0.544080366138002"
"No","2015","Lower Saxony","indirect migration background","27","","",""
"No","2015","Bremen","no migration background","","","",""
"No","2015","Bremen","direct migration background","36","0.51378769346745","0.392282110058863","0.635293276876037"
"No","2015","Bremen","indirect migration background","2","","",""
"No","2015","North Rhine-Westphalia","no migration background","2","","",""
"No","2015","North Rhine-Westphalia","direct migration background","884","0.541333060720838","0.516446279783344","0.566219841658332"
"No","2015","North Rhine-Westphalia","indirect migration background","154","0.297658536971407","0.257256909020289","0.338060164922524"
"No","2015","Hesse","no migration background","","","",""
"No","2015","Hesse","direct migration background","357","0.691524169998054","0.652568967714173","0.730479372281936"
"No","2015","Hesse","indirect migration background","40","0.277520099263639","0.205622388481116","0.349417810046161"
"No","2015","Rhineland-Palatinate,Saarland","no migration background","","","",""
"No","2015","Rhineland-Palatinate,Saarland","direct migration background","254","0.455801225334392","0.409423146775707","0.502179303893077"
"No","2015","Rhineland-Palatinate,Saarland","indirect migration background","28","","",""
"No","2015","Baden-Württemberg","no migration background","4","","",""
"No","2015","Baden-Württemberg","direct migration background","514","0.542210689688647","0.508697859394052","0.575723519983243"
"No","2015","Baden-Württemberg","indirect migration background","97","0.301164789796443","0.249846947202826","0.35248263239006"
"No","2015","Bavaria","no migration background","4","","",""
"No","2015","Bavaria","direct migration background","674","0.618302690286627","0.588988224867912","0.647617155705343"
"No","2015","Bavaria","indirect migration background","59","0.232778952680322","0.182922008176389","0.282635897184256"
"No","2015","Berlin","no migration background","","","",""
"No","2015","Berlin","direct migration background","130","0.621335353625077","0.552365119055401","0.690305588194752"
"No","2015","Berlin","indirect migration background","12","","",""
"No","2015","Brandenburg","no migration background","","","",""
"No","2015","Brandenburg","direct migration background","59","0.495534038490424","0.405322982382776","0.585745094598072"
"No","2015","Brandenburg","indirect migration background","","","",""
"No","2015","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","2015","Mecklenburg-Western Pomerania","direct migration background","7","","",""
"No","2015","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","2015","Saxony","no migration background","","","",""
"No","2015","Saxony","direct migration background","47","0.573227443739399","0.465514644891008","0.68094024258779"
"No","2015","Saxony","indirect migration background","2","","",""
"No","2015","Saxony-Anhalt","no migration background","","","",""
"No","2015","Saxony-Anhalt","direct migration background","30","0.477918099314123","0.347090270105823","0.608745928522422"
"No","2015","Saxony-Anhalt","indirect migration background","4","","",""
"No","2015","Thuringia","no migration background","","","",""
"No","2015","Thuringia","direct migration background","69","0.804850240537956","0.722972021886748","0.886728459189164"
"No","2015","Thuringia","indirect migration background","","","",""
"Yes","2016","Schleswig-Holstein","no migration background","634","1","1","1"
"Yes","2016","Schleswig-Holstein","direct migration background","60","0.29661439537012","0.221750413534299","0.371478377205941"
"Yes","2016","Schleswig-Holstein","indirect migration background","35","0.690796462572809","0.555763712207886","0.825829212937733"
"Yes","2016","Hamburg","no migration background","285","0.996198238640268","0.989065925779395","1.00333055150114"
"Yes","2016","Hamburg","direct migration background","48","0.403701393613558","0.310736661178913","0.496666126048204"
"Yes","2016","Hamburg","indirect migration background","33","0.924436484126451","0.839275269696239","1.00959769855666"
"Yes","2016","Lower Saxony","no migration background","1790","1","1","1"
"Yes","2016","Lower Saxony","direct migration background","239","0.446995255211157","0.403107788125957","0.490882722296357"
"Yes","2016","Lower Saxony","indirect migration background","78","0.712526114738489","0.627169770605905","0.797882458871072"
"Yes","2016","Bremen","no migration background","111","1","1","1"
"Yes","2016","Bremen","direct migration background","28","","",""
"Yes","2016","Bremen","indirect migration background","4","","",""
"Yes","2016","North Rhine-Westphalia","no migration background","3336","0.999215744590074","0.998266095140744","1.0001653940394"
"Yes","2016","North Rhine-Westphalia","direct migration background","584","0.439908276184911","0.412894285425148","0.466922266944674"
"Yes","2016","North Rhine-Westphalia","indirect migration background","333","0.727284988867495","0.68658671322134","0.76798326451365"
"Yes","2016","Hesse","no migration background","1097","1","1","1"
"Yes","2016","Hesse","direct migration background","165","0.292165679484883","0.248147044603669","0.336184314366097"
"Yes","2016","Hesse","indirect migration background","100","0.781373438892871","0.708625945734456","0.854120932051287"
"Yes","2016","Rhineland-Palatinate,Saarland","no migration background","988","0.998410407277325","0.995927574741736","1.00089323981291"
"Yes","2016","Rhineland-Palatinate,Saarland","direct migration background","169","0.470791843241899","0.421567801221348","0.520015885262451"
"Yes","2016","Rhineland-Palatinate,Saarland","indirect migration background","92","0.847281085910667","0.781248875586362","0.913313296234972"
"Yes","2016","Baden-Württemberg","no migration background","1908","0.999119298002068","0.997789678698685","1.00044891730545"
"Yes","2016","Baden-Württemberg","direct migration background","294","0.387512909318775","0.351162014761622","0.423863803875929"
"Yes","2016","Baden-Württemberg","indirect migration background","187","0.673435856738029","0.61739505781668","0.729476655659378"
"Yes","2016","Bavaria","no migration background","2806","0.998488872579539","0.997052920899784","0.999924824259294"
"Yes","2016","Bavaria","direct migration background","353","0.34492198780616","0.312928829401466","0.376915146210854"
"Yes","2016","Bavaria","indirect migration background","207","0.731422886636691","0.677548766464581","0.785297006808802"
"Yes","2016","Berlin","no migration background","710","1","1","1"
"Yes","2016","Berlin","direct migration background","52","0.346503714206536","0.271590617358992","0.42141681105408"
"Yes","2016","Berlin","indirect migration background","42","0.84439935575037","0.745878979612321","0.942919731888418"
"Yes","2016","Brandenburg","no migration background","829","1","1","1"
"Yes","2016","Brandenburg","direct migration background","58","0.417739995449796","0.321556863929159","0.513923126970434"
"Yes","2016","Brandenburg","indirect migration background","20","","",""
"Yes","2016","Mecklenburg-Western Pomerania","no migration background","493","1","1","1"
"Yes","2016","Mecklenburg-Western Pomerania","direct migration background","10","","",""
"Yes","2016","Mecklenburg-Western Pomerania","indirect migration background","12","","",""
"Yes","2016","Saxony","no migration background","1370","1","1","1"
"Yes","2016","Saxony","direct migration background","26","","",""
"Yes","2016","Saxony","indirect migration background","26","","",""
"Yes","2016","Saxony-Anhalt","no migration background","765","1","1","1"
"Yes","2016","Saxony-Anhalt","direct migration background","22","","",""
"Yes","2016","Saxony-Anhalt","indirect migration background","19","","",""
"Yes","2016","Thuringia","no migration background","823","1","1","1"
"Yes","2016","Thuringia","direct migration background","19","","",""
"Yes","2016","Thuringia","indirect migration background","14","","",""
"No","2016","Schleswig-Holstein","no migration background","","","",""
"No","2016","Schleswig-Holstein","direct migration background","83","0.70338560462988","0.628521622794059","0.778249586465701"
"No","2016","Schleswig-Holstein","indirect migration background","10","","",""
"No","2016","Hamburg","no migration background","1","","",""
"No","2016","Hamburg","direct migration background","59","0.596298606386442","0.503333873951796","0.689263338821087"
"No","2016","Hamburg","indirect migration background","4","","",""
"No","2016","Lower Saxony","no migration background","","","",""
"No","2016","Lower Saxony","direct migration background","254","0.553004744788843","0.509117277703643","0.596892211874043"
"No","2016","Lower Saxony","indirect migration background","30","0.287473885261511","0.202117541128928","0.372830229394095"
"No","2016","Bremen","no migration background","","","",""
"No","2016","Bremen","direct migration background","33","0.597330673680348","0.474257087346624","0.720404260014072"
"No","2016","Bremen","indirect migration background","2","","",""
"No","2016","North Rhine-Westphalia","no migration background","2","","",""
"No","2016","North Rhine-Westphalia","direct migration background","713","0.560091723815089","0.533077733055326","0.587105714574852"
"No","2016","North Rhine-Westphalia","indirect migration background","127","0.272715011132505","0.23201673548635","0.31341328677866"
"No","2016","Hesse","no migration background","","","",""
"No","2016","Hesse","direct migration background","245","0.707834320515117","0.663815685633903","0.751852955396331"
"No","2016","Hesse","indirect migration background","24","","",""
"No","2016","Rhineland-Palatinate,Saarland","no migration background","1","","",""
"No","2016","Rhineland-Palatinate,Saarland","direct migration background","226","0.529208156758101","0.479984114737549","0.578432198778652"
"No","2016","Rhineland-Palatinate,Saarland","indirect migration background","22","","",""
"No","2016","Baden-Württemberg","no migration background","4","","",""
"No","2016","Baden-Württemberg","direct migration background","396","0.612487090681225","0.576136196124071","0.648837985238378"
"No","2016","Baden-Württemberg","indirect migration background","82","0.326564143261971","0.270523344340622","0.38260494218332"
"No","2016","Bavaria","no migration background","5","","",""
"No","2016","Bavaria","direct migration background","495","0.65507801219384","0.623084853789146","0.687071170598534"
"No","2016","Bavaria","indirect migration background","53","0.268577113363309","0.214702993191198","0.322451233535419"
"No","2016","Berlin","no migration background","","","",""
"No","2016","Berlin","direct migration background","103","0.653496285793464","0.57858318894592","0.728409382641008"
"No","2016","Berlin","indirect migration background","10","","",""
"No","2016","Brandenburg","no migration background","","","",""
"No","2016","Brandenburg","direct migration background","43","0.582260004550204","0.486076873029566","0.678443136070841"
"No","2016","Brandenburg","indirect migration background","","","",""
"No","2016","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","2016","Mecklenburg-Western Pomerania","direct migration background","9","","",""
"No","2016","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","2016","Saxony","no migration background","","","",""
"No","2016","Saxony","direct migration background","36","0.734712221206815","0.624819355185738","0.844605087227893"
"No","2016","Saxony","indirect migration background","2","","",""
"No","2016","Saxony-Anhalt","no migration background","","","",""
"No","2016","Saxony-Anhalt","direct migration background","27","","",""
"No","2016","Saxony-Anhalt","indirect migration background","4","","",""
"No","2016","Thuringia","no migration background","","","",""
"No","2016","Thuringia","direct migration background","52","0.835267042615039","0.748984718047285","0.921549367182794"
"No","2016","Thuringia","indirect migration background","","","",""
"Yes","2017","Schleswig-Holstein","no migration background","761","1","1","1"
"Yes","2017","Schleswig-Holstein","direct migration background","67","0.271943909379557","0.222007161075197","0.321880657683918"
"Yes","2017","Schleswig-Holstein","indirect migration background","36","0.694787805074678","0.561712886293627","0.827862723855729"
"Yes","2017","Hamburg","no migration background","324","0.993977640976581","0.985566052073591","1.00238922987957"
"Yes","2017","Hamburg","direct migration background","55","0.421356484468568","0.343370220238413","0.499342748698724"
"Yes","2017","Hamburg","indirect migration background","40","0.854985694341244","0.752106706715038","0.957864681967451"
"Yes","2017","Lower Saxony","no migration background","2111","1","1","1"
"Yes","2017","Lower Saxony","direct migration background","233","0.375493196882366","0.339387254008504","0.411599139756228"
"Yes","2017","Lower Saxony","indirect migration background","107","0.797951184050259","0.73071483485449","0.865187533246027"
"Yes","2017","Bremen","no migration background","141","1","1","1"
"Yes","2017","Bremen","direct migration background","36","0.371941615090575","0.272087899071432","0.471795331109717"
"Yes","2017","Bremen","indirect migration background","8","","",""
"Yes","2017","North Rhine-Westphalia","no migration background","3816","0.99933352132387","0.998514908608593","1.00015213403915"
"Yes","2017","North Rhine-Westphalia","direct migration background","593","0.403593690490874","0.380126232901495","0.427061148080253"
"Yes","2017","North Rhine-Westphalia","indirect migration background","390","0.73433458887907","0.696150623190883","0.772518554567257"
"Yes","2017","Hesse","no migration background","1259","1","1","1"
"Yes","2017","Hesse","direct migration background","161","0.250344680547773","0.217041063036662","0.283648298058884"
"Yes","2017","Hesse","indirect migration background","114","0.767514082294514","0.699228199896993","0.835799964692035"
"Yes","2017","Rhineland-Palatinate,Saarland","no migration background","1053","1","1","1"
"Yes","2017","Rhineland-Palatinate,Saarland","direct migration background","168","0.390751255195275","0.349329166054094","0.432173344336456"
"Yes","2017","Rhineland-Palatinate,Saarland","indirect migration background","85","0.762221951820018","0.681931700324303","0.842512203315733"
"Yes","2017","Baden-Württemberg","no migration background","2120","0.999579424669239","0.998707454984351","1.00045139435413"
"Yes","2017","Baden-Württemberg","direct migration background","291","0.367463567983142","0.33793461633069","0.396992519635594"
"Yes","2017","Baden-Württemberg","indirect migration background","220","0.735159817982422","0.684549451177629","0.785770184787215"
"Yes","2017","Bavaria","no migration background","3151","0.998482335393581","0.99712400160087","0.999840669186291"
"Yes","2017","Bavaria","direct migration background","356","0.289733205783731","0.263937360573497","0.315529050993964"
"Yes","2017","Bavaria","indirect migration background","214","0.703596644260105","0.647980401407416","0.759212887112795"
"Yes","2017","Berlin","no migration background","781","1","1","1"
"Yes","2017","Berlin","direct migration background","68","0.358713738453147","0.301715214126915","0.415712262779379"
"Yes","2017","Berlin","indirect migration background","46","0.731011376485867","0.619732636961225","0.842290116010509"
"Yes","2017","Brandenburg","no migration background","927","1","1","1"
"Yes","2017","Brandenburg","direct migration background","55","0.365320430088497","0.303225471670685","0.427415388506309"
"Yes","2017","Brandenburg","indirect migration background","17","","",""
"Yes","2017","Mecklenburg-Western Pomerania","no migration background","554","1","1","1"
"Yes","2017","Mecklenburg-Western Pomerania","direct migration background","9","","",""
"Yes","2017","Mecklenburg-Western Pomerania","indirect migration background","11","","",""
"Yes","2017","Saxony","no migration background","1571","1","1","1"
"Yes","2017","Saxony","direct migration background","31","0.309001388754746","0.238708263937168","0.379294513572324"
"Yes","2017","Saxony","indirect migration background","24","","",""
"Yes","2017","Saxony-Anhalt","no migration background","860","1","1","1"
"Yes","2017","Saxony-Anhalt","direct migration background","23","","",""
"Yes","2017","Saxony-Anhalt","indirect migration background","16","","",""
"Yes","2017","Thuringia","no migration background","900","1","1","1"
"Yes","2017","Thuringia","direct migration background","19","","",""
"Yes","2017","Thuringia","indirect migration background","16","","",""
"No","2017","Schleswig-Holstein","no migration background","","","",""
"No","2017","Schleswig-Holstein","direct migration background","238","0.728056090620443","0.678119342316082","0.777992838924803"
"No","2017","Schleswig-Holstein","indirect migration background","10","","",""
"No","2017","Hamburg","no migration background","1","","",""
"No","2017","Hamburg","direct migration background","99","0.578643515531432","0.500657251301276","0.656629779761588"
"No","2017","Hamburg","indirect migration background","5","","",""
"No","2017","Lower Saxony","no migration background","","","",""
"No","2017","Lower Saxony","direct migration background","458","0.624506803117634","0.588400860243772","0.660612745991496"
"No","2017","Lower Saxony","indirect migration background","30","0.202048815949741","0.134812466753973","0.26928516514551"
"No","2017","Bremen","no migration background","","","",""
"No","2017","Bremen","direct migration background","54","0.628058384909425","0.528204668890282","0.727912100928568"
"No","2017","Bremen","indirect migration background","4","","",""
"No","2017","North Rhine-Westphalia","no migration background","2","","",""
"No","2017","North Rhine-Westphalia","direct migration background","1086","0.596406309509126","0.572938851919747","0.619873767098506"
"No","2017","North Rhine-Westphalia","indirect migration background","124","0.26566541112093","0.227481445432743","0.303849376809117"
"No","2017","Hesse","no migration background","","","",""
"No","2017","Hesse","direct migration background","489","0.749655319452227","0.716351701941116","0.782958936963338"
"No","2017","Hesse","indirect migration background","33","0.232485917705486","0.164200035307965","0.300771800103007"
"No","2017","Rhineland-Palatinate,Saarland","no migration background","","","",""
"No","2017","Rhineland-Palatinate,Saarland","direct migration background","365","0.609248744804725","0.567826655663544","0.650670833945906"
"No","2017","Rhineland-Palatinate,Saarland","indirect migration background","23","","",""
"No","2017","Baden-Württemberg","no migration background","4","","",""
"No","2017","Baden-Württemberg","direct migration background","733","0.632536432016858","0.603007480364406","0.66206538366931"
"No","2017","Baden-Württemberg","indirect migration background","72","0.264840182017578","0.214229815212785","0.315450548822371"
"No","2017","Bavaria","no migration background","4","","",""
"No","2017","Bavaria","direct migration background","832","0.710266794216269","0.684470949006036","0.736062639426503"
"No","2017","Bavaria","indirect migration background","45","0.296403355739895","0.240787112887205","0.352019598592585"
"No","2017","Berlin","no migration background","","","",""
"No","2017","Berlin","direct migration background","204","0.641286261546853","0.584287737220621","0.698284785873085"
"No","2017","Berlin","indirect migration background","15","","",""
"No","2017","Brandenburg","no migration background","","","",""
"No","2017","Brandenburg","direct migration background","176","0.634679569911503","0.572584611493691","0.696774528329315"
"No","2017","Brandenburg","indirect migration background","","","",""
"No","2017","Mecklenburg-Western Pomerania","no migration background","","","",""
"No","2017","Mecklenburg-Western Pomerania","direct migration background","41","0.672044084459605","0.541916399163537","0.802171769755672"
"No","2017","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"No","2017","Saxony","no migration background","","","",""
"No","2017","Saxony","direct migration background","135","0.690998611245254","0.620705486427676","0.761291736062832"
"No","2017","Saxony","indirect migration background","3","","",""
"No","2017","Saxony-Anhalt","no migration background","","","",""
"No","2017","Saxony-Anhalt","direct migration background","101","0.57381551021937","0.486774843278559","0.660856177160182"
"No","2017","Saxony-Anhalt","indirect migration background","5","","",""
"No","2017","Thuringia","no migration background","","","",""
"No","2017","Thuringia","direct migration background","119","0.874642946254015","0.81939726478974","0.92988862771829"
"No","2017","Thuringia","indirect migration background","2","","",""
"Yes","2018","Schleswig-Holstein","no migration background","737","1","1","1"
"Yes","2018","Schleswig-Holstein","direct migration background","70","0.197374193926359","0.153697023664739","0.241051364187979"
"Yes","2018","Schleswig-Holstein","indirect migration background","40","0.587676746535166","0.451233747647054","0.724119745423278"
"Yes","2018","Hamburg","no migration background","325","0.98841565592682","0.976799971009715","1.00003134084392"
"Yes","2018","Hamburg","direct migration background","57","0.319824449249968","0.252249008815056","0.387399889684879"
"Yes","2018","Hamburg","indirect migration background","47","0.894163712482786","0.810551014278205","0.977776410687368"
"Yes","2018","Lower Saxony","no migration background","1966","1","1","1"
"Yes","2018","Lower Saxony","direct migration background","218","0.36103100617187","0.329333438222055","0.392728574121684"
"Yes","2018","Lower Saxony","indirect migration background","116","0.830077722203327","0.768306177954026","0.891849266452628"
"Yes","2018","Bremen","no migration background","147","1","1","1"
"Yes","2018","Bremen","direct migration background","36","0.330794811621532","0.250530937205556","0.411058686037509"
"Yes","2018","Bremen","indirect migration background","9","","",""
"Yes","2018","North Rhine-Westphalia","no migration background","3695","0.9991416165917","0.998197604521223","1.00008562866218"
"Yes","2018","North Rhine-Westphalia","direct migration background","603","0.372296285455043","0.351610736535629","0.392981834374457"
"Yes","2018","North Rhine-Westphalia","indirect migration background","407","0.727020099083157","0.688949144744448","0.765091053421866"
"Yes","2018","Hesse","no migration background","1223","1","1","1"
"Yes","2018","Hesse","direct migration background","146","0.227540382382014","0.198775000377756","0.256305764386273"
"Yes","2018","Hesse","indirect migration background","115","0.72891464468062","0.655542721808124","0.802286567553115"
"Yes","2018","Rhineland-Palatinate,Saarland","no migration background","1054","1","1","1"
"Yes","2018","Rhineland-Palatinate,Saarland","direct migration background","146","0.368469518922807","0.329040850470213","0.407898187375402"
"Yes","2018","Rhineland-Palatinate,Saarland","indirect migration background","84","0.888162812642115","0.82608021153136","0.95024541375287"
"Yes","2018","Baden-Württemberg","no migration background","1976","0.998824908478011","0.997315122192848","1.00033469476317"
"Yes","2018","Baden-Württemberg","direct migration background","268","0.342862551436275","0.313761359451425","0.371963743421125"
"Yes","2018","Baden-Württemberg","indirect migration background","201","0.737160576447501","0.683028144795696","0.791293008099306"
"Yes","2018","Bavaria","no migration background","2994","0.998131470857732","0.996585331868847","0.999677609846616"
"Yes","2018","Bavaria","direct migration background","342","0.288229123705435","0.262612869465179","0.313845377945691"
"Yes","2018","Bavaria","indirect migration background","223","0.734952332189769","0.682012319617443","0.787892344762095"
"Yes","2018","Berlin","no migration background","786","1","1","1"
"Yes","2018","Berlin","direct migration background","58","0.251592650974198","0.204488705206536","0.29869659674186"
"Yes","2018","Berlin","indirect migration background","47","0.725092768032592","0.613960004124634","0.83622553194055"
"Yes","2018","Brandenburg","no migration background","922","1","1","1"
"Yes","2018","Brandenburg","direct migration background","47","0.374076165338959","0.308940189483851","0.439212141194066"
"Yes","2018","Brandenburg","indirect migration background","20","","",""
"Yes","2018","Mecklenburg-Western Pomerania","no migration background","569","1","1","1"
"Yes","2018","Mecklenburg-Western Pomerania","direct migration background","8","","",""
"Yes","2018","Mecklenburg-Western Pomerania","indirect migration background","12","","",""
"Yes","2018","Saxony","no migration background","1532","1","1","1"
"Yes","2018","Saxony","direct migration background","29","","",""
"Yes","2018","Saxony","indirect migration background","31","0.930673497561066","0.845293340161195","1.01605365496094"
"Yes","2018","Saxony-Anhalt","no migration background","847","1","1","1"
"Yes","2018","Saxony-Anhalt","direct migration background","17","","",""
"Yes","2018","Saxony-Anhalt","indirect migration background","18","","",""
"Yes","2018","Thuringia","no migration background","854","1","1","1"
"Yes","2018","Thuringia","direct migration background","19","","",""
"Yes","2018","Thuringia","indirect migration background","19","","",""
"No","2018","Schleswig-Holstein","no migration background","","","",""
"No","2018","Schleswig-Holstein","direct migration background","249","0.802625806073641","0.758948635812021","0.846302976335261"
"No","2018","Schleswig-Holstein","indirect migration background","10","","",""
"No","2018","Hamburg","no migration background","1","","",""
"No","2018","Hamburg","direct migration background","126","0.680175550750032","0.612600110315121","0.747750991184944"
"No","2018","Hamburg","indirect migration background","5","","",""
"No","2018","Lower Saxony","no migration background","","","",""
"No","2018","Lower Saxony","direct migration background","664","0.63896899382813","0.607271425878316","0.670666561777945"
"No","2018","Lower Saxony","indirect migration background","26","","",""
"No","2018","Bremen","no migration background","","","",""
