"plj0588","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Rarely ","2017","Not Employed","Couple + C. LE and GT 16","278","0.396619125425311","0.36357649281481","0.429661758035811","4"
"Rarely ","2017","Not Employed","Couple + C. GT 16 ","321","0.412010830845602","0.379038459050873","0.444983202640331","4"
"Rarely ","2017","Employed","1-pers.-HH","1013","0.460852438593033","0.440098621708225","0.481606255477842","4"
"Rarely ","2017","Employed","Couple + C. LE and GT 16","708","0.410596200377713","0.387107333471116","0.43408506728431","4"
"Rarely ","2017","Employed","Couple + C. GT 16 ","1133","0.477588587820342","0.457825986481174","0.49735118915951","4"
"Rarely ","2017","Employed","(Married) couple without C. ","2167","0.486149583111212","0.47159812692968","0.500701039292743","4"
"Rarely ","2017","Employed","Single parent ","656","0.413920562542746","0.389634545772257","0.438206579313236","4"
"Rarely ","2017","Employed","Couple + C. LE 16 ","2262","0.448822249273359","0.4351637919904","0.462480706556317","4"
"Sometimes","2017","Employed","Couple + C. LE and GT 16","356","0.212169879426528","0.192648689193893","0.231691069659162","3"
"Sometimes","2017","Not Employed","(Married) couple without C. ","708","0.200024831809377","0.187344630390571","0.212705033228184","3"
"Sometimes","2017","Not Employed","Couple + C. GT 16 ","201","0.215717394362829","0.188163049912715","0.243271738812942","3"
"Sometimes","2017","Not Employed","Couple + C. LE and GT 16","183","0.23484607416833","0.206213651065435","0.263478497271225","3"
"Sometimes","2017","Employed","(Married) couple without C. ","800","0.187535386366825","0.176170974066361","0.19889979866729","3"
"Sometimes","2017","Employed","Single parent ","349","0.220653652149597","0.200206145416906","0.241101158882289","3"
"Sometimes","2017","Employed","Couple + C. GT 16 ","450","0.172146866420618","0.157210773005467","0.18708295983577","3"
"Sometimes","2017","Not Employed","1-pers.-HH","558","0.232358366506358","0.215056872266822","0.249659860745894","3"
"Sometimes","2017","Not Employed","Single parent ","203","0.253040852617513","0.223356455609669","0.282725249625357","3"
"Sometimes","2017","Not Employed","Couple + C. LE 16 ","521","0.261289574324277","0.241503653877845","0.281075494770708","3"
"Sometimes","2017","Employed","1-pers.-HH","444","0.198387831539034","0.181784207965201","0.214991455112868","3"
"Sometimes","2017","Employed","Couple + C. LE 16 ","991","0.194741616756197","0.183866958102281","0.205616275410113","3"
"Very often","2017","Not Employed","1-pers.-HH","142","0.0383378665270779","0.0304719302649882","0.0462038027891676","1"
"Very often","2017","Not Employed","Couple + C. LE and GT 16","20","","","","1"
"Very often","2017","Employed","Couple + C. LE and GT 16","18","","","","1"
"Very often","2017","Not Employed","(Married) couple without C. ","44","0.00813952949263326","0.00529132685876947","0.0109877321264971","1"
"Very often","2017","Not Employed","Single parent ","48","0.0296029694373986","0.0180304784022486","0.0411754604725487","1"
"Very often","2017","Not Employed","Couple + C. GT 16 ","12","","","","1"
"Very often","2017","Employed","1-pers.-HH","27","","","","1"
"Very often","2017","Employed","(Married) couple without C. ","22","","","","1"
"Very often","2017","Employed","Single parent ","30","0.0201322518960663","0.0132067786315859","0.0270577251605468","1"
"Very often","2017","Employed","Couple + C. LE 16 ","26","","","","1"
"Very often","2017","Employed","Couple + C. GT 16 ","16","","","","1"
"Very often","2017","Not Employed","Couple + C. LE 16 ","81","0.0219303144979888","0.0153345455636162","0.0285260834323613","1"
"Never","2018","Not Employed","1-pers.-HH","1","","","","5"
"Never","2018","Employed","(Married) couple without C. ","","","","","5"
"Never","2018","Employed","Single parent ","","","","","5"
"Never","2018","Employed","Couple + C. LE 16 ","","","","","5"
"Never","2018","Employed","Couple + C. GT 16 ","","","","","5"
"Never","2018","Employed","Couple + C. LE and GT 16","","","","","5"
"Never","2018","Not Employed","(Married) couple without C. ","8","","","","5"
"Never","2018","Not Employed","Single parent ","4","","","","5"
"Never","2018","Not Employed","Couple + C. LE 16 ","55","0.449882125964719","0.37053396516687","0.529230286762568","5"
"Never","2018","Not Employed","Couple + C. GT 16 ","5","","","","5"
"Never","2018","Not Employed","Couple + C. LE and GT 16","51","0.499604801220671","0.40442056550717","0.594789036934173","5"
"Never","2018","Employed","1-pers.-HH","","","","","5"
"Often","2018","Not Employed","1-pers.-HH","1","","","","2"
"Often","2018","Not Employed","(Married) couple without C. ","2","","","","2"
"Often","2018","Not Employed","Single parent ","1","","","","2"
"Often","2018","Not Employed","Couple + C. LE 16 ","20","","","","2"
"Often","2018","Not Employed","Couple + C. GT 16 ","3","","","","2"
"Often","2018","Not Employed","Couple + C. LE and GT 16","7","","","","2"
"Often","2018","Employed","1-pers.-HH","","","","","2"
"Often","2018","Employed","(Married) couple without C. ","","","","","2"
"Often","2018","Employed","Couple + C. GT 16 ","","","","","2"
"Often","2018","Employed","Single parent ","","","","","2"
"Often","2018","Employed","Couple + C. LE 16 ","","","","","2"
"Often","2018","Employed","Couple + C. LE and GT 16","","","","","2"
"Rarely ","2018","Not Employed","1-pers.-HH","1","","","","4"
"Rarely ","2018","Not Employed","(Married) couple without C. ","5","","","","4"
"Rarely ","2018","Not Employed","Single parent ","4","","","","4"
"Rarely ","2018","Not Employed","Couple + C. LE 16 ","17","","","","4"
"Rarely ","2018","Not Employed","Couple + C. LE and GT 16","21","","","","4"
"Rarely ","2018","Not Employed","Couple + C. GT 16 ","5","","","","4"
"Rarely ","2018","Employed","1-pers.-HH","","","","","4"
"Rarely ","2018","Employed","Couple + C. LE and GT 16","","","","","4"
"Rarely ","2018","Employed","(Married) couple without C. ","","","","","4"
"Rarely ","2018","Employed","Couple + C. LE 16 ","","","","","4"
"Rarely ","2018","Employed","Couple + C. GT 16 ","","","","","4"
"Rarely ","2018","Employed","Single parent ","","","","","4"
"Sometimes","2018","Not Employed","Couple + C. GT 16 ","5","","","","3"
"Sometimes","2018","Employed","(Married) couple without C. ","","","","","3"
"Sometimes","2018","Employed","Couple + C. GT 16 ","","","","","3"
"Sometimes","2018","Employed","Couple + C. LE and GT 16","","","","","3"
"Sometimes","2018","Not Employed","1-pers.-HH","3","","","","3"
"Sometimes","2018","Not Employed","(Married) couple without C. ","4","","","","3"
"Sometimes","2018","Not Employed","Couple + C. LE 16 ","48","0.254520622569383","0.185043964073413","0.323997281065354","3"
