"pld0044","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Rarely","2003","North Rhine-Westphalia","1-pers.-HH","173","0.260773702526332","0.226570494898568","0.294976910154095"
"Rarely","2003","North Rhine-Westphalia","(Married) couple without C. ","446","0.284646301608398","0.26218911342585","0.307103489790946"
"Rarely","2003","North Rhine-Westphalia","Single parent ","64","0.34164077485965","0.276719435299475","0.406562114419825"
"Rarely","2003","North Rhine-Westphalia","Couple + C. LE 16 ","347","0.350143147769197","0.320139770481274","0.38014652505712"
"Rarely","2003","North Rhine-Westphalia","Couple + C. GT 16 ","238","0.266937252751929","0.235913256276845","0.297961249227013"
"Rarely","2003","North Rhine-Westphalia","Couple + C. LE and GT 16","120","0.291712181418872","0.245270669436764","0.33815369340098"
"Rarely","2003","Hesse","1-pers.-HH","50","0.278524281381613","0.213753136977752","0.343295425785473"
"Rarely","2003","Hesse","(Married) couple without C. ","163","0.263890547149162","0.226613280318555","0.301167813979768"
"Rarely","2003","Hesse","Single parent ","13","","",""
"Rarely","2003","Hesse","Couple + C. LE 16 ","113","0.342005716594446","0.290745801209103","0.393265631979789"
"Rarely","2003","Hesse","Couple + C. GT 16 ","69","0.285976540528313","0.227321935851664","0.344631145204962"
"Rarely","2003","Hesse","Couple + C. LE and GT 16","38","0.241357386015345","0.164150506266262","0.318564265764428"
"Rarely","2003","Rhineland-Palatinate,Saarland","1-pers.-HH","47","0.32277497984817","0.252903442921371","0.392646516774969"
"Rarely","2003","Rhineland-Palatinate,Saarland","(Married) couple without C. ","88","0.230356864638659","0.188938006950336","0.271775722326981"
"Rarely","2003","Rhineland-Palatinate,Saarland","Single parent ","26","","",""
"Rarely","2003","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","91","0.361161339325824","0.304899322270008","0.417423356381639"
"Rarely","2003","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","60","0.317542729225751","0.250279455832739","0.384806002618763"
"Rarely","2003","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","37","0.253533397649061","0.180686579592216","0.326380215705906"
"Rarely","2003","Baden-Württemberg","1-pers.-HH","113","0.414734661854505","0.361088685391019","0.46838063831799"
"Rarely","2003","Baden-Württemberg","(Married) couple without C. ","245","0.27795868255767","0.247049859317584","0.308867505797756"
"Rarely","2003","Baden-Württemberg","Single parent ","48","0.340494560257761","0.25965472767156","0.421334392843962"
"Rarely","2003","Baden-Württemberg","Couple + C. LE 16 ","248","0.418817366219145","0.379601216095953","0.458033516342336"
"Rarely","2003","Baden-Württemberg","Couple + C. GT 16 ","168","0.357969954622538","0.314349512283042","0.401590396962034"
"Rarely","2003","Baden-Württemberg","Couple + C. LE and GT 16","101","0.3590547517863","0.304218819534486","0.413890684038113"
"Rarely","2003","Bavaria","1-pers.-HH","99","0.228751672981557","0.18758958919593","0.269913756767184"
"Rarely","2003","Bavaria","(Married) couple without C. ","278","0.262830675669475","0.235286153650564","0.290375197688386"
"Rarely","2003","Bavaria","Single parent ","51","0.273945247063011","0.207295203305699","0.340595290820322"
"Rarely","2003","Bavaria","Couple + C. LE 16 ","257","0.363788490306935","0.326973778130618","0.400603202483252"
"Rarely","2003","Bavaria","Couple + C. GT 16 ","217","0.376163298064731","0.336975333101517","0.415351263027945"
"Rarely","2003","Bavaria","Couple + C. LE and GT 16","79","0.285604403809774","0.230054531254312","0.341154276365236"
"Rarely","2003","Berlin","1-pers.-HH","63","0.305007283394315","0.241198814322099","0.368815752466531"
"Rarely","2003","Berlin","(Married) couple without C. ","63","0.233240363776911","0.177860031360407","0.288620696193414"
"Rarely","2003","Berlin","Single parent ","16","","",""
"Rarely","2003","Berlin","Couple + C. LE 16 ","51","0.387355693607224","0.304874513759824","0.469836873454625"
"Rarely","2003","Berlin","Couple + C. GT 16 ","41","0.20143598718952","0.134999376080623","0.267872598298417"
"Rarely","2003","Berlin","Couple + C. LE and GT 16","25","","",""
"Rarely","2003","Brandenburg","1-pers.-HH","36","0.333766335426227","0.248320733762609","0.419211937089845"
"Rarely","2003","Brandenburg","(Married) couple without C. ","95","0.254836323872589","0.208920059720068","0.300752588025109"
"Rarely","2003","Brandenburg","Single parent ","21","","",""
"Rarely","2003","Brandenburg","Couple + C. LE 16 ","54","0.30332491734747","0.23000384631959","0.37664598837535"
"Rarely","2003","Brandenburg","Couple + C. GT 16 ","73","0.386914568961158","0.317661451196778","0.456167686725538"
"Rarely","2003","Brandenburg","Couple + C. LE and GT 16","29","","",""
"Rarely","2003","Mecklenburg-Western Pomerania","1-pers.-HH","19","","",""
"Rarely","2003","Mecklenburg-Western Pomerania","(Married) couple without C. ","55","0.25738795540016","0.193871317533282","0.320904593267038"
"Rarely","2003","Mecklenburg-Western Pomerania","Single parent ","15","","",""
