"pgfamstd","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"6","1988","35-65 y.","indirect migration background","","","",""
"6","1988","66 and older","no migration background","","","",""
"6","1988","66 and older","direct migration background","","","",""
"6","1988","66 and older","indirect migration background","","","",""
"7","1988","16-34 y.","no migration background","","","",""
"7","1988","16-34 y.","direct migration background","","","",""
"7","1988","16-34 y.","indirect migration background","","","",""
"7","1988","35-65 y.","no migration background","","","",""
"7","1988","35-65 y.","direct migration background","","","",""
"7","1988","35-65 y.","indirect migration background","","","",""
"7","1988","66 and older","no migration background","","","",""
"7","1988","66 and older","direct migration background","","","",""
"7","1988","66 and older","indirect migration background","","","",""
"8","1988","16-34 y.","no migration background","","","",""
"8","1988","16-34 y.","direct migration background","","","",""
"8","1988","16-34 y.","indirect migration background","","","",""
"8","1988","35-65 y.","no migration background","","","",""
"8","1988","35-65 y.","direct migration background","","","",""
"8","1988","35-65 y.","indirect migration background","","","",""
"8","1988","66 and older","no migration background","","","",""
"8","1988","66 and older","direct migration background","","","",""
"8","1988","66 and older","indirect migration background","","","",""
"1","1989","16-34 y.","no migration background","955","0.344519361833074","0.326186053619341","0.362852670046808"
"1","1989","16-34 y.","direct migration background","515","0.527403874388249","0.495773170353907","0.55903457842259"
"1","1989","16-34 y.","indirect migration background","28","","",""
"1","1989","35-65 y.","no migration background","2654","0.771509950963144","0.75715006707691","0.785869834849379"
"1","1989","35-65 y.","direct migration background","1358","0.797106181315366","0.777169122110114","0.817043240520619"
"1","1989","35-65 y.","indirect migration background","19","","",""
"1","1989","66 and older","no migration background","484","0.437134111492902","0.405474756803976","0.468793466181829"
"1","1989","66 and older","direct migration background","42","0.549360560103594","0.431100805772904","0.667620314434285"
"1","1989","66 and older","indirect migration background","2","","",""
"2","1989","16-34 y.","no migration background","35","0.0157150659894854","0.0109169293435592","0.0205132026354116"
"2","1989","16-34 y.","direct migration background","13","","",""
"2","1989","16-34 y.","indirect migration background","","","",""
"2","1989","35-65 y.","no migration background","86","0.0305226111364644","0.0246392406047304","0.0364059816681984"
"2","1989","35-65 y.","direct migration background","23","","",""
"2","1989","35-65 y.","indirect migration background","2","","",""
"2","1989","66 and older","no migration background","9","","",""
"2","1989","66 and older","direct migration background","","","",""
"2","1989","66 and older","indirect migration background","","","",""
"3","1989","16-34 y.","no migration background","1529","0.610306901397416","0.591492535468844","0.629121267325988"
"3","1989","16-34 y.","direct migration background","396","0.422184766657549","0.390892437111226","0.453477096203872"
"3","1989","16-34 y.","indirect migration background","197","0.865121999295703","0.820782589759744","0.909461408831661"
"3","1989","35-65 y.","no migration background","163","0.0653235035337255","0.056872429378232","0.073774577689219"
"3","1989","35-65 y.","direct migration background","35","0.0367960854499279","0.0274629293233127","0.046129241576543"
"3","1989","35-65 y.","indirect migration background","1","","",""
"3","1989","66 and older","no migration background","51","0.0650080633942986","0.049272590772835","0.0807435360157622"
"3","1989","66 and older","direct migration background","4","","",""
"3","1989","66 and older","indirect migration background","1","","",""
"4","1989","16-34 y.","no migration background","60","0.028470024288497","0.022053850628544","0.03488619794845"
"4","1989","16-34 y.","direct migration background","16","","",""
"4","1989","16-34 y.","indirect migration background","2","","",""
"4","1989","35-65 y.","no migration background","208","0.0739225705836942","0.0649738963800873","0.0828712447873011"
"4","1989","35-65 y.","direct migration background","62","0.0691184586073531","0.0565433184679983","0.0816935987467079"
"4","1989","35-65 y.","indirect migration background","4","","",""
"4","1989","66 and older","no migration background","22","","",""
"4","1989","66 and older","direct migration background","3","","",""
"4","1989","66 and older","indirect migration background","","","",""
"5","1989","16-34 y.","no migration background","2","","",""
"5","1989","16-34 y.","direct migration background","2","","",""
"5","1989","16-34 y.","indirect migration background","","","",""
"5","1989","35-65 y.","no migration background","173","0.0587213637829717","0.0506804818663929","0.0667622456995505"
"5","1989","35-65 y.","direct migration background","44","0.0523741053182426","0.0413296228423123","0.0634185877941729"
"5","1989","35-65 y.","indirect migration background","","","",""
"5","1989","66 and older","no migration background","377","0.46074738955874","0.428933276919124","0.492561502198356"
"5","1989","66 and older","direct migration background","19","","",""
"5","1989","66 and older","indirect migration background","1","","",""
"6","1989","16-34 y.","no migration background","","","",""
"6","1989","16-34 y.","direct migration background","15","","",""
"6","1989","16-34 y.","indirect migration background","1","","",""
