"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1995","16-34 y.","inadequately","1191.55","1081.38","59","286","424","1841","2045","3068","974.6","1408.5","153","3579","854","1585"
"1995","16-34 y.","middle vocational","1562.09","1585","1802","557","1125","1994","2449","3935","1527.5","1596.68","0","7669","1534","1585"
"1995","16-34 y.","vocational + Abi","1605.32","1585","175","665","1125","2035","2608","3477","1489.75","1720.89","0","4156","1580","1800"
"1995","35-65 y.","general elemantary","1469.92","1534","557","297","869","1994","2352","3475","1402.18","1537.66","0","5624","1534","1646"
"1995","35-65 y.","higher education","2996.85","2608","981","1176","1790","3835","5011","8692","2866.85","3126.85","0","40903","2207","2454"
"1995","35-65 y.","higher vocational","2204.24","2077.89","350","1023","1432","2812","3375","6049","2085.92","2322.56","0","7669","1820","2096"
"1995","35-65 y.","in school","","","","","","","","","","","","","",""
"1995","35-65 y.","inadequately","1522.36","1534","180","693","1227","1892","2147","3221","1430.71","1614.01","0","3579","1534","1738"
"1995","35-65 y.","middle vocational","1980.67","1856.99","2302","716","1278","2454","3170","6086","1919.11","2042.23","0","51128","1687","1771"
"1995","35-65 y.","vocational + Abi","2110.33","2045","135","767","1442","2659","3579","4547","1951.57","2269.09","102","4547","1687","2045"
"1995","66 and older","general elemantary","","","","","","","","","","","","","",""
"1995","66 and older","higher education","","","","","","","","","","","","","",""
"1995","66 and older","higher vocational","","","","","","","","","","","","","",""
"1995","66 and older","in school","","","","","","","","","","","","","",""
"1995","66 and older","inadequately","","","","","","","","","","","","","",""
"1995","66 and older","middle vocational","","","","","","","","","","","","","",""
"1995","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1996","16-34 y.","general elemantary","1052.07","713.85","559","307","460","1636","2045","3579","987.24","1116.9","20","5113","675","1023"
"1996","16-34 y.","higher education","2428.44","2352","352","1024","1605","2965","3988","6135","2303.52","2553.36","153","7414","2045","2352"
"1996","16-34 y.","higher vocational","2255.77","1994","203","1227","1534","2659","3732","7158","2116.99","2394.55","297","7158","1790","2045"
"1996","16-34 y.","in school","","","","","","","","","","","","","",""
"1996","16-34 y.","inadequately","1069.33","789.74","51","301","440","1738","1994","2556","799.46","1339.2","36","4960","665","1536"
"1996","16-34 y.","middle vocational","1705.5","1636","1679","614","1176","2096","2556","4090","1646.57","1764.43","51","35790","1549","1636"
"1996","16-34 y.","vocational + Abi","1659.79","1598.46","177","585","1278","2080","2454","3784","1536.9","1782.68","52","5880","1636","1790"
"1996","35-65 y.","general elemantary","1471.01","1534","521","302","818","1994","2454","3579","1397.84","1544.18","51","7669","1534","1667"
"1996","35-65 y.","higher education","3202.15","2812","964","1288","1943","4090","5297","10226","3094.3","3310","256","20441","2352","2556"
"1996","35-65 y.","higher vocational","2278.69","2096","348","1023","1457","2863","3579","6135","2142","2415.38","205","12271","1892","2110"
"1996","35-65 y.","in school","","","","","","","","","","","","","",""
"1996","35-65 y.","inadequately","1648.37","1738","168","869","1329","1968","2372","2965","1553.69","1743.05","205","4230","1585","1790"
"1996","35-65 y.","middle vocational","2092.55","1943","2304","767","1329","2556","3340","6324","2033.99","2151.11","51","44617","1738","1790"
"1996","35-65 y.","vocational + Abi","2190.94","2096","135","869","1481","2833","3937","4737","2024.21","2357.67","102","4737","1764","2115"
"1996","66 and older","general elemantary","","","","","","","","","","","","","",""
"1996","66 and older","higher education","","","","","","","","","","","","","",""
"1996","66 and older","higher vocational","","","","","","","","","","","","","",""
"1996","66 and older","in school","","","","","","","","","","","","","",""
"1996","66 and older","inadequately","","","","","","","","","","","","","",""
"1996","66 and older","middle vocational","","","","","","","","","","","","","",""
"1996","66 and older","vocational + Abi","","","","","","","","","","","","","",""
"1997","16-34 y.","general elemantary","1082.88","654.05","558","307","460","1636","2147","3323","1012.55","1153.21","102","8257","639","997"
"1997","16-34 y.","higher education","2312.9","2301","352","935","1380","2965","3784","5113","2192.54","2433.26","173","7925","2147","2403"
"1997","16-34 y.","higher vocational","2295.69","2045","185","1279","1790","2556","3323","7158","2157.12","2434.26","302","7632","1943","2096"
"1997","16-34 y.","in school","","","","","","","","","","","","","",""
"1997","16-34 y.","inadequately","1216.89","1123.92","40","312","511","1738","2403","3068","950.97","1482.81","279","3579","869","1508"
