"erwst","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Full-time","2018","Schleswig-Holstein","(2c_gen) general maturity certificate","9","","",""
"Full-time","2018","Schleswig-Holstein","(2c_voc) vocational maturity certificate","53","0.475338233269248","0.382851346196781","0.567825120341715"
"Full-time","2018","Schleswig-Holstein","(3a) lower tertiary education","32","0.471278895033923","0.350850626518255","0.591707163549591"
"Full-time","2018","Schleswig-Holstein","(3b) higher tertiary education","68","0.52231829736182","0.444432822774773","0.600203771948867"
"Full-time","2018","Hamburg","(0) in school","","","",""
"Full-time","2018","Hamburg","(1a) inadequately completed","4","","",""
"Full-time","2018","Hamburg","(1b) general elementary school","12","","",""
"Full-time","2018","Hamburg","(1c) basic vocational qualification","24","","",""
"Full-time","2018","Hamburg","(2b) intermediate general qualification","2","","",""
"Full-time","2018","Hamburg","(2a) intermediate vocational","31","0.427623376011658","0.314902619593428","0.540344132429888"
"Full-time","2018","Hamburg","(2c_gen) general maturity certificate","10","","",""
"Full-time","2018","Hamburg","(2c_voc) vocational maturity certificate","26","","",""
"Full-time","2018","Hamburg","(3a) lower tertiary education","21","","",""
"Full-time","2018","Hamburg","(3b) higher tertiary education","72","0.614009850888767","0.533368117717538","0.694651584059996"
"Full-time","2018","Lower Saxony","(0) in school","1","","",""
"Full-time","2018","Lower Saxony","(1a) inadequately completed","39","0.151651337278276","0.111528723689158","0.191773950867395"
"Full-time","2018","Lower Saxony","(1b) general elementary school","52","0.16738983215093","0.128772145102745","0.206007519199115"
"Full-time","2018","Lower Saxony","(1c) basic vocational qualification","139","0.285261282263657","0.244087366411988","0.326435198115326"
"Full-time","2018","Lower Saxony","(2b) intermediate general qualification","20","","",""
"Full-time","2018","Lower Saxony","(2a) intermediate vocational","270","0.482918498916259","0.442493923994084","0.523343073838433"
"Full-time","2018","Lower Saxony","(2c_gen) general maturity certificate","35","0.260130336747556","0.201760115984694","0.318500557510418"
"Full-time","2018","Lower Saxony","(2c_voc) vocational maturity certificate","122","0.469735240887046","0.410094242436095","0.529376239337997"
"Full-time","2018","Lower Saxony","(3a) lower tertiary education","85","0.554839886772104","0.475571215823769","0.634108557720439"
"Full-time","2018","Lower Saxony","(3b) higher tertiary education","197","0.472500545832876","0.427025854481712","0.51797523718404"
"Full-time","2018","Bremen","(0) in school","1","","",""
"Full-time","2018","Bremen","(1a) inadequately completed","6","","",""
"Full-time","2018","Bremen","(1b) general elementary school","5","","",""
"Full-time","2018","Bremen","(1c) basic vocational qualification","7","","",""
"Full-time","2018","Bremen","(2b) intermediate general qualification","1","","",""
"Full-time","2018","Bremen","(2a) intermediate vocational","19","","",""
"Full-time","2018","Bremen","(2c_gen) general maturity certificate","1","","",""
"Full-time","2018","Bremen","(2c_voc) vocational maturity certificate","5","","",""
"Full-time","2018","Bremen","(3a) lower tertiary education","6","","",""
"Full-time","2018","Bremen","(3b) higher tertiary education","22","","",""
"Full-time","2018","North Rhine-Westphalia","(0) in school","1","","",""
"Full-time","2018","North Rhine-Westphalia","(1a) inadequately completed","68","0.189644982985402","0.155754725133144","0.223535240837661"
"Full-time","2018","North Rhine-Westphalia","(1b) general elementary school","127","0.205697380046765","0.174551304814807","0.236843455278723"
"Full-time","2018","North Rhine-Westphalia","(1c) basic vocational qualification","329","0.27195324608881","0.245254390903587","0.298652101274034"
"Full-time","2018","North Rhine-Westphalia","(2b) intermediate general qualification","39","0.226707263733012","0.168533624164099","0.284880903301926"
"Full-time","2018","North Rhine-Westphalia","(2a) intermediate vocational","357","0.464158640181817","0.431114428147197","0.497202852216436"
"Full-time","2018","North Rhine-Westphalia","(2c_gen) general maturity certificate","108","0.213210167724677","0.179467982837818","0.246952352611535"
"Full-time","2018","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","331","0.476858859231637","0.440945332978864","0.512772385484409"
"Full-time","2018","North Rhine-Westphalia","(3a) lower tertiary education","175","0.561249390305223","0.507790381550923","0.614708399059524"
"Full-time","2018","North Rhine-Westphalia","(3b) higher tertiary education","437","0.491425476842411","0.460939222791136","0.521911730893687"
"Full-time","2018","Hesse","(0) in school","","","",""
"Full-time","2018","Hesse","(1a) inadequately completed","19","","",""
"Full-time","2018","Hesse","(1b) general elementary school","42","0.136402007314465","0.0920462124929429","0.180757802135988"
"Full-time","2018","Hesse","(1c) basic vocational qualification","100","0.332880652718615","0.276774629033562","0.388986676403667"
"Full-time","2018","Hesse","(2b) intermediate general qualification","10","","",""
"Full-time","2018","Hesse","(2a) intermediate vocational","149","0.517832541732296","0.463423734716159","0.572241348748432"
"Full-time","2018","Hesse","(2c_gen) general maturity certificate","40","0.277362295426885","0.218993881560727","0.335730709293044"
"Full-time","2018","Hesse","(2c_voc) vocational maturity certificate","83","0.482583161880914","0.412267254211536","0.552899069550292"
"Full-time","2018","Hesse","(3a) lower tertiary education","64","0.533965555878526","0.444338271069556","0.623592840687497"
"Full-time","2018","Hesse","(3b) higher tertiary education","196","0.5242278947983","0.476914320550802","0.571541469045798"
"Full-time","2018","Rhineland-Palatinate,Saarland","(0) in school","","","",""
"Full-time","2018","Rhineland-Palatinate,Saarland","(1a) inadequately completed","20","","",""
"Full-time","2018","Rhineland-Palatinate,Saarland","(1b) general elementary school","64","0.218654502837563","0.168509390696053","0.268799614979072"
"Full-time","2018","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","141","0.3539320726917","0.30610414879718","0.40175999658622"
"Full-time","2018","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","8","","",""
"Full-time","2018","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","91","0.382003769303937","0.320014170337273","0.443993368270602"
"Full-time","2018","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","35","0.423669944245521","0.339690744331549","0.507649144159492"
"Full-time","2018","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","77","0.592963171748645","0.516359381115235","0.669566962382054"
"Full-time","2018","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","42","0.471793253503195","0.367493185866061","0.576093321140329"
"Full-time","2018","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","104","0.521149394348215","0.457279632161389","0.585019156535041"
"Full-time","2018","Baden-Württemberg","(0) in school","","","",""
"Full-time","2018","Baden-Württemberg","(1a) inadequately completed","20","","",""
"Full-time","2018","Baden-Württemberg","(1b) general elementary school","69","0.211229741945672","0.166081996842031","0.256377487049313"
"Full-time","2018","Baden-Württemberg","(1c) basic vocational qualification","210","0.372917971423003","0.332281361040942","0.413554581805063"
"Full-time","2018","Baden-Württemberg","(2b) intermediate general qualification","13","","",""
"Full-time","2018","Baden-Württemberg","(2a) intermediate vocational","241","0.506744167436314","0.464770169783107","0.54871816508952"
"Full-time","2018","Baden-Württemberg","(2c_gen) general maturity certificate","46","0.169790085281877","0.120064929242069","0.219515241321684"
"Full-time","2018","Baden-Württemberg","(2c_voc) vocational maturity certificate","133","0.483859290856798","0.426735367840409","0.540983213873187"
"Full-time","2018","Baden-Württemberg","(3a) lower tertiary education","123","0.456731632409625","0.394101589533696","0.519361675285553"
"Full-time","2018","Baden-Württemberg","(3b) higher tertiary education","291","0.525575443999592","0.487246627809568","0.563904260189615"
"Full-time","2018","Bavaria","(0) in school","","","",""
"Full-time","2018","Bavaria","(1a) inadequately completed","39","0.15955458075128","0.115630583455429","0.203478578047132"
"Full-time","2018","Bavaria","(1b) general elementary school","83","0.200673157777851","0.160562891506508","0.240783424049194"
"Full-time","2018","Bavaria","(1c) basic vocational qualification","395","0.363656074466173","0.334377489234609","0.392934659697737"
"Full-time","2018","Bavaria","(2b) intermediate general qualification","24","","",""
"Full-time","2018","Bavaria","(2a) intermediate vocational","345","0.445017152251994","0.410493263156042","0.479541041347946"
"Full-time","2018","Bavaria","(2c_gen) general maturity certificate","47","0.204676523864698","0.15591512748223","0.253437920247165"
"Full-time","2018","Bavaria","(2c_voc) vocational maturity certificate","172","0.555399469387271","0.503487861842216","0.607311076932326"
"Full-time","2018","Bavaria","(3a) lower tertiary education","164","0.539347662832761","0.484989112035576","0.593706213629945"
"Full-time","2018","Bavaria","(3b) higher tertiary education","348","0.566371695534929","0.530568749350901","0.602174641718957"
"Full-time","2018","Berlin","(0) in school","","","",""
"Full-time","2018","Berlin","(1a) inadequately completed","4","","",""
"Full-time","2018","Berlin","(1b) general elementary school","11","","",""
"Full-time","2018","Berlin","(1c) basic vocational qualification","16","","",""
"Full-time","2018","Berlin","(2b) intermediate general qualification","8","","",""
"Full-time","2018","Berlin","(2a) intermediate vocational","87","0.412618280798405","0.345061732327444","0.480174829269367"
"Full-time","2018","Berlin","(2c_gen) general maturity certificate","20","","",""
"Full-time","2018","Berlin","(2c_voc) vocational maturity certificate","41","0.499087049526779","0.3888306450571","0.609343453996459"
"Full-time","2018","Berlin","(3a) lower tertiary education","44","0.539099349058717","0.437791129898457","0.640407568218976"
"Full-time","2018","Berlin","(3b) higher tertiary education","161","0.55414875670565","0.502944981960569","0.60535253145073"
"Full-time","2018","Brandenburg","(0) in school","1","","",""
"Full-time","2018","Brandenburg","(1a) inadequately completed","12","","",""
"Full-time","2018","Brandenburg","(1b) general elementary school","6","","",""
"Full-time","2018","Brandenburg","(1c) basic vocational qualification","31","0.171616839320932","0.113193862693647","0.230039815948217"
"Full-time","2018","Brandenburg","(2b) intermediate general qualification","7","","",""
"Full-time","2018","Brandenburg","(2a) intermediate vocational","170","0.500160472713044","0.448001296903744","0.552319648522344"
"Full-time","2018","Brandenburg","(2c_gen) general maturity certificate","9","","",""
"Full-time","2018","Brandenburg","(2c_voc) vocational maturity certificate","47","0.635643804940143","0.540363082464599","0.730924527415687"
"Full-time","2018","Brandenburg","(3a) lower tertiary education","39","0.385470731367616","0.294927999982738","0.476013462752493"
"Full-time","2018","Brandenburg","(3b) higher tertiary education","73","0.592085746935102","0.512640820514265","0.671530673355939"
"Full-time","2018","Mecklenburg-Western Pomerania","(0) in school","","","",""
"Full-time","2018","Mecklenburg-Western Pomerania","(1a) inadequately completed","7","","",""
"Full-time","2018","Mecklenburg-Western Pomerania","(1b) general elementary school","","","",""
"Full-time","2018","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","17","","",""
"Full-time","2018","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","4","","",""
"Full-time","2018","Mecklenburg-Western Pomerania","(2a) intermediate vocational","95","0.38729533710214","0.325013575653604","0.449577098550677"
"Full-time","2018","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","5","","",""
"Full-time","2018","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","24","","",""
"Full-time","2018","Mecklenburg-Western Pomerania","(3a) lower tertiary education","19","","",""
"Full-time","2018","Mecklenburg-Western Pomerania","(3b) higher tertiary education","41","0.494599676495393","0.395612320324216","0.593587032666571"
"Full-time","2018","Saxony","(0) in school","","","",""
"Full-time","2018","Saxony","(1a) inadequately completed","3","","",""
"Full-time","2018","Saxony","(1b) general elementary school","16","","",""
"Full-time","2018","Saxony","(1c) basic vocational qualification","34","0.161070676982464","0.112824090835238","0.209317263129689"
"Full-time","2018","Saxony","(2b) intermediate general qualification","16","","",""
"Full-time","2018","Saxony","(2a) intermediate vocational","331","0.556111605896583","0.51740686981424","0.594816341978927"
"Full-time","2018","Saxony","(2c_gen) general maturity certificate","15","","",""
"Full-time","2018","Saxony","(2c_voc) vocational maturity certificate","50","0.495753536449568","0.398245200464254","0.593261872434881"
"Full-time","2018","Saxony","(3a) lower tertiary education","74","0.441520415372871","0.365521881737042","0.517518949008701"
"Full-time","2018","Saxony","(3b) higher tertiary education","110","0.419684493410472","0.361672305859591","0.477696680961353"
"Full-time","2018","Saxony-Anhalt","(0) in school","","","",""
"Full-time","2018","Saxony-Anhalt","(1a) inadequately completed","5","","",""
"Full-time","2018","Saxony-Anhalt","(1b) general elementary school","6","","",""
"Full-time","2018","Saxony-Anhalt","(1c) basic vocational qualification","33","0.226590648769479","0.15959784374287","0.293583453796088"
"Full-time","2018","Saxony-Anhalt","(2b) intermediate general qualification","5","","",""
"Full-time","2018","Saxony-Anhalt","(2a) intermediate vocational","172","0.504533837623416","0.450507902689576","0.558559772557257"
"Full-time","2018","Saxony-Anhalt","(2c_gen) general maturity certificate","9","","",""
"Full-time","2018","Saxony-Anhalt","(2c_voc) vocational maturity certificate","31","0.571676658122006","0.452295105052815","0.691058211191196"
"Full-time","2018","Saxony-Anhalt","(3a) lower tertiary education","42","0.349944297581379","0.255514338858882","0.444374256303876"
"Full-time","2018","Saxony-Anhalt","(3b) higher tertiary education","51","0.42767437304938","0.341629610470437","0.513719135628323"
"Full-time","2018","Thuringia","(0) in school","","","",""
"Full-time","2018","Thuringia","(1a) inadequately completed","3","","",""
"Full-time","2018","Thuringia","(1b) general elementary school","14","","",""
"Full-time","2018","Thuringia","(1c) basic vocational qualification","48","0.214428248960239","0.15430319155124","0.274553306369237"
"Full-time","2018","Thuringia","(2b) intermediate general qualification","2","","",""
"Full-time","2018","Thuringia","(2a) intermediate vocational","176","0.491582458180946","0.439868316793767","0.543296599568125"
"Full-time","2018","Thuringia","(2c_gen) general maturity certificate","5","","",""
"Full-time","2018","Thuringia","(2c_voc) vocational maturity certificate","36","0.631788776029836","0.510751918951649","0.752825633108024"
"Full-time","2018","Thuringia","(3a) lower tertiary education","36","0.512589310438572","0.403058728548589","0.622119892328555"
"Full-time","2018","Thuringia","(3b) higher tertiary education","71","0.462199385949895","0.38445932505146","0.53993944684833"
"Part-time","2018","Schleswig-Holstein","(0) in school","","","",""
"Part-time","2018","Schleswig-Holstein","(1a) inadequately completed","8","","",""
"Part-time","2018","Schleswig-Holstein","(1b) general elementary school","12","","",""
"Part-time","2018","Schleswig-Holstein","(1c) basic vocational qualification","26","","",""
"Part-time","2018","Schleswig-Holstein","(2b) intermediate general qualification","5","","",""
"Part-time","2018","Schleswig-Holstein","(2a) intermediate vocational","59","0.200391796515347","0.147853710234684","0.252929882796011"
"Part-time","2018","Schleswig-Holstein","(2c_gen) general maturity certificate","5","","",""
"Part-time","2018","Schleswig-Holstein","(2c_voc) vocational maturity certificate","26","","",""
"Part-time","2018","Schleswig-Holstein","(3a) lower tertiary education","17","","",""
"Part-time","2018","Schleswig-Holstein","(3b) higher tertiary education","25","","",""
"Part-time","2018","Hamburg","(0) in school","1","","",""
"Part-time","2018","Hamburg","(1a) inadequately completed","2","","",""
"Part-time","2018","Hamburg","(1b) general elementary school","2","","",""
"Part-time","2018","Hamburg","(1c) basic vocational qualification","7","","",""
"Part-time","2018","Hamburg","(2b) intermediate general qualification","1","","",""
"Part-time","2018","Hamburg","(2a) intermediate vocational","9","","",""
"Part-time","2018","Hamburg","(2c_gen) general maturity certificate","7","","",""
"Part-time","2018","Hamburg","(2c_voc) vocational maturity certificate","14","","",""
"Part-time","2018","Hamburg","(3a) lower tertiary education","8","","",""
"Part-time","2018","Hamburg","(3b) higher tertiary education","20","","",""
"Part-time","2018","Lower Saxony","(0) in school","","","",""
"Part-time","2018","Lower Saxony","(1a) inadequately completed","17","","",""
"Part-time","2018","Lower Saxony","(1b) general elementary school","34","0.115092076791378","0.0820800170808245","0.148104136501931"
"Part-time","2018","Lower Saxony","(1c) basic vocational qualification","52","0.0683464120457214","0.0453366464784871","0.0913561776129557"
"Part-time","2018","Lower Saxony","(2b) intermediate general qualification","12","","",""
"Part-time","2018","Lower Saxony","(2a) intermediate vocational","128","0.178448224396018","0.147473844172643","0.209422604619394"
"Part-time","2018","Lower Saxony","(2c_gen) general maturity certificate","27","","",""
"Part-time","2018","Lower Saxony","(2c_voc) vocational maturity certificate","67","0.201356038137137","0.153434484896529","0.249277591377746"
"Part-time","2018","Lower Saxony","(3a) lower tertiary education","30","0.193559925571708","0.130543554311323","0.256576296832093"
"Part-time","2018","Lower Saxony","(3b) higher tertiary education","75","0.139635929925908","0.108064277061842","0.171207582789973"
"Part-time","2018","Bremen","(0) in school","","","",""
"Part-time","2018","Bremen","(1a) inadequately completed","3","","",""
"Part-time","2018","Bremen","(1b) general elementary school","1","","",""
"Part-time","2018","Bremen","(1c) basic vocational qualification","5","","",""
"Part-time","2018","Bremen","(2b) intermediate general qualification","","","",""
"Part-time","2018","Bremen","(2a) intermediate vocational","14","","",""
"Part-time","2018","Bremen","(2c_gen) general maturity certificate","1","","",""
"Part-time","2018","Bremen","(2c_voc) vocational maturity certificate","5","","",""
"Part-time","2018","Bremen","(3a) lower tertiary education","2","","",""
"Part-time","2018","Bremen","(3b) higher tertiary education","5","","",""
"Part-time","2018","North Rhine-Westphalia","(0) in school","","","",""
"Part-time","2018","North Rhine-Westphalia","(1a) inadequately completed","45","0.141280495945809","0.111168932844738","0.171392059046879"
"Part-time","2018","North Rhine-Westphalia","(1b) general elementary school","55","0.0809065012143221","0.0598944956059274","0.101918506822717"
"Part-time","2018","North Rhine-Westphalia","(1c) basic vocational qualification","111","0.0857985099242085","0.0689939665322571","0.10260305331616"
"Part-time","2018","North Rhine-Westphalia","(2b) intermediate general qualification","18","","",""
"Part-time","2018","North Rhine-Westphalia","(2a) intermediate vocational","205","0.168837176840187","0.144016069077771","0.193658284602602"
"Part-time","2018","North Rhine-Westphalia","(2c_gen) general maturity certificate","66","0.116731301119805","0.0902779949352401","0.14318460730437"
"Part-time","2018","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","188","0.204137577601977","0.175155189863926","0.233119965340028"
"Part-time","2018","North Rhine-Westphalia","(3a) lower tertiary education","55","0.12286760547763","0.0875016523656353","0.158233558589626"
"Part-time","2018","North Rhine-Westphalia","(3b) higher tertiary education","171","0.164675825687028","0.142058545398066","0.187293105975989"
"Part-time","2018","Hesse","(0) in school","","","",""
"Part-time","2018","Hesse","(1a) inadequately completed","13","","",""
"Part-time","2018","Hesse","(1b) general elementary school","24","","",""
"Part-time","2018","Hesse","(1c) basic vocational qualification","23","","",""
"Part-time","2018","Hesse","(2b) intermediate general qualification","4","","",""
"Part-time","2018","Hesse","(2a) intermediate vocational","70","0.150766544002176","0.111804509795315","0.189728578209037"
"Part-time","2018","Hesse","(2c_gen) general maturity certificate","24","","",""
"Part-time","2018","Hesse","(2c_voc) vocational maturity certificate","53","0.197235851051624","0.141242799109924","0.253228902993324"
"Part-time","2018","Hesse","(3a) lower tertiary education","20","","",""
"Part-time","2018","Hesse","(3b) higher tertiary education","86","0.173027771160121","0.137190942030336","0.208864600289905"
"Part-time","2018","Rhineland-Palatinate,Saarland","(0) in school","","","",""
"Part-time","2018","Rhineland-Palatinate,Saarland","(1a) inadequately completed","6","","",""
"Part-time","2018","Rhineland-Palatinate,Saarland","(1b) general elementary school","30","0.111788498977508","0.0735602332721702","0.150016764682845"
"Part-time","2018","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","45","0.0778492690587544","0.0510507554799023","0.104647782637606"
"Part-time","2018","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","5","","",""
"Part-time","2018","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","54","0.194338078219922","0.143854810280671","0.244821346159172"
"Part-time","2018","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","16","","",""
"Part-time","2018","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","38","0.180439046694393","0.12047713934992","0.240400954038866"
"Part-time","2018","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","16","","",""
"Part-time","2018","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","38","0.107229484947533","0.0676708598151757","0.146788110079891"
"Part-time","2018","Baden-Württemberg","(0) in school","","","",""
"Part-time","2018","Baden-Württemberg","(1a) inadequately completed","16","","",""
"Part-time","2018","Baden-Württemberg","(1b) general elementary school","29","","",""
"Part-time","2018","Baden-Württemberg","(1c) basic vocational qualification","65","0.123654017698368","0.0959915731071314","0.151316462289605"
"Part-time","2018","Baden-Württemberg","(2b) intermediate general qualification","9","","",""
"Part-time","2018","Baden-Württemberg","(2a) intermediate vocational","144","0.191385680716152","0.158358213180771","0.224413148251532"
"Part-time","2018","Baden-Württemberg","(2c_gen) general maturity certificate","17","","",""
"Part-time","2018","Baden-Württemberg","(2c_voc) vocational maturity certificate","68","0.151767035777843","0.110754112576823","0.192779958978862"
"Part-time","2018","Baden-Württemberg","(3a) lower tertiary education","46","0.129363269358774","0.0871674972325213","0.171559041485026"
"Part-time","2018","Baden-Württemberg","(3b) higher tertiary education","113","0.153206758658734","0.125559508196489","0.180854009120979"
"Part-time","2018","Bavaria","(0) in school","1","","",""
"Part-time","2018","Bavaria","(1a) inadequately completed","19","","",""
"Part-time","2018","Bavaria","(1b) general elementary school","44","0.0894850000344682","0.0608980792812081","0.118071920787728"
"Part-time","2018","Bavaria","(1c) basic vocational qualification","149","0.123975071064301","0.103917232651633","0.144032909476969"
"Part-time","2018","Bavaria","(2b) intermediate general qualification","8","","",""
"Part-time","2018","Bavaria","(2a) intermediate vocational","206","0.206701555710083","0.17857077850754","0.234832332912625"
"Part-time","2018","Bavaria","(2c_gen) general maturity certificate","29","","",""
"Part-time","2018","Bavaria","(2c_voc) vocational maturity certificate","78","0.189706912192162","0.148748849730357","0.230664974653967"
"Part-time","2018","Bavaria","(3a) lower tertiary education","58","0.112903143273681","0.0783899322719862","0.147416354275375"
"Part-time","2018","Bavaria","(3b) higher tertiary education","125","0.116812744410114","0.0936077913455288","0.140017697474699"
"Part-time","2018","Berlin","(0) in school","1","","",""
"Part-time","2018","Berlin","(1a) inadequately completed","4","","",""
"Part-time","2018","Berlin","(1b) general elementary school","12","","",""
"Part-time","2018","Berlin","(1c) basic vocational qualification","7","","",""
"Part-time","2018","Berlin","(2b) intermediate general qualification","3","","",""
"Part-time","2018","Berlin","(2a) intermediate vocational","26","","",""
"Part-time","2018","Berlin","(2c_gen) general maturity certificate","13","","",""
"Part-time","2018","Berlin","(2c_voc) vocational maturity certificate","18","","",""
"Part-time","2018","Berlin","(3a) lower tertiary education","20","","",""
"Part-time","2018","Berlin","(3b) higher tertiary education","69","0.153940089399727","0.116763441220331","0.191116737579123"
"Part-time","2018","Brandenburg","(0) in school","","","",""
"Part-time","2018","Brandenburg","(1a) inadequately completed","2","","",""
"Part-time","2018","Brandenburg","(1b) general elementary school","6","","",""
"Part-time","2018","Brandenburg","(1c) basic vocational qualification","16","","",""
"Part-time","2018","Brandenburg","(2b) intermediate general qualification","1","","",""
"Part-time","2018","Brandenburg","(2a) intermediate vocational","50","0.144320723571294","0.107661725241778","0.18097972190081"
"Part-time","2018","Brandenburg","(2c_gen) general maturity certificate","6","","",""
"Part-time","2018","Brandenburg","(2c_voc) vocational maturity certificate","21","","",""
"Part-time","2018","Brandenburg","(3a) lower tertiary education","14","","",""
"Part-time","2018","Brandenburg","(3b) higher tertiary education","14","","",""
"Part-time","2018","Mecklenburg-Western Pomerania","(0) in school","","","",""
"Part-time","2018","Mecklenburg-Western Pomerania","(1a) inadequately completed","1","","",""
"Part-time","2018","Mecklenburg-Western Pomerania","(1b) general elementary school","4","","",""
"Part-time","2018","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","11","","",""
"Part-time","2018","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","1","","",""
"Part-time","2018","Mecklenburg-Western Pomerania","(2a) intermediate vocational","40","0.21844335944632","0.165615402882774","0.271271316009867"
"Part-time","2018","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","4","","",""
"Part-time","2018","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","7","","",""
"Part-time","2018","Mecklenburg-Western Pomerania","(3a) lower tertiary education","4","","",""
"Part-time","2018","Mecklenburg-Western Pomerania","(3b) higher tertiary education","11","","",""
"Part-time","2018","Saxony","(0) in school","","","",""
"Part-time","2018","Saxony","(1a) inadequately completed","3","","",""
"Part-time","2018","Saxony","(1b) general elementary school","9","","",""
"Part-time","2018","Saxony","(1c) basic vocational qualification","9","","",""
"Part-time","2018","Saxony","(2b) intermediate general qualification","4","","",""
"Part-time","2018","Saxony","(2a) intermediate vocational","117","0.160305611906925","0.131724361529603","0.188886862284248"
"Part-time","2018","Saxony","(2c_gen) general maturity certificate","7","","",""
"Part-time","2018","Saxony","(2c_voc) vocational maturity certificate","20","","",""
"Part-time","2018","Saxony","(3a) lower tertiary education","24","","",""
"Part-time","2018","Saxony","(3b) higher tertiary education","50","0.147538133750949","0.105849725216377","0.18922654228552"
"Part-time","2018","Saxony-Anhalt","(0) in school","","","",""
"Part-time","2018","Saxony-Anhalt","(1a) inadequately completed","2","","",""
"Part-time","2018","Saxony-Anhalt","(1b) general elementary school","4","","",""
"Part-time","2018","Saxony-Anhalt","(1c) basic vocational qualification","7","","",""
"Part-time","2018","Saxony-Anhalt","(2b) intermediate general qualification","4","","",""
"Part-time","2018","Saxony-Anhalt","(2a) intermediate vocational","47","0.115068453055948","0.0805871937803786","0.149549712331517"
"Part-time","2018","Saxony-Anhalt","(2c_gen) general maturity certificate","2","","",""
"Part-time","2018","Saxony-Anhalt","(2c_voc) vocational maturity certificate","12","","",""
"Part-time","2018","Saxony-Anhalt","(3a) lower tertiary education","11","","",""
"Part-time","2018","Saxony-Anhalt","(3b) higher tertiary education","18","","",""
"Part-time","2018","Thuringia","(0) in school","","","",""
"Part-time","2018","Thuringia","(1a) inadequately completed","1","","",""
"Part-time","2018","Thuringia","(1b) general elementary school","4","","",""
"Part-time","2018","Thuringia","(1c) basic vocational qualification","10","","",""
"Part-time","2018","Thuringia","(2b) intermediate general qualification","3","","",""
"Part-time","2018","Thuringia","(2a) intermediate vocational","55","0.152889325938625","0.115662198434077","0.190116453443173"
"Part-time","2018","Thuringia","(2c_gen) general maturity certificate","5","","",""
"Part-time","2018","Thuringia","(2c_voc) vocational maturity certificate","9","","",""
"Part-time","2018","Thuringia","(3a) lower tertiary education","11","","",""
"Part-time","2018","Thuringia","(3b) higher tertiary education","24","","",""
"Non-working","2018","Schleswig-Holstein","(0) in school","17","","",""
"Non-working","2018","Schleswig-Holstein","(1a) inadequately completed","79","0.756324820945614","0.674982600067813","0.837667041823414"
"Non-working","2018","Schleswig-Holstein","(1b) general elementary school","77","0.645209989925811","0.557764905023687","0.732655074827935"
"Non-working","2018","Schleswig-Holstein","(1c) basic vocational qualification","89","0.554018990418262","0.482196627606737","0.625841353229786"
"Non-working","2018","Schleswig-Holstein","(2b) intermediate general qualification","15","","",""
"Non-working","2018","Schleswig-Holstein","(2a) intermediate vocational","64","0.340403363042775","0.27821175347078","0.40259497261477"
"Non-working","2018","Schleswig-Holstein","(2c_gen) general maturity certificate","37","0.395839636837496","0.283657833936432","0.50802143973856"
"Non-working","2018","Schleswig-Holstein","(2c_voc) vocational maturity certificate","26","","",""
"Non-working","2018","Schleswig-Holstein","(3a) lower tertiary education","16","","",""
"Non-working","2018","Schleswig-Holstein","(3b) higher tertiary education","56","0.268353468611297","0.199262097209271","0.337444840013324"
"Non-working","2018","Hamburg","(0) in school","10","","",""
"Non-working","2018","Hamburg","(1a) inadequately completed","39","0.87591761789183","0.781666642344099","0.97016859343956"
"Non-working","2018","Hamburg","(1b) general elementary school","32","0.595621129340413","0.467082592237811","0.724159666443015"
"Non-working","2018","Hamburg","(1c) basic vocational qualification","32","0.682582066310057","0.567642121769162","0.797522010850952"
"Non-working","2018","Hamburg","(2b) intermediate general qualification","5","","",""
"Non-working","2018","Hamburg","(2a) intermediate vocational","29","","",""
"Non-working","2018","Hamburg","(2c_gen) general maturity certificate","19","","",""
"Non-working","2018","Hamburg","(2c_voc) vocational maturity certificate","9","","",""
"Non-working","2018","Hamburg","(3a) lower tertiary education","11","","",""
"Non-working","2018","Hamburg","(3b) higher tertiary education","38","0.246130619483956","0.174777174217445","0.317484064750466"
"Non-working","2018","Lower Saxony","(0) in school","72","0.878638449603067","0.80921850092509","0.948058398281044"
