"erwst","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"Other","1989","higher education","Male","11","","",""
"Other","1989","higher education","Female","12","","",""
"Full-time","1990","in school","Male","","","",""
"Full-time","1990","in school","Female","","","",""
"Full-time","1990","inadequately","Male","187","0.634103501314511","0.576109328747815","0.692097673881207"
"Full-time","1990","inadequately","Female","109","0.267632397509924","0.223409048260095","0.311855746759753"
"Full-time","1990","general elemantary","Male","555","0.47842482066337","0.447602323782549","0.509247317544192"
"Full-time","1990","general elemantary","Female","405","0.146112205828512","0.130635868110449","0.161588543546574"
"Full-time","1990","middle vocational","Male","2757","0.682213767810245","0.667200727578207","0.697226808042283"
"Full-time","1990","middle vocational","Female","1345","0.329047690711495","0.313277165714405","0.344818215708585"
"Full-time","1990","vocational + Abi","Male","132","0.543448632120408","0.476397790312188","0.610499473928627"
"Full-time","1990","vocational + Abi","Female","78","0.503628747998551","0.426872655873443","0.580384840123658"
"Full-time","1990","higher vocational","Male","395","0.723895536139601","0.684787059841747","0.763004012437454"
"Full-time","1990","higher vocational","Female","116","0.383931211252701","0.326027718846305","0.441834703659097"
"Full-time","1990","higher education","Male","777","0.798916914015553","0.77312920971655","0.824704618314556"
"Full-time","1990","higher education","Female","483","0.544173967515273","0.508995965327512","0.579351969703034"
"Part-time","1990","in school","Male","2","","",""
"Part-time","1990","in school","Female","2","","",""
"Part-time","1990","inadequately","Male","1","","",""
"Part-time","1990","inadequately","Female","35","0.0659542533558134","0.0411615888289253","0.0907469178827015"
"Part-time","1990","general elemantary","Male","14","","",""
"Part-time","1990","general elemantary","Female","207","0.0955339067933436","0.0826543932197493","0.108413420366938"
"Part-time","1990","middle vocational","Male","34","0.00966174255303255","0.00650775207077604","0.0128157330352891"
"Part-time","1990","middle vocational","Female","623","0.166895299671043","0.15437995695373","0.179410642388356"
"Part-time","1990","vocational + Abi","Male","5","","",""
"Part-time","1990","vocational + Abi","Female","23","","",""
"Part-time","1990","higher vocational","Male","3","","",""
"Part-time","1990","higher vocational","Female","46","0.147119830806672","0.104945998949125","0.189293662664219"
"Part-time","1990","higher education","Male","18","","",""
"Part-time","1990","higher education","Female","110","0.168431775351614","0.141997726722801","0.194865823980428"
"Non-working","1990","in school","Male","106","0.911425946704534","0.8588056814156","0.964046211993469"
"Non-working","1990","in school","Female","80","0.980799834545455","0.951097961163246","1.01050170792766"
"Non-working","1990","inadequately","Male","71","0.302155203201745","0.246868637264158","0.357441769139332"
"Non-working","1990","inadequately","Female","230","0.643703086225979","0.595865798046543","0.691540374405415"
"Non-working","1990","general elemantary","Male","235","0.307482278613654","0.279009621441656","0.335954935785653"
"Non-working","1990","general elemantary","Female","1208","0.685203736109858","0.664854449317991","0.705553022901724"
"Non-working","1990","middle vocational","Male","825","0.284304846109107","0.269760404944565","0.29884928727365"
"Non-working","1990","middle vocational","Female","1328","0.470905057209467","0.454151602188847","0.487658512230088"
"Non-working","1990","vocational + Abi","Male","69","0.374088462563229","0.308952055951672","0.439224869174786"
"Non-working","1990","vocational + Abi","Female","54","0.321618341001391","0.249911309960685","0.393325372042097"
"Non-working","1990","higher vocational","Male","103","0.26822092383892","0.229465494430877","0.306976353246962"
"Non-working","1990","higher vocational","Female","98","0.433384542854459","0.374385581889783","0.492383503819136"
"Non-working","1990","higher education","Male","127","0.169727575802165","0.145575157928553","0.193879993675777"
"Non-working","1990","higher education","Female","167","0.268734581486309","0.237423214771747","0.300045948200871"
"Other","1990","in school","Male","4","","",""
"Other","1990","in school","Female","","","",""
"Other","1990","inadequately","Male","6","","",""
"Other","1990","inadequately","Female","11","","",""
