"pli0092_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"Min 1x per month","1987","Not Working","inadequately","","","",""
"Min 1x per month","1987","Not Working","general elemantary","","","",""
"Min 1x per month","1987","Not Working","middle vocational","","","",""
"Min 1x per month","1987","Not Working","vocational + Abi","","","",""
"Min 1x per month","1987","Not Working","higher vocational","","","",""
"Min 1x per month","1987","Not Working","higher education","","","",""
"Rarely","1987","Full Time","in school","","","",""
"Rarely","1987","Full Time","inadequately","","","",""
"Rarely","1987","Full Time","general elemantary","","","",""
"Rarely","1987","Full Time","middle vocational","","","",""
"Rarely","1987","Full Time","vocational + Abi","","","",""
"Rarely","1987","Full Time","higher vocational","","","",""
"Rarely","1987","Full Time","higher education","","","",""
"Rarely","1987","Part Time","in school","","","",""
"Rarely","1987","Part Time","inadequately","","","",""
"Rarely","1987","Part Time","general elemantary","","","",""
"Rarely","1987","Part Time","middle vocational","","","",""
"Rarely","1987","Part Time","vocational + Abi","","","",""
"Rarely","1987","Part Time","higher vocational","","","",""
"Rarely","1987","Part Time","higher education","","","",""
"Rarely","1987","Not Working","in school","","","",""
"Rarely","1987","Not Working","inadequately","","","",""
"Rarely","1987","Not Working","general elemantary","","","",""
"Rarely","1987","Not Working","middle vocational","","","",""
"Rarely","1987","Not Working","vocational + Abi","","","",""
"Rarely","1987","Not Working","higher vocational","","","",""
"Rarely","1987","Not Working","higher education","","","",""
"Never","1987","Full Time","in school","","","",""
"Never","1987","Full Time","inadequately","","","",""
"Never","1987","Full Time","general elemantary","","","",""
"Never","1987","Full Time","middle vocational","","","",""
"Never","1987","Full Time","vocational + Abi","","","",""
"Never","1987","Full Time","higher vocational","","","",""
"Never","1987","Full Time","higher education","","","",""
"Never","1987","Part Time","in school","","","",""
"Never","1987","Part Time","inadequately","","","",""
"Never","1987","Part Time","general elemantary","","","",""
"Never","1987","Part Time","middle vocational","","","",""
"Never","1987","Part Time","vocational + Abi","","","",""
"Never","1987","Part Time","higher vocational","","","",""
"Never","1987","Part Time","higher education","","","",""
"Never","1987","Not Working","in school","","","",""
"Never","1987","Not Working","inadequately","","","",""
"Never","1987","Not Working","general elemantary","","","",""
"Never","1987","Not Working","middle vocational","","","",""
"Never","1987","Not Working","vocational + Abi","","","",""
"Never","1987","Not Working","higher vocational","","","",""
"Never","1987","Not Working","higher education","","","",""
"Daily","1988","Full Time","in school","","","",""
"Daily","1988","Full Time","inadequately","","","",""
"Daily","1988","Full Time","general elemantary","","","",""
"Daily","1988","Full Time","middle vocational","","","",""
"Daily","1988","Full Time","vocational + Abi","","","",""
"Daily","1988","Full Time","higher vocational","","","",""
"Daily","1988","Full Time","higher education","","","",""
"Daily","1988","Part Time","in school","","","",""
"Daily","1988","Part Time","inadequately","","","",""
"Daily","1988","Part Time","general elemantary","","","",""
"Daily","1988","Part Time","middle vocational","","","",""
"Daily","1988","Part Time","vocational + Abi","","","",""
"Daily","1988","Part Time","higher vocational","","","",""
"Daily","1988","Part Time","higher education","","","",""
"Daily","1988","Not Working","in school","","","",""
"Daily","1988","Not Working","inadequately","","","",""
"Daily","1988","Not Working","general elemantary","","","",""
"Daily","1988","Not Working","middle vocational","","","",""
"Daily","1988","Not Working","vocational + Abi","","","",""
"Daily","1988","Not Working","higher vocational","","","",""
"Daily","1988","Not Working","higher education","","","",""
"Min 1x per week","1988","Full Time","in school","","","",""
"Min 1x per week","1988","Full Time","inadequately","24","","",""
"Min 1x per week","1988","Full Time","general elemantary","192","0.220789081377682","0.194385658384543","0.247192504370821"
"Min 1x per week","1988","Full Time","middle vocational","636","0.284264124424086","0.266165303165734","0.302362945682439"
"Min 1x per week","1988","Full Time","vocational + Abi","49","0.378859737158126","0.299351131034121","0.458368343282131"
"Min 1x per week","1988","Full Time","higher vocational","93","0.318828239061136","0.265376311251832","0.372280166870441"
"Min 1x per week","1988","Full Time","higher education","185","0.437800832079197","0.390578377962744","0.485023286195649"
"Min 1x per week","1988","Part Time","in school","5","","",""
"Min 1x per week","1988","Part Time","inadequately","6","","",""
"Min 1x per week","1988","Part Time","general elemantary","131","0.227594421692332","0.192991557639812","0.262197285744852"
"Min 1x per week","1988","Part Time","middle vocational","246","0.305168015610849","0.27378427223854","0.336551758983159"
"Min 1x per week","1988","Part Time","vocational + Abi","14","","",""
"Min 1x per week","1988","Part Time","higher vocational","39","0.393810847505387","0.295560474924873","0.492061220085902"
"Min 1x per week","1988","Part Time","higher education","61","0.3980945131756","0.318419648049865","0.477769378301334"
"Min 1x per week","1988","Not Working","in school","111","0.727023728944741","0.656434389656773","0.797613068232708"
"Min 1x per week","1988","Not Working","inadequately","15","","",""
"Min 1x per week","1988","Not Working","general elemantary","200","0.137428227015598","0.117907331755908","0.156949122275288"
"Min 1x per week","1988","Not Working","middle vocational","288","0.17451525305731","0.155210862904836","0.193819643209785"
"Min 1x per week","1988","Not Working","vocational + Abi","18","","",""
"Min 1x per week","1988","Not Working","higher vocational","28","","",""
"Min 1x per week","1988","Not Working","higher education","37","0.26957358951412","0.1932948830664","0.34585229596184"
"Min 1x per month","1988","Full Time","in school","","","",""
"Min 1x per month","1988","Full Time","inadequately","9","","",""
"Min 1x per month","1988","Full Time","general elemantary","57","0.0592185534724339","0.0441934596814533","0.0742436472634145"
"Min 1x per month","1988","Full Time","middle vocational","164","0.0746270986695142","0.0640827553273504","0.085171442011678"
"Min 1x per month","1988","Full Time","vocational + Abi","10","","",""
"Min 1x per month","1988","Full Time","higher vocational","24","","",""
"Min 1x per month","1988","Full Time","higher education","31","0.0765942900108973","0.0512803563278477","0.101908223693947"
"Min 1x per month","1988","Part Time","in school","","","",""
"Min 1x per month","1988","Part Time","inadequately","1","","",""
"Min 1x per month","1988","Part Time","general elemantary","29","","",""
"Min 1x per month","1988","Part Time","middle vocational","52","0.0608587823721158","0.0445649810475089","0.0771525836967226"
"Min 1x per month","1988","Part Time","vocational + Abi","4","","",""
"Min 1x per month","1988","Part Time","higher vocational","7","","",""
"Min 1x per month","1988","Part Time","higher education","7","","",""
