"ple0160","year","bula_h","n","percent","lower_confidence","upper_confidence"
"No","2010","North Rhine-Westphalia","3298","0.973486317563682","0.968084544252167","0.978888090875197"
"No","2010","Hesse","1069","0.957204892556879","0.945372721194398","0.96903706391936"
"No","2010","Rhineland-Palatinate,Saarland","913","0.957647719260814","0.944894887593325","0.970400550928303"
"No","2010","Baden-Württemberg","1871","0.945877518199916","0.935873531243831","0.955881505156001"
"No","2010","Bavaria","2352","0.97104947206956","0.96438440485105","0.97771453928807"
"No","2010","Berlin","628","0.973937988075972","0.961708904429771","0.986167071722174"
"No","2010","Brandenburg","689","0.949840186524847","0.933829785447118","0.965850587602575"
"No","2010","Mecklenburg-Western Pomerania","416","0.968453308302108","0.951893989748548","0.985012626855668"
"No","2010","Saxony","1195","0.97132022009958","0.962034163592185","0.980606276606976"
"No","2010","Saxony-Anhalt","689","0.954463957279819","0.93921489007696","0.969713024482678"
"No","2010","Thuringia","728","0.970304565872798","0.958220520004647","0.982388611740948"
"Yes","2011","Schleswig-Holstein","31","0.0442672500064755","0.0284911007602394","0.0600433992527115"
"Yes","2011","Hamburg","18","","",""
"Yes","2011","Lower Saxony","112","0.0646171644310154","0.0536117682618727","0.0756225606001582"
"Yes","2011","Bremen","3","","",""
"Yes","2011","North Rhine-Westphalia","184","0.0492254820604765","0.0426458610137237","0.0558051031072293"
"Yes","2011","Hesse","71","0.0590844095167044","0.0467948825070304","0.0713739365263784"
"Yes","2011","Rhineland-Palatinate,Saarland","55","0.038068585481907","0.0272818416608954","0.0488553293029185"
"Yes","2011","Baden-Württemberg","116","0.0401206881125298","0.0324219720476553","0.0478194041774042"
"Yes","2011","Bavaria","139","0.0424902749288035","0.0354984082223624","0.0494821416352445"
"Yes","2011","Berlin","47","0.0593710244853913","0.0428079420870839","0.0759341068836988"
"Yes","2011","Brandenburg","50","0.0673678380176144","0.0508908164702983","0.0838448595649306"
"Yes","2011","Mecklenburg-Western Pomerania","26","","",""
"Yes","2011","Saxony","78","0.0432007509915542","0.0325850505327423","0.0538164514503661"
"Yes","2011","Saxony-Anhalt","40","0.0423921487266869","0.0289884458368893","0.0557958516164845"
"Yes","2011","Thuringia","53","0.0454454439561127","0.0317542045964946","0.0591366833157307"
"No","2011","Schleswig-Holstein","622","0.955732749993525","0.939956600747288","0.971508899239761"
"No","2011","Hamburg","297","0.960641232995727","0.939168161587322","0.982114304404133"
"No","2011","Lower Saxony","1805","0.935382835568985","0.924377439399842","0.946388231738127"
"No","2011","Bremen","124","0.994729922938992","0.98213755791064","1.00732228796734"
