"year","hgtyp1hh","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2011","Couple + C. GT 16 ","West Germany","","","","","","","","","","","","","",""
"2011","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"2011","Couple + C. LE 16","West Germany","","","","","","","","","","","","","",""
"2011","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"2011","Couple + C. LE and GT 16","West Germany","","","","","","","","","","","","","",""
"2011","Single parent","East Germany","","","","","","","","","","","","","",""
"2011","Single parent","West Germany","","","","","","","","","","","","","",""
"2012","(Married) couple without C.","East Germany","2.67","3","2118","2","2","3","4","4","2.64","2.7","1","4","3","3"
"2012","(Married) couple without C.","West Germany","2.52","3","6066","1","2","3","4","4","2.5","2.54","1","4","2","3"
"2012","1-pers.-HH","East Germany","2.61","3","959","1","2","3","4","4","2.55","2.67","1","4","3","3"
"2012","1-pers.-HH","West Germany","2.6","3","2778","1","2","3","4","4","2.57","2.63","1","4","3","3"
"2012","Couple + C. GT 16 ","East Germany","2.59","3","671","2","2","3","4","4","2.53","2.65","1","4","3","3"
"2012","Couple + C. GT 16 ","West Germany","2.51","3","2438","1","2","3","4","4","2.48","2.54","1","4","3","3"
"2012","Couple + C. LE 16","East Germany","2.57","3","1430","2","2","3","3","4","2.53","2.61","1","4","3","3"
"2012","Couple + C. LE 16","West Germany","2.52","3","5889","2","2","3","3","4","2.5","2.54","1","4","3","3"
"2012","Couple + C. LE and GT 16","East Germany","2.6","3","278","1","2","3","4","4","2.5","2.7","1","4","3","3"
"2012","Couple + C. LE and GT 16","West Germany","2.44","2","1762","1","2","3","3","4","2.4","2.48","1","4","3","3"
"2012","Single parent","East Germany","2.53","3","610","1","2","3","4","4","2.47","2.59","1","4","3","3"
"2012","Single parent","West Germany","2.53","3","2167","1","2","3","4","4","2.49","2.57","1","4","3","3"
"2013","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"2013","(Married) couple without C.","West Germany","","","","","","","","","","","","","",""
"2013","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"2013","1-pers.-HH","West Germany","","","","","","","","","","","","","",""
"2013","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"2013","Couple + C. GT 16 ","West Germany","","","","","","","","","","","","","",""
"2013","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"2013","Couple + C. LE 16","West Germany","","","","","","","","","","","","","",""
"2013","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"2013","Couple + C. LE and GT 16","West Germany","","","","","","","","","","","","","",""
"2013","Single parent","East Germany","","","","","","","","","","","","","",""
"2013","Single parent","West Germany","","","","","","","","","","","","","",""
"2014","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"2014","(Married) couple without C.","West Germany","","","","","","","","","","","","","",""
"2014","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"2014","1-pers.-HH","West Germany","","","","","","","","","","","","","",""
"2014","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"2014","Couple + C. GT 16 ","West Germany","","","","","","","","","","","","","",""
"2014","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"2014","Couple + C. LE 16","West Germany","","","","","","","","","","","","","",""
"2014","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"2014","Couple + C. LE and GT 16","West Germany","","","","","","","","","","","","","",""
"2014","Single parent","East Germany","","","","","","","","","","","","","",""
"2014","Single parent","West Germany","","","","","","","","","","","","","",""
"2015","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"2015","(Married) couple without C.","West Germany","","","","","","","","","","","","","",""
"2015","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"2015","1-pers.-HH","West Germany","","","","","","","","","","","","","",""
"2015","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"2015","Couple + C. GT 16 ","West Germany","","","","","","","","","","","","","",""
"2015","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"2015","Couple + C. LE 16","West Germany","","","","","","","","","","","","","",""
"2015","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"2015","Couple + C. LE and GT 16","West Germany","","","","","","","","","","","","","",""
"2015","Single parent","East Germany","","","","","","","","","","","","","",""
"2015","Single parent","West Germany","","","","","","","","","","","","","",""
"2016","(Married) couple without C.","East Germany","2.61","3","1891","2","2","3","4","4","2.57","2.65","1","4","3","3"
"2016","(Married) couple without C.","West Germany","2.44","2","5492","1","2","3","3","4","2.42","2.46","1","4","2","2"
"2016","1-pers.-HH","East Germany","2.67","3","877","2","2","3","4","4","2.61","2.73","1","4","3","3"
"2016","1-pers.-HH","West Germany","2.58","3","2606","1","2","3","4","4","2.54","2.62","1","4","2","3"
"2016","Couple + C. GT 16 ","East Germany","2.53","3","411","1","2","3","3","4","2.45","2.61","1","4","3","3"
"2016","Couple + C. GT 16 ","West Germany","2.44","2","2348","1","2","3","3","4","2.41","2.47","1","4","2","2"
"2016","Couple + C. LE 16","East Germany","2.5","3","1017","2","2","3","3","4","2.45","2.55","1","4","3","3"
"2016","Couple + C. LE 16","West Germany","2.51","3","4811","2","2","3","3","4","2.49","2.53","1","4","2","3"
"2016","Couple + C. LE and GT 16","East Germany","2.4","3","313","1","2","3","3","4","2.31","2.49","1","4","2","3"
"2016","Couple + C. LE and GT 16","West Germany","2.41","2","1775","1","2","3","3","4","2.37","2.45","1","4","2","3"
"2016","Single parent","East Germany","2.58","3","435","2","2","3","4","4","2.5","2.66","1","4","3","3"
"2016","Single parent","West Germany","2.49","3","1714","1","2","3","4","4","2.45","2.53","1","4","2","3"
