"year","education","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2012","lower secondary degree","(Married) couple without C.","169.46","169","3109","158","163","176","180","189","169.15","169.77","116","201","169","170"
"2012","lower secondary degree","1-pers.-HH","168.19","168","1341","157","160","175","181","192","167.7","168.68","117","197","166","168"
"2012","lower secondary degree","Couple + C. GT 16 ","172.31","173","744","160","165","178","183","192","171.66","172.96","148","200","171","173"
"2012","lower secondary degree","Couple + C. LE 16","174.69","175","584","160","168","180","187","198","173.89","175.49","150","203","173","175"
"2012","lower secondary degree","Couple + C. LE and GT 16","172.25","172","246","160","167","180","183","194","171.11","173.39","149","201","170","173"
"2012","lower secondary degree","Single parent","169.08","168","348","157","162","175","180","195","168.05","170.11","120","198","167","169"
"2012","no degree/no degree yet","(Married) couple without C.","167.75","168","88","155","160","175","180","187","165.81","169.69","146","189","165","170"
"2012","no degree/no degree yet","1-pers.-HH","167.38","168","64","153","162","172","178","187","165.26","169.5","147","187","163","170"
"2012","no degree/no degree yet","Couple + C. GT 16 ","174.24","175","154","160","168","181","185","200","172.65","175.83","130","200","172","176"
"2012","no degree/no degree yet","Couple + C. LE 16","171.07","170.43","44","162","163","178","183","190","168.32","173.82","150","194","167","176"
"2012","no degree/no degree yet","Couple + C. LE and GT 16","170.74","170","101","158","164","175","186","192","168.83","172.65","155","196","170","175"
"2012","no degree/no degree yet","Single parent","171.26","168","83","162","165","177","187","194","169.23","173.29","155","194","168","175"
"2012","Other degree","(Married) couple without C.","167.87","167","425","156","160","174","182","190","166.99","168.75","145","193","166","168"
"2012","Other degree","1-pers.-HH","167.52","168","170","156","160","175","180","187","166.11","168.93","150","192","165","169"
"2012","Other degree","Couple + C. GT 16 ","169.8","168","155","158","163","176","183","194","168.36","171.24","150","195","167","172"
"2012","Other degree","Couple + C. LE 16","169.32","170","206","159","164","175","180","192","168.18","170.46","155","192","168","171"
"2012","Other degree","Couple + C. LE and GT 16","170.28","170","98","161","165","176","180","186","168.6","171.96","153","192","166","173"
"2012","Other degree","Single parent","167.93","168","65","158","162","175","180","186","165.97","169.89","150","186","164","170"
"2012","secondary school degree","(Married) couple without C.","171.78","170","2290","160","165","178","185","195","171.39","172.17","118","204","170","170"
"2012","secondary school degree","1-pers.-HH","171.29","170","966","159","165","178","184","194","170.68","171.9","146","198","169","170"
"2012","secondary school degree","Couple + C. GT 16 ","172.79","172","943","160","167","180","185","194","172.2","173.38","149","202","171","172"
"2012","secondary school degree","Couple + C. LE 16","173.4","173","1087","161","167","180","186","193","172.85","173.95","150","205","172","173"
"2012","secondary school degree","Couple + C. LE and GT 16","172.56","172","316","160","165","178","185","200","171.57","173.55","150","204","170","172"
"2012","secondary school degree","Single parent","171.91","170","360","160","165","178","185","196","170.95","172.87","140","217","168","170"
"2013","college entrance qualification","(Married) couple without C.","","","","","","","","","","","","","",""
"2013","college entrance qualification","1-pers.-HH","","","","","","","","","","","","","",""
"2013","college entrance qualification","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2013","college entrance qualification","Couple + C. LE 16","","","","","","","","","","","","","",""
"2013","college entrance qualification","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2013","college entrance qualification","Single parent","","","","","","","","","","","","","",""
"2013","lower secondary degree","(Married) couple without C.","","","","","","","","","","","","","",""
"2013","lower secondary degree","1-pers.-HH","","","","","","","","","","","","","",""
"2013","lower secondary degree","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"2013","lower secondary degree","Couple + C. LE 16","","","","","","","","","","","","","",""
"2013","lower secondary degree","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"2013","lower secondary degree","Single parent","","","","","","","","","","","","","",""
"2013","no degree/no degree yet","(Married) couple without C.","","","","","","","","","","","","","",""
