"pli0083","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","2003","Not Working","East Germany","1993","0.939163636520861","0.92900305140472","0.949324221637002"
"Min 1x per week","2003","Full Time","West Germany","917","0.130338661990179","0.122285449963828","0.13839187401653"
"Min 1x per week","2003","Full Time","East Germany","265","0.117670740040927","0.104197171196984","0.13114430888487"
"Min 1x per week","2003","Part Time","West Germany","498","0.11843367915476","0.108534656362322","0.128332701947197"
"Min 1x per week","2003","Part Time","East Germany","85","0.0900520382736369","0.0725872512374558","0.107516825309818"
"Min 1x per week","2003","Not Working","West Germany","341","0.0498380047855045","0.0443568739519717","0.0553191356190373"
"Min 1x per week","2003","Not Working","East Germany","83","0.0364684050474308","0.0285002490883525","0.044436561006509"
"Min 1x per month","2003","Full Time","West Germany","84","0.0198682786990276","0.0165303291617597","0.0232062282362956"
"Min 1x per month","2003","Full Time","East Germany","23","","",""
"Min 1x per month","2003","Part Time","West Germany","45","0.0124274124525208","0.00903348864642767","0.0158213362586139"
"Min 1x per month","2003","Part Time","East Germany","16","","",""
"Min 1x per month","2003","Not Working","West Germany","32","0.00438237539942697","0.00271860997882024","0.0060461408200337"
"Min 1x per month","2003","Not Working","East Germany","9","","",""
"Rarely","2003","Full Time","West Germany","147","0.0216410340807358","0.0181605027963879","0.0251215653650837"
"Rarely","2003","Full Time","East Germany","57","0.0250775404538369","0.0185393047913654","0.0316157761163084"
"Rarely","2003","Part Time","West Germany","78","0.0211137287327175","0.0167094397575936","0.0255180177078415"
"Rarely","2003","Part Time","East Germany","26","","",""
"Rarely","2003","Not Working","West Germany","67","0.00943531767246583","0.00700025187646134","0.0118703834684703"
"Rarely","2003","Not Working","East Germany","19","","",""
"Never","2003","Full Time","West Germany","74","0.0116549859481308","0.00908773934706886","0.0142222325491927"
"Never","2003","Full Time","East Germany","15","","",""
"Never","2003","Part Time","West Germany","51","0.0119653758931246","0.00863436177054926","0.0152963900156999"
"Never","2003","Part Time","East Germany","12","","",""
"Never","2003","Not Working","West Germany","95","0.0190340794034041","0.015592292991939","0.0224758658148692"
"Never","2003","Not Working","East Germany","22","","",""
"Daily","2004","Full Time","West Germany","","","",""
"Daily","2004","Full Time","East Germany","","","",""
"Daily","2004","Part Time","West Germany","","","",""
"Daily","2004","Part Time","East Germany","","","",""
"Daily","2004","Not Working","West Germany","","","",""
"Daily","2004","Not Working","East Germany","","","",""
"Min 1x per week","2004","Full Time","West Germany","","","",""
"Min 1x per week","2004","Full Time","East Germany","","","",""
"Min 1x per week","2004","Part Time","West Germany","","","",""
"Min 1x per week","2004","Part Time","East Germany","","","",""
"Min 1x per week","2004","Not Working","West Germany","","","",""
"Min 1x per week","2004","Not Working","East Germany","","","",""
"Min 1x per month","2004","Full Time","West Germany","","","",""
"Min 1x per month","2004","Full Time","East Germany","","","",""
"Min 1x per month","2004","Part Time","West Germany","","","",""
"Min 1x per month","2004","Part Time","East Germany","","","",""
"Min 1x per month","2004","Not Working","West Germany","","","",""
"Min 1x per month","2004","Not Working","East Germany","","","",""
"Rarely","2004","Full Time","West Germany","","","",""
"Rarely","2004","Full Time","East Germany","","","",""
"Rarely","2004","Part Time","West Germany","","","",""
"Rarely","2004","Part Time","East Germany","","","",""
"Rarely","2004","Not Working","West Germany","","","",""
"Rarely","2004","Not Working","East Germany","","","",""
"Never","2004","Full Time","West Germany","","","",""
"Never","2004","Full Time","East Germany","","","",""
"Never","2004","Part Time","West Germany","","","",""
"Never","2004","Part Time","East Germany","","","",""
"Never","2004","Not Working","West Germany","","","",""
"Never","2004","Not Working","East Germany","","","",""
"Daily","2005","Full Time","West Germany","","","",""
"Daily","2005","Full Time","East Germany","","","",""
"Daily","2005","Part Time","West Germany","","","",""
"Daily","2005","Part Time","East Germany","","","",""
"Daily","2005","Not Working","West Germany","","","",""
"Daily","2005","Not Working","East Germany","","","",""
"Min 1x per week","2005","Full Time","West Germany","","","",""
"Min 1x per week","2005","Full Time","East Germany","","","",""
"Min 1x per week","2005","Part Time","West Germany","","","",""
"Min 1x per week","2005","Part Time","East Germany","","","",""
"Min 1x per week","2005","Not Working","West Germany","","","",""
"Min 1x per week","2005","Not Working","East Germany","","","",""
"Min 1x per month","2005","Full Time","West Germany","","","",""
"Min 1x per month","2005","Full Time","East Germany","","","",""
"Min 1x per month","2005","Part Time","West Germany","","","",""
"Min 1x per month","2005","Part Time","East Germany","","","",""
"Min 1x per month","2005","Not Working","West Germany","","","",""
"Min 1x per month","2005","Not Working","East Germany","","","",""
"Rarely","2005","Full Time","West Germany","","","",""
"Rarely","2005","Full Time","East Germany","","","",""
"Rarely","2005","Part Time","West Germany","","","",""
"Rarely","2005","Part Time","East Germany","","","",""
"Rarely","2005","Not Working","West Germany","","","",""
"Rarely","2005","Not Working","East Germany","","","",""
"Never","2005","Full Time","West Germany","","","",""
"Never","2005","Full Time","East Germany","","","",""
"Never","2005","Part Time","West Germany","","","",""
"Never","2005","Part Time","East Germany","","","",""
"Never","2005","Not Working","West Germany","","","",""
"Never","2005","Not Working","East Germany","","","",""
"Daily","2006","Full Time","West Germany","","","",""
"Daily","2006","Full Time","East Germany","","","",""
"Daily","2006","Part Time","West Germany","","","",""
"Daily","2006","Part Time","East Germany","","","",""
"Daily","2006","Not Working","West Germany","","","",""
"Daily","2006","Not Working","East Germany","","","",""
"Min 1x per week","2006","Full Time","West Germany","","","",""
"Min 1x per week","2006","Full Time","East Germany","","","",""
