"pli0083","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1992","66 and older","(3b) higher tertiary education","","","",""
"Min 1x per month","1992","16-34 y.","(0) in school","","","",""
"Min 1x per month","1992","16-34 y.","(1a) inadequately completed","","","",""
"Min 1x per month","1992","16-34 y.","(1b) general elementary school","","","",""
"Min 1x per month","1992","16-34 y.","(1c) basic vocational qualification","","","",""
"Min 1x per month","1992","16-34 y.","(2b) intermediate general qualification","","","",""
"Min 1x per month","1992","16-34 y.","(2a) intermediate vocational","","","",""
"Min 1x per month","1992","16-34 y.","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1992","16-34 y.","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1992","16-34 y.","(3a) lower tertiary education","","","",""
"Min 1x per month","1992","16-34 y.","(3b) higher tertiary education","","","",""
"Min 1x per month","1992","35-65 y.","(0) in school","","","",""
"Min 1x per month","1992","35-65 y.","(1a) inadequately completed","","","",""
"Min 1x per month","1992","35-65 y.","(1b) general elementary school","","","",""
"Min 1x per month","1992","35-65 y.","(1c) basic vocational qualification","","","",""
"Min 1x per month","1992","35-65 y.","(2b) intermediate general qualification","","","",""
"Min 1x per month","1992","35-65 y.","(2a) intermediate vocational","","","",""
"Min 1x per month","1992","35-65 y.","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1992","35-65 y.","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1992","35-65 y.","(3a) lower tertiary education","","","",""
"Min 1x per month","1992","35-65 y.","(3b) higher tertiary education","","","",""
"Min 1x per month","1992","66 and older","(0) in school","","","",""
"Min 1x per month","1992","66 and older","(1a) inadequately completed","","","",""
"Min 1x per month","1992","66 and older","(1b) general elementary school","","","",""
