"m11126","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Good","1995","Part Time","Couple + C. LE 16 ","399","0.500520078646954","0.465386041031881","0.535654116262026","2"
"Good","1995","Part Time","Couple + C. GT 16 ","243","0.444935257440586","0.402785246255887","0.487085268625285","2"
"Good","1995","Not Working","(Married) couple without C. ","360","0.227479276308859","0.206609959582758","0.24834859303496","2"
"Good","1995","Not Working","Single parent ","80","0.313878529967156","0.253375770734378","0.374381289199934","2"
"Good","1995","Not Working","Couple + C. LE and GT 16","184","0.511294556586026","0.462185032241806","0.560404080930247","2"
"Poor","1995","Full Time","1-pers.-HH","56","0.105944689064705","0.0794666266765595","0.13242275145285","4"
"Poor","1995","Full Time","(Married) couple without C. ","168","0.118505954167362","0.101949881270604","0.13506202706412","4"
"Poor","1995","Full Time","Single parent ","27","","","","4"
"Poor","1995","Full Time","Couple + C. LE 16 ","126","0.0721046666023657","0.059601259658115","0.0846080735466164","4"
"Poor","1995","Part Time","(Married) couple without C. ","80","0.165245920409467","0.132691667197442","0.197800173621492","4"
"Poor","1995","Not Working","(Married) couple without C. ","380","0.246316143802845","0.22486634184447","0.26776594576122","4"
"Poor","1995","Full Time","Couple + C. LE and GT 16","56","0.0844784685307572","0.0618063831097329","0.107150553951782","4"
"Poor","1995","Part Time","1-pers.-HH","22","","","","4"
"Poor","1995","Part Time","Single parent ","18","","","","4"
"Poor","1995","Full Time","Couple + C. GT 16 ","109","0.0897369108701812","0.07316799855131","0.106305823189052","4"
