"pli0165","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","2016","66 and older","higher vocational","","","",""
"Min 1x per week","2016","66 and older","higher education","","","",""
"Min 1x per month","2016","16-34 y.","in school","","","",""
"Min 1x per month","2016","16-34 y.","inadequately","","","",""
"Min 1x per month","2016","16-34 y.","general elemantary","","","",""
"Min 1x per month","2016","16-34 y.","middle vocational","","","",""
"Min 1x per month","2016","16-34 y.","vocational + Abi","","","",""
"Min 1x per month","2016","16-34 y.","higher vocational","","","",""
"Min 1x per month","2016","16-34 y.","higher education","","","",""
"Min 1x per month","2016","35-65 y.","in school","","","",""
"Min 1x per month","2016","35-65 y.","inadequately","","","",""
"Min 1x per month","2016","35-65 y.","general elemantary","","","",""
"Min 1x per month","2016","35-65 y.","middle vocational","","","",""
"Min 1x per month","2016","35-65 y.","vocational + Abi","","","",""
"Min 1x per month","2016","35-65 y.","higher vocational","","","",""
"Min 1x per month","2016","35-65 y.","higher education","","","",""
"Min 1x per month","2016","66 and older","in school","","","",""
"Min 1x per month","2016","66 and older","inadequately","","","",""
"Min 1x per month","2016","66 and older","general elemantary","","","",""
"Min 1x per month","2016","66 and older","middle vocational","","","",""
"Min 1x per month","2016","66 and older","vocational + Abi","","","",""
"Min 1x per month","2016","66 and older","higher vocational","","","",""
"Min 1x per month","2016","66 and older","higher education","","","",""
"Rarely","2016","16-34 y.","in school","","","",""
"Rarely","2016","16-34 y.","inadequately","","","",""
"Rarely","2016","16-34 y.","general elemantary","","","",""
"Rarely","2016","16-34 y.","middle vocational","","","",""
"Rarely","2016","16-34 y.","vocational + Abi","","","",""
"Rarely","2016","16-34 y.","higher vocational","","","",""
"Rarely","2016","16-34 y.","higher education","","","",""
"Rarely","2016","35-65 y.","in school","","","",""
"Rarely","2016","35-65 y.","inadequately","","","",""
"Rarely","2016","35-65 y.","general elemantary","","","",""
"Rarely","2016","35-65 y.","middle vocational","","","",""
"Rarely","2016","35-65 y.","vocational + Abi","","","",""
"Rarely","2016","35-65 y.","higher vocational","","","",""
"Rarely","2016","35-65 y.","higher education","","","",""
"Rarely","2016","66 and older","in school","","","",""
"Rarely","2016","66 and older","inadequately","","","",""
"Rarely","2016","66 and older","general elemantary","","","",""
"Rarely","2016","66 and older","middle vocational","","","",""
"Rarely","2016","66 and older","vocational + Abi","","","",""
"Rarely","2016","66 and older","higher vocational","","","",""
"Rarely","2016","66 and older","higher education","","","",""
"Never","2016","16-34 y.","in school","","","",""
"Never","2016","16-34 y.","inadequately","","","",""
"Never","2016","16-34 y.","general elemantary","","","",""
"Never","2016","16-34 y.","middle vocational","","","",""
"Never","2016","16-34 y.","vocational + Abi","","","",""
"Never","2016","16-34 y.","higher vocational","","","",""
"Never","2016","16-34 y.","higher education","","","",""
"Never","2016","35-65 y.","in school","","","",""
"Never","2016","35-65 y.","inadequately","","","",""
"Never","2016","35-65 y.","general elemantary","","","",""
"Never","2016","35-65 y.","middle vocational","","","",""
"Never","2016","35-65 y.","vocational + Abi","","","",""
"Never","2016","35-65 y.","higher vocational","","","",""
"Never","2016","35-65 y.","higher education","","","",""
"Never","2016","66 and older","in school","","","",""
"Never","2016","66 and older","inadequately","","","",""
"Never","2016","66 and older","general elemantary","","","",""
"Never","2016","66 and older","middle vocational","","","",""
"Never","2016","66 and older","vocational + Abi","","","",""
"Never","2016","66 and older","higher vocational","","","",""
"Never","2016","66 and older","higher education","","","",""
"Daily","2017","16-34 y.","in school","10","","",""
"Daily","2017","16-34 y.","inadequately","682","0.512019623262877","0.4844960848763","0.539543161649455"
"Daily","2017","16-34 y.","general elemantary","446","0.653426727124546","0.617500292146123","0.689353162102968"
"Daily","2017","16-34 y.","middle vocational","374","0.685594966937879","0.64591842860594","0.725271505269819"
"Daily","2017","16-34 y.","vocational + Abi","45","0.647943429762589","0.530005747583899","0.765881111941278"
"Daily","2017","16-34 y.","higher vocational","","","",""
"Daily","2017","16-34 y.","higher education","418","0.772874280600623","0.737204721450807","0.808543839750439"
"Daily","2017","35-65 y.","in school","3","","",""
"Daily","2017","35-65 y.","inadequately","372","0.411920607544888","0.378852598237293","0.444988616852483"
"Daily","2017","35-65 y.","general elemantary","257","0.652471864433272","0.606266341560549","0.698677387305995"
"Daily","2017","35-65 y.","middle vocational","217","0.542750074378776","0.49185204720417","0.593648101553381"
"Daily","2017","35-65 y.","vocational + Abi","45","0.694040957292861","0.586090802903948","0.801991111681774"
"Daily","2017","35-65 y.","higher vocational","","","",""
"Daily","2017","35-65 y.","higher education","243","0.642405584205609","0.594958986521847","0.689852181889371"
