"year","e11102","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2008","Not Employed","general elemantary","4.56","5","1197","3","5","5","5","5","4.51","4.61","1","5","5","5"
"2008","Not Employed","higher education","3.83","4","1157","2","3","5","5","5","3.76","3.9","1","5","4","4"
"2008","Not Employed","higher vocational","4.11","5","456","2","4","5","5","5","4","4.22","1","5","4","5"
"2008","Not Employed","in school","3.2","3","288","1","2","5","5","5","3.04","3.36","1","5","3","3"
"2008","Not Employed","inadequately","4.8","5","116","4","5","5","5","5","4.7","4.9","2","5","5","5"
"2008","Not Employed","middle vocational","4.34","5","3839","3","4","5","5","5","4.31","4.37","1","5","5","5"
"2008","Not Employed","vocational + Abi","3.9","4","256","2","3","5","5","5","3.74","4.06","1","5","4","5"
"2009","Employed","general elemantary","4.42","5","746","3","4","5","5","5","4.36","4.48","2","5","5","5"
"2009","Employed","higher education","3.93","4","2922","2","3","5","5","5","3.89","3.97","2","5","4","4"
"2009","Employed","higher vocational","4.06","4","905","2","4","5","5","5","3.99","4.13","2","5","4","5"
"2009","Employed","in school","3.56","4","60","2","2","5","5","5","3.23","3.89","2","5","2","4"
"2009","Employed","inadequately","4.65","5","71","4","5","5","5","5","4.51","4.79","2","5","5","5"
"2009","Employed","middle vocational","4.31","5","5516","3","4","5","5","5","4.29","4.33","2","5","5","5"
"2009","Employed","vocational + Abi","4.1","4","753","2","4","5","5","5","4.03","4.17","2","5","4","5"
"2009","Not Employed","general elemantary","4.62","5","1046","4","5","5","5","5","4.57","4.67","2","5","5","5"
"2009","Not Employed","higher education","3.91","4","1094","2","3","5","5","5","3.84","3.98","2","5","4","4"
"2009","Not Employed","higher vocational","4.28","5","421","2","4","5","5","5","4.18","4.38","2","5","4","5"
"2009","Not Employed","in school","3.58","4","249","2","2","5","5","5","3.43","3.73","2","5","3","4"
"2009","Not Employed","inadequately","4.85","5","97","5","5","5","5","5","4.74","4.96","2","5","5","5"
"2009","Not Employed","middle vocational","4.43","5","3509","3","4","5","5","5","4.4","4.46","2","5","5","5"
"2009","Not Employed","vocational + Abi","4.14","4.62","240","2","4","5","5","5","4.01","4.27","2","5","4","5"
"2010","Employed","general elemantary","","","","","","","","","","","","","",""
"2010","Employed","higher education","","","","","","","","","","","","","",""
"2010","Employed","higher vocational","","","","","","","","","","","","","",""
"2010","Employed","in school","","","","","","","","","","","","","",""
"2010","Employed","inadequately","","","","","","","","","","","","","",""
"2010","Employed","middle vocational","","","","","","","","","","","","","",""
"2010","Employed","vocational + Abi","","","","","","","","","","","","","",""
"2010","Not Employed","general elemantary","","","","","","","","","","","","","",""
"2010","Not Employed","higher education","","","","","","","","","","","","","",""
"2010","Not Employed","higher vocational","","","","","","","","","","","","","",""
"2010","Not Employed","in school","","","","","","","","","","","","","",""
"2010","Not Employed","inadequately","","","","","","","","","","","","","",""
"2010","Not Employed","middle vocational","","","","","","","","","","","","","",""
"2010","Not Employed","vocational + Abi","","","","","","","","","","","","","",""
"2011","Employed","general elemantary","4.56","5","1341","3","4","5","5","5","4.51","4.61","2","5","5","5"
"2011","Employed","higher education","3.94","4","4632","2","3","5","5","5","3.91","3.97","2","5","4","4"
"2011","Employed","higher vocational","4.15","4","1339","2","4","5","5","5","4.09","4.21","2","5","4","5"
"2011","Employed","in school","3.54","4","94","2","2","5","5","5","3.28","3.8","2","5","2","4"
"2011","Employed","inadequately","4.83","5","168","4","5","5","5","5","4.73","4.93","2","5","5","5"
"2011","Employed","middle vocational","4.33","5","8792","3","4","5","5","5","4.31","4.35","2","5","5","5"
"2011","Employed","vocational + Abi","3.98","4","1530","2","3","5","5","5","3.93","4.03","2","5","4","4"
"2011","Not Employed","general elemantary","4.65","5","1608","4","5","5","5","5","4.61","4.69","2","5","5","5"
