"year","age_gr","e11103","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2014","66 and older","Part Time","","","","","","","","","","","","","",""
"2015","16-34 y.","Full Time","4.21","5","2199","2","4","5","5","5","4.17","4.25","2","5","5","5"
"2015","16-34 y.","Not Working","4.04","4.42","2566","2","3","5","5","5","4","4.08","2","5","4","5"
"2015","16-34 y.","Part Time","3.93","4","1942","2","3","5","5","5","3.88","3.98","2","5","4","5"
"2015","35-65 y.","Full Time","4.26","5","7217","2","4","5","5","5","4.24","4.28","2","5","5","5"
"2015","35-65 y.","Not Working","4.37","5","3247","3","4","5","5","5","4.34","4.4","2","5","5","5"
"2015","35-65 y.","Part Time","4.21","5","4755","2","4","5","5","5","4.18","4.24","2","5","5","5"
"2015","66 and older","Full Time","4.15","4.69","85","2","4","5","5","5","3.95","4.35","2","5","4","5"
"2015","66 and older","Not Working","4.39","5","4418","2","4","5","5","5","4.36","4.42","2","5","5","5"
"2015","66 and older","Part Time","4.05","5","426","2","3","5","5","5","3.94","4.16","2","5","4","5"
"2016","16-34 y.","Full Time","","","","","","","","","","","","","",""
"2016","16-34 y.","Not Working","","","","","","","","","","","","","",""
"2016","16-34 y.","Part Time","","","","","","","","","","","","","",""
"2016","35-65 y.","Full Time","","","","","","","","","","","","","",""
"2016","35-65 y.","Not Working","","","","","","","","","","","","","",""
"2016","35-65 y.","Part Time","","","","","","","","","","","","","",""
"2016","66 and older","Full Time","","","","","","","","","","","","","",""
"2016","66 and older","Not Working","","","","","","","","","","","","","",""
"2016","66 and older","Part Time","","","","","","","","","","","","","",""
"2017","16-34 y.","Full Time","4.14","5","2495","2","4","5","5","5","4.1","4.18","2","5","4","5"
"2017","16-34 y.","Not Working","3.99","4","4835","2","3","5","5","5","3.96","4.02","1","5","5","5"
"2017","16-34 y.","Part Time","3.92","4","2139","2","3","5","5","5","3.87","3.97","1","5","4","4"
"2017","35-65 y.","Full Time","4.25","5","7871","2","4","5","5","5","4.23","4.27","1","5","5","5"
"2017","35-65 y.","Not Working","4.31","5","4597","2","4","5","5","5","4.28","4.34","1","5","5","5"
"2017","35-65 y.","Part Time","4.1","4","5177","2","4","5","5","5","4.07","4.13","1","5","4","5"
"2017","66 and older","Full Time","4.03","4","89","2","3","5","5","5","3.79","4.27","2","5","4","5"
"2017","66 and older","Not Working","4.33","5","4446","2","4","5","5","5","4.3","4.36","2","5","5","5"
"2017","66 and older","Part Time","4","5","513","2","3","5","5","5","3.9","4.1","2","5","4","5"
"2018","16-34 y.","Full Time","4.41","5","96","2","4","5","5","5","4.17","4.65","1","5","5","5"
"2018","16-34 y.","Not Working","4.23","5","1725","2","4","5","5","5","4.18","4.28","1","5","5","5"
"2018","16-34 y.","Part Time","4.29","5","233","2","4","5","5","5","4.15","4.43","1","5","5","5"
"2018","35-65 y.","Full Time","4.21","5","57","2","3","5","5","5","3.98","4.44","1","5","5","5"
"2018","35-65 y.","Not Working","4.53","5","1591","3","4","5","5","5","4.49","4.57","1","5","5","5"
"2018","35-65 y.","Part Time","4.44","5","124","3","4","5","5","5","4.27","4.61","1","5","5","5"
"2018","66 and older","Full Time","","","","","","","","","","","","","",""
"2018","66 and older","Not Working","4.79","5","31","4","5","5","5","5","4.61","4.97","3","5","5","5"
"2018","66 and older","Part Time","","","","","","","","","","","","","",""
"2019","16-34 y.","Full Time","3.94","4","2358","2","3","5","5","5","3.89","3.99","1","5","4","5"
"2019","16-34 y.","Not Working","3.6","4","2660","1","2","5","5","5","3.55","3.65","1","5","4","5"
"2019","16-34 y.","Part Time","3.71","4","2169","2","2","5","5","5","3.65","3.77","1","5","4","4"
"2019","35-65 y.","Full Time","4.11","5","8258","2","4","5","5","5","4.09","4.13","1","5","4","5"
"2019","35-65 y.","Not Working","4.17","5","3696","2","4","5","5","5","4.13","4.21","1","5","5","5"
"2019","35-65 y.","Part Time","3.96","4","4967","2","3","5","5","5","3.93","3.99","1","5","4","4"
"2019","66 and older","Full Time","3.94","4","227","2","3","5","5","5","3.77","4.11","1","5","4","5"
"2019","66 and older","Not Working","4.15","5","4418","2","4","5","5","5","4.11","4.19","1","5","5","5"
"2019","66 and older","Part Time","3.84","4","610","2","3","5","5","5","3.74","3.94","1","5","4","5"
