"year","e11103","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1997","Full Time","college entrance qualification","2796.65","2556","1039","1380","1841","3477","4448","7158","2717.22","2876.08","501","16259","2556","2761"
"1997","Full Time","lower secondary degree","2157.1","2045","1770","1084","1534","2608","3323","5113","2115.94","2198.26","368","10226","2045","2096"
"1997","Full Time","no degree/no degree yet","2052.24","1892","132","1278","1442","2454","3068","4193","1909.84","2194.64","409","4602","1974","2301"
"1997","Full Time","Other degree","2145.88","2045","402","1125","1534","2556","3068","6391","2022.31","2269.45","562","20452","1994","2147"
"1997","Full Time","secondary school degree","2335.43","2147","1891","1202","1585","2812","3579","5624","2288","2382.86","259","16259","2147","2250"
"1997","Not Working","college entrance qualification","2291.07","2073.87","445","1023","1534","2812","3579","6391","2159.87","2422.27","281","16259","2045","2250"
"1997","Not Working","lower secondary degree","1557.31","1432","2290","716","1023","1892","2556","4244","1524.79","1589.83","179","11248","1534","1534"
"1997","Not Working","no degree/no degree yet","2239.93","1943","545","767","1278","2812","3835","7669","2137.18","2342.68","245","8436","1892","2045"
"1997","Not Working","Other degree","1491.32","1381.23","378","614","920","1790","2301","4090","1361.67","1620.97","332","20452","1534","1636"
"1997","Not Working","secondary school degree","1894.4","1734.27","790","920","1258","2301","3068","4857","1827.65","1961.15","409","10737","1790","1943"
"1997","Part Time","college entrance qualification","2435.57","2211.41","391","869","1227","3068","4269","10226","2298.67","2572.47","409","10226","2301","2556"
"1997","Part Time","lower secondary degree","1997.83","1841","908","920","1329","2556","3068","4857","1934.47","2061.19","153","15339","1841","2045"
"1997","Part Time","no degree/no degree yet","1984.18","1663.06","112","1023","1278","2556","3272","5113","1801.03","2167.33","614","5113","1687","2147"
"1997","Part Time","Other degree","1841.83","1790","219","997","1263","2173","2710","4602","1721.74","1961.92","409","6136","1790","2045"
"1997","Part Time","secondary school degree","2109.9","2045","742","920","1534","2556","3375","5113","2044.15","2175.65","256","6136","2045","2045"
"1998","Full Time","college entrance qualification","2826.71","2556","1114","1278","1790","3579","4602","7158","2747.23","2906.19","450","15339","2556","2812"
"1998","Full Time","lower secondary degree","2196.05","2045","1811","1125","1534","2582","3375","5113","2154.43","2237.67","307","7465","2045","2147"
"1998","Full Time","no degree/no degree yet","2041.5","2009.86","120","1278","1432","2454","3068","4290","1895.23","2187.77","511","4290","1892","2150"
"1998","Full Time","Other degree","2179.1","1943","372","1278","1534","2454","3170","6770","2067.03","2291.17","735","10226","1994","2147"
