"year","bula_h","pgcasmin","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"1986","Baden-Württemberg","(3a) lower tertiary education","7.82","8","40","7.26","8.38","6","7","9","10"
"1986","Baden-Württemberg","(3b) higher tertiary education","8.1","8","73","7.77","8.43","6","7","9","10"
"1986","Bavaria","(0) in school","","","","","","","","",""
"1986","Bavaria","(1a) inadequately completed","6.96","7","79","6.48","7.44","5","6","9","10"
"1986","Bavaria","(1b) general elementary school","7.1","7","415","6.91","7.29","5","6","8","10"
"1986","Bavaria","(1c) basic vocational qualification","7.31","8","642","7.17","7.45","5","6","8","10"
"1986","Bavaria","(2a) intermediate vocational","7.55","8","241","7.35","7.75","5","7","9","9"
"1986","Bavaria","(2b) intermediate general qualification","7.74","8","78","7.42","8.06","6","7","9","10"
"1986","Bavaria","(2c_gen) general maturity certificate","7.45","8","64","7.03","7.87","5","7","9","9"
"1986","Bavaria","(2c_voc) vocational maturity certificate","7.41","8","63","6.87","7.95","5","6","9","10"
"1986","Bavaria","(3a) lower tertiary education","8.13","8","49","7.79","8.47","7","7","9","10"
"1986","Bavaria","(3b) higher tertiary education","8.15","8","93","7.9","8.4","7","7","9","10"
"1986","Berlin","(0) in school","","","","","","","","",""
"1986","Berlin","(1a) inadequately completed","6.85","7","35","6.02","7.68","3","5","8","9"
"1986","Berlin","(1b) general elementary school","7.39","8","69","6.95","7.83","5","5","9","10"
"1986","Berlin","(1c) basic vocational qualification","7.29","8","101","6.88","7.7","5","6","9","10"
"1986","Berlin","(2a) intermediate vocational","7.3","7","52","6.89","7.71","5","6","8","9"
"1986","Berlin","(2b) intermediate general qualification","","","","","","","","",""
"1986","Berlin","(2c_gen) general maturity certificate","","","","","","","","",""
"1986","Berlin","(2c_voc) vocational maturity certificate","","","","","","","","",""
"1986","Berlin","(3a) lower tertiary education","","","","","","","","",""
"1986","Berlin","(3b) higher tertiary education","","","","","","","","",""
