"ple0181","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Two to three days a week","2018","(Married) couple without C. ","no migration background","2459","0.365207812582892","0.353642376523846","0.376773248641937"
"Two to three days a week","2018","(Married) couple without C. ","direct migration background","465","0.480163988685508","0.449136516460048","0.511191460910969"
"Two to three days a week","2018","(Married) couple without C. ","indirect migration background","94","0.41396157932672","0.349888112258771","0.478035046394669"
"Two to three days a week","2018","Single parent ","no migration background","709","0.442444924982106","0.418673508815791","0.466216341148421"
"Two to three days a week","2018","Single parent ","direct migration background","148","0.490698814805458","0.434777966464346","0.546619663146571"
"Two to three days a week","2018","Single parent ","indirect migration background","101","0.44137069116436","0.37590472852023","0.506836653808489"
"Two to three days a week","2018","Couple + C. LE 16 ","no migration background","1510","0.428474964218405","0.412239856577849","0.444710071858961"
"Two to three days a week","2018","Couple + C. LE 16 ","direct migration background","701","0.455716889781912","0.429876676394153","0.481557103169671"
"Two to three days a week","2018","Couple + C. LE 16 ","indirect migration background","221","0.5274635206059","0.481078049609498","0.573848991602302"
"Two to three days a week","2018","Couple + C. GT 16 ","no migration background","1001","0.427331121426836","0.407096447909351","0.447565794944321"
"Two to three days a week","2018","Couple + C. GT 16 ","direct migration background","216","0.461795954150007","0.416724901324049","0.506867006975965"
"Two to three days a week","2018","Couple + C. GT 16 ","indirect migration background","93","0.481752185567577","0.415875378639411","0.547628992495743"
"Two to three days a week","2018","Couple + C. LE and GT 16","no migration background","585","0.443564735143493","0.417513056247502","0.469616414039484"
"Two to three days a week","2018","Couple + C. LE and GT 16","direct migration background","249","0.491903843690654","0.448300934663286","0.535506752718021"
"Two to three days a week","2018","Couple + C. LE and GT 16","indirect migration background","123","0.408348574906929","0.351081717293096","0.465615432520762"
"Two to four days a month","2018","1-pers.-HH","no migration background","1212","0.359339378522457","0.343194953488","0.375483803556915"
"Two to four days a month","2018","1-pers.-HH","direct migration background","145","0.317426768964911","0.275871990412162","0.358981547517661"
"Two to four days a month","2018","1-pers.-HH","indirect migration background","49","0.197521127988094","0.144054613723644","0.250987642252545"
"Two to four days a month","2018","(Married) couple without C. ","no migration background","2423","0.355572158569643","0.344074028497507","0.367070288641779"
"Two to four days a month","2018","(Married) couple without C. ","direct migration background","274","0.262884159357046","0.235546048343774","0.290222270370319"
"Two to four days a month","2018","(Married) couple without C. ","indirect migration background","64","0.319629074486889","0.258965056142516","0.380293092831261"
"Two to four days a month","2018","Single parent ","no migration background","508","0.298267168152765","0.276370895952798","0.320163440352733"
"Two to four days a month","2018","Single parent ","direct migration background","69","0.258113632027148","0.209163589909169","0.307063674145126"
"Two to four days a month","2018","Single parent ","indirect migration background","52","0.290694915091952","0.230827954709095","0.35056187547481"
"Two to four days a month","2018","Couple + C. LE 16 ","no migration background","1198","0.332604285558416","0.31714709915694","0.348061471959891"
"Two to four days a month","2018","Couple + C. LE 16 ","direct migration background","313","0.243747346218203","0.22147122829179","0.266023464144616"
"Two to four days a month","2018","Couple + C. LE 16 ","indirect migration background","102","0.193938475670424","0.157203126669343","0.230673824671505"
"Two to four days a month","2018","Couple + C. GT 16 ","no migration background","729","0.303221782294097","0.28442040650041","0.322023158087784"
"Two to four days a month","2018","Couple + C. GT 16 ","direct migration background","113","0.261594499366004","0.221860623786621","0.301328374945386"
"Two to four days a month","2018","Couple + C. GT 16 ","indirect migration background","49","0.187853336068993","0.13635672583274","0.239349946305245"
"Two to four days a month","2018","Couple + C. LE and GT 16","no migration background","467","0.326346097396713","0.301758985666302","0.350933209127124"
"Two to four days a month","2018","Couple + C. LE and GT 16","direct migration background","98","0.222240083018973","0.185979366969972","0.258500799067974"
"Two to four days a month","2018","Couple + C. LE and GT 16","indirect migration background","54","0.189213875154049","0.14358029763305","0.234847452675048"
"Once a month or less","2018","1-pers.-HH","no migration background","487","0.14627669711737","0.134386137303292","0.158167256931449"
"Once a month or less","2018","1-pers.-HH","direct migration background","43","0.0840453537611249","0.0592757869338966","0.108814920588353"
"Once a month or less","2018","1-pers.-HH","indirect migration background","18","","",""
"Once a month or less","2018","(Married) couple without C. ","no migration background","846","0.12963302302606","0.121564663865223","0.137701382186897"
