"pli0081","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","2003","16-34 y.","Rural Area","841","0.418006697065476","0.396081143135357","0.439932250995594"
"Min 1x per week","2003","35-65 y.","Urban Area","3220","0.373969890039974","0.363687328176158","0.384252451903791"
"Min 1x per week","2003","35-65 y.","Rural Area","1548","0.380757456135523","0.365944803175118","0.395570109095929"
"Min 1x per week","2003","66 and older","Urban Area","1026","0.424480783844234","0.404836995888332","0.444124571800136"
"Min 1x per week","2003","66 and older","Rural Area","459","0.363064389014583","0.336374027486573","0.389754750542594"
"Min 1x per month","2003","16-34 y.","Urban Area","1119","0.281690766322034","0.267589526913132","0.295792005730936"
"Min 1x per month","2003","16-34 y.","Rural Area","609","0.326110172271853","0.305271186216111","0.346949158327595"
"Min 1x per month","2003","35-65 y.","Urban Area","2714","0.30448002361967","0.29470045702948","0.314259590209861"
"Min 1x per month","2003","35-65 y.","Rural Area","1355","0.317726742061025","0.303523604082092","0.331929880039958"
"Min 1x per month","2003","66 and older","Urban Area","689","0.264869788112619","0.247332410489735","0.282407165735502"
"Min 1x per month","2003","66 and older","Rural Area","362","0.275094246694664","0.250308820485378","0.29987967290395"
"Rarely","2003","16-34 y.","Urban Area","749","0.203331384301153","0.190714378031882","0.215948390570423"
"Rarely","2003","16-34 y.","Rural Area","324","0.173343593706088","0.156516218572925","0.190170968839251"
"Rarely","2003","35-65 y.","Urban Area","1815","0.225051977713828","0.216177085119251","0.233926870308404"
"Rarely","2003","35-65 y.","Rural Area","890","0.216843707052148","0.204272531845032","0.229414882259263"
"Rarely","2003","66 and older","Urban Area","394","0.171936746459315","0.156940505355369","0.186932987563261"
"Rarely","2003","66 and older","Rural Area","240","0.198326135374079","0.176194999650663","0.220457271097494"
"Never","2003","16-34 y.","Urban Area","73","0.027956049729504","0.0227883638280204","0.0331237356309877"
"Never","2003","16-34 y.","Rural Area","23","","",""
"Never","2003","35-65 y.","Urban Area","214","0.0339272993486406","0.0300799205081804","0.0377746781891008"
