"pli0081","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Rarely","1994","Thuringia","","","",""
"Never","1994","Schleswig-Holstein","","","",""
"Never","1994","Hamburg","","","",""
"Never","1994","Lower Saxony","","","",""
"Never","1994","Bremen","","","",""
"Never","1994","North Rhine-Westphalia","","","",""
"Never","1994","Hesse","","","",""
"Never","1994","Rhineland-Palatinate,Saarland","","","",""
"Never","1994","Baden-Württemberg","","","",""
"Never","1994","Bavaria","","","",""
"Never","1994","Berlin","","","",""
"Never","1994","Brandenburg","","","",""
"Never","1994","Mecklenburg-Western Pomerania","","","",""
"Never","1994","Saxony","","","",""
"Never","1994","Saxony-Anhalt","","","",""
"Never","1994","Thuringia","","","",""
"Daily","1995","Schleswig-Holstein","19","","",""
"Daily","1995","Hamburg","8","","",""
"Daily","1995","Lower Saxony","78","0.0663283246675119","0.0512545730040785","0.0814020763309454"
"Daily","1995","Bremen","2","","",""
"Daily","1995","North Rhine-Westphalia","223","0.0725102254093694","0.0624976667259255","0.0825227840928132"
"Daily","1995","Hesse","82","0.0872736452004691","0.0693452478025053","0.105202042598433"
"Daily","1995","Rhineland-Palatinate,Saarland","81","0.0954872546630658","0.073900460858066","0.117074048468066"
"Daily","1995","Baden-Württemberg","230","0.11272236699699","0.0981327361068254","0.127311997887155"
"Daily","1995","Bavaria","88","0.0562433101217271","0.0452427804628924","0.0672438397805617"
"Daily","1995","Berlin","31","0.0428778244274099","0.0261884547151851","0.0595671941396348"
"Daily","1995","Brandenburg","45","0.0931862814198088","0.0697102071239488","0.116662355715669"
"Daily","1995","Mecklenburg-Western Pomerania","39","0.0929682752861353","0.0650298021105445","0.120906748461726"
"Daily","1995","Saxony","59","0.0669372375816719","0.052148397975323","0.0817260771880209"
"Daily","1995","Saxony-Anhalt","65","0.0963130284578406","0.0742842705511314","0.11834178636455"
"Daily","1995","Thuringia","39","0.056240980426799","0.038502452045082","0.0739795088085159"
"Min 1x per week","1995","Schleswig-Holstein","106","0.379047375782792","0.322623241872721","0.435471509692862"
"Min 1x per week","1995","Hamburg","51","0.315915037505685","0.236609904699661","0.395220170311709"
"Min 1x per week","1995","Lower Saxony","399","0.340243311994306","0.311544663201884","0.368941960786727"
"Min 1x per week","1995","Bremen","39","0.359326517347006","0.263347680365579","0.455305354328433"
"Min 1x per week","1995","North Rhine-Westphalia","1029","0.380556915795054","0.361811227321274","0.399302604268835"
"Min 1x per week","1995","Hesse","399","0.398814903981524","0.367710677217406","0.429919130745641"
"Min 1x per week","1995","Rhineland-Palatinate,Saarland","290","0.38503295715044","0.349290618321161","0.420775295979718"
"Min 1x per week","1995","Baden-Württemberg","751","0.370868143673087","0.348584300603463","0.393151986742711"
"Min 1x per week","1995","Bavaria","688","0.378168350962417","0.35501429175636","0.401322410168475"
"Min 1x per week","1995","Berlin","228","0.379281972925841","0.339308842982268","0.419255102869415"
"Min 1x per week","1995","Brandenburg","226","0.388625477359353","0.349260523543851","0.427990431174856"
"Min 1x per week","1995","Mecklenburg-Western Pomerania","165","0.3977309792869","0.350642570525636","0.444819388048165"
"Min 1x per week","1995","Saxony","411","0.399160798521499","0.370180834047234","0.428140762995763"
"Min 1x per week","1995","Saxony-Anhalt","314","0.482482383681188","0.445170963531817","0.519793803830559"
"Min 1x per week","1995","Thuringia","269","0.433241892655936","0.395089245074423","0.471394540237449"
"Min 1x per month","1995","Schleswig-Holstein","93","0.337635354405458","0.282635511278834","0.392635197532081"
"Min 1x per month","1995","Hamburg","31","0.214602503973203","0.144566191115545","0.28463881683086"
"Min 1x per month","1995","Lower Saxony","308","0.318794220698537","0.290566934155929","0.347021507241145"
"Min 1x per month","1995","Bremen","23","","",""
"Min 1x per month","1995","North Rhine-Westphalia","768","0.31770004672892","0.299724289592441","0.335675803865399"
"Min 1x per month","1995","Hesse","234","0.263634618405897","0.235646254162668","0.291622982649125"
"Min 1x per month","1995","Rhineland-Palatinate,Saarland","165","0.247021342168467","0.215342692129775","0.278699992207158"
"Min 1x per month","1995","Baden-Württemberg","460","0.291644860121079","0.270676610596285","0.312613109645872"
"Min 1x per month","1995","Bavaria","487","0.293964998340101","0.272212503923446","0.315717492756756"
"Min 1x per month","1995","Berlin","163","0.274796180333556","0.238019268151806","0.311573092515307"
"Min 1x per month","1995","Brandenburg","179","0.292886669488122","0.256134349531645","0.329638989444599"
"Min 1x per month","1995","Mecklenburg-Western Pomerania","142","0.353413769767132","0.307422118591352","0.399405420942911"
"Min 1x per month","1995","Saxony","406","0.338039259597954","0.310046580555357","0.36603193864055"
"Min 1x per month","1995","Saxony-Anhalt","182","0.249307957993003","0.217005359687187","0.281610556298818"
"Min 1x per month","1995","Thuringia","207","0.270953142622421","0.236732717110224","0.305173568134617"
"Rarely","1995","Schleswig-Holstein","58","0.190625588380927","0.144942626423462","0.236308550338392"
"Rarely","1995","Hamburg","37","0.38965558574987","0.306462148960836","0.472849022538903"
"Rarely","1995","Lower Saxony","231","0.247192931249104","0.221063219542171","0.273322642956038"
"Rarely","1995","Bremen","25","","",""
"Rarely","1995","North Rhine-Westphalia","459","0.198847443086746","0.183437235154882","0.21425765101861"
"Rarely","1995","Hesse","190","0.206561789078663","0.180845330242095","0.232278247915232"
"Rarely","1995","Rhineland-Palatinate,Saarland","141","0.210917402535565","0.180951626166244","0.240883178904885"
"Rarely","1995","Baden-Württemberg","314","0.204925641963576","0.186304276929525","0.223547006997628"
"Rarely","1995","Bavaria","380","0.251246185191645","0.230536790718993","0.271955579664296"
"Rarely","1995","Berlin","117","0.238615077928253","0.203500216981608","0.273729938874898"
"Rarely","1995","Brandenburg","123","0.198056637409137","0.165871379550081","0.230241895268194"
"Rarely","1995","Mecklenburg-Western Pomerania","67","0.150009212419746","0.115654199397346","0.184364225442146"
"Rarely","1995","Saxony","206","0.179691393003141","0.156971982996222","0.202410803010061"
"Rarely","1995","Saxony-Anhalt","116","0.156284763235222","0.129170691187911","0.183398835282534"
"Rarely","1995","Thuringia","121","0.207944713579403","0.176697429294259","0.239191997864547"
"Never","1995","Schleswig-Holstein","8","","",""
"Never","1995","Hamburg","5","","",""
"Never","1995","Lower Saxony","31","0.0274412113905412","0.0175457893590744","0.037336633422008"
"Never","1995","Bremen","7","","",""
"Never","1995","North Rhine-Westphalia","98","0.0303853689799103","0.0237582812618214","0.0370124566979991"
"Never","1995","Hesse","47","0.0437150433334473","0.0307271493360494","0.0567029373308453"
"Never","1995","Rhineland-Palatinate,Saarland","35","0.0615410434824631","0.0438888709388646","0.0791932160260616"
"Never","1995","Baden-Württemberg","50","0.0198389872452673","0.0134059221063098","0.0262720523842248"
"Never","1995","Bavaria","42","0.0203771553841099","0.0136311082832897","0.02712320248493"
"Never","1995","Berlin","27","","",""
"Never","1995","Brandenburg","16","","",""
"Never","1995","Mecklenburg-Western Pomerania","2","","",""
"Never","1995","Saxony","15","","",""
"Never","1995","Saxony-Anhalt","12","","",""
"Never","1995","Thuringia","12","","",""
"Daily","1996","Schleswig-Holstein","","","",""
"Daily","1996","Hamburg","","","",""
"Daily","1996","Lower Saxony","","","",""
"Daily","1996","Bremen","","","",""
"Daily","1996","North Rhine-Westphalia","","","",""
"Daily","1996","Hesse","","","",""
"Daily","1996","Rhineland-Palatinate,Saarland","","","",""
"Daily","1996","Baden-Württemberg","","","",""
"Daily","1996","Bavaria","","","",""
"Daily","1996","Berlin","","","",""
"Daily","1996","Brandenburg","","","",""
"Daily","1996","Mecklenburg-Western Pomerania","","","",""
"Daily","1996","Saxony","","","",""
"Daily","1996","Saxony-Anhalt","","","",""
"Daily","1996","Thuringia","","","",""
"Min 1x per week","1996","Schleswig-Holstein","","","",""
"Min 1x per week","1996","Hamburg","","","",""
"Min 1x per week","1996","Lower Saxony","","","",""
"Min 1x per week","1996","Bremen","","","",""
"Min 1x per week","1996","North Rhine-Westphalia","","","",""
"Min 1x per week","1996","Hesse","","","",""
"Min 1x per week","1996","Rhineland-Palatinate,Saarland","","","",""
"Min 1x per week","1996","Baden-Württemberg","","","",""
"Min 1x per week","1996","Bavaria","","","",""
"Min 1x per week","1996","Berlin","","","",""
"Min 1x per week","1996","Brandenburg","","","",""
"Min 1x per week","1996","Mecklenburg-Western Pomerania","","","",""
"Min 1x per week","1996","Saxony","","","",""
"Min 1x per week","1996","Saxony-Anhalt","","","",""
"Min 1x per week","1996","Thuringia","","","",""
"Min 1x per month","1996","Schleswig-Holstein","","","",""
"Min 1x per month","1996","Hamburg","","","",""
"Min 1x per month","1996","Lower Saxony","","","",""
"Min 1x per month","1996","Bremen","","","",""
"Min 1x per month","1996","North Rhine-Westphalia","","","",""
"Min 1x per month","1996","Hesse","","","",""
"Min 1x per month","1996","Rhineland-Palatinate,Saarland","","","",""
"Min 1x per month","1996","Baden-Württemberg","","","",""
"Min 1x per month","1996","Bavaria","","","",""
"Min 1x per month","1996","Berlin","","","",""
"Min 1x per month","1996","Brandenburg","","","",""
