"ple0005","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Strong","2014","(2c_gen) general maturity certificate","90","0.0552610738671185","0.0435247261347318","0.0669974215995053"
"Strong","2014","(2c_voc) vocational maturity certificate","233","0.103852471171419","0.0919296983307166","0.115775244012121"
"Strong","2014","(3a) lower tertiary education","238","0.126657163550494","0.112231776246595","0.141082550854394"
"Strong","2014","(3b) higher tertiary education","315","0.0845531790149488","0.0761260791334497","0.0929802788964479"
"A little","2014","(0) in school","55","0.13247291936219","0.101357852142925","0.163587986581454"
"A little","2014","(1a) inadequately completed","193","0.411372684551445","0.369945408423072","0.452799960679818"
"A little","2014","(1b) general elementary school","805","0.38086314073671","0.361321161353037","0.400405120120383"
"A little","2014","(1c) basic vocational qualification","2345","0.420232738456559","0.407607870249194","0.432857606663924"
"A little","2014","(2b) intermediate general qualification","212","0.265249918810615","0.234885321386764","0.295614516234466"
"A little","2014","(2a) intermediate vocational","2298","0.397473012929612","0.38515991367685","0.409786112182374"
"A little","2014","(2c_gen) general maturity certificate","260","0.173010066414849","0.15358094324124","0.192439189588458"
"A little","2014","(2c_voc) vocational maturity certificate","745","0.306154507083947","0.28814172434709","0.324167289820804"
"A little","2014","(3a) lower tertiary education","687","0.33851844621432","0.317994056117306","0.359042836311335"
"A little","2014","(3b) higher tertiary education","1254","0.298298964512509","0.28444102880372","0.312156900221298"
"Not at all","2014","(0) in school","393","0.848564779724162","0.815662831277169","0.881466728171155"
"Not at all","2014","(1a) inadequately completed","214","0.323108029832239","0.283736525906844","0.362479533757633"
"Not at all","2014","(1b) general elementary school","1029","0.339044877616098","0.319994423673863","0.358095331558334"
"Not at all","2014","(1c) basic vocational qualification","2273","0.34188541044882","0.329753027472541","0.354017793425098"
"Not at all","2014","(2b) intermediate general qualification","525","0.629858275494001","0.596647767530102","0.663068783457901"
"Not at all","2014","(2a) intermediate vocational","3091","0.47173042347945","0.459170122451176","0.484290724507723"
"Not at all","2014","(2c_gen) general maturity certificate","1106","0.771728859718032","0.750170025227066","0.793287694208998"
