"ple0005","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"A little","2012","16-34 y.","Not Working","183","0.176668414210921","0.153433302764884","0.199903525656958"
"A little","2012","35-65 y.","Full Time","2132","0.395148607072235","0.382483675469305","0.407813538675166"
"A little","2012","35-65 y.","Part Time","1268","0.415811902934649","0.398882926382719","0.43274087948658"
"A little","2012","35-65 y.","Not Working","899","0.414846148047843","0.394290769009481","0.435401527086205"
"A little","2012","66 and older","Full Time","22","","",""
"A little","2012","66 and older","Part Time","173","0.514197045845046","0.461610067375691","0.566784024314401"
"A little","2012","66 and older","Not Working","2209","0.454859553093188","0.440781290198155","0.46893781598822"
"Not at all","2012","16-34 y.","Full Time","1428","0.780542340127686","0.761569445254762","0.79951523500061"
"Not at all","2012","16-34 y.","Part Time","966","0.75172198301602","0.728008750594132","0.775435215437908"
"Not at all","2012","16-34 y.","Not Working","830","0.783521025123827","0.758430421770787","0.808611628476868"
"Not at all","2012","35-65 y.","Full Time","3194","0.532986982411502","0.520062264515682","0.545911700307323"
"Not at all","2012","35-65 y.","Part Time","1623","0.459233066122772","0.442116070782624","0.47635006146292"
"Not at all","2012","35-65 y.","Not Working","684","0.280615143827156","0.261870244064743","0.299360043589568"
"Not at all","2012","66 and older","Full Time","33","0.474606204654925","0.355036855498385","0.594175553811465"
"Not at all","2012","66 and older","Part Time","125","0.336428254303568","0.286714847302291","0.386141661304844"
"Not at all","2012","66 and older","Not Working","974","0.183084876235632","0.172151081628338","0.194018670842925"
"Strong","2013","16-34 y.","Full Time","","","",""
"Strong","2013","16-34 y.","Part Time","","","",""
"Strong","2013","16-34 y.","Not Working","","","",""
"Strong","2013","35-65 y.","Full Time","","","",""
"Strong","2013","35-65 y.","Part Time","","","",""
"Strong","2013","35-65 y.","Not Working","","","",""
"Strong","2013","66 and older","Full Time","","","",""
"Strong","2013","66 and older","Part Time","","","",""
"Strong","2013","66 and older","Not Working","","","",""
"A little","2013","16-34 y.","Full Time","","","",""
"A little","2013","16-34 y.","Part Time","","","",""
"A little","2013","16-34 y.","Not Working","","","",""
"A little","2013","35-65 y.","Full Time","","","",""
"A little","2013","35-65 y.","Part Time","","","",""
"A little","2013","35-65 y.","Not Working","","","",""
"A little","2013","66 and older","Full Time","","","",""
"A little","2013","66 and older","Part Time","","","",""
"A little","2013","66 and older","Not Working","","","",""
"Not at all","2013","16-34 y.","Full Time","","","",""
"Not at all","2013","16-34 y.","Part Time","","","",""
"Not at all","2013","16-34 y.","Not Working","","","",""
"Not at all","2013","35-65 y.","Full Time","","","",""
"Not at all","2013","35-65 y.","Part Time","","","",""
"Not at all","2013","35-65 y.","Not Working","","","",""
"Not at all","2013","66 and older","Full Time","","","",""
"Not at all","2013","66 and older","Part Time","","","",""
"Not at all","2013","66 and older","Not Working","","","",""
"Strong","2014","16-34 y.","Full Time","58","0.0254385495367422","0.0192266231569717","0.0316504759165127"
"Strong","2014","16-34 y.","Part Time","73","0.0246659296613451","0.0181005303920676","0.0312313289306226"
"Strong","2014","16-34 y.","Not Working","86","0.0496768980012706","0.0400504613716694","0.0593033346308717"
"Strong","2014","35-65 y.","Full Time","504","0.0696050589542039","0.0639106603146468","0.0752994575937611"
"Strong","2014","35-65 y.","Part Time","554","0.132965798657874","0.123574166631137","0.142357430684611"
"Strong","2014","35-65 y.","Not Working","796","0.325689360014276","0.308615543132587","0.342763176895965"
"Strong","2014","66 and older","Full Time","13","","",""
"Strong","2014","66 and older","Part Time","67","0.175585968568939","0.138113000823264","0.213058936314614"
"Strong","2014","66 and older","Not Working","1486","0.342741433928871","0.328898678161058","0.356584189696684"
"A little","2014","16-34 y.","Full Time","443","0.183544359846186","0.168271782547687","0.198816937144685"
"A little","2014","16-34 y.","Part Time","438","0.193088919659139","0.176380813868827","0.209797025449451"
"A little","2014","16-34 y.","Not Working","344","0.15293017212125","0.136983910934473","0.168876433308028"
"A little","2014","35-65 y.","Full Time","2601","0.358221625162696","0.347492551341976","0.368950698983417"
"A little","2014","35-65 y.","Part Time","1778","0.374922060907752","0.361531752990877","0.388312368824627"
"A little","2014","35-65 y.","Not Working","1072","0.386349104644221","0.368609274027278","0.404088935261165"
"A little","2014","66 and older","Full Time","39","0.542372022955338","0.434540413328916","0.650203632581761"
"A little","2014","66 and older","Part Time","195","0.508320014913833","0.459080885230495","0.557559144597171"
"A little","2014","66 and older","Not Working","2142","0.478898603165671","0.464328788472719","0.493468417858623"
"Not at all","2014","16-34 y.","Full Time","1967","0.791017090617071","0.774976371567963","0.80705780966618"
"Not at all","2014","16-34 y.","Part Time","1633","0.782245150679516","0.764775224978019","0.799715076381012"
"Not at all","2014","16-34 y.","Not Working","1527","0.797392929877479","0.779584888065919","0.815200971689039"
"Not at all","2014","35-65 y.","Full Time","4567","0.5721733158831","0.561102196644698","0.583244435121501"
"Not at all","2014","35-65 y.","Part Time","2689","0.492112140434374","0.478283835882591","0.505940444986157"
"Not at all","2014","35-65 y.","Not Working","1026","0.287961535341503","0.271464048319591","0.304459022363414"
"Not at all","2014","66 and older","Full Time","30","0.310541951324252","0.210390965961363","0.410692936687141"
"Not at all","2014","66 and older","Part Time","134","0.316094016517228","0.270300200261446","0.361887832773011"
"Not at all","2014","66 and older","Not Working","888","0.178359962905458","0.167194914562714","0.189525011248202"
"Strong","2015","16-34 y.","Full Time","","","",""
"Strong","2015","16-34 y.","Part Time","","","",""
"Strong","2015","16-34 y.","Not Working","","","",""
"Strong","2015","35-65 y.","Full Time","","","",""
"Strong","2015","35-65 y.","Part Time","","","",""
"Strong","2015","35-65 y.","Not Working","","","",""
"Strong","2015","66 and older","Full Time","","","",""
"Strong","2015","66 and older","Part Time","","","",""
"Strong","2015","66 and older","Not Working","","","",""
"A little","2015","16-34 y.","Full Time","","","",""
"A little","2015","16-34 y.","Part Time","","","",""
"A little","2015","16-34 y.","Not Working","","","",""
"A little","2015","35-65 y.","Full Time","","","",""
"A little","2015","35-65 y.","Part Time","","","",""
"A little","2015","35-65 y.","Not Working","","","",""
"A little","2015","66 and older","Full Time","","","",""
"A little","2015","66 and older","Part Time","","","",""
"A little","2015","66 and older","Not Working","","","",""
"Not at all","2015","16-34 y.","Full Time","","","",""
"Not at all","2015","16-34 y.","Part Time","","","",""
"Not at all","2015","16-34 y.","Not Working","","","",""
"Not at all","2015","35-65 y.","Full Time","","","",""
"Not at all","2015","35-65 y.","Part Time","","","",""
"Not at all","2015","35-65 y.","Not Working","","","",""
"Not at all","2015","66 and older","Full Time","","","",""
"Not at all","2015","66 and older","Part Time","","","",""
"Not at all","2015","66 and older","Not Working","","","",""
"Strong","2016","16-34 y.","Full Time","51","0.0241525651025434","0.0176266855459111","0.0306784446591756"
"Strong","2016","16-34 y.","Part Time","58","0.0268204855211457","0.0196239211982647","0.0340170498440267"
"Strong","2016","16-34 y.","Not Working","205","0.0570756063416108","0.049936188168356","0.0642150245148656"
"Strong","2016","35-65 y.","Full Time","460","0.0718798676434326","0.065809636131904","0.0779500991549612"
"Strong","2016","35-65 y.","Part Time","460","0.123075774955666","0.113598521087448","0.132553028823885"
"Strong","2016","35-65 y.","Not Working","948","0.339121206453869","0.324731755243272","0.353510657664466"
"Strong","2016","66 and older","Full Time","14","","",""
"Strong","2016","66 and older","Part Time","70","0.170707869551268","0.134420657012033","0.206995082090502"
"Strong","2016","66 and older","Not Working","1360","0.339658016660298","0.325491175116413","0.353824858204184"
"A little","2016","16-34 y.","Full Time","407","0.198404229712976","0.181452280888325","0.215356178537626"
"A little","2016","16-34 y.","Part Time","352","0.177156715814472","0.160149516975135","0.194163914653809"
"A little","2016","16-34 y.","Not Working","802","0.162438767480246","0.151087293857868","0.173790241102623"
"A little","2016","35-65 y.","Full Time","2387","0.373099936391622","0.361733841740543","0.384466031042701"
"A little","2016","35-65 y.","Part Time","1652","0.380487369881808","0.366481490047465","0.394493249716152"
"A little","2016","35-65 y.","Not Working","1443","0.346491572907389","0.332027926938503","0.360955218876274"
"A little","2016","66 and older","Full Time","40","0.490656410982408","0.386208221585126","0.59510460037969"
