"plh0204_h","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"7","2005","35-65 y.","Other degree","","","",""
"7","2005","35-65 y.","no degree/no degree yet","","","",""
"7","2005","66 and older","lower secondary degree","","","",""
"7","2005","66 and older","secondary school degree","","","",""
"7","2005","66 and older","college entrance qualification","","","",""
"7","2005","66 and older","Other degree","","","",""
"7","2005","66 and older","no degree/no degree yet","","","",""
"8","2005","16-34 y.","lower secondary degree","","","",""
"8","2005","16-34 y.","secondary school degree","","","",""
"8","2005","16-34 y.","college entrance qualification","","","",""
"8","2005","16-34 y.","Other degree","","","",""
"8","2005","16-34 y.","no degree/no degree yet","","","",""
"8","2005","35-65 y.","lower secondary degree","","","",""
"8","2005","35-65 y.","secondary school degree","","","",""
"8","2005","35-65 y.","college entrance qualification","","","",""
"8","2005","35-65 y.","Other degree","","","",""
"8","2005","35-65 y.","no degree/no degree yet","","","",""
"8","2005","66 and older","lower secondary degree","","","",""
"8","2005","66 and older","secondary school degree","","","",""
"8","2005","66 and older","college entrance qualification","","","",""
"8","2005","66 and older","Other degree","","","",""
"8","2005","66 and older","no degree/no degree yet","","","",""
"9","2005","16-34 y.","lower secondary degree","","","",""
"9","2005","16-34 y.","secondary school degree","","","",""
"9","2005","16-34 y.","college entrance qualification","","","",""
"9","2005","16-34 y.","Other degree","","","",""
"9","2005","16-34 y.","no degree/no degree yet","","","",""
"9","2005","35-65 y.","lower secondary degree","","","",""
"9","2005","35-65 y.","secondary school degree","","","",""
"9","2005","35-65 y.","college entrance qualification","","","",""
"9","2005","35-65 y.","Other degree","","","",""
"9","2005","35-65 y.","no degree/no degree yet","","","",""
"9","2005","66 and older","lower secondary degree","","","",""
"9","2005","66 and older","secondary school degree","","","",""
"9","2005","66 and older","college entrance qualification","","","",""
"9","2005","66 and older","Other degree","","","",""
"9","2005","66 and older","no degree/no degree yet","","","",""
"10 Very willing to take risks","2005","16-34 y.","lower secondary degree","","","",""
"10 Very willing to take risks","2005","16-34 y.","secondary school degree","","","",""
"10 Very willing to take risks","2005","16-34 y.","college entrance qualification","","","",""
