"ple0081_h","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Yes","2004","Hamburg","lower secondary degree","33","0.549011307665359","0.437141017106638","0.66088159822408"
"Yes","2004","Hamburg","secondary school degree","24","","",""
"Yes","2004","Hamburg","college entrance qualification","24","","",""
"Yes","2004","Hamburg","Other degree","1","","",""
"Yes","2004","Hamburg","no degree/no degree yet","3","","",""
"Yes","2004","Lower Saxony","lower secondary degree","220","0.29675934740754","0.262673214466849","0.330845480348231"
"Yes","2004","Lower Saxony","secondary school degree","184","0.324744193207472","0.286063098682268","0.363425287732676"
"Yes","2004","Lower Saxony","college entrance qualification","100","0.276395404061357","0.234320872136452","0.318469935986262"
"Yes","2004","Lower Saxony","Other degree","29","","",""
"Yes","2004","Lower Saxony","no degree/no degree yet","22","","",""
"Yes","2004","Bremen","lower secondary degree","18","","",""
"Yes","2004","Bremen","secondary school degree","20","","",""
"Yes","2004","Bremen","college entrance qualification","12","","",""
"Yes","2004","Bremen","Other degree","4","","",""
"Yes","2004","Bremen","no degree/no degree yet","1","","",""
"Yes","2004","North Rhine-Westphalia","lower secondary degree","545","0.295643726245915","0.273671838874686","0.317615613617144"
"Yes","2004","North Rhine-Westphalia","secondary school degree","371","0.368350537225026","0.338212201862716","0.398488872587336"
"Yes","2004","North Rhine-Westphalia","college entrance qualification","344","0.287795676938752","0.263041929078888","0.312549424798615"
"Yes","2004","North Rhine-Westphalia","Other degree","97","0.321288206578409","0.270283500977626","0.372292912179192"
"Yes","2004","North Rhine-Westphalia","no degree/no degree yet","64","0.286250585436335","0.22770738993155","0.34479378094112"
"Yes","2004","Hesse","lower secondary degree","128","0.2983118484509","0.256319226425605","0.340304470476195"
"Yes","2004","Hesse","secondary school degree","129","0.332839305677136","0.28462814484627","0.381050466508002"
"Yes","2004","Hesse","college entrance qualification","103","0.238955243034068","0.19821998944332","0.279690496624816"
"Yes","2004","Hesse","Other degree","38","0.321636847780639","0.238408853390273","0.404864842171004"
"Yes","2004","Hesse","no degree/no degree yet","18","","",""
"Yes","2004","Rhineland-Palatinate,Saarland","lower secondary degree","196","0.305374935187341","0.26882596938487","0.341923900989812"
"Yes","2004","Rhineland-Palatinate,Saarland","secondary school degree","103","0.369724641761624","0.312462032972738","0.426987250550509"
"Yes","2004","Rhineland-Palatinate,Saarland","college entrance qualification","63","0.28421853703408","0.228858748292962","0.339578325775198"
"Yes","2004","Rhineland-Palatinate,Saarland","Other degree","25","","",""
"Yes","2004","Rhineland-Palatinate,Saarland","no degree/no degree yet","13","","",""
"Yes","2004","Baden-Württemberg","lower secondary degree","274","0.282586428937313","0.25357042047814","0.311602437396486"
"Yes","2004","Baden-Württemberg","secondary school degree","175","0.29832926768018","0.261991850356332","0.334666685004028"
"Yes","2004","Baden-Württemberg","college entrance qualification","149","0.253926673741104","0.219992719458363","0.287860628023844"
"Yes","2004","Baden-Württemberg","Other degree","73","0.194000108062592","0.147517105789417","0.240483110335767"
"Yes","2004","Baden-Württemberg","no degree/no degree yet","39","0.318555311424737","0.238770508993084","0.398340113856389"
"Yes","2004","Bavaria","lower secondary degree","407","0.307069517122548","0.281690168792214","0.332448865452881"
"Yes","2004","Bavaria","secondary school degree","216","0.287371216780786","0.254897500609102","0.31984493295247"
"Yes","2004","Bavaria","college entrance qualification","132","0.196709439806121","0.16791282196039","0.225506057651852"
"Yes","2004","Bavaria","Other degree","30","0.185532567441837","0.126219134921609","0.244845999962064"
"Yes","2004","Bavaria","no degree/no degree yet","23","","",""
"Yes","2004","Berlin","lower secondary degree","60","0.439810105891158","0.360110679838769","0.519509531943548"
"Yes","2004","Berlin","secondary school degree","105","0.430751658870566","0.371904160551568","0.489599157189565"
"Yes","2004","Berlin","college entrance qualification","90","0.308397194918043","0.255961920934409","0.360832468901677"
