"pli0080","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"Rarely","1996","Not Working","indirect migration background","","","",""
"Never","1996","Full Time","no migration background","","","",""
"Never","1996","Full Time","direct migration background","","","",""
"Never","1996","Full Time","indirect migration background","","","",""
"Never","1996","Part Time","no migration background","","","",""
"Never","1996","Part Time","direct migration background","","","",""
"Never","1996","Part Time","indirect migration background","","","",""
"Never","1996","Not Working","no migration background","","","",""
"Never","1996","Not Working","direct migration background","","","",""
"Never","1996","Not Working","indirect migration background","","","",""
"Daily","1997","Full Time","no migration background","","","",""
"Daily","1997","Full Time","direct migration background","","","",""
"Daily","1997","Full Time","indirect migration background","","","",""
"Daily","1997","Part Time","no migration background","","","",""
"Daily","1997","Part Time","direct migration background","","","",""
"Daily","1997","Part Time","indirect migration background","","","",""
"Daily","1997","Not Working","no migration background","","","",""
"Daily","1997","Not Working","direct migration background","","","",""
"Daily","1997","Not Working","indirect migration background","","","",""
"Min 1x per week","1997","Full Time","no migration background","","","",""
"Min 1x per week","1997","Full Time","direct migration background","","","",""
"Min 1x per week","1997","Full Time","indirect migration background","","","",""
"Min 1x per week","1997","Part Time","no migration background","","","",""
"Min 1x per week","1997","Part Time","direct migration background","","","",""
"Min 1x per week","1997","Part Time","indirect migration background","","","",""
"Min 1x per week","1997","Not Working","no migration background","","","",""
"Min 1x per week","1997","Not Working","direct migration background","","","",""
"Min 1x per week","1997","Not Working","indirect migration background","","","",""
"Min 1x per month","1997","Full Time","no migration background","","","",""
"Min 1x per month","1997","Full Time","direct migration background","","","",""
"Min 1x per month","1997","Full Time","indirect migration background","","","",""
"Min 1x per month","1997","Part Time","no migration background","","","",""
"Min 1x per month","1997","Part Time","direct migration background","","","",""
"Min 1x per month","1997","Part Time","indirect migration background","","","",""
"Min 1x per month","1997","Not Working","no migration background","","","",""
"Min 1x per month","1997","Not Working","direct migration background","","","",""
"Min 1x per month","1997","Not Working","indirect migration background","","","",""
"Rarely","1997","Full Time","no migration background","","","",""
"Rarely","1997","Full Time","direct migration background","","","",""
"Rarely","1997","Full Time","indirect migration background","","","",""
"Rarely","1997","Part Time","no migration background","","","",""
"Rarely","1997","Part Time","direct migration background","","","",""
"Rarely","1997","Part Time","indirect migration background","","","",""
"Rarely","1997","Not Working","no migration background","","","",""
"Rarely","1997","Not Working","direct migration background","","","",""
"Rarely","1997","Not Working","indirect migration background","","","",""
"Never","1997","Full Time","no migration background","","","",""
"Never","1997","Full Time","direct migration background","","","",""
"Never","1997","Full Time","indirect migration background","","","",""
"Never","1997","Part Time","no migration background","","","",""
"Never","1997","Part Time","direct migration background","","","",""
"Never","1997","Part Time","indirect migration background","","","",""
"Never","1997","Not Working","no migration background","","","",""
"Never","1997","Not Working","direct migration background","","","",""
"Never","1997","Not Working","indirect migration background","","","",""
"Daily","1998","Full Time","no migration background","167","0.033061694657256","0.0280291928807911","0.038094196433721"
"Daily","1998","Full Time","direct migration background","66","0.065421002237233","0.0491393739598438","0.0817026305146223"
"Daily","1998","Full Time","indirect migration background","59","0.243227169589174","0.18950496113582","0.296949378042528"
"Daily","1998","Part Time","no migration background","142","0.060486147384814","0.0505180420594348","0.0704542527101932"
"Daily","1998","Part Time","direct migration background","50","0.0898110247545082","0.065189563602421","0.114432485906595"
"Daily","1998","Part Time","indirect migration background","42","0.254348123160731","0.184655824704255","0.324040421617207"
"Daily","1998","Not Working","no migration background","293","0.0630386929078395","0.0556869332293142","0.0703904525863649"
"Daily","1998","Not Working","direct migration background","116","0.0836365992424842","0.0665632212826126","0.100709977202356"
"Daily","1998","Not Working","indirect migration background","56","0.307454518593351","0.244745354224031","0.370163682962671"
"Min 1x per week","1998","Full Time","no migration background","1880","0.400590128038726","0.386797911535695","0.414382344541756"
"Min 1x per week","1998","Full Time","direct migration background","418","0.436304208187564","0.403649310505647","0.46895910586948"
"Min 1x per week","1998","Full Time","indirect migration background","132","0.504832199443945","0.44222637046162","0.56743802842627"
"Min 1x per week","1998","Part Time","no migration background","916","0.438979037809535","0.418227776559297","0.459730299059774"
"Min 1x per week","1998","Part Time","direct migration background","284","0.519477170488633","0.476451915071954","0.562502425905313"
"Min 1x per week","1998","Part Time","indirect migration background","75","0.563190898640101","0.483817291958986","0.642564505321217"
"Min 1x per week","1998","Not Working","no migration background","1668","0.390429034899112","0.375671627599563","0.40518644219866"
"Min 1x per week","1998","Not Working","direct migration background","507","0.451357664719397","0.420667976725561","0.482047352713233"
"Min 1x per week","1998","Not Working","indirect migration background","116","0.499732387020637","0.431782871327108","0.567681902714166"
"Min 1x per month","1998","Full Time","no migration background","1631","0.330045724462943","0.316810490097842","0.343280958828043"
"Min 1x per month","1998","Full Time","direct migration background","262","0.317365254891924","0.286717044940307","0.34801346484354"
"Min 1x per month","1998","Full Time","indirect migration background","42","0.202717981389589","0.15237752251285","0.253058440266328"
"Min 1x per month","1998","Part Time","no migration background","698","0.304553918668332","0.285309850321128","0.323797987015536"
"Min 1x per month","1998","Part Time","direct migration background","120","0.249462682956374","0.212200169078828","0.286725196833921"
"Min 1x per month","1998","Part Time","indirect migration background","19","","",""
"Min 1x per month","1998","Not Working","no migration background","1163","0.267299814619115","0.25391262689538","0.280687002342849"
"Min 1x per month","1998","Not Working","direct migration background","202","0.216577364132828","0.19117395551982","0.241980772745835"
"Min 1x per month","1998","Not Working","indirect migration background","27","","",""
"Rarely","1998","Full Time","no migration background","1105","0.221950699963681","0.210254256750806","0.233647143176555"
"Rarely","1998","Full Time","direct migration background","130","0.161295590754415","0.137077107495168","0.185514074013662"
"Rarely","1998","Full Time","indirect migration background","8","","",""
"Rarely","1998","Part Time","no migration background","408","0.178979509608772","0.162950314415868","0.195008704801676"
"Rarely","1998","Part Time","direct migration background","57","0.131480293473674","0.102379597078187","0.160580989869161"
"Rarely","1998","Part Time","indirect migration background","14","","",""
"Rarely","1998","Not Working","no migration background","940","0.242242201136455","0.229281843576345","0.255202558696565"
"Rarely","1998","Not Working","direct migration background","155","0.203192219033852","0.178377022224436","0.228007415843268"
"Rarely","1998","Not Working","indirect migration background","9","","",""
"Never","1998","Full Time","no migration background","66","0.0143517528773951","0.0110041383047368","0.0176993674500534"
"Never","1998","Full Time","direct migration background","10","","",""
"Never","1998","Full Time","indirect migration background","4","","",""
"Never","1998","Part Time","no migration background","33","0.0170013865285465","0.0115956896926968","0.0224070833643962"
"Never","1998","Part Time","direct migration background","7","","",""
"Never","1998","Part Time","indirect migration background","","","",""
"Never","1998","Not Working","no migration background","134","0.0369902564374792","0.0312809167149183","0.0426995961600402"
"Never","1998","Not Working","direct migration background","30","0.0452361528714395","0.0324193938596713","0.0580529118832077"
"Never","1998","Not Working","indirect migration background","","","",""
"Daily","1999","Full Time","no migration background","","","",""
"Daily","1999","Full Time","direct migration background","","","",""
"Daily","1999","Full Time","indirect migration background","","","",""
"Daily","1999","Part Time","no migration background","","","",""
"Daily","1999","Part Time","direct migration background","","","",""
"Daily","1999","Part Time","indirect migration background","","","",""
"Daily","1999","Not Working","no migration background","","","",""
"Daily","1999","Not Working","direct migration background","","","",""
"Daily","1999","Not Working","indirect migration background","","","",""
"Min 1x per week","1999","Full Time","no migration background","","","",""
"Min 1x per week","1999","Full Time","direct migration background","","","",""
"Min 1x per week","1999","Full Time","indirect migration background","","","",""
"Min 1x per week","1999","Part Time","no migration background","","","",""
"Min 1x per week","1999","Part Time","direct migration background","","","",""
"Min 1x per week","1999","Part Time","indirect migration background","","","",""
"Min 1x per week","1999","Not Working","no migration background","","","",""
"Min 1x per week","1999","Not Working","direct migration background","","","",""
"Min 1x per week","1999","Not Working","indirect migration background","","","",""
"Min 1x per month","1999","Full Time","no migration background","","","",""
"Min 1x per month","1999","Full Time","direct migration background","","","",""
"Min 1x per month","1999","Full Time","indirect migration background","","","",""
"Min 1x per month","1999","Part Time","no migration background","","","",""
"Min 1x per month","1999","Part Time","direct migration background","","","",""
"Min 1x per month","1999","Part Time","indirect migration background","","","",""
"Min 1x per month","1999","Not Working","no migration background","","","",""
"Min 1x per month","1999","Not Working","direct migration background","","","",""
"Min 1x per month","1999","Not Working","indirect migration background","","","",""
"Rarely","1999","Full Time","no migration background","","","",""
"Rarely","1999","Full Time","direct migration background","","","",""
"Rarely","1999","Full Time","indirect migration background","","","",""
"Rarely","1999","Part Time","no migration background","","","",""
"Rarely","1999","Part Time","direct migration background","","","",""
"Rarely","1999","Part Time","indirect migration background","","","",""
"Rarely","1999","Not Working","no migration background","","","",""
"Rarely","1999","Not Working","direct migration background","","","",""
"Rarely","1999","Not Working","indirect migration background","","","",""
"Never","1999","Full Time","no migration background","","","",""
"Never","1999","Full Time","direct migration background","","","",""
"Never","1999","Full Time","indirect migration background","","","",""
"Never","1999","Part Time","no migration background","","","",""
"Never","1999","Part Time","direct migration background","","","",""
