"plh0038","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1986","Couple + C. LE 16 ","higher vocational","71","0.362647237894265","0.290377620840346","0.434916854948184","1"
"Big worries","1986","Couple + C. LE 16 ","higher education","121","0.470825731905276","0.407937430890092","0.53371403292046","1"
"Big worries","1986","Couple + C. GT 16 ","in school","36","0.457586255365326","0.34841584923086","0.566756661499791","1"
"Big worries","1986","Couple + C. GT 16 ","inadequately","54","0.389908154668027","0.306704980530543","0.47311132880551","1"
"Big worries","1986","Couple + C. GT 16 ","general elemantary","314","0.465214306759814","0.426928243339875","0.503500370179753","1"
"Big worries","1986","Couple + C. GT 16 ","middle vocational","443","0.454922166574046","0.423552621374083","0.486291711774009","1"
"Big worries","1986","Couple + C. GT 16 ","vocational + Abi","12","","","","1"
"Big worries","1986","Couple + C. GT 16 ","higher vocational","37","0.425247518293873","0.323672077339656","0.52682295924809","1"
"Big worries","1986","Couple + C. GT 16 ","higher education","45","0.389165354486477","0.298052287817828","0.480278421155126","1"
"Big worries","1986","Couple + C. LE and GT 16","in school","30","0.390696544421496","0.279531348748733","0.501861740094259","1"
"Big worries","1986","Couple + C. LE and GT 16","inadequately","69","0.408611970989826","0.337775970158599","0.479447971821053","1"
"Big worries","1986","Couple + C. LE and GT 16","general elemantary","205","0.450170388111372","0.40470596340256","0.495634812820184","1"
"Big worries","1986","Couple + C. LE and GT 16","middle vocational","236","0.42125022022354","0.379253408591188","0.463247031855893","1"
"Big worries","1986","Couple + C. LE and GT 16","vocational + Abi","11","","","","1"
"Big worries","1986","Couple + C. LE and GT 16","higher vocational","17","","","","1"
"Big worries","1986","Couple + C. LE and GT 16","higher education","14","","","","1"
"No worries","1986","Couple + C. GT 16 ","in school","9","","","","3"
"No worries","1986","Couple + C. GT 16 ","middle vocational","124","0.128155295661742","0.10709821029492","0.149212381028565","3"
"No worries","1986","Single parent ","inadequately","5","","","","3"
"No worries","1986","Couple + C. LE 16 ","vocational + Abi","4","","","","3"
"No worries","1986","Couple + C. GT 16 ","higher vocational","10","","","","3"
"No worries","1986","(Married) couple without C. ","vocational + Abi","6","","","","3"
"No worries","1986","Couple + C. GT 16 ","general elemantary","75","0.116893698594106","0.0922318097992665","0.141555587388945","3"
"No worries","1986","Couple + C. GT 16 ","vocational + Abi","6","","","","3"
"No worries","1986","Couple + C. GT 16 ","higher education","16","","","","3"
"No worries","1986","Couple + C. LE and GT 16","general elemantary","69","0.138377009232024","0.106822619554506","0.169931398909542","3"
"No worries","1986","Couple + C. LE and GT 16","middle vocational","50","0.096830464764791","0.071677367009312","0.12198356252027","3"
"No worries","1986","Couple + C. LE and GT 16","higher education","4","","","","3"
"No worries","1986","Couple + C. GT 16 ","inadequately","27","","","","3"
"No worries","1986","Single parent ","in school","1","","","","3"
"No worries","1986","Single parent ","general elemantary","25","","","","3"
"No worries","1986","Single parent ","middle vocational","26","","","","3"
