"plj0587","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Never","2016","16-34 y.","inadequately","200","0.170874429690324","0.146173439830647","0.195575419550002"
"Never","2016","16-34 y.","general elemantary","116","0.194246757276373","0.159465296617075","0.229028217935671"
"Never","2016","16-34 y.","middle vocational","68","0.175429669762166","0.138925250950239","0.211934088574092"
"Never","2016","16-34 y.","vocational + Abi","15","","",""
"Never","2016","16-34 y.","higher vocational","","","",""
"Never","2016","16-34 y.","higher education","89","0.211084843515644","0.171775879719474","0.250393807311814"
"Never","2016","35-65 y.","in school","","","",""
"Never","2016","35-65 y.","inadequately","149","0.207569780942949","0.175925444789046","0.239214117096853"
"Never","2016","35-65 y.","general elemantary","60","0.145785332907071","0.106999335906405","0.184571329907737"
"Never","2016","35-65 y.","middle vocational","53","0.148077038284745","0.10998634482663","0.18616773174286"
"Never","2016","35-65 y.","vocational + Abi","15","","",""
"Never","2016","35-65 y.","higher vocational","","","",""
"Never","2016","35-65 y.","higher education","66","0.182368515129742","0.140706060336234","0.224030969923249"
"Never","2016","66 and older","in school","","","",""
"Never","2016","66 and older","inadequately","2","","",""
"Never","2016","66 and older","general elemantary","","","",""
"Never","2016","66 and older","middle vocational","","","",""
"Never","2016","66 and older","vocational + Abi","","","",""
"Never","2016","66 and older","higher vocational","","","",""
"Never","2016","66 and older","higher education","1","","",""
"Very often","2017","16-34 y.","in school","5","","",""
"Very often","2017","16-34 y.","inadequately","128","0.112060505081626","0.0913945944049886","0.132726415758263"
"Very often","2017","16-34 y.","general elemantary","81","0.0226152101567422","0.014707853859565","0.0305225664539194"
"Very often","2017","16-34 y.","middle vocational","82","0.0148502023957163","0.0103548378173528","0.0193455669740797"
"Very often","2017","16-34 y.","vocational + Abi","19","","",""
"Very often","2017","16-34 y.","higher vocational","2","","",""
"Very often","2017","16-34 y.","higher education","66","0.0122000775417872","0.00635278868984479","0.0180473663937297"
"Very often","2017","35-65 y.","in school","","","",""
"Very often","2017","35-65 y.","inadequately","87","0.0577766129310773","0.040430240451726","0.0751229854104286"
"Very often","2017","35-65 y.","general elemantary","59","0.0301605244448005","0.020913121507852","0.039407927381749"
"Very often","2017","35-65 y.","middle vocational","157","0.0166462757076918","0.0136918391800397","0.0196007122353439"
"Very often","2017","35-65 y.","vocational + Abi","24","","",""
"Very often","2017","35-65 y.","higher vocational","9","","",""
"Very often","2017","35-65 y.","higher education","86","0.00708988820070785","0.00460370159375586","0.00957607480765985"
"Very often","2017","66 and older","in school","","","",""
"Very often","2017","66 and older","inadequately","9","","",""
"Very often","2017","66 and older","general elemantary","22","","",""
"Very often","2017","66 and older","middle vocational","39","0.0190736667006836","0.0137904945078009","0.0243568388935663"
