"plj0587","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Often","2019","(1c) basic vocational qualification","","","",""
"Often","2019","(2b) intermediate general qualification","","","",""
"Often","2019","(2a) intermediate vocational","","","",""
"Often","2019","(2c_gen) general maturity certificate","","","",""
"Often","2019","(2c_voc) vocational maturity certificate","","","",""
"Often","2019","(3a) lower tertiary education","","","",""
"Often","2019","(3b) higher tertiary education","","","",""
"Sometimes","2019","(0) in school","","","",""
"Sometimes","2019","(1a) inadequately completed","48","0.312408302969682","0.234514083014925","0.390302522924438"
"Sometimes","2019","(1b) general elementary school","","","",""
"Sometimes","2019","(1c) basic vocational qualification","","","",""
"Sometimes","2019","(2b) intermediate general qualification","","","",""
"Sometimes","2019","(2a) intermediate vocational","","","",""
"Sometimes","2019","(2c_gen) general maturity certificate","","","",""
"Sometimes","2019","(2c_voc) vocational maturity certificate","","","",""
"Sometimes","2019","(3a) lower tertiary education","","","",""
"Sometimes","2019","(3b) higher tertiary education","","","",""
"Rarely ","2019","(0) in school","","","",""
"Rarely ","2019","(1a) inadequately completed","","","",""
"Rarely ","2019","(1b) general elementary school","","","",""
"Rarely ","2019","(1c) basic vocational qualification","","","",""
"Rarely ","2019","(2b) intermediate general qualification","","","",""
"Rarely ","2019","(2a) intermediate vocational","","","",""
"Rarely ","2019","(2c_gen) general maturity certificate","","","",""
"Rarely ","2019","(2c_voc) vocational maturity certificate","","","",""
"Rarely ","2019","(3a) lower tertiary education","","","",""
"Rarely ","2019","(3b) higher tertiary education","","","",""
"Never","2019","(0) in school","","","",""
"Never","2019","(1a) inadequately completed","","","",""
"Never","2019","(1b) general elementary school","","","",""
"Never","2019","(1c) basic vocational qualification","","","",""
"Never","2019","(2b) intermediate general qualification","","","",""
"Never","2019","(2a) intermediate vocational","","","",""
"Never","2019","(2c_gen) general maturity certificate","","","",""
"Never","2019","(2c_voc) vocational maturity certificate","","","",""
"Never","2019","(3a) lower tertiary education","","","",""
"Never","2019","(3b) higher tertiary education","","","",""
