"plb0218","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Yes, every week","2012","35-65 y.","direct migration background","74","0.137199711055262","0.107072358657968","0.167327063452556"
"Yes, every week","2012","35-65 y.","indirect migration background","24","","",""
"Yes, every week","2012","66 and older","no migration background","","","",""
"Yes, every week","2012","66 and older","direct migration background","","","",""
"Yes, every week","2012","66 and older","indirect migration background","","","",""
"Yes, every 2 weeks","2012","16-34 y.","no migration background","149","0.177937478793228","0.152725432307025","0.203149525279431"
"Yes, every 2 weeks","2012","16-34 y.","direct migration background","56","0.27980171330522","0.220074885288221","0.339528541322219"
"Yes, every 2 weeks","2012","16-34 y.","indirect migration background","27","","",""
"Yes, every 2 weeks","2012","35-65 y.","no migration background","503","0.147033957603615","0.134841724149347","0.159226191057884"
"Yes, every 2 weeks","2012","35-65 y.","direct migration background","85","0.200726548916237","0.165653030801277","0.235800067031197"
"Yes, every 2 weeks","2012","35-65 y.","indirect migration background","40","0.206094061672129","0.148728840575223","0.263459282769034"
"Yes, every 2 weeks","2012","66 and older","no migration background","","","",""
"Yes, every 2 weeks","2012","66 and older","direct migration background","","","",""
"Yes, every 2 weeks","2012","66 and older","indirect migration background","","","",""
"Yes, every 3-4 weeks","2012","16-34 y.","no migration background","78","0.0811957345705454","0.0631904467771998","0.099201022363891"
"Yes, every 3-4 weeks","2012","16-34 y.","direct migration background","27","","",""
"Yes, every 3-4 weeks","2012","16-34 y.","indirect migration background","11","","",""
