"pgoeffd","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1991","Couple + C. LE 16 ","(3b) higher tertiary education","130","0.486061284282619","0.42611066925682","0.546011899308418"
"Yes","1991","Couple + C. GT 16 ","(0) in school","","","",""
"Yes","1991","Couple + C. GT 16 ","(1a) inadequately completed","12","","",""
"Yes","1991","Couple + C. GT 16 ","(1b) general elementary school","45","0.168537816711581","0.124846667377804","0.212228966045359"
"Yes","1991","Couple + C. GT 16 ","(1c) basic vocational qualification","120","0.19881008186259","0.167961901997025","0.229658261728155"
"Yes","1991","Couple + C. GT 16 ","(2b) intermediate general qualification","37","0.295545120058341","0.215233990201223","0.375856249915459"
"Yes","1991","Couple + C. GT 16 ","(2a) intermediate vocational","99","0.27375020830476","0.227497813663216","0.320002602946303"
"Yes","1991","Couple + C. GT 16 ","(2c_gen) general maturity certificate","20","","",""
"Yes","1991","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","14","","",""
"Yes","1991","Couple + C. GT 16 ","(3a) lower tertiary education","51","0.359667506013531","0.276530098374788","0.442804913652275"
"Yes","1991","Couple + C. GT 16 ","(3b) higher tertiary education","35","0.46816402483186","0.357428067566983","0.578899982096737"
"Yes","1991","Couple + C. LE and GT 16","(0) in school","","","",""
"Yes","1991","Couple + C. LE and GT 16","(1a) inadequately completed","15","","",""
"Yes","1991","Couple + C. LE and GT 16","(1b) general elementary school","19","","",""
"Yes","1991","Couple + C. LE and GT 16","(1c) basic vocational qualification","46","0.221809818500955","0.16946500404244","0.27415463295947"
"Yes","1991","Couple + C. LE and GT 16","(2b) intermediate general qualification","19","","",""
"Yes","1991","Couple + C. LE and GT 16","(2a) intermediate vocational","25","","",""
"Yes","1991","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","4","","",""
"Yes","1991","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","6","","",""
"Yes","1991","Couple + C. LE and GT 16","(3a) lower tertiary education","25","","",""
"Yes","1991","Couple + C. LE and GT 16","(3b) higher tertiary education","21","","",""
"No","1991","1-pers.-HH","(0) in school","","","",""
"No","1991","1-pers.-HH","(1a) inadequately completed","25","","",""
"No","1991","1-pers.-HH","(1b) general elementary school","72","0.767495691770857","0.68022261003871","0.854768773503003"
"No","1991","1-pers.-HH","(1c) basic vocational qualification","130","0.780247833615809","0.717445942181497","0.84304972505012"
"No","1991","1-pers.-HH","(2b) intermediate general qualification","14","","",""
"No","1991","1-pers.-HH","(2a) intermediate vocational","104","0.72709284834355","0.655083012899333","0.799102683787768"
"No","1991","1-pers.-HH","(2c_gen) general maturity certificate","18","","",""
"No","1991","1-pers.-HH","(2c_voc) vocational maturity certificate","30","0.669500121397458","0.53051038381032","0.808489858984597"
"No","1991","1-pers.-HH","(3a) lower tertiary education","28","","",""
"No","1991","1-pers.-HH","(3b) higher tertiary education","22","","",""
"No","1991","(Married) couple without C. ","(0) in school","","","",""
"No","1991","(Married) couple without C. ","(1a) inadequately completed","37","0.749662685405615","0.621660467575347","0.877664903235884"
"No","1991","(Married) couple without C. ","(1b) general elementary school","138","0.672002845799685","0.604892456158876","0.739113235440493"
"No","1991","(Married) couple without C. ","(1c) basic vocational qualification","555","0.767144768281506","0.7359903212024","0.798299215360613"
"No","1991","(Married) couple without C. ","(2b) intermediate general qualification","28","","",""
"No","1991","(Married) couple without C. ","(2a) intermediate vocational","241","0.701211424015152","0.65277104677037","0.749651801259934"
"No","1991","(Married) couple without C. ","(2c_gen) general maturity certificate","12","","",""
"No","1991","(Married) couple without C. ","(2c_voc) vocational maturity certificate","77","0.730515181809824","0.64564889195601","0.815381471663637"
"No","1991","(Married) couple without C. ","(3a) lower tertiary education","73","0.573062817633184","0.485291770252999","0.660833865013369"
"No","1991","(Married) couple without C. ","(3b) higher tertiary education","67","0.508668809053525","0.424955881698739","0.59238173640831"
"No","1991","Single parent ","(0) in school","1","","",""
"No","1991","Single parent ","(1a) inadequately completed","11","","",""
"No","1991","Single parent ","(1b) general elementary school","62","0.838534739787639","0.752945534289903","0.924123945285374"
"No","1991","Single parent ","(1c) basic vocational qualification","111","0.799054482870269","0.732914223775648","0.865194741964889"
"No","1991","Single parent ","(2b) intermediate general qualification","19","","",""
"No","1991","Single parent ","(2a) intermediate vocational","55","0.620365258215559","0.516584902025518","0.7241456144056"
"No","1991","Single parent ","(2c_gen) general maturity certificate","11","","",""
"No","1991","Single parent ","(2c_voc) vocational maturity certificate","7","","",""
"No","1991","Single parent ","(3a) lower tertiary education","19","","",""
"No","1991","Single parent ","(3b) higher tertiary education","11","","",""
"No","1991","Couple + C. LE 16 ","(0) in school","","","",""
"No","1991","Couple + C. LE 16 ","(1a) inadequately completed","90","0.920202563160415","0.866552375756749","0.973852750564082"
"No","1991","Couple + C. LE 16 ","(1b) general elementary school","235","0.863028649849215","0.821237060101923","0.904820239596508"
"No","1991","Couple + C. LE 16 ","(1c) basic vocational qualification","601","0.793533779990969","0.764389978512879","0.822677581469058"
"No","1991","Couple + C. LE 16 ","(2b) intermediate general qualification","14","","",""
"No","1991","Couple + C. LE 16 ","(2a) intermediate vocational","589","0.7017883123763","0.67072190834356","0.73285471640904"
"No","1991","Couple + C. LE 16 ","(2c_gen) general maturity certificate","27","","",""
"No","1991","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","76","0.740568488622646","0.6528872953167","0.828249681928591"
"No","1991","Couple + C. LE 16 ","(3a) lower tertiary education","159","0.622723619300734","0.56584834985196","0.679598888749509"
"No","1991","Couple + C. LE 16 ","(3b) higher tertiary education","137","0.513938715717381","0.453988100691582","0.57388933074318"
"No","1991","Couple + C. GT 16 ","(0) in school","3","","",""
"No","1991","Couple + C. GT 16 ","(1a) inadequately completed","75","0.878135831514972","0.809396179584349","0.946875483445596"
"No","1991","Couple + C. GT 16 ","(1b) general elementary school","237","0.831462183288419","0.787771033954641","0.875153332622196"
"No","1991","Couple + C. GT 16 ","(1c) basic vocational qualification","523","0.80118991813741","0.770341738271845","0.832038098002975"
"No","1991","Couple + C. GT 16 ","(2b) intermediate general qualification","87","0.704454879941659","0.624143750084541","0.784766009798777"
"No","1991","Couple + C. GT 16 ","(2a) intermediate vocational","258","0.72624979169524","0.679997397053696","0.772502186336784"
"No","1991","Couple + C. GT 16 ","(2c_gen) general maturity certificate","35","0.624229041877034","0.496231880772288","0.752226202981779"
"No","1991","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","43","0.745664578992006","0.632610602135473","0.858718555848538"
"No","1991","Couple + C. GT 16 ","(3a) lower tertiary education","77","0.640332493986469","0.557195086347725","0.723469901625212"
"No","1991","Couple + C. GT 16 ","(3b) higher tertiary education","43","0.53183597516814","0.421100017903263","0.642571932433017"
"No","1991","Couple + C. LE and GT 16","(0) in school","4","","",""
"No","1991","Couple + C. LE and GT 16","(1a) inadequately completed","68","0.815401806650767","0.731935998518212","0.898867614783322"
"No","1991","Couple + C. LE and GT 16","(1b) general elementary school","148","0.877787017385444","0.828111419409425","0.927462615361463"
"No","1991","Couple + C. LE and GT 16","(1c) basic vocational qualification","196","0.778190181499045","0.72584536704053","0.83053499595756"
"No","1991","Couple + C. LE and GT 16","(2b) intermediate general qualification","50","0.705454640790319","0.597898754014941","0.813010527565698"
"No","1991","Couple + C. LE and GT 16","(2a) intermediate vocational","106","0.841305754191759","0.778735205600292","0.903876302783225"
"No","1991","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","14","","",""
"No","1991","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","13","","",""
"No","1991","Couple + C. LE and GT 16","(3a) lower tertiary education","28","","",""
"No","1991","Couple + C. LE and GT 16","(3b) higher tertiary education","22","","",""
"Yes","1992","1-pers.-HH","(0) in school","","","",""
"Yes","1992","1-pers.-HH","(1a) inadequately completed","4","","",""
"Yes","1992","1-pers.-HH","(1b) general elementary school","15","","",""
"Yes","1992","1-pers.-HH","(1c) basic vocational qualification","36","0.222371367767883","0.157531054761493","0.287211680774273"
"Yes","1992","1-pers.-HH","(2b) intermediate general qualification","7","","",""
"Yes","1992","1-pers.-HH","(2a) intermediate vocational","50","0.309993376298251","0.234715574807741","0.385271177788762"
"Yes","1992","1-pers.-HH","(2c_gen) general maturity certificate","4","","",""
"Yes","1992","1-pers.-HH","(2c_voc) vocational maturity certificate","13","","",""
"Yes","1992","1-pers.-HH","(3a) lower tertiary education","10","","",""
"Yes","1992","1-pers.-HH","(3b) higher tertiary education","37","0.578098898755912","0.454165153545309","0.702032643966515"
"Yes","1992","(Married) couple without C. ","(0) in school","","","",""
"Yes","1992","(Married) couple without C. ","(1a) inadequately completed","8","","",""
"Yes","1992","(Married) couple without C. ","(1b) general elementary school","42","0.294086037119245","0.227338589339299","0.360833484899191"
"Yes","1992","(Married) couple without C. ","(1c) basic vocational qualification","146","0.22526060304014","0.193046037855427","0.257475168224853"
"Yes","1992","(Married) couple without C. ","(2b) intermediate general qualification","15","","",""
"Yes","1992","(Married) couple without C. ","(2a) intermediate vocational","102","0.325843058813329","0.275198256033854","0.376487861592804"
"Yes","1992","(Married) couple without C. ","(2c_gen) general maturity certificate","7","","",""
"Yes","1992","(Married) couple without C. ","(2c_voc) vocational maturity certificate","36","0.418024838709856","0.323682484334112","0.512367193085601"
"Yes","1992","(Married) couple without C. ","(3a) lower tertiary education","42","0.408076969558458","0.315811647157811","0.500342291959105"
"Yes","1992","(Married) couple without C. ","(3b) higher tertiary education","59","0.498382639618836","0.408168456788789","0.588596822448883"
"Yes","1992","Single parent ","(0) in school","1","","",""
"Yes","1992","Single parent ","(1a) inadequately completed","1","","",""
"Yes","1992","Single parent ","(1b) general elementary school","6","","",""
"Yes","1992","Single parent ","(1c) basic vocational qualification","29","","",""
"Yes","1992","Single parent ","(2b) intermediate general qualification","8","","",""
"Yes","1992","Single parent ","(2a) intermediate vocational","30","0.434799755146722","0.324074027108735","0.545525483184709"
"Yes","1992","Single parent ","(2c_gen) general maturity certificate","3","","",""
"Yes","1992","Single parent ","(2c_voc) vocational maturity certificate","9","","",""
"Yes","1992","Single parent ","(3a) lower tertiary education","10","","",""
"Yes","1992","Single parent ","(3b) higher tertiary education","18","","",""
"Yes","1992","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","1992","Couple + C. LE 16 ","(1a) inadequately completed","9","","",""
"Yes","1992","Couple + C. LE 16 ","(1b) general elementary school","24","","",""
"Yes","1992","Couple + C. LE 16 ","(1c) basic vocational qualification","119","0.190910009240366","0.160788829304348","0.221031189176384"
"Yes","1992","Couple + C. LE 16 ","(2b) intermediate general qualification","6","","",""
"Yes","1992","Couple + C. LE 16 ","(2a) intermediate vocational","242","0.322883295293532","0.289618737414162","0.356147853172902"
"Yes","1992","Couple + C. LE 16 ","(2c_gen) general maturity certificate","8","","",""
"Yes","1992","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","22","","",""
"Yes","1992","Couple + C. LE 16 ","(3a) lower tertiary education","109","0.348030900805049","0.29001852950495","0.406043272105148"
"Yes","1992","Couple + C. LE 16 ","(3b) higher tertiary education","126","0.508583511380011","0.446981650643495","0.570185372116526"
"Yes","1992","Couple + C. GT 16 ","(0) in school","","","",""
"Yes","1992","Couple + C. GT 16 ","(1a) inadequately completed","16","","",""
"Yes","1992","Couple + C. GT 16 ","(1b) general elementary school","41","0.172719256394754","0.125386490160306","0.220052022629202"
