"pgoeffd","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Yes","2018","16-34 y.","in school","","","","","1"
"Yes","2018","16-34 y.","inadequately","20","","","","1"
"Yes","2018","16-34 y.","higher education","329","0.402538295158714","0.371002856793106","0.434073733524323","1"
"Yes","2018","16-34 y.","higher vocational","39","0.327861846909562","0.241308556247198","0.414415137571927","1"
"Yes","2018","16-34 y.","vocational + Abi","88","0.202722315177352","0.163125880686732","0.242318749667971","1"
"No","2019","16-34 y.","in school","64","0.977548147746209","0.941806769989771","1.01328952550265","2"
"No","2019","16-34 y.","inadequately","253","0.951325355999658","0.925416926851044","0.977233785148271","2"
"No","2019","16-34 y.","general elemantary","592","0.863804512121072","0.837517071126297","0.890091953115846","2"
"No","2019","16-34 y.","middle vocational","1271","0.8121283223644","0.792644802080326","0.831611842648474","2"
"No","2019","16-34 y.","vocational + Abi","281","0.721281231313617","0.675900877224638","0.766661585402596","2"
"No","2019","16-34 y.","higher vocational","78","0.729580155079711","0.647683784546656","0.811476525612766","2"
"No","2019","16-34 y.","higher education","595","0.625119808139917","0.593528129767174","0.65671148651266","2"
"No","2019","35-65 y.","in school","","","","","2"
"No","2019","35-65 y.","inadequately","236","0.828594410262734","0.782248147170703","0.874940673354764","2"
"No","2019","35-65 y.","general elemantary","597","0.81859470257507","0.789965917461962","0.847223487688179","2"
"No","2019","35-65 y.","middle vocational","3657","0.788243510736945","0.77649190222042","0.79999511925347","2"
"No","2019","35-65 y.","vocational + Abi","846","0.730004738159935","0.704142518952401","0.75586695736747","2"
"No","2019","35-65 y.","higher vocational","501","0.657959725286381","0.623380343793615","0.692539106779148","2"
"No","2019","35-65 y.","higher education","1951","0.608902312429358","0.591895812922784","0.625908811935931","2"
"No","2019","66 and older","in school","","","","","2"
"No","2019","66 and older","inadequately","1","","","","2"
"No","2019","66 and older","general elemantary","24","","","","2"
"No","2019","66 and older","middle vocational","132","0.796751275186767","0.734004003659488","0.859498546714046","2"
"No","2019","66 and older","vocational + Abi","13","","","","2"
"No","2019","66 and older","higher vocational","18","","","","2"
"No","2019","66 and older","higher education","65","0.643342045312639","0.541509745238421","0.745174345386857","2"
"Yes","2019","35-65 y.","in school","","","","","1"
"Yes","2019","35-65 y.","inadequately","18","","","","1"
"Yes","2019","35-65 y.","general elemantary","99","0.18140529742493","0.152776512311821","0.210034082538038","1"
"Yes","2019","35-65 y.","middle vocational","986","0.211756489263055","0.20000488074653","0.22350809777958","1"
"Yes","2019","35-65 y.","vocational + Abi","286","0.269995261840065","0.24413304263253","0.2958574810476","1"
"Yes","2019","35-65 y.","higher vocational","222","0.342040274713619","0.307460893220852","0.376619656206385","1"
"Yes","2019","35-65 y.","higher education","1212","0.391097687570642","0.374091188064069","0.408104187077216","1"
"Yes","2019","66 and older","general elemantary","3","","","","1"
"Yes","2019","66 and older","middle vocational","26","","","","1"
"Yes","2019","66 and older","higher education","20","","","","1"
"Yes","2019","66 and older","vocational + Abi","1","","","","1"
"Yes","2019","66 and older","higher vocational","5","","","","1"
"Yes","2019","66 and older","in school","","","","","1"
"Yes","2019","66 and older","inadequately","","","","","1"
"Yes","2019","16-34 y.","general elemantary","62","0.136195487878928","0.109908046884154","0.162482928873703","1"
"Yes","2019","16-34 y.","middle vocational","273","0.1878716776356","0.168388157351525","0.207355197919674","1"
"Yes","2019","16-34 y.","higher education","307","0.374880191860083","0.34328851348734","0.406471870232826","1"
"Yes","2019","16-34 y.","higher vocational","35","0.270419844920289","0.188523474387234","0.352316215453344","1"
"Yes","2019","16-34 y.","vocational + Abi","94","0.278718768686383","0.233338414597404","0.324099122775362","1"
"Yes","2019","16-34 y.","in school","2","","","","1"
"Yes","2019","16-34 y.","inadequately","12","","","","1"
