"pgoeffd","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2011","Couple + C. LE and GT 16","higher vocational","83","0.892621089469042","0.832539547032546","0.952702631905538","2"
"No","2011","Couple + C. LE and GT 16","higher education","180","0.714853892894519","0.661297769414355","0.768410016374682","2"
"Yes","2011","Single parent ","in school","","","","","1"
"Yes","2011","Single parent ","inadequately","1","","","","1"
"Yes","2011","Single parent ","general elemantary","24","","","","1"
"Yes","2011","Single parent ","middle vocational","204","0.192274408940527","0.166739741392277","0.217809076488778","1"
"Yes","2011","Single parent ","vocational + Abi","48","0.258314167136965","0.196879304740739","0.319749029533191","1"
"Yes","2011","Single parent ","higher vocational","25","","","","1"
"Yes","2011","Single parent ","higher education","161","0.414817560492559","0.364750645709869","0.464884475275249","1"
"Yes","2011","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2011","Couple + C. LE 16 ","inadequately","6","","","","1"
"Yes","2011","Couple + C. LE 16 ","general elemantary","26","","","","1"
"Yes","2011","Couple + C. LE 16 ","middle vocational","444","0.182583891786527","0.167782619245475","0.197385164327579","1"
"Yes","2011","Couple + C. LE 16 ","vocational + Abi","106","0.205746811467807","0.17261874286311","0.238874880072504","1"
"Yes","2011","Couple + C. LE 16 ","higher vocational","102","0.217903178240574","0.18046181150057","0.255344544980578","1"
"Yes","2011","Couple + C. LE 16 ","higher education","549","0.314263246772881","0.291580503420289","0.336945990125473","1"
"Yes","2011","1-pers.-HH","vocational + Abi","35","0.287078181698221","0.206135327484438","0.368021035912003","1"
"Yes","2011","1-pers.-HH","higher vocational","25","","","","1"
"Yes","2011","1-pers.-HH","higher education","177","0.39583872607207","0.349400152251213","0.442277299892928","1"
"Yes","2011","(Married) couple without C. ","in school","","","","","1"
"Yes","2011","(Married) couple without C. ","inadequately","1","","","","1"
"Yes","2011","(Married) couple without C. ","higher education","412","0.355469013442187","0.326461865904759","0.384476160979615","1"
"Yes","2011","Couple + C. LE and GT 16","higher education","93","0.285146107105481","0.231589983625318","0.338702230585645","1"
"Yes","2011","1-pers.-HH","middle vocational","171","0.229826036740782","0.199368825603219","0.260283247878346","1"
"Yes","2011","(Married) couple without C. ","general elemantary","26","","","","1"
"Yes","2011","(Married) couple without C. ","middle vocational","365","0.20590335592078","0.186573321510031","0.225233390331529","1"
"Yes","2011","(Married) couple without C. ","vocational + Abi","55","0.207092187235805","0.156454513816905","0.257729860654705","1"
"Yes","2011","(Married) couple without C. ","higher vocational","82","0.271225095769602","0.21886868738016","0.323581504159044","1"
"Yes","2011","Couple + C. GT 16 ","vocational + Abi","26","","","","1"
"Yes","2011","Couple + C. GT 16 ","higher vocational","44","0.256108877748636","0.190687898541679","0.321529856955594","1"
"Yes","2011","Couple + C. GT 16 ","higher education","189","0.395185892164913","0.35140425405323","0.438967530276596","1"
"Yes","2011","Couple + C. LE and GT 16","in school","3","","","","1"
"Yes","2011","Couple + C. LE and GT 16","inadequately","","","","","1"
"Yes","2011","Couple + C. LE and GT 16","higher vocational","19","","","","1"
"Yes","2011","1-pers.-HH","inadequately","2","","","","1"
"Yes","2011","1-pers.-HH","in school","","","","","1"
"Yes","2011","1-pers.-HH","general elemantary","13","","","","1"
"Yes","2011","Couple + C. GT 16 ","in school","1","","","","1"
"Yes","2011","Couple + C. GT 16 ","inadequately","2","","","","1"
"Yes","2011","Couple + C. LE and GT 16","general elemantary","17","","","","1"
"Yes","2011","Couple + C. LE and GT 16","middle vocational","112","0.196312467265098","0.164868639401816","0.227756295128379","1"
"Yes","2011","Couple + C. LE and GT 16","vocational + Abi","22","","","","1"
"Yes","2011","Couple + C. GT 16 ","general elemantary","32","0.158883498698849","0.108345558610186","0.209421438787512","1"
"Yes","2011","Couple + C. GT 16 ","middle vocational","229","0.195728454031942","0.171832275956409","0.219624632107475","1"
"No","2012","1-pers.-HH","in school","1","","","","2"
"No","2012","1-pers.-HH","inadequately","7","","","","2"
"No","2012","1-pers.-HH","general elemantary","86","0.812827175135849","0.736758139764216","0.888896210507483","2"
"No","2012","1-pers.-HH","middle vocational","569","0.780380910105326","0.75071308881168","0.810048731398973","2"
"No","2012","1-pers.-HH","vocational + Abi","97","0.693160237404086","0.6162150985436","0.770105376264573","2"
"No","2012","1-pers.-HH","higher vocational","84","0.760923188002657","0.681217211678921","0.840629164326394","2"
"No","2012","1-pers.-HH","higher education","270","0.588444272558795","0.543953888261521","0.63293465685607","2"
"No","2012","(Married) couple without C. ","in school","1","","","","2"
"No","2012","(Married) couple without C. ","inadequately","13","","","","2"
"No","2012","(Married) couple without C. ","general elemantary","125","0.793176898669097","0.729207497959612","0.857146299378583","2"
"No","2012","(Married) couple without C. ","middle vocational","1245","0.791723092741216","0.77179457655881","0.811651608923621","2"
"No","2012","(Married) couple without C. ","vocational + Abi","189","0.817386934018856","0.769107707113253","0.865666160924459","2"
"No","2012","(Married) couple without C. ","higher vocational","189","0.71495754210658","0.660910043739535","0.769005040473626","2"
"No","2012","(Married) couple without C. ","higher education","601","0.627638623501409","0.597824328227612","0.657452918775207","2"
"No","2012","Single parent ","in school","15","","","","2"
"No","2012","Single parent ","inadequately","22","","","","2"
"No","2012","Single parent ","general elemantary","159","0.828853288301329","0.776392041493631","0.881314535109026","2"
"No","2012","Single parent ","middle vocational","731","0.818261923904427","0.793206801469737","0.843317046339118","2"
"No","2012","Single parent ","vocational + Abi","140","0.751224411383102","0.690391870966106","0.812056951800099","2"
"No","2012","Single parent ","higher vocational","51","0.756487168446627","0.658697282536894","0.85427705435636","2"
"No","2012","Single parent ","higher education","198","0.596410383370998","0.54464002949855","0.648180737243446","2"
"No","2012","Couple + C. LE 16 ","in school","","","","","2"
"No","2012","Couple + C. LE 16 ","inadequately","47","0.832834466816159","0.733315943065052","0.932352990567266","2"
"No","2012","Couple + C. LE 16 ","general elemantary","277","0.899560506222211","0.865936740504177","0.933184271940245","2"
"No","2012","Couple + C. LE 16 ","middle vocational","2099","0.820857484068103","0.805950371408312","0.835764596727894","2"
"No","2012","Couple + C. LE 16 ","vocational + Abi","467","0.803278496852802","0.770558327007478","0.835998666698125","2"
"No","2012","Couple + C. LE 16 ","higher vocational","333","0.766629954883118","0.726557896270413","0.806702013495823","2"
"No","2012","Couple + C. LE 16 ","higher education","1041","0.700734510905373","0.678032011437622","0.723437010373124","2"
"No","2012","Couple + C. GT 16 ","in school","17","","","","2"
"No","2012","Couple + C. GT 16 ","inadequately","9","","","","2"
"No","2012","Couple + C. GT 16 ","general elemantary","138","0.84305470367004","0.78755276553617","0.89855664180391","2"
"No","2012","Couple + C. GT 16 ","middle vocational","801","0.795211104245851","0.770470114847897","0.819952093643806","2"
"No","2012","Couple + C. GT 16 ","vocational + Abi","105","0.805637536986855","0.737351913462477","0.873923160511234","2"
"No","2012","Couple + C. GT 16 ","higher vocational","117","0.748319474360836","0.680435604106968","0.816203344614704","2"
"No","2012","Couple + C. GT 16 ","higher education","263","0.62740290353436","0.582019418607704","0.672786388461016","2"
"No","2012","Couple + C. LE and GT 16","in school","21","","","","2"
"No","2012","Couple + C. LE and GT 16","inadequately","26","","","","2"
"No","2012","Couple + C. LE and GT 16","general elemantary","161","0.871958109540917","0.822167334237365","0.921748884844469","2"
"No","2012","Couple + C. LE and GT 16","middle vocational","513","0.797595104216277","0.766069926574503","0.829120281858051","2"
"No","2012","Couple + C. LE and GT 16","vocational + Abi","106","0.827365500596911","0.762147762161177","0.892583239032644","2"
"No","2012","Couple + C. LE and GT 16","higher vocational","86","0.84282876688862","0.774186373375671","0.911471160401569","2"
"No","2012","Couple + C. LE and GT 16","higher education","159","0.661722426907887","0.603423258429745","0.72002159538603","2"
"Yes","2012","Single parent ","in school","","","","","1"
"Yes","2012","Single parent ","inadequately","1","","","","1"
"Yes","2012","Single parent ","general elemantary","39","0.171146711698671","0.118685464890974","0.223607958506369","1"
"Yes","2012","Single parent ","middle vocational","179","0.181738076095573","0.156682953660883","0.206793198530263","1"
"Yes","2012","Single parent ","vocational + Abi","54","0.248775588616898","0.187943048199901","0.309608129033894","1"
"Yes","2012","Single parent ","higher vocational","23","","","","1"
"Yes","2012","Single parent ","higher education","147","0.403589616629002","0.351819262756553","0.45535997050145","1"
"Yes","2012","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2012","Couple + C. LE 16 ","inadequately","7","","","","1"
"Yes","2012","Couple + C. LE 16 ","general elemantary","30","0.100439493777789","0.0668157280597555","0.134063259495823","1"
"Yes","2012","Couple + C. LE 16 ","middle vocational","443","0.179142515931897","0.164235403272106","0.194049628591688","1"
"Yes","2012","Couple + C. LE 16 ","vocational + Abi","100","0.196721503147199","0.164001333301875","0.229441672992522","1"
"Yes","2012","Couple + C. LE 16 ","higher vocational","95","0.233370045116882","0.193297986504177","0.273442103729587","1"
"Yes","2012","Couple + C. LE 16 ","higher education","522","0.299265489094627","0.276562989626876","0.321967988562378","1"
"Yes","2012","1-pers.-HH","vocational + Abi","41","0.306839762595913","0.229894623735427","0.3837849014564","1"
"Yes","2012","1-pers.-HH","higher vocational","26","","","","1"
"Yes","2012","1-pers.-HH","higher education","200","0.411555727441205","0.36706534314393","0.456046111738479","1"
"Yes","2012","(Married) couple without C. ","in school","","","","","1"
"Yes","2012","1-pers.-HH","middle vocational","179","0.219619089894674","0.189951268601027","0.24928691118832","1"
"Yes","2012","(Married) couple without C. ","inadequately","2","","","","1"
"Yes","2012","(Married) couple without C. ","higher education","409","0.372361376498591","0.342547081224793","0.402175671772388","1"
"Yes","2012","Couple + C. GT 16 ","vocational + Abi","24","","","","1"
"Yes","2012","Couple + C. GT 16 ","higher vocational","40","0.251680525639164","0.183796655385296","0.319564395893032","1"
"Yes","2012","Couple + C. GT 16 ","higher education","173","0.37259709646564","0.327213611538984","0.417980581392296","1"
"Yes","2012","Couple + C. LE and GT 16","in school","","","","","1"
"Yes","2012","Couple + C. LE and GT 16","higher education","94","0.338277573092113","0.27997840461397","0.396576741570255","1"
"Yes","2012","1-pers.-HH","in school","","","","","1"
"Yes","2012","1-pers.-HH","inadequately","1","","","","1"
"Yes","2012","(Married) couple without C. ","general elemantary","29","","","","1"
"Yes","2012","Couple + C. LE and GT 16","inadequately","1","","","","1"
"Yes","2012","Couple + C. LE and GT 16","general elemantary","12","","","","1"
"Yes","2012","Couple + C. LE and GT 16","higher vocational","22","","","","1"
"Yes","2012","1-pers.-HH","general elemantary","15","","","","1"
"Yes","2012","(Married) couple without C. ","middle vocational","350","0.208276907258785","0.188348391076379","0.22820542344119","1"
"Yes","2012","(Married) couple without C. ","vocational + Abi","57","0.182613065981144","0.134333839075541","0.230892292886748","1"
"Yes","2012","(Married) couple without C. ","higher vocational","79","0.285042457893419","0.230994959526374","0.339089956260465","1"
"Yes","2012","Couple + C. GT 16 ","in school","1","","","","1"
"Yes","2012","Couple + C. GT 16 ","inadequately","2","","","","1"
"Yes","2012","Couple + C. GT 16 ","general elemantary","27","","","","1"
"Yes","2012","Couple + C. GT 16 ","middle vocational","221","0.204788895754149","0.180047906356194","0.229529885152103","1"
"Yes","2012","Couple + C. LE and GT 16","middle vocational","111","0.202404895783723","0.170879718141949","0.233930073425497","1"
"Yes","2012","Couple + C. LE and GT 16","vocational + Abi","23","","","","1"
"No","2013","1-pers.-HH","in school","","","","","2"
"No","2013","1-pers.-HH","inadequately","18","","","","2"
"No","2013","1-pers.-HH","general elemantary","106","0.848002752991355","0.784555616326251","0.911449889656458","2"
"No","2013","1-pers.-HH","middle vocational","606","0.775307802915257","0.74601696048562","0.804598645344894","2"
"No","2013","1-pers.-HH","vocational + Abi","121","0.687991176772717","0.618139053659273","0.757843299886162","2"
"No","2013","1-pers.-HH","higher vocational","66","0.693426583439307","0.599211233029023","0.787641933849591","2"
"No","2013","1-pers.-HH","higher education","286","0.589860359813497","0.54590457571296","0.633816143914034","2"
"No","2013","(Married) couple without C. ","in school","3","","","","2"
"No","2013","(Married) couple without C. ","inadequately","26","","","","2"
"No","2013","(Married) couple without C. ","general elemantary","180","0.75748354070617","0.700588153948905","0.814378927463436","2"
"No","2013","(Married) couple without C. ","middle vocational","1272","0.787456507879593","0.767565416957843","0.807347598801343","2"
"No","2013","(Married) couple without C. ","vocational + Abi","250","0.798285660542068","0.753830367995608","0.842740953088528","2"
"No","2013","(Married) couple without C. ","higher vocational","160","0.692809369747014","0.634076019180643","0.751542720313385","2"
"No","2013","(Married) couple without C. ","higher education","618","0.598976472261745","0.569218451672387","0.628734492851103","2"
"No","2013","Single parent ","in school","24","","","","2"
"No","2013","Single parent ","inadequately","16","","","","2"
"No","2013","Single parent ","general elemantary","220","0.819269879615577","0.772587111470677","0.865952647760477","2"
"No","2013","Single parent ","middle vocational","741","0.794490119092733","0.768672637070958","0.820307601114507","2"
"No","2013","Single parent ","vocational + Abi","145","0.777252115258572","0.718549535521779","0.835954694995365","2"
"No","2013","Single parent ","higher vocational","44","0.651120341361664","0.537838032862683","0.764402649860645","2"
"No","2013","Single parent ","higher education","178","0.550709293819701","0.496629960266895","0.604788627372507","2"
"No","2013","Couple + C. LE 16 ","in school","","","","","2"
"No","2013","Couple + C. LE 16 ","inadequately","74","0.897728124839065","0.830911417461858","0.964544832216272","2"
"No","2013","Couple + C. LE 16 ","general elemantary","376","0.873098287870098","0.84148944478471","0.904707130955487","2"
"No","2013","Couple + C. LE 16 ","middle vocational","2185","0.831690732174002","0.81732881156027","0.846052652787733","2"
"No","2013","Couple + C. LE 16 ","vocational + Abi","530","0.79655047536719","0.765555194338384","0.827545756395997","2"
"No","2013","Couple + C. LE 16 ","higher vocational","311","0.790466527395199","0.750583644546877","0.83034941024352","2"
"No","2013","Couple + C. LE 16 ","higher education","1135","0.677570541437592","0.655364920180035","0.699776162695149","2"
"No","2013","Couple + C. GT 16 ","in school","27","","","","2"
"No","2013","Couple + C. GT 16 ","inadequately","24","","","","2"
"No","2013","Couple + C. GT 16 ","general elemantary","234","0.87414966657553","0.834513464454066","0.913785868696994","2"
"No","2013","Couple + C. GT 16 ","middle vocational","865","0.793157389320445","0.769122871799368","0.817191906841521","2"
"No","2013","Couple + C. GT 16 ","vocational + Abi","128","0.805270238289665","0.744291620746449","0.866248855832881","2"
"No","2013","Couple + C. GT 16 ","higher vocational","90","0.674108625583638","0.591942187719751","0.756275063447525","2"
"No","2013","Couple + C. GT 16 ","higher education","231","0.581850148750001","0.533811351261523","0.629888946238479","2"
"No","2013","Couple + C. LE and GT 16","in school","29","","","","2"
"No","2013","Couple + C. LE and GT 16","inadequately","47","0.984487220545865","0.94988532413848","1.01908911695325","2"
"No","2013","Couple + C. LE and GT 16","general elemantary","257","0.893512907701592","0.857574918582286","0.929450896820897","2"
"No","2013","Couple + C. LE and GT 16","middle vocational","593","0.86621296449013","0.841155084295797","0.891270844684464","2"
"No","2013","Couple + C. LE and GT 16","vocational + Abi","109","0.728960843588471","0.656361120573152","0.801560566603789","2"
"No","2013","Couple + C. LE and GT 16","higher vocational","78","0.747594121807942","0.666783346583269","0.828404897032616","2"
"No","2013","Couple + C. LE and GT 16","higher education","170","0.555384905373448","0.496971189957881","0.613798620789015","2"
"Yes","2013","Single parent ","in school","2","","","","1"
"Yes","2013","Single parent ","inadequately","4","","","","1"
"Yes","2013","Single parent ","general elemantary","41","0.180730120384423","0.134047352239523","0.227412888529323","1"
"Yes","2013","Single parent ","middle vocational","200","0.205509880907267","0.179692398885493","0.231327362929042","1"
"Yes","2013","Single parent ","vocational + Abi","48","0.222747884741428","0.164045305004635","0.281450464478221","1"
"Yes","2013","Single parent ","higher vocational","24","","","","1"
"Yes","2013","Single parent ","higher education","147","0.449290706180299","0.395211372627493","0.503370039733105","1"
"Yes","2013","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2013","Couple + C. LE 16 ","inadequately","5","","","","1"
"Yes","2013","Couple + C. LE 16 ","general elemantary","50","0.126901712129902","0.0952928690445133","0.15851055521529","1"
"Yes","2013","Couple + C. LE 16 ","middle vocational","422","0.168309267825998","0.153947347212267","0.18267118843973","1"
"Yes","2013","Couple + C. LE 16 ","vocational + Abi","118","0.20344952463281","0.172454243604003","0.234444805661616","1"
"Yes","2013","Couple + C. LE 16 ","higher vocational","89","0.209533472604801","0.16965058975648","0.249416355453123","1"
"Yes","2013","Couple + C. LE 16 ","higher education","567","0.322429458562408","0.300223837304852","0.344635079819965","1"
"Yes","2013","1-pers.-HH","vocational + Abi","48","0.312008823227283","0.242156700113838","0.381860946340727","1"
"Yes","2013","1-pers.-HH","higher vocational","26","","","","1"
"Yes","2013","1-pers.-HH","higher education","195","0.410139640186503","0.366183856085966","0.45409542428704","1"
"Yes","2013","1-pers.-HH","middle vocational","174","0.224692197084743","0.195401354655106","0.25398303951438","1"
"Yes","2013","(Married) couple without C. ","in school","1","","","","1"
"Yes","2013","Couple + C. GT 16 ","vocational + Abi","34","0.194729761710335","0.133751144167119","0.255708379253551","1"
"Yes","2013","Couple + C. GT 16 ","higher vocational","35","0.325891374416362","0.243724936552475","0.408057812280249","1"
"Yes","2013","Couple + C. GT 16 ","higher education","174","0.418149851249999","0.370111053761521","0.466188648738477","1"
"Yes","2013","Couple + C. LE and GT 16","in school","1","","","","1"
"Yes","2013","Couple + C. LE and GT 16","higher education","108","0.444615094626552","0.386201379210985","0.503028810042119","1"
"Yes","2013","Couple + C. LE and GT 16","inadequately","2","","","","1"
"Yes","2013","1-pers.-HH","in school","","","","","1"
"Yes","2013","1-pers.-HH","inadequately","","","","","1"
"Yes","2013","1-pers.-HH","general elemantary","17","","","","1"
"Yes","2013","(Married) couple without C. ","inadequately","4","","","","1"
"Yes","2013","(Married) couple without C. ","higher education","424","0.401023527738255","0.371265507148897","0.430781548327613","1"
"Yes","2013","Couple + C. GT 16 ","middle vocational","226","0.206842610679555","0.182808093158479","0.230877128200631","1"
"Yes","2013","Couple + C. LE and GT 16","higher vocational","33","0.252405878192057","0.171595102967384","0.333216653416731","1"
"Yes","2013","Couple + C. GT 16 ","inadequately","4","","","","1"
"Yes","2013","Couple + C. LE and GT 16","general elemantary","26","","","","1"
"Yes","2013","Couple + C. LE and GT 16","middle vocational","116","0.13378703550987","0.108729155315536","0.158844915704203","1"
"Yes","2013","Couple + C. LE and GT 16","vocational + Abi","35","0.271039156411529","0.198439433396211","0.343638879426848","1"
"Yes","2013","(Married) couple without C. ","general elemantary","38","0.24251645929383","0.185621072536564","0.299411846051095","1"
"Yes","2013","(Married) couple without C. ","vocational + Abi","63","0.201714339457932","0.157259046911471","0.246169632004392","1"
"Yes","2013","(Married) couple without C. ","higher vocational","77","0.307190630252986","0.248457279686615","0.365923980819357","1"
"Yes","2013","Couple + C. GT 16 ","in school","2","","","","1"
"Yes","2013","Couple + C. GT 16 ","general elemantary","35","0.12585033342447","0.0862141313030058","0.165486535545934","1"
"Yes","2013","(Married) couple without C. ","middle vocational","353","0.212543492120407","0.192652401198657","0.232434583042157","1"
"No","2014","1-pers.-HH","in school","","","","","2"
"No","2014","1-pers.-HH","inadequately","8","","","","2"
"No","2014","1-pers.-HH","general elemantary","96","0.874068341918862","0.812624376535091","0.935512307302633","2"
"No","2014","1-pers.-HH","middle vocational","548","0.761320130478035","0.730008935199393","0.792631325756678","2"
"No","2014","1-pers.-HH","vocational + Abi","99","0.718411445999455","0.644172353392863","0.792650538606047","2"
"No","2014","1-pers.-HH","higher vocational","57","0.720321454339351","0.623760445114105","0.816882463564598","2"
"No","2014","1-pers.-HH","higher education","255","0.570291618798889","0.524604346814421","0.615978890783356","2"
"No","2014","(Married) couple without C. ","in school","3","","","","2"
"No","2014","(Married) couple without C. ","inadequately","22","","","","2"
"No","2014","(Married) couple without C. ","general elemantary","157","0.82372218682739","0.768812187825446","0.878632185829334","2"
"No","2014","(Married) couple without C. ","middle vocational","1248","0.784212172025053","0.764118217538125","0.804306126511982","2"
"No","2014","(Married) couple without C. ","vocational + Abi","244","0.80395688605444","0.759107446642277","0.848806325466603","2"
"No","2014","(Married) couple without C. ","higher vocational","145","0.661344893019907","0.599507716901947","0.723182069137867","2"
"No","2014","(Married) couple without C. ","higher education","563","0.571019864817276","0.54000121692417","0.602038512710382","2"
"No","2014","Single parent ","in school","15","","","","2"
"No","2014","Single parent ","inadequately","18","","","","2"
"No","2014","Single parent ","general elemantary","159","0.871721654918567","0.823793260636083","0.919650049201051","2"
"No","2014","Single parent ","middle vocational","617","0.789707183859475","0.761090149495801","0.818324218223148","2"
"No","2014","Single parent ","vocational + Abi","100","0.674493829794357","0.599258200125593","0.749729459463121","2"
"No","2014","Single parent ","higher vocational","36","0.692516813008585","0.571657554551512","0.813376071465658","2"
"No","2014","Single parent ","higher education","156","0.54664995179865","0.487919270320815","0.605380633276485","2"
"No","2014","Couple + C. LE 16 ","in school","","","","","2"
"No","2014","Couple + C. LE 16 ","inadequately","53","0.885445626134105","0.802031258077107","0.968859994191103","2"
"No","2014","Couple + C. LE 16 ","general elemantary","322","0.885638883429051","0.852854929020803","0.9184228378373","2"
"No","2014","Couple + C. LE 16 ","middle vocational","1796","0.821686602650396","0.805555467806575","0.837817737494217","2"
"No","2014","Couple + C. LE 16 ","vocational + Abi","473","0.811624257355129","0.779692203924115","0.843556310786144","2"
"No","2014","Couple + C. LE 16 ","higher vocational","262","0.760028645083818","0.714964283204153","0.805093006963483","2"
"No","2014","Couple + C. LE 16 ","higher education","977","0.619758553312413","0.59507659140465","0.644440515220176","2"
"No","2014","Couple + C. GT 16 ","in school","13","","","","2"
"No","2014","Couple + C. GT 16 ","inadequately","19","","","","2"
"No","2014","Couple + C. GT 16 ","general elemantary","206","0.860363614372893","0.816235615321291","0.904491613424494","2"
"No","2014","Couple + C. GT 16 ","middle vocational","783","0.800072705501304","0.774929784525477","0.825215626477132","2"
"No","2014","Couple + C. GT 16 ","vocational + Abi","132","0.835755137191377","0.778166745003368","0.893343529379386","2"
"No","2014","Couple + C. GT 16 ","higher vocational","93","0.783504276200968","0.711304071083373","0.855704481318562","2"
"No","2014","Couple + C. GT 16 ","higher education","227","0.639948235524689","0.59063627220841","0.689260198840967","2"
"No","2014","Couple + C. LE and GT 16","in school","23","","","","2"
"No","2014","Couple + C. LE and GT 16","inadequately","33","0.995128758182018","0.971725942309985","1.01853157405405","2"
"No","2014","Couple + C. LE and GT 16","general elemantary","203","0.891117564649577","0.850506882314324","0.931728246984829","2"
"No","2014","Couple + C. LE and GT 16","middle vocational","524","0.801978242996355","0.771506089014547","0.832450396978163","2"
"No","2014","Couple + C. LE and GT 16","vocational + Abi","89","0.695662726262307","0.615638189157991","0.775687263366624","2"
"No","2014","Couple + C. LE and GT 16","higher vocational","75","0.767160170972889","0.68348305320072","0.850837288745059","2"
"No","2014","Couple + C. LE and GT 16","higher education","173","0.633685603362769","0.576741906587661","0.690629300137878","2"
"Yes","2014","Single parent ","in school","3","","","","1"
"Yes","2014","Single parent ","inadequately","4","","","","1"
"Yes","2014","Single parent ","general elemantary","28","","","","1"
"Yes","2014","Single parent ","middle vocational","162","0.210292816140525","0.181675781776852","0.238909850504199","1"
"Yes","2014","Single parent ","vocational + Abi","49","0.325506170205643","0.250270540536879","0.400741799874407","1"
"Yes","2014","Single parent ","higher vocational","20","","","","1"
"Yes","2014","Single parent ","higher education","120","0.45335004820135","0.394619366723515","0.512080729679185","1"
"Yes","2014","Couple + C. LE 16 ","in school","","","","","1"
"Yes","2014","Couple + C. LE 16 ","inadequately","3","","","","1"
"Yes","2014","Couple + C. LE 16 ","general elemantary","40","0.114361116570949","0.0815771621626998","0.147145070979197","1"
"Yes","2014","Couple + C. LE 16 ","middle vocational","367","0.178313397349604","0.162182262505783","0.194444532193425","1"
"Yes","2014","Couple + C. LE 16 ","vocational + Abi","103","0.188375742644871","0.156443689213856","0.220307796075885","1"
"Yes","2014","Couple + C. LE 16 ","higher vocational","83","0.239971354916182","0.194906993036517","0.285035716795847","1"
"Yes","2014","Couple + C. LE 16 ","higher education","509","0.380241446687587","0.355559484779824","0.40492340859535","1"
"Yes","2014","1-pers.-HH","vocational + Abi","42","0.281588554000545","0.207349461393953","0.355827646607137","1"
"Yes","2014","1-pers.-HH","higher vocational","26","","","","1"
"Yes","2014","1-pers.-HH","higher education","196","0.429708381201111","0.384021109216644","0.475395653185579","1"
"Yes","2014","Couple + C. GT 16 ","vocational + Abi","27","","","","1"
"Yes","2014","Couple + C. GT 16 ","higher vocational","32","0.216495723799032","0.144295518681438","0.288695928916627","1"
"Yes","2014","Couple + C. GT 16 ","higher education","137","0.360051764475311","0.310739801159033","0.40936372779159","1"
"Yes","2014","Couple + C. LE and GT 16","in school","3","","","","1"
"Yes","2014","Couple + C. LE and GT 16","higher education","102","0.366314396637231","0.309370699862122","0.423258093412339","1"
"Yes","2014","1-pers.-HH","middle vocational","164","0.238679869521964","0.207368674243322","0.269991064800607","1"
"Yes","2014","(Married) couple without C. ","in school","","","","","1"
"Yes","2014","Couple + C. GT 16 ","middle vocational","189","0.199927294498696","0.174784373522868","0.225070215474523","1"
"Yes","2014","Couple + C. LE and GT 16","inadequately","1","","","","1"
"Yes","2014","Couple + C. LE and GT 16","higher vocational","23","","","","1"
"Yes","2014","Couple + C. LE and GT 16","middle vocational","133","0.198021757003645","0.167549603021837","0.228493910985453","1"
"Yes","2014","1-pers.-HH","in school","","","","","1"
"Yes","2014","1-pers.-HH","inadequately","1","","","","1"
"Yes","2014","1-pers.-HH","general elemantary","16","","","","1"
"Yes","2014","(Married) couple without C. ","inadequately","2","","","","1"
"Yes","2014","Couple + C. GT 16 ","general elemantary","31","0.139636385627107","0.0955083865755062","0.183764384678709","1"
"Yes","2014","Couple + C. LE and GT 16","general elemantary","23","","","","1"
"Yes","2014","(Married) couple without C. ","middle vocational","362","0.215787827974947","0.195693873488019","0.235881782461875","1"
"Yes","2014","Couple + C. LE and GT 16","vocational + Abi","38","0.304337273737693","0.224312736633376","0.384361810842009","1"
"Yes","2014","(Married) couple without C. ","higher education","415","0.428980135182724","0.397961487289618","0.45999878307583","1"
"Yes","2014","Couple + C. GT 16 ","inadequately","4","","","","1"
"Yes","2014","Couple + C. GT 16 ","in school","","","","","1"
"Yes","2014","(Married) couple without C. ","vocational + Abi","57","0.19604311394556","0.151193674533397","0.240892553357723","1"
"Yes","2014","(Married) couple without C. ","higher vocational","80","0.338655106980093","0.276817930862133","0.400492283098053","1"
"Yes","2014","(Married) couple without C. ","general elemantary","28","","","","1"
"No","2015","1-pers.-HH","in school","2","","","","2"
"No","2015","1-pers.-HH","inadequately","19","","","","2"
"No","2015","1-pers.-HH","general elemantary","107","0.867116129858612","0.806881958211926","0.927350301505299","2"
"No","2015","1-pers.-HH","middle vocational","581","0.760699285005565","0.729979548295156","0.791419021715974","2"
"No","2015","1-pers.-HH","vocational + Abi","111","0.744775408522359","0.675235592038861","0.814315225005858","2"
"No","2015","1-pers.-HH","higher vocational","58","0.664391824964258","0.561558474216874","0.767225175711642","2"
"No","2015","1-pers.-HH","higher education","309","0.63918962848416","0.596668535709685","0.681710721258634","2"
"No","2015","(Married) couple without C. ","in school","","","","","2"
"No","2015","(Married) couple without C. ","inadequately","24","","","","2"
"No","2015","(Married) couple without C. ","general elemantary","177","0.810956612914321","0.757227142238321","0.864686083590321","2"
"No","2015","(Married) couple without C. ","middle vocational","1225","0.795238913785262","0.775208147786854","0.815269679783669","2"
"No","2015","(Married) couple without C. ","vocational + Abi","267","0.800165963618175","0.756891077218977","0.843440850017374","2"
"No","2015","(Married) couple without C. ","higher vocational","145","0.691108882938659","0.629634500971042","0.752583264906276","2"
"No","2015","(Married) couple without C. ","higher education","656","0.575756017116535","0.546184383388825","0.605327650844244","2"
"No","2015","Single parent ","in school","17","","","","2"
"No","2015","Single parent ","inadequately","19","","","","2"
