"pgoeffd","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Yes","1994","66 and older","no degree/no degree yet","","","",""
"No","1994","16-34 y.","lower secondary degree","798","0.858597168665364","0.836032750840968","0.88116158648976"
"No","1994","16-34 y.","secondary school degree","898","0.71058222723535","0.685709557034773","0.735454897435927"
"No","1994","16-34 y.","college entrance qualification","346","0.628039857460998","0.587424484362068","0.668655230559928"
"No","1994","16-34 y.","Other degree","100","0.9157478301534","0.863840314347062","0.967655345959738"
"No","1994","16-34 y.","no degree/no degree yet","57","0.787343247593193","0.687094317507147","0.88759217767924"
"No","1994","35-65 y.","lower secondary degree","1324","0.773378157429522","0.753604894028674","0.793151420830369"
"No","1994","35-65 y.","secondary school degree","739","0.652883128990535","0.625333105953218","0.680433152027852"
"No","1994","35-65 y.","college entrance qualification","389","0.566133442317995","0.529234071002557","0.603032813633434"
"No","1994","35-65 y.","Other degree","401","0.866075592929284","0.834678702333636","0.897472483524931"
"No","1994","35-65 y.","no degree/no degree yet","194","0.832740807302561","0.784403742879125","0.881077871725997"
"No","1994","66 and older","lower secondary degree","9","","",""
"No","1994","66 and older","secondary school degree","3","","",""
"No","1994","66 and older","college entrance qualification","9","","",""
"No","1994","66 and older","Other degree","1","","",""
"No","1994","66 and older","no degree/no degree yet","","","",""
"Yes","1995","16-34 y.","lower secondary degree","123","0.145939620028129","0.123442163770836","0.168437076285422"
"Yes","1995","16-34 y.","secondary school degree","370","0.271255158071362","0.247423232331427","0.295087083811297"
"Yes","1995","16-34 y.","college entrance qualification","195","0.346907240581833","0.308069469182514","0.385745011981152"
"Yes","1995","16-34 y.","Other degree","18","","",""
"Yes","1995","16-34 y.","no degree/no degree yet","6","","",""
"Yes","1995","35-65 y.","lower secondary degree","388","0.229545147337074","0.209641911718322","0.249448382955826"
"Yes","1995","35-65 y.","secondary school degree","422","0.330632412163172","0.30458421875573","0.356680605570613"
"Yes","1995","35-65 y.","college entrance qualification","320","0.433676674890478","0.398489381496811","0.468863968284145"
"Yes","1995","35-65 y.","Other degree","79","0.18003404716656","0.14771761492264","0.212350479410481"
"Yes","1995","35-65 y.","no degree/no degree yet","34","0.191584217120204","0.137972443572714","0.245195990667695"
"Yes","1995","66 and older","lower secondary degree","1","","",""
"Yes","1995","66 and older","secondary school degree","1","","",""
"Yes","1995","66 and older","college entrance qualification","","","",""
"Yes","1995","66 and older","Other degree","","","",""
"Yes","1995","66 and older","no degree/no degree yet","","","",""
"No","1995","16-34 y.","lower secondary degree","823","0.854060379971871","0.831562923714578","0.876557836229164"
"No","1995","16-34 y.","secondary school degree","967","0.728744841928638","0.704912916188703","0.752576767668573"
"No","1995","16-34 y.","college entrance qualification","382","0.653092759418167","0.614254988018848","0.691930530817486"
