"pgoeffd","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2016","Brandenburg","in school","1","","",""
"Yes","2016","Brandenburg","inadequately","","","",""
"Yes","2016","Brandenburg","general elemantary","3","","",""
"Yes","2016","Brandenburg","middle vocational","41","0.163807911889503","0.11628636220025","0.211329461578755"
"Yes","2016","Brandenburg","vocational + Abi","12","","",""
"Yes","2016","Brandenburg","higher vocational","12","","",""
"Yes","2016","Brandenburg","higher education","65","0.549225777756598","0.463027597229068","0.635423958284128"
"Yes","2016","Mecklenburg-Western Pomerania","in school","","","",""
"Yes","2016","Mecklenburg-Western Pomerania","inadequately","","","",""
"Yes","2016","Mecklenburg-Western Pomerania","general elemantary","1","","",""
"Yes","2016","Mecklenburg-Western Pomerania","middle vocational","27","","",""
"Yes","2016","Mecklenburg-Western Pomerania","vocational + Abi","5","","",""
"Yes","2016","Mecklenburg-Western Pomerania","higher vocational","4","","",""
"Yes","2016","Mecklenburg-Western Pomerania","higher education","32","0.360897272769518","0.248391137462143","0.473403408076893"
"Yes","2016","Saxony","in school","","","",""
"Yes","2016","Saxony","inadequately","1","","",""
"Yes","2016","Saxony","general elemantary","3","","",""
"Yes","2016","Saxony","middle vocational","64","0.158016870774199","0.122709970891937","0.193323770656462"
"Yes","2016","Saxony","vocational + Abi","19","","",""
"Yes","2016","Saxony","higher vocational","13","","",""
"Yes","2016","Saxony","higher education","85","0.359802090731148","0.296950966716469","0.422653214745828"
"Yes","2016","Saxony-Anhalt","in school","","","",""
"Yes","2016","Saxony-Anhalt","inadequately","1","","",""
"Yes","2016","Saxony-Anhalt","general elemantary","4","","",""
"Yes","2016","Saxony-Anhalt","middle vocational","31","0.154901804600011","0.106873011886929","0.202930597313094"
"Yes","2016","Saxony-Anhalt","vocational + Abi","2","","",""
"Yes","2016","Saxony-Anhalt","higher vocational","8","","",""
"Yes","2016","Saxony-Anhalt","higher education","49","0.396939722959018","0.308662283045695","0.485217162872342"
"Yes","2016","Thuringia","in school","","","",""
"Yes","2016","Thuringia","inadequately","","","",""
"Yes","2016","Thuringia","general elemantary","2","","",""
"Yes","2016","Thuringia","middle vocational","47","0.192070460277136","0.145169635753442","0.238971284800829"
"Yes","2016","Thuringia","vocational + Abi","3","","",""
"Yes","2016","Thuringia","higher vocational","9","","",""
"Yes","2016","Thuringia","higher education","56","0.507174411302686","0.423150299876827","0.591198522728545"
"No","2016","Schleswig-Holstein","in school","1","","",""
"No","2016","Schleswig-Holstein","inadequately","13","","",""
"No","2016","Schleswig-Holstein","general elemantary","44","0.764538025421083","0.652406770553943","0.876669280288223"
"No","2016","Schleswig-Holstein","middle vocational","166","0.760492320071802","0.702906706099378","0.818077934044226"
"No","2016","Schleswig-Holstein","vocational + Abi","41","0.827364836905761","0.724643756498362","0.930085917313161"
"No","2016","Schleswig-Holstein","higher vocational","23","","",""
"No","2016","Schleswig-Holstein","higher education","52","0.576017970118857","0.479639695945248","0.672396244292466"
"No","2016","Hamburg","in school","2","","",""
"No","2016","Hamburg","inadequately","","","",""
"No","2016","Hamburg","general elemantary","16","","",""
"No","2016","Hamburg","middle vocational","74","0.905975702706523","0.842415700295633","0.969535705117413"
"No","2016","Hamburg","vocational + Abi","29","","",""
"No","2016","Hamburg","higher vocational","7","","",""
"No","2016","Hamburg","higher education","61","0.631718070254022","0.532067751693775","0.731368388814269"
"No","2016","Lower Saxony","in school","2","","",""
"No","2016","Lower Saxony","inadequately","38","0.987984243538775","0.954633407093976","1.02133507998357"
"No","2016","Lower Saxony","general elemantary","121","0.816293445244809","0.753263116724433","0.879323773765185"
"No","2016","Lower Saxony","middle vocational","500","0.779303542314507","0.74714853087942","0.811458553749593"
"No","2016","Lower Saxony","vocational + Abi","114","0.731606947657966","0.660693760208512","0.80252013510742"
"No","2016","Lower Saxony","higher vocational","49","0.769291280901263","0.671297993845153","0.867284567957372"
"No","2016","Lower Saxony","higher education","213","0.551168570824004","0.49758669089101","0.604750450756998"
"No","2016","Bremen","in school","","","",""
"No","2016","Bremen","inadequately","5","","",""
"No","2016","Bremen","general elemantary","7","","",""
"No","2016","Bremen","middle vocational","34","0.938885697738168","0.86465289023921","1.01311850523713"
"No","2016","Bremen","vocational + Abi","8","","",""
"No","2016","Bremen","higher vocational","2","","",""
"No","2016","Bremen","higher education","13","","",""
"No","2016","North Rhine-Westphalia","in school","15","","",""
"No","2016","North Rhine-Westphalia","inadequately","70","0.941026735308475","0.888409103845571","0.993644366771379"
"No","2016","North Rhine-Westphalia","general elemantary","272","0.87190896670871","0.83452599347413","0.90929193994329"
"No","2016","North Rhine-Westphalia","middle vocational","983","0.792774508478433","0.770077089505172","0.815471927451694"
"No","2016","North Rhine-Westphalia","vocational + Abi","315","0.781553684943561","0.74231675125461","0.820790618632511"
"No","2016","North Rhine-Westphalia","higher vocational","101","0.616421790952595","0.539372556036362","0.693471025868827"
"No","2016","North Rhine-Westphalia","higher education","400","0.51198487615659","0.474876076321449","0.549093675991732"
"No","2016","Hesse","in school","2","","",""
"No","2016","Hesse","inadequately","14","","",""
"No","2016","Hesse","general elemantary","70","0.855531355081008","0.780349469609659","0.930713240552357"
"No","2016","Hesse","middle vocational","317","0.809244015757841","0.770546834482361","0.84794119703332"
"No","2016","Hesse","vocational + Abi","79","0.756998659825025","0.674569037296093","0.839428282353957"
"No","2016","Hesse","higher vocational","30","0.643598638448426","0.506675641092006","0.780521635804846"
"No","2016","Hesse","higher education","206","0.632120413719493","0.579530848249989","0.684709979188997"
"No","2016","Rhineland-Palatinate,Saarland","in school","9","","",""
"No","2016","Rhineland-Palatinate,Saarland","inadequately","18","","",""
"No","2016","Rhineland-Palatinate,Saarland","general elemantary","105","0.873555564569871","0.812547001888144","0.934564127251598"
"No","2016","Rhineland-Palatinate,Saarland","middle vocational","308","0.824687938158627","0.786657336260218","0.862718540057037"
"No","2016","Rhineland-Palatinate,Saarland","vocational + Abi","78","0.8335108054233","0.758992817859304","0.908028792987297"
"No","2016","Rhineland-Palatinate,Saarland","higher vocational","42","0.642670805562494","0.524337675495557","0.761003935629432"
"No","2016","Rhineland-Palatinate,Saarland","higher education","105","0.54507304630183","0.472123975670401","0.618022116933259"
"No","2016","Baden-Württemberg","in school","6","","",""
"No","2016","Baden-Württemberg","inadequately","36","0.993947990657504","0.969288283343909","1.0186076979711"
"No","2016","Baden-Württemberg","general elemantary","156","0.877933607043758","0.830632852112827","0.925234361974688"
"No","2016","Baden-Württemberg","middle vocational","592","0.761969165853161","0.731490021747926","0.792448309958396"
"No","2016","Baden-Württemberg","vocational + Abi","165","0.865742846066306","0.818013747808813","0.913471944323798"
"No","2016","Baden-Württemberg","higher vocational","90","0.790090832550284","0.718121123048597","0.86206054205197"
"No","2016","Baden-Württemberg","higher education","347","0.625529111669995","0.584246808077342","0.666811415262649"
"No","2016","Bavaria","in school","6","","",""
"No","2016","Bavaria","inadequately","35","0.455189925094718","0.300864678007355","0.60951517218208"
"No","2016","Bavaria","general elemantary","183","0.871607389388548","0.826254452621822","0.916960326155273"
"No","2016","Bavaria","middle vocational","950","0.792277146211666","0.769198866323176","0.815355426100156"
"No","2016","Bavaria","vocational + Abi","163","0.739952247228209","0.680338719478111","0.799565774978307"
"No","2016","Bavaria","higher vocational","103","0.687083064704134","0.611611518769209","0.762554610639059"
"No","2016","Bavaria","higher education","414","0.754896478592207","0.720592215309597","0.789200741874816"
"No","2016","Berlin","in school","","","",""
"No","2016","Berlin","inadequately","7","","",""
"No","2016","Berlin","general elemantary","16","","",""
"No","2016","Berlin","middle vocational","129","0.791744731464046","0.729598219756661","0.853891243171432"
"No","2016","Berlin","vocational + Abi","32","0.806883403127676","0.682994907724493","0.930771898530858"
"No","2016","Berlin","higher vocational","16","","",""
"No","2016","Berlin","higher education","139","0.665183575181832","0.602537483740824","0.72782966662284"
"No","2016","Brandenburg","in school","1","","",""
"No","2016","Brandenburg","inadequately","8","","",""
"No","2016","Brandenburg","general elemantary","26","","",""
"No","2016","Brandenburg","middle vocational","192","0.836192088110497","0.788670538421245","0.88371363779975"
"No","2016","Brandenburg","vocational + Abi","38","0.755648874791377","0.636543796074933","0.874753953507821"
"No","2016","Brandenburg","higher vocational","18","","",""
"No","2016","Brandenburg","higher education","63","0.450774222243402","0.364576041715872","0.536972402770932"
"No","2016","Mecklenburg-Western Pomerania","in school","","","",""
"No","2016","Mecklenburg-Western Pomerania","inadequately","2","","",""
"No","2016","Mecklenburg-Western Pomerania","general elemantary","11","","",""
"No","2016","Mecklenburg-Western Pomerania","middle vocational","128","0.759293548150125","0.691991084470903","0.826596011829347"
"No","2016","Mecklenburg-Western Pomerania","vocational + Abi","10","","",""
"No","2016","Mecklenburg-Western Pomerania","higher vocational","11","","",""
"No","2016","Mecklenburg-Western Pomerania","higher education","38","0.639102727230482","0.526596591923107","0.751608862537857"
"No","2016","Saxony","in school","","","",""
"No","2016","Saxony","inadequately","5","","",""
"No","2016","Saxony","general elemantary","34","0.967335091981528","0.910058598758415","1.02461158520464"
"No","2016","Saxony","middle vocational","346","0.841983129225801","0.806676229343538","0.877290029108063"
"No","2016","Saxony","vocational + Abi","38","0.609961822652181","0.483337962457781","0.736585682846581"
"No","2016","Saxony","higher vocational","46","0.806449138569457","0.705638090315004","0.907260186823911"
"No","2016","Saxony","higher education","139","0.640197909268851","0.577346785254172","0.703049033283531"
"No","2016","Saxony-Anhalt","in school","1","","",""
"No","2016","Saxony-Anhalt","inadequately","6","","",""
"No","2016","Saxony-Anhalt","general elemantary","21","","",""
"No","2016","Saxony-Anhalt","middle vocational","187","0.845098195399989","0.797069402686906","0.893126988113071"
"No","2016","Saxony-Anhalt","vocational + Abi","26","","",""
"No","2016","Saxony-Anhalt","higher vocational","25","","",""
"No","2016","Saxony-Anhalt","higher education","69","0.603060277040982","0.514782837127658","0.691337716954305"
"No","2016","Thuringia","in school","3","","",""
"No","2016","Thuringia","inadequately","4","","",""
"No","2016","Thuringia","general elemantary","16","","",""
"No","2016","Thuringia","middle vocational","224","0.807929539722864","0.761028715199171","0.854830364246558"
"No","2016","Thuringia","vocational + Abi","29","","",""
"No","2016","Thuringia","higher vocational","26","","",""
"No","2016","Thuringia","higher education","80","0.492825588697314","0.408801477271455","0.576849700123173"
"Yes","2017","Schleswig-Holstein","in school","","","",""
"Yes","2017","Schleswig-Holstein","inadequately","","","",""
"Yes","2017","Schleswig-Holstein","general elemantary","9","","",""
"Yes","2017","Schleswig-Holstein","middle vocational","54","0.216691303084794","0.167087797635641","0.266294808533946"
"Yes","2017","Schleswig-Holstein","vocational + Abi","16","","",""
"Yes","2017","Schleswig-Holstein","higher vocational","8","","",""
"Yes","2017","Schleswig-Holstein","higher education","64","0.436387367618928","0.353643657113878","0.519131078123978"
"Yes","2017","Hamburg","in school","","","",""
"Yes","2017","Hamburg","inadequately","","","",""
"Yes","2017","Hamburg","general elemantary","4","","",""
"Yes","2017","Hamburg","middle vocational","13","","",""
"Yes","2017","Hamburg","vocational + Abi","4","","",""
"Yes","2017","Hamburg","higher vocational","3","","",""
"Yes","2017","Hamburg","higher education","35","0.409309007612161","0.319047727073134","0.499570288151189"
"Yes","2017","Lower Saxony","in school","1","","",""
"Yes","2017","Lower Saxony","inadequately","6","","",""
"Yes","2017","Lower Saxony","general elemantary","34","0.242201811586348","0.178362159076236","0.30604146409646"
"Yes","2017","Lower Saxony","middle vocational","171","0.216710454376684","0.187438153590533","0.245982755162836"
"Yes","2017","Lower Saxony","vocational + Abi","49","0.272915812505352","0.206917054010229","0.338914571000475"
"Yes","2017","Lower Saxony","higher vocational","30","0.327807356028131","0.232912998574047","0.422701713482216"
"Yes","2017","Lower Saxony","higher education","156","0.473292219325553","0.423157896568325","0.523426542082782"
"Yes","2017","Bremen","in school","","","",""
"Yes","2017","Bremen","inadequately","1","","",""
"Yes","2017","Bremen","general elemantary","3","","",""
"Yes","2017","Bremen","middle vocational","10","","",""
"Yes","2017","Bremen","vocational + Abi","2","","",""
"Yes","2017","Bremen","higher vocational","","","",""
"Yes","2017","Bremen","higher education","18","","",""
"Yes","2017","North Rhine-Westphalia","in school","2","","",""
"Yes","2017","North Rhine-Westphalia","inadequately","9","","",""
"Yes","2017","North Rhine-Westphalia","general elemantary","39","0.152924527594565","0.114497856095565","0.191351199093565"
"Yes","2017","North Rhine-Westphalia","middle vocational","303","0.205586644362843","0.184264579251346","0.22690870947434"
"Yes","2017","North Rhine-Westphalia","vocational + Abi","120","0.255361404216227","0.216228750331491","0.294494058100964"
"Yes","2017","North Rhine-Westphalia","higher vocational","64","0.40403760161216","0.3284743034509","0.479600899773421"
"Yes","2017","North Rhine-Westphalia","higher education","332","0.449855112892934","0.415403726460959","0.484306499324909"
"Yes","2017","Hesse","in school","2","","",""
"Yes","2017","Hesse","inadequately","4","","",""
"Yes","2017","Hesse","general elemantary","18","","",""
"Yes","2017","Hesse","middle vocational","84","0.173184102443139","0.138864039828948","0.207504165057331"
"Yes","2017","Hesse","vocational + Abi","27","","",""
"Yes","2017","Hesse","higher vocational","20","","",""
"Yes","2017","Hesse","higher education","145","0.405345105258359","0.354769769889445","0.455920440627272"
"Yes","2017","Rhineland-Palatinate,Saarland","in school","","","",""
"Yes","2017","Rhineland-Palatinate,Saarland","inadequately","2","","",""
"Yes","2017","Rhineland-Palatinate,Saarland","general elemantary","9","","",""
"Yes","2017","Rhineland-Palatinate,Saarland","middle vocational","85","0.172785473938433","0.138009215475929","0.207561732400938"
"Yes","2017","Rhineland-Palatinate,Saarland","vocational + Abi","19","","",""
"Yes","2017","Rhineland-Palatinate,Saarland","higher vocational","18","","",""
"Yes","2017","Rhineland-Palatinate,Saarland","higher education","69","0.424366634792383","0.352561418976379","0.496171850608387"
"Yes","2017","Baden-Württemberg","in school","","","",""
"Yes","2017","Baden-Württemberg","inadequately","4","","",""
"Yes","2017","Baden-Württemberg","general elemantary","28","","",""
"Yes","2017","Baden-Württemberg","middle vocational","177","0.216298575751292","0.188014757589586","0.244582393912998"
"Yes","2017","Baden-Württemberg","vocational + Abi","35","0.15530665716674","0.104600041282893","0.206013273050587"
"Yes","2017","Baden-Württemberg","higher vocational","32","0.256405557861602","0.178923711616616","0.333887404106587"
"Yes","2017","Baden-Württemberg","higher education","214","0.381490424357944","0.343709179546469","0.419271669169418"
"Yes","2017","Bavaria","in school","","","",""
"Yes","2017","Bavaria","inadequately","4","","",""
"Yes","2017","Bavaria","general elemantary","39","0.135240039389724","0.0941432680948091","0.176336810684639"
"Yes","2017","Bavaria","middle vocational","254","0.181991801197844","0.160804867039543","0.203178735356146"
"Yes","2017","Bavaria","vocational + Abi","47","0.224101718001315","0.170094060860802","0.278109375141829"
"Yes","2017","Bavaria","higher vocational","48","0.309571748610791","0.240680354004149","0.378463143217432"
"Yes","2017","Bavaria","higher education","210","0.258392153947773","0.226101818288153","0.290682489607394"
"Yes","2017","Berlin","in school","","","",""
"Yes","2017","Berlin","inadequately","1","","",""
"Yes","2017","Berlin","general elemantary","6","","",""
"Yes","2017","Berlin","middle vocational","44","0.240802568742358","0.179845354472122","0.301759783012594"
"Yes","2017","Berlin","vocational + Abi","14","","",""
"Yes","2017","Berlin","higher vocational","8","","",""
"Yes","2017","Berlin","higher education","83","0.352228670883426","0.291670555170502","0.412786786596349"
"Yes","2017","Brandenburg","in school","","","",""
"Yes","2017","Brandenburg","inadequately","","","",""
"Yes","2017","Brandenburg","general elemantary","","","",""
"Yes","2017","Brandenburg","middle vocational","41","0.128565540784448","0.0892191094877401","0.167911972081156"
"Yes","2017","Brandenburg","vocational + Abi","12","","",""
"Yes","2017","Brandenburg","higher vocational","11","","",""
"Yes","2017","Brandenburg","higher education","60","0.471586577156731","0.387996361516383","0.555176792797078"
"Yes","2017","Mecklenburg-Western Pomerania","in school","","","",""
"Yes","2017","Mecklenburg-Western Pomerania","inadequately","1","","",""
"Yes","2017","Mecklenburg-Western Pomerania","general elemantary","2","","",""
"Yes","2017","Mecklenburg-Western Pomerania","middle vocational","33","0.245940474057708","0.181582600552363","0.310298347563053"
"Yes","2017","Mecklenburg-Western Pomerania","vocational + Abi","6","","",""
"Yes","2017","Mecklenburg-Western Pomerania","higher vocational","5","","",""
"Yes","2017","Mecklenburg-Western Pomerania","higher education","32","0.341116935238925","0.228436258206187","0.453797612271663"
"Yes","2017","Saxony","in school","","","",""
"Yes","2017","Saxony","inadequately","","","",""
"Yes","2017","Saxony","general elemantary","6","","",""
"Yes","2017","Saxony","middle vocational","83","0.139421754601718","0.108907276590273","0.169936232613163"
"Yes","2017","Saxony","vocational + Abi","13","","",""
"Yes","2017","Saxony","higher vocational","17","","",""
"Yes","2017","Saxony","higher education","99","0.381834726916727","0.320874974888068","0.442794478945386"
"Yes","2017","Saxony-Anhalt","in school","","","",""
"Yes","2017","Saxony-Anhalt","inadequately","1","","",""
"Yes","2017","Saxony-Anhalt","general elemantary","5","","",""
"Yes","2017","Saxony-Anhalt","middle vocational","43","0.185230512396131","0.137826851749645","0.232634173042617"
"Yes","2017","Saxony-Anhalt","vocational + Abi","5","","",""
"Yes","2017","Saxony-Anhalt","higher vocational","15","","",""
"Yes","2017","Saxony-Anhalt","higher education","54","0.424262870067666","0.338643360030712","0.50988238010462"
"Yes","2017","Thuringia","in school","","","",""
"Yes","2017","Thuringia","inadequately","","","",""
"Yes","2017","Thuringia","general elemantary","2","","",""
"Yes","2017","Thuringia","middle vocational","51","0.215030459433377","0.169222046537706","0.260838872329048"
"Yes","2017","Thuringia","vocational + Abi","5","","",""
"Yes","2017","Thuringia","higher vocational","7","","",""
"Yes","2017","Thuringia","higher education","58","0.485179815283803","0.406245312790257","0.56411431777735"
"No","2017","Schleswig-Holstein","in school","","","",""
"No","2017","Schleswig-Holstein","inadequately","17","","",""
"No","2017","Schleswig-Holstein","general elemantary","57","0.793419933750128","0.695747528389768","0.891092339110488"
"No","2017","Schleswig-Holstein","middle vocational","211","0.783308696915206","0.733705191466054","0.832912202364359"
"No","2017","Schleswig-Holstein","vocational + Abi","44","0.784545386907818","0.680515194680098","0.888575579135537"
"No","2017","Schleswig-Holstein","higher vocational","32","0.874178496302882","0.771401578234891","0.976955414370874"
"No","2017","Schleswig-Holstein","higher education","74","0.563612632381072","0.480868921876022","0.646356342886122"
"No","2017","Hamburg","in school","2","","",""
"No","2017","Hamburg","inadequately","6","","",""
"No","2017","Hamburg","general elemantary","17","","",""
"No","2017","Hamburg","middle vocational","76","0.846567717054447","0.77169177271714","0.921443661391754"
"No","2017","Hamburg","vocational + Abi","31","0.897194790152028","0.796579264065638","0.997810316238417"
"No","2017","Hamburg","higher vocational","6","","",""
"No","2017","Hamburg","higher education","79","0.590690992387839","0.500429711848811","0.680952272926866"
"No","2017","Lower Saxony","in school","8","","",""
"No","2017","Lower Saxony","inadequately","50","0.940880417120125","0.879109084185364","1.00265175005489"
"No","2017","Lower Saxony","general elemantary","139","0.757798188413652","0.69395853590354","0.821637840923764"
"No","2017","Lower Saxony","middle vocational","590","0.783289545623316","0.754017244837164","0.812561846409467"
"No","2017","Lower Saxony","vocational + Abi","126","0.727084187494648","0.661085428999525","0.793082945989771"
"No","2017","Lower Saxony","higher vocational","64","0.672192643971869","0.577298286517784","0.767087001425953"
"No","2017","Lower Saxony","higher education","225","0.526707780674447","0.476573457917218","0.576842103431675"
"No","2017","Bremen","in school","3","","",""
"No","2017","Bremen","inadequately","5","","",""
"No","2017","Bremen","general elemantary","6","","",""
"No","2017","Bremen","middle vocational","43","0.736058720334236","0.617394429987403","0.85472301068107"
"No","2017","Bremen","vocational + Abi","11","","",""
"No","2017","Bremen","higher vocational","4","","",""
"No","2017","Bremen","higher education","19","","",""
"No","2017","North Rhine-Westphalia","in school","18","","",""
"No","2017","North Rhine-Westphalia","inadequately","102","0.96832410840214","0.935743334355536","1.00090488244875"
"No","2017","North Rhine-Westphalia","general elemantary","298","0.847075472405435","0.808648800906435","0.885502143904435"
"No","2017","North Rhine-Westphalia","middle vocational","1077","0.794413355637157","0.77309129052566","0.815735420748654"
"No","2017","North Rhine-Westphalia","vocational + Abi","357","0.744638595783772","0.705505941899036","0.783771249668509"
"No","2017","North Rhine-Westphalia","higher vocational","98","0.59596239838784","0.520399100226579","0.6715256965491"
"No","2017","North Rhine-Westphalia","higher education","469","0.550144887107066","0.515693500675091","0.584596273539041"
"No","2017","Hesse","in school","7","","",""
"No","2017","Hesse","inadequately","28","","",""
"No","2017","Hesse","general elemantary","92","0.801571849704457","0.727042965576624","0.876100733832291"
"No","2017","Hesse","middle vocational","383","0.826815897556861","0.792495834942669","0.861135960171052"
"No","2017","Hesse","vocational + Abi","89","0.786483275412247","0.711910588455205","0.861055962369289"
"No","2017","Hesse","higher vocational","36","0.71843164114007","0.600633421179052","0.836229861101088"
"No","2017","Hesse","higher education","217","0.594654894741641","0.544079559372728","0.645230230110555"
"No","2017","Rhineland-Palatinate,Saarland","in school","6","","",""
"No","2017","Rhineland-Palatinate,Saarland","inadequately","19","","",""
"No","2017","Rhineland-Palatinate,Saarland","general elemantary","110","0.88612057514285","0.829045873062885","0.943195277222816"
"No","2017","Rhineland-Palatinate,Saarland","middle vocational","369","0.827214526061567","0.792438267599062","0.861990784524071"
"No","2017","Rhineland-Palatinate,Saarland","vocational + Abi","86","0.832600266251256","0.761191900218798","0.904008632283713"
"No","2017","Rhineland-Palatinate,Saarland","higher vocational","35","0.626920016748674","0.496718153635569","0.757121879861779"
"No","2017","Rhineland-Palatinate,Saarland","higher education","113","0.575633365207617","0.503828149391613","0.647438581023621"
"No","2017","Baden-Württemberg","in school","5","","",""
"No","2017","Baden-Württemberg","inadequately","39","0.97892479266025","0.93599345158029","1.02185613374021"
"No","2017","Baden-Württemberg","general elemantary","177","0.84576347607202","0.796322249314923","0.895204702829118"
"No","2017","Baden-Württemberg","middle vocational","637","0.783701424248708","0.755417606087002","0.811985242410414"
"No","2017","Baden-Württemberg","vocational + Abi","161","0.84469334283326","0.793986726949413","0.895399958717107"
"No","2017","Baden-Württemberg","higher vocational","90","0.743594442138398","0.666112595893413","0.821076288383384"
"No","2017","Baden-Württemberg","higher education","421","0.618509575642056","0.580728330830582","0.656290820453531"
"No","2017","Bavaria","in school","7","","",""
"No","2017","Bavaria","inadequately","60","0.78542947774017","0.684852928387445","0.886006027092895"
"No","2017","Bavaria","general elemantary","227","0.864759960610276","0.823663189315361","0.905856731905191"
"No","2017","Bavaria","middle vocational","1020","0.818008198802156","0.796821264643854","0.839195132960457"
"No","2017","Bavaria","vocational + Abi","182","0.775898281998685","0.721890624858171","0.829905939139198"
"No","2017","Bavaria","higher vocational","125","0.690428251389209","0.621536856782568","0.759319645995851"
"No","2017","Bavaria","higher education","496","0.741607846052227","0.709317510392606","0.773898181711847"
"No","2017","Berlin","in school","3","","",""
"No","2017","Berlin","inadequately","6","","",""
"No","2017","Berlin","general elemantary","26","","",""
"No","2017","Berlin","middle vocational","145","0.759197431257642","0.698240216987406","0.820154645527878"
"No","2017","Berlin","vocational + Abi","41","0.699124150877746","0.577914398730912","0.82033390302458"
"No","2017","Berlin","higher vocational","22","","",""
"No","2017","Berlin","higher education","156","0.647771329116574","0.587213213403651","0.708329444829497"
"No","2017","Brandenburg","in school","1","","",""
"No","2017","Brandenburg","inadequately","8","","",""
"No","2017","Brandenburg","general elemantary","31","1","1","1"
"No","2017","Brandenburg","middle vocational","237","0.871434459215552","0.832088027918843","0.91078089051226"
"No","2017","Brandenburg","vocational + Abi","41","0.854628121373477","0.759734079061796","0.949522163685158"
"No","2017","Brandenburg","higher vocational","23","","",""
"No","2017","Brandenburg","higher education","77","0.528413422843269","0.444823207202922","0.612003638483617"
"No","2017","Mecklenburg-Western Pomerania","in school","3","","",""
"No","2017","Mecklenburg-Western Pomerania","inadequately","6","","",""
"No","2017","Mecklenburg-Western Pomerania","general elemantary","15","","",""
"No","2017","Mecklenburg-Western Pomerania","middle vocational","139","0.754059525942292","0.689701652436947","0.818417399447637"
"No","2017","Mecklenburg-Western Pomerania","vocational + Abi","13","","",""
"No","2017","Mecklenburg-Western Pomerania","higher vocational","10","","",""
"No","2017","Mecklenburg-Western Pomerania","higher education","36","0.658883064761075","0.546202387728337","0.771563741793813"
"No","2017","Saxony","in school","","","",""
"No","2017","Saxony","inadequately","6","","",""
"No","2017","Saxony","general elemantary","50","0.904727372576705","0.827832565131241","0.981622180022169"
"No","2017","Saxony","middle vocational","412","0.860578245398282","0.830063767386837","0.891092723409727"
"No","2017","Saxony","vocational + Abi","48","0.706681612834624","0.592429375476185","0.820933850193064"
"No","2017","Saxony","higher vocational","52","0.710711352601106","0.603723155907408","0.817699549294805"
"No","2017","Saxony","higher education","145","0.618165273083273","0.557205521054614","0.679125025111932"
"No","2017","Saxony-Anhalt","in school","2","","",""
"No","2017","Saxony-Anhalt","inadequately","6","","",""
"No","2017","Saxony-Anhalt","general elemantary","26","","",""
"No","2017","Saxony-Anhalt","middle vocational","215","0.814769487603869","0.767365826957383","0.862173148250355"
"No","2017","Saxony-Anhalt","vocational + Abi","30","0.929462181618432","0.844633846687037","1.01429051654983"
"No","2017","Saxony-Anhalt","higher vocational","26","","",""
"No","2017","Saxony-Anhalt","higher education","74","0.575737129932334","0.49011761989538","0.661356639969288"
"No","2017","Thuringia","in school","1","","",""
"No","2017","Thuringia","inadequately","6","","",""
"No","2017","Thuringia","general elemantary","26","","",""
"No","2017","Thuringia","middle vocational","258","0.784969540566623","0.739161127670952","0.830777953462294"
"No","2017","Thuringia","vocational + Abi","32","0.799943742423461","0.671043711407242","0.92884377343968"
"No","2017","Thuringia","higher vocational","28","","",""
"No","2017","Thuringia","higher education","96","0.514820184716196","0.43588568222265","0.593754687209743"
"Yes","2018","Schleswig-Holstein","in school","","","",""
"Yes","2018","Schleswig-Holstein","inadequately","1","","",""
"Yes","2018","Schleswig-Holstein","general elemantary","7","","",""
"Yes","2018","Schleswig-Holstein","middle vocational","51","0.190927103237024","0.143153385944932","0.238700820529117"
"Yes","2018","Schleswig-Holstein","vocational + Abi","18","","",""
"Yes","2018","Schleswig-Holstein","higher vocational","11","","",""
"Yes","2018","Schleswig-Holstein","higher education","69","0.465390948307726","0.382169423699721","0.548612472915732"
"Yes","2018","Hamburg","in school","","","",""
"Yes","2018","Hamburg","inadequately","","","",""
"Yes","2018","Hamburg","general elemantary","","","",""
"Yes","2018","Hamburg","middle vocational","11","","",""
"Yes","2018","Hamburg","vocational + Abi","5","","",""
"Yes","2018","Hamburg","higher vocational","3","","",""
"Yes","2018","Hamburg","higher education","35","0.453002880972588","0.355922738367142","0.550083023578034"
"Yes","2018","Lower Saxony","in school","","","",""
"Yes","2018","Lower Saxony","inadequately","7","","",""
"Yes","2018","Lower Saxony","general elemantary","28","","",""
"Yes","2018","Lower Saxony","middle vocational","152","0.228812501313024","0.197760450133768","0.259864552492279"
"Yes","2018","Lower Saxony","vocational + Abi","43","0.254846201483299","0.187533472934787","0.322158930031811"
"Yes","2018","Lower Saxony","higher vocational","19","","",""
"Yes","2018","Lower Saxony","higher education","161","0.479777033104173","0.429413443177239","0.530140623031106"
"Yes","2018","Bremen","in school","","","",""
"Yes","2018","Bremen","inadequately","2","","",""
"Yes","2018","Bremen","general elemantary","3","","",""
"Yes","2018","Bremen","middle vocational","10","","",""
"Yes","2018","Bremen","vocational + Abi","1","","",""
"Yes","2018","Bremen","higher vocational","1","","",""
"Yes","2018","Bremen","higher education","16","","",""
"Yes","2018","North Rhine-Westphalia","in school","","","",""
"Yes","2018","North Rhine-Westphalia","inadequately","7","","",""
"Yes","2018","North Rhine-Westphalia","general elemantary","43","0.130280651120778","0.0948124168902575","0.165748885351299"
"Yes","2018","North Rhine-Westphalia","middle vocational","267","0.203604846603682","0.181553663970308","0.225656029237057"
