"year","pgisced97","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2017","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"2017","vocational + Abi","West Germany","","","","","","","","","","","","","",""
"2018","general elemantary","East Germany","","","","","","","","","","","","","",""
"2018","general elemantary","West Germany","31.83","26","176","10","15","40","60","120","27.88","35.78","2","165","22","29"
"2018","higher education","East Germany","21.81","17.95","254","4","10","28","40","100","19.1","24.52","1","218","16","20"
"2018","higher education","West Germany","41.78","30","941","10","17","50","82","230","39.14","44.42","1","359","30","32"
"2018","higher vocational","East Germany","22.99","20","69","4","10","32","49","60","19.19","26.79","1","85","12","22"
"2018","higher vocational","West Germany","37.43","25","256","12","16","46","80","237","33.41","41.45","1","271","24","30"
"2018","in school","East Germany","","","","","","","","","","","","","",""
"2018","in school","West Germany","","","","","","","","","","","","","",""
"2018","inadequately","East Germany","","","","","","","","","","","","","",""
"2018","inadequately","West Germany","","","","","","","","","","","","","",""
"2018","middle vocational","East Germany","18","15","366","5","9","25","35","60","16.21","19.79","1","175","13","18"
"2018","middle vocational","West Germany","35.98","25","1601","10","15","45","75","200","34.33","37.63","1","400","25","27"
"2018","vocational + Abi","East Germany","18.09","15","70","8","10","25","29","60","15.24","20.94","1","60","12","20"
"2018","vocational + Abi","West Germany","34.56","26","405","10","15","45","69","185","31.75","37.37","1","270","23","30"
