"plh0177","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"4 on Scale 1 to 10","1985","Employed","inadequately","34","0.0864151750833373","0.0618849084708302","0.110945441695844","4"
"4 on Scale 1 to 10","1985","Employed","general elemantary","51","0.0207910021229705","0.0136014135876377","0.0279805906583034","4"
"4 on Scale 1 to 10","1985","Employed","middle vocational","103","0.0273256423648066","0.0218839575216108","0.0327673272080024","4"
"4 on Scale 1 to 10","1985","Employed","vocational + Abi","4","","","","4"
"4 on Scale 1 to 10","1985","Employed","higher vocational","13","","","","4"
"4 on Scale 1 to 10","1985","Employed","higher education","20","","","","4"
"4 on Scale 1 to 10","1985","Employed","in school","","","","","4"
"4 on Scale 1 to 10","1985","Not Employed","in school","4","","","","4"
"5 on Scale 1 to 10","1985","Not Employed","in school","8","","","","5"
"5 on Scale 1 to 10","1985","Not Employed","higher education","8","","","","5"
"5 on Scale 1 to 10","1985","Employed","in school","1","","","","5"
"5 on Scale 1 to 10","1985","Not Employed","inadequately","52","0.1559485323194","0.117270457293683","0.194626607345117","5"
"5 on Scale 1 to 10","1985","Not Employed","general elemantary","134","0.0784528204026531","0.0649355386955942","0.091970102109712","5"
"5 on Scale 1 to 10","1985","Not Employed","middle vocational","154","0.0873626196251304","0.0739871770425991","0.100738062207662","5"
"5 on Scale 1 to 10","1985","Not Employed","vocational + Abi","5","","","","5"
"5 on Scale 1 to 10","1985","Not Employed","higher vocational","11","","","","5"
"5 on Scale 1 to 10","1985","Employed","inadequately","55","0.110653383331302","0.0832659899340807","0.138040776728523","5"
"5 on Scale 1 to 10","1985","Employed","general elemantary","159","0.0903586977634784","0.0759126617140345","0.104804733812922","5"
"5 on Scale 1 to 10","1985","Employed","middle vocational","319","0.0880433716722552","0.0785853590897451","0.0975013842547652","5"
"5 on Scale 1 to 10","1985","Employed","vocational + Abi","14","","","","5"
"5 on Scale 1 to 10","1985","Employed","higher vocational","34","0.0723091183337599","0.0483526332914889","0.0962656033760309","5"
"5 on Scale 1 to 10","1985","Employed","higher education","56","0.0904772683158086","0.0676188107138187","0.113335725917798","5"
"6 on Scale 1 to 10","1985","Not Employed","inadequately","34","0.0752411775655233","0.0471201119038509","0.103362243227196","6"
"6 on Scale 1 to 10","1985","Employed","general elemantary","122","0.0659435007024485","0.0534379966981099","0.0784490047067872","6"
"6 on Scale 1 to 10","1985","Not Employed","general elemantary","98","0.0640823958697273","0.0517707964810289","0.0763939952584256","6"
"6 on Scale 1 to 10","1985","Not Employed","middle vocational","86","0.048752386732927","0.0385514291456964","0.0589533443201576","6"
"6 on Scale 1 to 10","1985","Employed","inadequately","43","0.0722564393055923","0.0496524509289137","0.0948604276822709","6"
"6 on Scale 1 to 10","1985","Employed","in school","2","","","","6"
"6 on Scale 1 to 10","1985","Not Employed","in school","9","","","","6"
"6 on Scale 1 to 10","1985","Not Employed","vocational + Abi","3","","","","6"
"6 on Scale 1 to 10","1985","Employed","higher education","33","0.0591247249596122","0.0403306481074121","0.0779188018118124","6"
"6 on Scale 1 to 10","1985","Not Employed","higher vocational","13","","","","6"
"6 on Scale 1 to 10","1985","Not Employed","higher education","4","","","","6"
"6 on Scale 1 to 10","1985","Employed","middle vocational","204","0.0551326718726831","0.0475144362889418","0.0627509074564245","6"
"6 on Scale 1 to 10","1985","Employed","vocational + Abi","20","","","","6"
"6 on Scale 1 to 10","1985","Employed","higher vocational","17","","","","6"
"7 on Scale 1 to 10","1985","Not Employed","general elemantary","176","0.115360498583589","0.0993007765854337","0.131420220581745","7"
"7 on Scale 1 to 10","1985","Not Employed","inadequately","34","0.0891518580250611","0.0587725464112652","0.119531169638857","7"
"7 on Scale 1 to 10","1985","Not Employed","in school","12","","","","7"
"7 on Scale 1 to 10","1985","Not Employed","middle vocational","182","0.104797523172693","0.0902886943238461","0.11930635202154","7"
"7 on Scale 1 to 10","1985","Not Employed","vocational + Abi","10","","","","7"
"7 on Scale 1 to 10","1985","Not Employed","higher vocational","16","","","","7"
"7 on Scale 1 to 10","1985","Not Employed","higher education","20","","","","7"
"7 on Scale 1 to 10","1985","Employed","in school","1","","","","7"
"7 on Scale 1 to 10","1985","Employed","inadequately","53","0.107131684818633","0.0801303337154976","0.134133035921769","7"
"7 on Scale 1 to 10","1985","Employed","general elemantary","157","0.113114302174784","0.097154731180141","0.129073873169426","7"
"7 on Scale 1 to 10","1985","Employed","middle vocational","415","0.122388192620565","0.111448995407398","0.133327389833731","7"
"7 on Scale 1 to 10","1985","Employed","higher vocational","55","0.127104008271448","0.0962944271828364","0.157913589360059","7"
"7 on Scale 1 to 10","1985","Employed","higher education","66","0.109902539174494","0.0849799563488509","0.134825122000137","7"
"7 on Scale 1 to 10","1985","Employed","vocational + Abi","21","","","","7"
"8 on Scale 1 to 10","1985","Not Employed","middle vocational","367","0.222223978904273","0.202530658565214","0.241917299243333","8"
"8 on Scale 1 to 10","1985","Not Employed","vocational + Abi","12","","","","8"
"8 on Scale 1 to 10","1985","Employed","vocational + Abi","35","0.175327467525184","0.122363410971197","0.228291524079171","8"
"8 on Scale 1 to 10","1985","Not Employed","higher vocational","33","0.183420237681084","0.125072009744532","0.241768465617636","8"
"8 on Scale 1 to 10","1985","Not Employed","in school","34","0.185837247718757","0.127706505939357","0.243967989498156","8"
"8 on Scale 1 to 10","1985","Not Employed","inadequately","49","0.15694870853734","0.118169797165103","0.195727619909577","8"
"8 on Scale 1 to 10","1985","Not Employed","general elemantary","297","0.210049738725586","0.189571752647078","0.230527724804094","8"
"8 on Scale 1 to 10","1985","Employed","inadequately","93","0.150924471705429","0.119671895921591","0.182177047489267","8"
"8 on Scale 1 to 10","1985","Employed","general elemantary","287","0.206684872909924","0.186281318011468","0.227088427808379","8"
"8 on Scale 1 to 10","1985","Employed","middle vocational","752","0.217720428334041","0.203945319236153","0.231495537431928","8"
"8 on Scale 1 to 10","1985","Not Employed","higher education","25","","","","8"
"8 on Scale 1 to 10","1985","Employed","in school","1","","","","8"
"8 on Scale 1 to 10","1985","Employed","higher vocational","103","0.230765653604732","0.191794807107232","0.269736500102231","8"
"8 on Scale 1 to 10","1985","Employed","higher education","149","0.248288106585597","0.213863096766001","0.282713116405192","8"
"9 on Scale 1 to 10","1985","Not Employed","in school","33","0.205353002253138","0.144982954507309","0.265723049998968","9"
"9 on Scale 1 to 10","1985","Employed","higher vocational","76","0.168016824857884","0.133434150195309","0.202599499520459","9"
"9 on Scale 1 to 10","1985","Not Employed","higher vocational","23","","","","9"
"9 on Scale 1 to 10","1985","Not Employed","higher education","26","","","","9"
"9 on Scale 1 to 10","1985","Employed","in school","","","","","9"
"9 on Scale 1 to 10","1985","Not Employed","inadequately","36","0.0989240339888862","0.0670951542769975","0.130752913700775","9"
"9 on Scale 1 to 10","1985","Not Employed","vocational + Abi","14","","","","9"
"9 on Scale 1 to 10","1985","Not Employed","general elemantary","207","0.143660145390745","0.126027497858197","0.161292792923293","9"
"9 on Scale 1 to 10","1985","Not Employed","middle vocational","253","0.149100630940703","0.132228301280507","0.1659729606009","9"
"9 on Scale 1 to 10","1985","Employed","inadequately","61","0.122703048263201","0.0940590387751832","0.151347057751218","9"
