"party","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"FDP","1987","(Married) couple without C. ","West Germany","73","0.0494820198023365","0.0384255941065856","0.0605384454980875","3"
"FDP","1987","(Married) couple without C. ","East Germany","","","","","3"
"FDP","1987","Couple + C. LE 16 ","East Germany","","","","","3"
"FDP","1987","Couple + C. LE and GT 16","West Germany","20","","","","3"
"FDP","1987","Couple + C. LE and GT 16","East Germany","","","","","3"
"FDP","1987","Single parent ","West Germany","7","","","","3"
"FDP","1987","Single parent ","East Germany","","","","","3"
"FDP","1987","Couple + C. LE 16 ","West Germany","62","0.0566045955729896","0.0440573439558742","0.0691518471901049","3"
"NPD Combination","1987","1-pers.-HH","East Germany","","","","","6"
"NPD Combination","1987","1-pers.-HH","West Germany","","","","","6"
"NPD Combination","1987","(Married) couple without C. ","East Germany","","","","","6"
"NPD Combination","1987","Single parent ","West Germany","","","","","6"
"NPD Combination","1987","Single parent ","East Germany","","","","","6"
"NPD Combination","1987","Couple + C. LE 16 ","West Germany","","","","","6"
"NPD Combination","1987","Couple + C. LE 16 ","East Germany","","","","","6"
"NPD Combination","1987","Couple + C. GT 16 ","West Germany","","","","","6"
"NPD Combination","1987","Couple + C. LE and GT 16","East Germany","","","","","6"
"NPD Combination","1987","Couple + C. GT 16 ","East Germany","","","","","6"
"NPD Combination","1987","Couple + C. LE and GT 16","West Germany","","","","","6"
"NPD Combination","1987","(Married) couple without C. ","West Germany","","","","","6"
"Other","1987","(Married) couple without C. ","East Germany","","","","","8"
"Other","1987","Single parent ","West Germany","4","","","","8"
"Other","1987","Single parent ","East Germany","","","","","8"
"Other","1987","Couple + C. LE 16 ","West Germany","9","","","","8"
"Other","1987","Couple + C. GT 16 ","East Germany","","","","","8"
"Other","1987","Couple + C. LE 16 ","East Germany","","","","","8"
"Other","1987","Couple + C. GT 16 ","West Germany","4","","","","8"
"Other","1987","Couple + C. LE and GT 16","West Germany","1","","","","8"
"Other","1987","Couple + C. LE and GT 16","East Germany","","","","","8"
"Other","1987","1-pers.-HH","West Germany","8","","","","8"
"Other","1987","1-pers.-HH","East Germany","","","","","8"
"Other","1987","(Married) couple without C. ","West Germany","8","","","","8"
"PDS/Linke","1987","(Married) couple without C. ","East Germany","","","","","5"
"PDS/Linke","1987","Single parent ","West Germany","","","","","5"
"PDS/Linke","1987","Single parent ","East Germany","","","","","5"
"PDS/Linke","1987","Couple + C. LE 16 ","West Germany","","","","","5"
"PDS/Linke","1987","Couple + C. LE 16 ","East Germany","","","","","5"
"PDS/Linke","1987","Couple + C. GT 16 ","West Germany","","","","","5"
"PDS/Linke","1987","Couple + C. GT 16 ","East Germany","","","","","5"
"PDS/Linke","1987","Couple + C. LE and GT 16","West Germany","","","","","5"
"PDS/Linke","1987","1-pers.-HH","West Germany","","","","","5"
"PDS/Linke","1987","1-pers.-HH","East Germany","","","","","5"
"PDS/Linke","1987","(Married) couple without C. ","West Germany","","","","","5"
"PDS/Linke","1987","Couple + C. LE and GT 16","East Germany","","","","","5"
"SPD","1987","Single parent ","East Germany","","","","","2"
"SPD","1987","Couple + C. GT 16 ","West Germany","517","0.402028440372183","0.37426403766594","0.429792843078426","2"
"SPD","1987","(Married) couple without C. ","East Germany","","","","","2"
"SPD","1987","Single parent ","West Germany","123","0.45696275312132","0.397654018787539","0.516271487455101","2"
"SPD","1987","Couple + C. LE 16 ","West Germany","667","0.453175876381912","0.426146681622267","0.480205071141556","2"
"SPD","1987","Couple + C. LE 16 ","East Germany","","","","","2"
"SPD","1987","Couple + C. GT 16 ","East Germany","","","","","2"
"SPD","1987","1-pers.-HH","East Germany","","","","","2"
"SPD","1987","(Married) couple without C. ","West Germany","646","0.433176418553744","0.407914447565637","0.45843838954185","2"
"SPD","1987","Couple + C. LE and GT 16","West Germany","257","0.357895795396348","0.318882274237671","0.396909316555024","2"
"SPD","1987","1-pers.-HH","West Germany","273","0.403707062257107","0.366360181664929","0.441053942849284","2"
"SPD","1987","Couple + C. LE and GT 16","East Germany","","","","","2"
"AfD","1988","1-pers.-HH","West Germany","","","","","7"
"AfD","1988","1-pers.-HH","East Germany","","","","","7"
