"party","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"PDS/Linke","1990","Employed","indirect migration background","","","",""
"NPD Combination","1990","Not Employed","no migration background","15","","",""
"NPD Combination","1990","Not Employed","direct migration background","2","","",""
"NPD Combination","1990","Not Employed","indirect migration background","2","","",""
"NPD Combination","1990","Employed","no migration background","51","0.017326823021283","0.0122701852828249","0.0223834607597411"
"NPD Combination","1990","Employed","direct migration background","3","","",""
"NPD Combination","1990","Employed","indirect migration background","","","",""
"AfD","1990","Not Employed","no migration background","","","",""
"AfD","1990","Not Employed","direct migration background","","","",""
"AfD","1990","Not Employed","indirect migration background","","","",""
"AfD","1990","Employed","no migration background","","","",""
"AfD","1990","Employed","direct migration background","","","",""
"AfD","1990","Employed","indirect migration background","","","",""
"Other","1990","Not Employed","no migration background","10","","",""
"Other","1990","Not Employed","direct migration background","1","","",""
"Other","1990","Not Employed","indirect migration background","","","",""
"Other","1990","Employed","no migration background","14","","",""
"Other","1990","Employed","direct migration background","3","","",""
"Other","1990","Employed","indirect migration background","1","","",""
"CDU/CSU","1991","Not Employed","no migration background","671","0.472543725911258","0.446622538573599","0.498464913248918"
"CDU/CSU","1991","Not Employed","direct migration background","53","0.495903566142982","0.398394986041441","0.593412146244522"
"CDU/CSU","1991","Not Employed","indirect migration background","6","","",""
"CDU/CSU","1991","Employed","no migration background","981","0.396809656943697","0.377589631905404","0.41602968198199"
"CDU/CSU","1991","Employed","direct migration background","63","0.523686584629307","0.434697336591941","0.612675832666672"
"CDU/CSU","1991","Employed","indirect migration background","2","","",""
"SPD","1991","Not Employed","no migration background","607","0.418724642550918","0.393109553204808","0.444339731897027"
"SPD","1991","Not Employed","direct migration background","40","0.426059495716853","0.329619770092688","0.522499221341018"
"SPD","1991","Not Employed","indirect migration background","3","","",""
"SPD","1991","Employed","no migration background","1182","0.469997823445644","0.450390315817623","0.489605331073665"
"SPD","1991","Employed","direct migration background","48","0.38129616138869","0.294753942173156","0.467838380604224"
"SPD","1991","Employed","indirect migration background","11","","",""
"FDP","1991","Not Employed","no migration background","69","0.0596487216734115","0.0473520864815155","0.0719453568653075"
"FDP","1991","Not Employed","direct migration background","3","","",""
"FDP","1991","Not Employed","indirect migration background","","","",""
"FDP","1991","Employed","no migration background","129","0.0537669877930621","0.0449057876914585","0.0626281878946658"
"FDP","1991","Employed","direct migration background","4","","",""
"FDP","1991","Employed","indirect migration background","","","",""
"Grüne","1991","Not Employed","no migration background","63","0.0379342982489801","0.0280155001052038","0.0478530963927564"
"Grüne","1991","Not Employed","direct migration background","3","","",""
"Grüne","1991","Not Employed","indirect migration background","","","",""
"Grüne","1991","Employed","no migration background","149","0.0612982927397778","0.0518745453503114","0.0707220401292442"
"Grüne","1991","Employed","direct migration background","5","","",""
"Grüne","1991","Employed","indirect migration background","1","","",""
"PDS/Linke","1991","Not Employed","no migration background","2","","",""
"PDS/Linke","1991","Not Employed","direct migration background","","","",""
"PDS/Linke","1991","Not Employed","indirect migration background","1","","",""
"PDS/Linke","1991","Employed","no migration background","1","","",""
"PDS/Linke","1991","Employed","direct migration background","","","",""
"PDS/Linke","1991","Employed","indirect migration background","","","",""
"NPD Combination","1991","Not Employed","no migration background","8","","",""
"NPD Combination","1991","Not Employed","direct migration background","2","","",""
"NPD Combination","1991","Not Employed","indirect migration background","","","",""
"NPD Combination","1991","Employed","no migration background","33","0.0120646604004113","0.00777564649699841","0.0163536743038242"
"NPD Combination","1991","Employed","direct migration background","1","","",""
"NPD Combination","1991","Employed","indirect migration background","1","","",""
"AfD","1991","Not Employed","no migration background","","","",""
"AfD","1991","Not Employed","direct migration background","","","",""
"AfD","1991","Not Employed","indirect migration background","","","",""
"AfD","1991","Employed","no migration background","","","",""
"AfD","1991","Employed","direct migration background","","","",""
"AfD","1991","Employed","indirect migration background","","","",""
"Other","1991","Not Employed","no migration background","5","","",""
"Other","1991","Not Employed","direct migration background","","","",""
"Other","1991","Not Employed","indirect migration background","","","",""
"Other","1991","Employed","no migration background","14","","",""
"Other","1991","Employed","direct migration background","","","",""
"Other","1991","Employed","indirect migration background","","","",""
"CDU/CSU","1992","Not Employed","no migration background","707","0.455706365600419","0.431318375485841","0.480094355714996"
"CDU/CSU","1992","Not Employed","direct migration background","73","0.451183232225643","0.383720316177524","0.518646148273763"
"CDU/CSU","1992","Not Employed","indirect migration background","8","","",""
"CDU/CSU","1992","Employed","no migration background","1199","0.394624782248122","0.377463336834153","0.411786227662091"
"CDU/CSU","1992","Employed","direct migration background","110","0.318324470345138","0.278170667325183","0.358478273365093"
"CDU/CSU","1992","Employed","indirect migration background","7","","",""
"SPD","1992","Not Employed","no migration background","674","0.423545439555628","0.399349116197004","0.447741762914252"
"SPD","1992","Not Employed","direct migration background","111","0.455922541153239","0.388399678358088","0.52344540394839"
"SPD","1992","Not Employed","indirect migration background","23","","",""
"SPD","1992","Employed","no migration background","1362","0.441406457194713","0.423971669509143","0.458841244880283"
"SPD","1992","Employed","direct migration background","338","0.543254072172173","0.500316087492273","0.586192056852073"
"SPD","1992","Employed","indirect migration background","44","0.666244577893245","0.551608208969579","0.780880946816912"
"FDP","1992","Not Employed","no migration background","62","0.0418556620353754","0.0320492663774124","0.0516620576933384"
"FDP","1992","Not Employed","direct migration background","4","","",""
"FDP","1992","Not Employed","indirect migration background","3","","",""
"FDP","1992","Employed","no migration background","165","0.0545010157234097","0.0465305775385694","0.06247145390825"
"FDP","1992","Employed","direct migration background","12","","",""
"FDP","1992","Employed","indirect migration background","2","","",""
"Grüne","1992","Not Employed","no migration background","85","0.0408717622465502","0.0311763371508638","0.0505671873422366"
"Grüne","1992","Not Employed","direct migration background","12","","",""
"Grüne","1992","Not Employed","indirect migration background","8","","",""
"Grüne","1992","Employed","no migration background","247","0.0714300543833565","0.0623873742580539","0.0804727345086592"
"Grüne","1992","Employed","direct migration background","42","0.0792936321179726","0.0560029317276355","0.10258433250831"
"Grüne","1992","Employed","indirect migration background","9","","",""
"PDS/Linke","1992","Not Employed","no migration background","50","0.0207014178991243","0.0137291439253153","0.0276736918729333"
"PDS/Linke","1992","Not Employed","direct migration background","4","","",""
"PDS/Linke","1992","Not Employed","indirect migration background","","","",""
"PDS/Linke","1992","Employed","no migration background","66","0.0133343514457589","0.00930699267906731","0.0173617102124504"
"PDS/Linke","1992","Employed","direct migration background","6","","",""
"PDS/Linke","1992","Employed","indirect migration background","","","",""
"NPD Combination","1992","Not Employed","no migration background","","","",""
"NPD Combination","1992","Not Employed","direct migration background","","","",""
"NPD Combination","1992","Not Employed","indirect migration background","","","",""
"NPD Combination","1992","Employed","no migration background","","","",""
"NPD Combination","1992","Employed","direct migration background","","","",""
"NPD Combination","1992","Employed","indirect migration background","","","",""
"AfD","1992","Not Employed","no migration background","","","",""
